,書名,作者,出版日期,內容介紹,網址
1,忍者兔ABC PLAY磁貼學習板,,2020-11-01,"
神奇趣味磁貼片，玩出超強認知力!   孩子在學習基礎認知時，最重要的就是好玩、多聽、多看、多唸。本產品設計26個英文字母磁貼，讓孩子在反覆遊戲的過程中，自然而然記住字母，並逐漸累積，除了學習板上的...more
",https://www.books.com.tw/products/0010874227?loc=P_0003_001
2,忍者兔123 PLAY磁貼學習板,,2020-11-01,"
神奇趣味磁貼片，玩出超強認知力!   孩子在學習基礎認知時，最重要的就是好玩、多聽、多看、多唸。本產品設計數字0~9，以及加減乘除等運算符號共30片磁貼，讓孩子在反覆遊戲的過程中，自然而然記住基本數...more
",https://www.books.com.tw/products/0010874229?loc=P_0003_002
3,忍者兔ㄅㄆㄇ PLAY磁貼學習板,,2020-11-01,"
神奇趣味磁貼片，玩出超強認知力!   孩子在學習基礎認知時，最重要的就是好玩、多聽、多看、多唸。本產品設計37個注音符號磁貼，以及8個音調磁貼，讓孩子在反覆遊戲的過程中，自然而然記住注音符號，並經...more
",https://www.books.com.tw/products/0010874230?loc=P_0003_003
4,時尚磁鐵書：閃亮公主彩妝,風車編輯群,2020-10-16,"
271個磁鐵配件+3折頁大場景， 幫公主化妝、彩繪指甲與設計禮服吧!   扮家家酒是小女孩成長過程中不可或缺的遊戲，高質感的三折頁場景與多種類的磁鐵配件，實現小女孩的公主夢!   本產品分為四個主題：流行...more
",https://www.books.com.tw/products/0010873073?loc=P_0003_004
5,時尚磁鐵書：夢幻娃娃屋,風車編輯群,2020-10-16,"
122個磁鐵配件+3折頁大場景， 用華麗的家具和擺設布置夢幻的家吧!   扮家家酒是小女孩成長過程中不可或缺的遊戲，高質感的三折頁場景與多種類的磁鐵配件，實現小女孩的公主夢!   夢幻娃娃屋裡有各種不同的...more
",https://www.books.com.tw/products/0010873075?loc=P_0003_005
6,隨身磁性畫板 冰雪奇緣2,根華編輯部,2020-10-08,"
本書特色   1. 平板造型，隨身帶著走：輕巧的造型讓孩子隨時隨地帶著畫畫、寫字和學習!   2. 輕鬆畫圖案：將圖紙放在磁性板上，用畫筆照著線條輕輕描在畫板上，就能畫出想要的圖案!   3. 乾淨、環保、可重...more
",https://www.books.com.tw/products/0010872501?loc=P_0003_006
7,汪汪隊立大功 3D泡泡磁貼書,根華編輯部,2020-10-08,"
●發揮創意將立體的角色磁貼放到場景中，創造自己的汪汪隊救援故事!   ◆內含3個跨頁故事場景+1個磁貼展示頁，共有13個3D泡泡磁貼。...more
",https://www.books.com.tw/products/0010872534?loc=P_0003_007
8,隨身磁性畫板 碰碰狐,根華編輯部,2020-10-08,"
本書特色   1. 平板造型，隨身帶著走：輕巧的造型讓孩子隨時隨地帶著畫畫、寫字和學習!   2. 輕鬆畫圖案：將圖紙放在磁性板上，用畫筆照著線條輕輕描在畫板上，就能畫出想要的圖案!   3. 乾淨、環保、可重...more
",https://www.books.com.tw/products/0010872539?loc=P_0003_008
9,冰雪奇緣2 3D泡泡磁貼書,根華編輯部,2020-10-08,"
●發揮創意將立體的角色磁貼放到場景中，創造屬於自己的冰雪奇緣故事!   ◆內含3個跨頁故事場景+1個磁貼展示頁，共有13個3D泡泡磁貼。...more
",https://www.books.com.tw/products/0010872561?loc=P_0003_009
10,隨身磁性畫板 汪汪隊立大功,根華編輯部,2020-10-08,"
本書特色   1. 平板造型，隨身帶著走：輕巧的造型讓孩子隨時隨地帶著畫畫、寫字和學習!   2. 輕鬆畫圖案：將圖紙放在磁性板上，用畫筆照著線條輕輕描在畫板上，就能畫出想要的圖案!   3. 乾淨、環保、可重...more
",https://www.books.com.tw/products/0010872536?loc=P_0003_010
11,動物救援隊磁鐵遊戲：FOOD超人,風車編輯部,2020-09-29,"
森林裡發生大洪水，FOOD救援隊出發囉! 一起來玩搶救動物的遊戲吧!   歡釣遊戲能提升孩子手眼協調能力，並認識39個動物、學習數量，也可以訓練基礎數學能力，是一款寓教於樂的智力桌遊!   本產品附兩枝木製...more
",https://www.books.com.tw/products/0010872141?loc=P_0003_011
12,公主變裝秀：時尚夢幻的磁鐵變裝遊戲,風車圖書編輯部,2020-09-24,"
可愛又時尚的磁鐵變裝遊戲， 快來幫公主們搭配最好看的服裝吧!   小女孩最喜歡的換裝遊戲重磅出擊!雙面的夢幻娃娃屋背景，超過250個磁鐵配件，讓孩子自由搭配服裝和屋內擺設，培養創意與美感!   四位漂亮...more
",https://www.books.com.tw/products/0010871919?loc=P_0003_012
13,Hello Kitty歡樂節日磁鐵書,林咨君,2020-08-26,"
精選農曆春節、端午節、中秋節、萬聖節、聖誕節5個知名的節日，讓小朋友可以一邊玩磁鐵，一邊認識節慶的相關景物，與慶祝節慶的習俗。結合HELLO KITTY可愛的圖案、簡潔的外型，製作出色彩鮮豔、圖素豐富的...more
",https://www.books.com.tw/products/0010869643?loc=P_0003_013
14,Hello Kitty美味食物磁鐵書,林咨君,2020-08-26,"
精選5種可與家人、好友聚在一起享用美食的情境，日常三餐、熱鬧派對、悠閒 野餐、果菜超市、甜點餐廳，讓小朋友可以一邊玩磁鐵，一邊認識不同食物素材與相關景物。結合HELLO KITTY可愛的圖案、簡潔的外型...more
",https://www.books.com.tw/products/0010869650?loc=P_0003_014
