,書名,作者,出版日期,內容介紹,網址
1,國安局/調查局人員、外交領事人員考試【兩岸關係.速捷一本通】(核心考點全掃描.歷屆考題皆精解!)(8版),胡長瑛,2020-05-15,"
☆109年國安調查外交‧上榜推薦唯一首選☆ ☆內容囊括命題大綱‧核心考點全面掃描☆ 本書特色   特色一：高命題率編輯內容，快速入門、突破要點!   「第一部分 重點精研‧考點掃描」的編寫內容，除了涵蓋考選部所...more
",https://www.books.com.tw/products/0010591251?loc=P_0003_001
2,移民行政人員考試【入出國及移民法規(含概要)】(核心法規精要整理.完整試題精準解析)(2版),"廖震,胡劭安",2020-05-15,"
☆最新法規全面修訂‧備考推薦唯一首選☆ ☆內容符合命題大綱‧核心考點全面掃描☆ ☆最新試題精準詳解‧輕鬆掌握命題趨勢☆ 本書特色   這是一本簡單卻很有效率的書，只要掌握了書裡所整理好的內容，不論是從哪一...more
",https://www.books.com.tw/products/0010515237?loc=P_0003_002
3,移民行政科 移民特考三、四等課文版套書,名師作者群,2020-04-16,"
書名：國文(作文、公文與測驗)   本書第一部分為作文，先分析作文關鍵，並搭配名言佳句，提供作文時可運用的素材，短時間內便可輕鬆掌握作文高分技巧。並搭配「作文批閱範例」，實際收錄考生作文，作者逐...more
",https://www.books.com.tw/products/0010856481?loc=P_0003_003
4,80/20法則 國際法(國際公法+國際私法)重點整理+解題 律師‧司法官‧外交特考(保成),棋許,2020-04-01,"
適用對象：   欲準備國際法之考生、想了解國際法內容之讀者   適用時間：   無限制   使用功效：   本書著重體系建構、層次分明，選錄之歷屆試題，以最全面之解析，答出最為適切的內容。並輔以重點整理，...more
",https://www.books.com.tw/products/0010854671?loc=P_0003_004
5,2020年[移民法規高分秘訣]入出國及移民法規(含概要)[移民行政特考],張瀚騰,2020-03-30,"
本書之編寫目的在於使考生能在最短的時間內，完全貫通入出國及移民法規。希望可使考生成為運用法律的高手，而非背誦法條的法匠。畢竟考上公職之後，所必須面對的是千變萬化的入出國與移民之問題，單單背誦...more
",https://www.books.com.tw/products/0010852912?loc=P_0003_005
6,2020年[移民特考高分關鍵!]國土安全與移民政策(包括移民人權)[移民行政],翊傑,2020-03-30,"
國土安全與移民政策於105年1月1日考選部公布命題範圍，包括國土安全與反恐、國境人流管理與非正常移民防制、移民理論與政策、國際人權與移民人權。   國土安全與反恐此部分考題偏向時事探討趨勢極為明顯，...more
",https://www.books.com.tw/products/0010853933?loc=P_0003_006
7,移民特考2020試題大補帖【移民行政類】普通+專業(108年試題),百官網公職師資群,2020-03-23,"
本書收錄移民特考【移民行政類】108年普通+專業科目試題解析，本書適用四等、三等考試，內容含：國文、法學知識、英文、國境執法(概要)、刑事法(概要)、移民政策(概要)、國土安全(概要)、行政法(概要)、入...more
",https://www.books.com.tw/products/0010854307?loc=P_0003_007
8,三等外交領事人員：歷屆綜合題庫(外交特考三等考試適用),"卓村,李思維,林芸澧,程瑋,郭雋,金庸,韋伯,顏台大",2020-03-21,"
一、精心蒐集，一網打盡：完整收錄三等外交領事人員考試106~108年試題，輕薄好上手。   二、答題關鍵，撥雲見日：作者群精心分析，撰寫各科準備技巧與落點分析，掌握考試有方向。   三、名師精解，勝券在...more
",https://www.books.com.tw/products/0010854696?loc=P_0003_008
9,外交行政人員：行政組歷屆綜合題庫(外交特考四等考試適用),"卓村,林芸澧,蕭靖,郭立,郭雋,金庸,顏台大",2020-03-21,"
一、精心蒐集，一網打盡：完整收錄四等外交行政人員考試行政組106~108年試題，輕薄好上手。   二、答題關鍵，撥雲見日：作者群精心分析，撰寫各科準備技巧與落點分析，掌握考試有方向。   三、名師精解，...more
",https://www.books.com.tw/products/0010854698?loc=P_0003_009
10,2020年移民行政〔勝利!上榜速成攻略!〕刑事訴訟法焦點速成+近年試題詳解二合一高分寶典﹝移民行政特考﹞,溫陽,2020-02-28,"
New依據最新刑事訴訟法修訂：從焦點內容到歷年試題澈底更新，完全掌握修法近況，即時與熱門考點連線。   ◎重點內容快速記憶，掌握命題核心   本書第一部分為「刑事訴訟法焦點速成」，千華名師精編三十篇刑...more
",https://www.books.com.tw/products/0010852146?loc=P_0003_010
11,2020年〔高普考金榜秘笈〕移民政策與法規〔高普考/地方特考/各類特考〕,張瀚騰,2019-12-27,"
★移民政策與法規考什麼?   移民政策與法規其考試的內容範圍包括了國民入出國、外國人民以及大陸地區人民之入出境等相關規定。以考試方向來說，大抵不超出前述之範圍，準備之方式，仍是以相關之移民法規為...more
",https://www.books.com.tw/products/0010843989?loc=P_0003_011
12,兩岸關係,蘇世岳,2019-11-21,"
作者依據考選部的命題大綱，將市面上所有兩岸關係的重要論著，重新加以整編，並進一步分析歷年的考題，將兩岸政府與周邊重要國家，有關的官方文獻以及近年來兩岸所進行的各次會談和所簽署的協議，提綱挈領...more
",https://www.books.com.tw/products/0010718245?loc=P_0003_012
13,2020年移民行政[依據最新法規編著]行政法(含概要)[移民行政特考],林志忠,2019-11-08,"
◎獨家高分秘方，易讀、易懂、易記   行政法如同一團綜合了政治、社會、經濟及法學等糾纏不清的蜘蛛網，如何在有限的時間內準備考試，唯有掌握獨家祕方。本書係針對高普與各類特考之測驗式題目編寫而成，關...more
",https://www.books.com.tw/products/0010842996?loc=P_0003_013
14,高普特考/外交特考【國際經濟學(含概要)】(問答選擇重點題庫，最新試題完善精解)(3版),平心,2019-10-21,"
☆高普外交‧全新改版‧強化升級☆ ☆最新試題‧問答選擇‧完整精解☆   睽違多時，本書重新改版，強勢回歸!本次為了眾多考生學習上的方便，我們不但加入更多圖表說明、解題講座、針對最新考試方向調整內容，並因...more
",https://www.books.com.tw/products/0010477493?loc=P_0003_014
15,比較政府與政治(外交特考三四等考試適用),郭雋,2019-10-02,"
◆主題呈現、簡明易懂：使用主題式呈現各項重點概念，有效奠定基礎   ◆表格整理、撥雲見日：表格化整理各章節重點內容，輕鬆掌握不混淆   ◆精選試題、勝券在握：隨篇章收錄常見歷屆試題，隨讀隨練養成即戰...more
",https://www.books.com.tw/products/0010837159?loc=P_0003_015
16,華安、吳軍老師開講 財稅法-空-律師‧外交特考‧法研所(保成)(二版),"吳軍,華安",2019-07-23,"
適用對象    1 欲報考律師，選考財稅法之考生   2 欲財稅法詳加研究之考生   適用時間    無期限   使用功效    本書以準備考試為第一優先，為了幫助讀者快速上手，所以將一些較抽象的學理概念省去，並補...more
",https://www.books.com.tw/products/0010829230?loc=P_0003_016
17,廖毅老師開講 國際私法 易 律師‧司法官‧外交特考(保成),廖毅,2019-05-10,"
適用對象   凡是需要考國際私法的考生皆適用，不論係「律師.司法官考試」要考的一試選擇題，或「外交領事人員特考」&「研究所入學考」要考的申論題，皆可買回服用，一定能試試如意!   適用時間   無限制  ...more
",https://www.books.com.tw/products/0010822451?loc=P_0003_017
18,綜覽國際公法(含申論、測驗題型),徐律師,2018-12-20,"
國家考試中，國際公法一科對於非法律系畢業者，往往是心中沈重之大石，卻也是勝負之關鍵。然不論其以申論題或是測驗題命題，相關考試重點與範圍，大抵皆屬傳統國際公法總論之範圍，而偶有時事性之國際公法...more
",https://www.books.com.tw/products/0010552741?loc=P_0003_018
19,(收錄最新試題及解析)移民法學知識與英文(包括中華民國憲法、法學緒論、英文)[移民特考][贈學習診斷測驗、隨書輔助教材],"劉似蓉,許願,龍宜辰",2018-12-14,"
本書為因應考情變化，特訂做一合訂本，將下列三科之精要重點全部收錄：   1. 中華民國憲法   本書完全針對困難之處，以測驗式試題奪取高分為目的編寫，全方位彙整歷年國家考試試題，藉由科學化的分章分類...more
",https://www.books.com.tw/products/0010807814?loc=P_0003_019
20,移民政策與法規(含入出國及移民法規)(高普考、移民署特考考試適用),程譯／編,2018-08-13,"
●條文完整蒐羅   針對移民相關法規，以清晰架構羅列條文，循序漸進，引導讀者了解移民法規體系。   ●「速記提要」口訣化   「速記提要」將內容重點歸納、口訣化，有助快速複習、掌握考點。   ●政策理論，...more
",https://www.books.com.tw/products/0010796947?loc=P_0003_020
21,這是一本移民法規選擇題,"泰米,謝安,陸羽",2018-06-15,"
為什麼要買這本?作者告訴你   由兩位深具移民實務經驗搭配一位派出所主管的筆者聯手打造，集結各大考題重點，輕鬆掌握考題方向。   法條!簡單口訣 一隻眼也能快速記憶重點法條~   考題!精準解構 連出題老...more
",https://www.books.com.tw/products/0010791064?loc=P_0003_021
22,就是專業英文(外交特考三四等考試適用),郭立,2018-03-26,"
☆常用單字與進階詞組   濃縮7000單字為2600常用單字，並整理歷年考題中冷僻之單字詞組，關鍵字詞，一個不漏。   ☆九大語法要點   從九大語法角度掌握句構完整性，征服綜合克漏字及閱讀測驗。   ☆破解閱測...more
",https://www.books.com.tw/products/0010784240?loc=P_0003_022
23,移民四等特考(移民行政)專業科目套書(增修版),"李彥,王寶鑑,王裕德,陳傑,陳薇",2018-02-12,"
晉身公職的「移」道親「民」新曙光 無年齡限制，薪資較同級公務員優渥 福利待遇一樣都不少   多年來，我國入出境管理及移民業務，分屬不同單位管轄，事權分散。於88年5月21日公布「入出國及移民法」時，規...more
",https://www.books.com.tw/products/0010780977?loc=P_0003_023
24,國文(作文、公文與測驗)[移民行政特考],"歐恩,駱英",2017-10-20,"
本書編輯方針，主要著眼於三大部分：(一)作文。(二)公文。(三)測驗。   本書第一部分為作文，先分析作文關鍵，並搭配名言佳句，提供作文時可運用的素材，短時間內便可輕鬆掌握作文高分技巧。並搭配「作文...more
",https://www.books.com.tw/products/0010768462?loc=P_0003_024
25,圖解刑法概要關鍵見解+精選試題[移民行政],南春白,2017-09-22,"
本書以最新修正之刑法條文為基礎編寫，針對命題方向加以改版，依據原條文的法條順序編排章節。各章開頭有學習指引，先以樹狀圖方式就各章內容作大致介紹，並用頻出度來表明本章在考試中的出題頻率，而條文...more
",https://www.books.com.tw/products/0010765446?loc=P_0003_025
