,書名,作者,出版日期,內容介紹,網址
1,110年關務特考三、四等(共同科目)套書(贈題庫網帳號、雲端課程),鼎文公職名師群,2020-10-26,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010874826?loc=P_0003_001
2,110年關務特考三等關務類(財稅行政)套書(贈英文單字書、題庫網帳號、雲端課程),鼎文公職名師群,2020-10-26,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010874828?loc=P_0003_002
3,110年關務特考三等關務類(關稅法務)套書(贈英文單字書、題庫網帳號、雲端課程),鼎文公職名師群,2020-10-26,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010874831?loc=P_0003_003
4,110年關務特考薦任升等(關務類共同科目)套書(贈英文單字書、題庫網帳號、雲端課程),鼎文公職名師群,2020-10-26,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010874835?loc=P_0003_004
5,110年關務特考薦任升等(技術類共同科目)套書(贈英文單字書、題庫網帳號、雲端課程),鼎文公職名師群,2020-10-26,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010874836?loc=P_0003_005
6,110年關務特考四等關務類(一般行政)套書(贈英文單字書、題庫網帳號、雲端課程),鼎文公職名師群,2020-10-26,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010874837?loc=P_0003_006
7,110年關務特考三等技術類(機械工程)套書(贈英文單字書、題庫網帳號、雲端課程),鼎文公職名師群,2020-10-26,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010874839?loc=P_0003_007
8,110年關務特考三等技術類(電機工程)套書(贈英文單字書、題庫網帳號、雲端課程),鼎文公職名師群,2020-10-26,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010874842?loc=P_0003_008
9,110年關務特考四等技術類(機械工程)套書(贈英文單字書、題庫網帳號、雲端課程),鼎文公職名師群,2020-10-26,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010874845?loc=P_0003_009
10,110年關務特考四等技術類(化學工程)套書(贈英文單字書、題庫網帳號、雲端課程),鼎文公職名師群,2020-10-26,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010874850?loc=P_0003_010
11,110年關務特考四等技術類(電機工程)套書(贈英文單字書、題庫網帳號、雲端課程),鼎文公職名師群,2020-10-26,"
贈題庫網進階版帳號1組(市值250元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010874847?loc=P_0003_011
12,2021關務特考[四等][一般行政]套書(贈法學知識搶分小法典),三民補習班名師群,2020-10-08,"
【適用對象】   這套《關務特考四等[一般行政]套書》適用於報考關務人員考試四等一般行政類科的考生。   【考試資訊及報考利多】   關務人員考試(簡稱關務特考)，又稱海關考試。財政部關務署下轄「基隆、...more
",https://www.books.com.tw/products/0010873349?loc=P_0003_012
