,書名,作者,出版日期,內容介紹,網址
1,觀光資源概要(導遊領隊適用)(108教材+DVD函授課程) (贈讀書計劃表),三民補習班名師群,2020-03-27,"
本套〈觀光資源概要〉函授課程適用於：導遊、領隊人員招考。   觀光資源概源要考歷史、地理，都是非背不可的社會科，範圍又大，到底哪些才是重點，我該怎麼辦?   覺得備考範圍太大、唸不完，考試沒信心?  ...more
",https://www.books.com.tw/products/0010854007?loc=P_0003_001
2,導遊+領隊實務(一)(導遊領隊適用)(108教材+DVD函授課程)(贈讀書計劃表),三民補習班名師群,2020-03-27,"
本套〈導遊+領隊實務(一)〉函授課程適用於：導遊、領隊人員招考。   我沒有相關經驗，導遊領隊實務(一)的領隊技巧、航空票務、緊急事件處理全都好陌生!現在開始唸書會不會太晚了呢?   只要有心唸書就不會...more
",https://www.books.com.tw/products/0010854010?loc=P_0003_002
3,導遊+領隊實務(二)(導遊領隊適用)(108教材+DVD函授課程)(贈讀書計劃表),三民補習班名師群,2020-03-27,"
本套〈導遊+領隊實務(二)〉函授課程適用於：導遊、領隊人員招考。   實務(二)包括觀光法規、入出境法規、民法債編，可是法規條文都背不熟，我該怎麼辦?   導遊領隊實務(二)的法條背了卻記不熟?趕快來找三...more
",https://www.books.com.tw/products/0010854018?loc=P_0003_003
4,華語導遊+領隊人員(二合一)(108教材+DVD函授課程)(贈讀書計劃表),三民補習班名師群,2020-03-27,"
本套〈華語導遊+領隊人員(二合一)〉函授課程適用於：華語導遊領隊人員考試。    我很喜歡旅遊，想考領隊證照!但是平常要工作，沒時間唸書，怎麼辦?   別擔心，這時候就讓三民輔考為你分析弱點、加強優勢，...more
",https://www.books.com.tw/products/0010854026?loc=P_0003_004
5,(線上課程)【圖解式導遊實務(一)】導遊人員,林俐,2018-08-20,"
●【圖解式導遊實務(一)】導遊人員(線上版)_棒學校線上學習平台   ◎課程簡介：   導遊實務(一)可以說是導遊考試的「常識篇」，內容相對導遊實務(二)有趣又活潑且更加生活化，但在另一方面，導遊實務(一)的...more
",https://www.books.com.tw/products/0010866052?loc=P_0003_005
6,(線上課程)【圖解式導遊實務(二)】導遊人員,林俐,2018-08-20,"
●【圖解式導遊實務(二)】導遊人員(線上版)_棒學校線上學習平台   ◎課程簡介：   導遊實務(二)，可以說是導遊考試的「法規篇」，對許多考生來說，導遊實務(二)的內容更具挑戰性，要如何理解各相關法規條文...more
",https://www.books.com.tw/products/0010866055?loc=P_0003_006
7,(線上課程)【圖解式導遊觀光資源概要】,陳源,2018-08-20,"
●【圖解式導遊觀光資源概要】導遊人員(線上版)_棒學校線上學習平台   ◎課程簡介：   導遊觀光資源概要主要著重於臺灣的地理與歷史，考試範圍雖小，但是內容很深，如果只靠國高中的社會科知識，是不足以完...more
",https://www.books.com.tw/products/0010866058?loc=P_0003_007
8,(線上課程)【圖解式領隊實務(一)】領隊人員,林俐,2018-08-20,"
●【圖解式領隊實務(一)】領隊人員(線上版)_棒學校線上學習平台   ◎課程簡介：   領隊實務(一)可以說是領隊考試的「常識篇」，內容相對領隊實務(二)有趣又活潑且更加生活化，但在另一方面，領隊實務(一)的...more
",https://www.books.com.tw/products/0010866060?loc=P_0003_008
9,(線上課程)【圖解式領隊實務(二)】領隊人員,林俐,2018-08-20,"
●【圖解式領隊實務(二)】導遊人員(線上版)_棒學校線上學習平台   ◎課程簡介：   領隊實務(二)，可以說是導遊考試的「法規篇」，對許多考生來說，領隊實務(二)的內容更具挑戰性，要如何理解各相關法規條文...more
",https://www.books.com.tw/products/0010866063?loc=P_0003_009
10,(線上課程)【圖解式領隊觀光資源概要】領隊人員,陳源,2018-08-20,"
●【圖解式領隊觀光資源概要】領隊人員(線上版)_棒學校線上學習平台   ◎課程簡介：   領隊證照分為外語領隊與華語領隊。兩個著重的面向不同，本課程幫你把所有的考試重點彙整，讓你不會漫無頭緒的四處碰壁...more
",https://www.books.com.tw/products/0010866064?loc=P_0003_010
11,【DVD函授】導遊領隊實務(一)：單科課程(107版),錦囊導遊領隊證照考取專班,2018-07-13,"
課程特色   上課長期囫圇吞棗，擔心知識消化不良?學習需反覆咀嚼，才能真的有效吸收!   錦囊DVD函授課程不限學習次數，隨開即時上課，進度任你掌握，免通勤、免排隊，坐在電腦前就能享有一等一的公職名師...more
",https://www.books.com.tw/products/0010794261?loc=P_0003_011
12,【DVD函授】導遊領隊實務(二)：單科課程(107版),錦囊導遊領隊證照考取專班,2018-07-13,"
課程特色   上課長期囫圇吞棗，擔心知識消化不良?學習需反覆咀嚼，才能真的有效吸收!   錦囊DVD函授課程不限學習次數，隨開即時上課，進度任你掌握，免通勤、免排隊，坐在電腦前就能享有一等一的公職名師...more
",https://www.books.com.tw/products/0010794264?loc=P_0003_012
