,書名,作者,出版日期,內容介紹,網址
1,鐵路特考佐級(會計)密集班(含題庫班)線上教學函授課程(教學影片+上課講義+板書),鼎文公職名師群,2020-07-10,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010864191?loc=P_0003_001
2,鐵路特考佐級(事務管理)密集班(含題庫班)線上教學函授課程(教學影片+上課講義+板書)(附鐵路歷屆題本),鼎文公職名師群,2020-07-10,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010864192?loc=P_0003_002
3,鐵路特考佐級(材料管理)密集班(含題庫班)線上教學函授課程(教學影片+上課講義+板書)(附鐵路歷屆題本),鼎文公職名師群,2020-07-10,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010864193?loc=P_0003_003
4,鐵路特考佐級(運輸營業)密集班(含題庫班)線上教學函授課程(教學影片+上課講義+板書)(附鐵路歷屆題本),鼎文公職名師群,2020-07-10,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010864194?loc=P_0003_004
5,鐵路特考佐級(場站調車)密集班(含題庫班)線上教學函授課程(教學影片+上課講義+板書)(附鐵路歷屆題本),鼎文公職名師群,2020-07-10,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010864195?loc=P_0003_005
6,鐵路特考佐級(土木工程)密集班(含題庫班)線上教學函授課程(教學影片+上課講義+板書)(附鐵路歷屆題本),鼎文公職名師群,2020-07-10,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010864196?loc=P_0003_006
7,鐵路特考佐級(機械工程)密集班(含題庫班)線上教學函授課程(教學影片+上課講義+板書)(附鐵路歷屆題本),鼎文公職名師群,2020-07-10,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010864197?loc=P_0003_007
8,鐵路特考佐級(機檢工程)密集班(含題庫班)線上教學函授課程(教學影片+上課講義+板書)(附鐵路歷屆題本),鼎文公職名師群,2020-07-10,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010864199?loc=P_0003_008
9,鐵路特考佐級(電力工程)密集班(含題庫班)線上教學函授課程(教學影片+上課講義+板書)(附鐵路歷屆題本),鼎文公職名師群,2020-07-10,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010864202?loc=P_0003_009
10,鐵路特考佐級(電子工程)密集班(含題庫班)線上教學函授課程(教學影片+上課講義+板書)(附鐵路歷屆題本),鼎文公職名師群,2020-07-10,"
線上教學好方便，學習時間自由掌控 只要電腦、手機、平板連線上網，就可立即享有一對一的名師教學 隨時隨地享有鼎文專業課程輔考，學習效率倍增   ※觀看地點無限制，走到哪看到哪，不論晴天雨天學習無阻  ...more
",https://www.books.com.tw/products/0010864203?loc=P_0003_010
