,書名,作者,出版日期,內容介紹,網址
1,國中數學基本素養1：數與代數的運算,許建銘,2020-10-28,"
「知識零碎」與「思考紊亂」是國中生面對會考時不可輕忽的敵人，建議同學先搞懂「基本素養」，經由扎實而至融會貫通的學習歷程，才能穩操勝算。   自2019下半年起，台灣中小學教育正式迎接新課綱的到來。...more
",https://www.books.com.tw/products/0010874245?loc=P_0003_001
2,國中數學基本素養2：幾何概念與性質,許建銘,2020-10-28,"
「知識零碎」與「思考紊亂」是國中生面對會考時不可輕忽的敵人，建議同學先搞懂「基本素養」，經由扎實而至融會貫通的學習歷程，才能穩操勝算。   自2019下半年起，台灣中小學教育正式迎接新課綱的到來。...more
",https://www.books.com.tw/products/0010874247?loc=P_0003_002
3,國中創新數學必勝(1年級),吳建豪,2020-06-03,"
[國中會考.段考 適用]    本書依據教育部所公布「國民教育九年一貫課程教學學習領域正式綱要」並結合各家國中教學版本相關教材，作為主要編排架構。    有鑑於考生對國中教育會考之需，綜合課程領域與綱要...more
",https://www.books.com.tw/products/0010860615?loc=P_0003_003
4,國中創新數學必勝(2年級),吳建豪,2020-06-03,"
[國中會考.段考 適用]    本書依據教育部所公布「國民教育九年一貫課程教學學習領域正式綱要」並結合各家國中教學版本相關教材，作為主要編排架構。    有鑑於考生對國中教育會考之需，綜合課程領域與綱要...more
",https://www.books.com.tw/products/0010860617?loc=P_0003_004
5,國中創新數學必勝(3年級),吳建豪,2020-06-03,"
[國中會考.段考 適用]    本書依據教育部所公布「國民教育九年一貫課程教學學習領域正式綱要」並結合各家國中教學版本相關教材，作為主要編排架構。    有鑑於考生對國中教育會考之需，綜合課程領域與綱要...more
",https://www.books.com.tw/products/0010860619?loc=P_0003_005
6,e通國中資優數學第三冊(全)(二版),,2020-06-01,"
...more
",https://www.books.com.tw/products/0010865182?loc=P_0003_006
7,e通高中數學講義 升高一銜接課程教材(全一冊)第五版,"林廷樂,林廷熹",2020-05-01,"
本書分為四章：因式分解、方根與查表、等比數列與級數、幾何性質，讓同學在升上高一之前，可以利用暑假作補強。...more
",https://www.books.com.tw/products/0010861043?loc=P_0003_007
8,國中生一定要會的100道數學經典題目(2版),美國國家數學教師協會,2019-12-28,"
●榮獲2011行政院新聞局第33次中小學生優良課外讀物推介.科學類    ●全美最受歡迎的100道數學題目   ●美國國家數學教師協會(NCTM)數十萬中小學數學教師嚴選   ●加強雙語數學—含中英對照題目   全書含400題...more
",https://www.books.com.tw/products/0010844685?loc=P_0003_008
9,李家同老師專門替中學生寫的電腦入門,"侯冠維,李家同",2019-11-28,"
●配合108課綱議題：資訊科技   ●幫助中學生了解電腦基本架構的入門書   AI人工智慧時代，世界各國都在加強資訊教育   配合十二年國教新課綱，資訊科技已列為國、高中必修科目   資訊教育不能晚，但你對電...more
",https://www.books.com.tw/products/0010841109?loc=P_0003_009
10,升國中私中智優先修(數學科)(第4版),升國中教研會,2019-11-13,"
[升國中先修.私中入學]   對於即將要升上國中的國小學生而言，未知的課業內容總是教人感到惶恐；尤其是讓人又愛又怕的「數學科」更是如此。為了幫助初升國中的學生們面對這樣的難題，本書針對國小升國中馬...more
",https://www.books.com.tw/products/0010840574?loc=P_0003_010
11,仿真模擬3000題：數學,編輯小組,2019-10-01,"
...more
",https://www.books.com.tw/products/0010838289?loc=P_0003_011
12,5.3集訓：數學(109年升高中),編輯小組,2019-10-01,"
...more
",https://www.books.com.tw/products/0010838296?loc=P_0003_012
13,明霖會考DNA++主題式歷屆試題精選：數學(109年升高中),劉靜,2019-10-01,"
...more
",https://www.books.com.tw/products/0010838299?loc=P_0003_013
14,明霖98-108練5功歷屆試題：數學(109年升高中),劉靜,2019-10-01,"
...more
",https://www.books.com.tw/products/0010838304?loc=P_0003_014
15,國中會考重點精華(數學科)第2版,國中會考教研會,2019-10-01,"
九年一貫課程一綱多本，各家版本差異頗大，尤其在國中教育會考試題越來越靈活的前提下，本社根據教育部公布「國民教育九年一貫課程綱要」精編國中會考重點精華系列叢書，俾提供學生練習。   有鑑於考生對...more
",https://www.books.com.tw/products/0010836329?loc=P_0003_015
16,觀念數學1+2(套書),任維勇,2019-08-29,"
觀念數學1：如何學好中學數學   從國小、國中，到高中、大學，不同的階段，有不同的學習方法與學習重點，《如何學好中學數學》專門針對高中階段的數學學習，清楚指出高中與國中的學習方法有何不同，並以現...more
",https://www.books.com.tw/products/0010833566?loc=P_0003_016
17,國中會考搶分祕笈(數學科),國中會考教研會,2019-08-07,"
九年一貫課程一綱多本，各家版本差異頗大，尤其在國中教育會考試題越來越靈活的前提下，本社根據教育部公布「國民教育九年一貫課程綱要」精編國中教育會考滿分祕笈系列叢書，俾便提供考生練習。   有鑑於...more
",https://www.books.com.tw/products/0010831013?loc=P_0003_017
18,專門用來打好幾何基礎的數學課本3(2版),財團法人博幼社會福利基金會,2019-07-28,"
博幼的幾何教材乃是藉由邏輯上的思考，來幫助學生從無到有建立起幾何學的概念，依照點 線 面 體的順序編輯而成，教材中的所有定理，都是由基本定義經過證明而得來，且每個定理都是建立在前一個定理之上，...more
",https://www.books.com.tw/products/0010829539?loc=P_0003_018
19,專門用來打好幾何基礎的數學課本4(2版),財團法人博幼社會福利基金會,2019-07-28,"
博幼的幾何教材乃是藉由邏輯上的思考，來幫助學生從無到有建立起幾何學的概念，依照點 線 面 體的順序編輯而成，教材中的所有定理，都是由基本定義經過證明而得來，且每個定理都是建立在前一個定理之上，...more
",https://www.books.com.tw/products/0010829540?loc=P_0003_019
20,國中三年的數學一本搞定,小杉拓也,2019-07-28,"
✓輕鬆駕馭所有基礎，數學成績瞬間提升   ✓日本亞馬遜分類榜暢銷Top2   ✓理解基本觀念+釐清常見疑問+不犯粗心錯誤=高分過關!   補教名師 張淞豪 審定、推薦   想重新學習數學的大人也適用!   「要是我早點...more
",https://www.books.com.tw/products/0010829538?loc=P_0003_020
21,明霖國中筆記式講義：南版數學一上(108學年),李奇士,2019-07-01,"
...more
",https://www.books.com.tw/products/0010838314?loc=P_0003_021
22,明霖國中筆記式講義：翰版數學二上(108學年),"文凡,林錦榮",2019-07-01,"
...more
",https://www.books.com.tw/products/0010838317?loc=P_0003_022
23,明霖國中筆記式講義：康版數學三上(108學年),林錦榮,2019-07-01,"
...more
",https://www.books.com.tw/products/0010838318?loc=P_0003_023
24,明霖國中筆記式講義：康版數學一上(108學年),李奇士,2019-07-01,"
...more
",https://www.books.com.tw/products/0010838320?loc=P_0003_024
25,明霖國中筆記式講義：南版數學二上(108學年),"文凡,林錦榮",2019-07-01,"
...more
",https://www.books.com.tw/products/0010838322?loc=P_0003_025
26,明霖國中筆記式講義：康版數學二上(108學年),"文凡,林錦榮",2019-07-01,"
...more
",https://www.books.com.tw/products/0010838328?loc=P_0003_026
27,明霖國中筆記式講義：南版數學三上(108學年),林錦榮,2019-07-01,"
...more
",https://www.books.com.tw/products/0010838331?loc=P_0003_027
28,明霖國中筆記式講義：翰版數學一上(108學年),李奇士,2019-07-01,"
...more
",https://www.books.com.tw/products/0010838337?loc=P_0003_028
29,明霖國中筆記式講義：翰版數學三上(108學年),林錦榮,2019-07-01,"
...more
",https://www.books.com.tw/products/0010838338?loc=P_0003_029
30,國中幾何證明大全(新版),簡廷豐,2019-07-01,"
全新改版!100個國中幾何重要命題，用嚴謹的證明、清楚的脈絡，將國中幾何的定理層層堆疊!   ◎ 收錄100個國中幾何重要命題，提供查閱、複習使用。   ◎ 將性質、定理編號，愈學愈艱難時不怕性質、定理找不到...more
",https://www.books.com.tw/products/0010825218?loc=P_0003_030
31,中小學自造與程式設計：使用Arduino 第一冊,洪國勝,2019-06-21,"
使用Arduino為工具，配合生活科技產品的LED、指撥開關、按壓開關等範例導入程式設計的的基本輸出入、運算子、運算式、決策、迴圈與陣列。更多的部分內容，請看泉勝網站www.goodbooks.com.tw...more
",https://www.books.com.tw/products/0010826089?loc=P_0003_031
