,書名,作者,出版日期,內容介紹,網址
1,室內裝修工程管理必學1：證照必勝法規篇,"郭珮汝,陳鎔",2020-10-22,"
一本讓初學者與想轉行當設計師的讀者們都能看懂、讀懂的法規書 室內裝修工程管理證照應試必備!  法規是所有框架的基礎，任何工法、規範、執行內容，都與法規息息相關，不懂法規的情況下，如果遇到違法問題...more
",https://www.books.com.tw/products/0010873203?loc=P_0003_001
2,丙級國貿業務學科題庫分類解析 最新版(第十一版) 附贈MOSME行動學習一點通,先優工作室,2020-09-22,"
1.依據勞動部最新公告學科試題編寫。   2.解析詳實，鉅細靡遺，重點清晰。   3.學科試題細分工作項目與自我評量，提升學習效果。   4.試題與解析作一明顯區別，強化學習效果。   5.附贈MOSME行動學習一點...more
",https://www.books.com.tw/products/0010872274?loc=P_0003_002
3,丙級食品檢驗分析學術科通關寶典含食品安全衛生及營養共同學科題庫 最新版(第七版) 附贈MOSME行動學習一點通,雲有工作室,2020-09-14,"
1.依勞動部最新公告學術科試題編寫。   2.詳細解析學科試題，舉一反三，強化學習效果。   3.術科每一步驟皆詳細解說，讓應檢人員能有效學習、事半功倍。   4.附贈OTAS題測網，可供線上測驗(Web版)及單機版...more
",https://www.books.com.tw/products/0010871395?loc=P_0003_003
4,作文心法-多元型式作文-專技人員.各類考試(保成)(二版),洪廷,2020-09-05,"
適用對象   國考各類科   使用功效   史上第一本結合國家考試與升學的作文萬用寶典，從16歲到60歲，就是要你的作文實力，從「心」提升。   改版差異   1.修正內容   2.新增主題十三 本書特色   全國第一本...more
",https://www.books.com.tw/products/0010869599?loc=P_0003_004
5,[速成版]職業安全衛生管理乙級技術士術科系統式整理 2020最新版本[技術士/專技高考],"吳孟偉,謝宜璋,顏廷峻",2020-08-30,"
◆讓你短時間考取證照   準備考職安衛乙級技術士，據統計考試結果，絕大部分考生往往乘興而去卻鎩羽而歸，究其原因不難發現，約有85%以上考生落榜，其考試失利原因主要是因為工作忙碌，無時間好好唸書；或...more
",https://www.books.com.tw/products/0010868746?loc=P_0003_005
6,保母人員單一級檢定學術科捷徑(7版),華都編輯部,2020-08-27,"
1.依據勞動部勞動力發展署技能檢定中心最新公布之「15400保母人員單一級技術士技能檢定學術科測試應檢參考資料」編輯而成。   2.技術步驟皆附彩照說明每個細部流程，並輔以「小提醒」、「錯誤示範」，讓您...more
",https://www.books.com.tw/products/0010869542?loc=P_0003_006
7,環保署甲乙級廢棄物處理雙證寶典 修訂版(第二版) 附贈MOSME行動學習一點通,"黃俊哲,黃素美",2020-08-26,"
1.涵蓋「甲、乙級廢棄物處理專業技術證照」考試之所有科目重點。   2.每章開頭皆有貼心的「小叮嚀」，提醒讀者應特別注意之處。   3.內容採用條列式、繪圖、表格比較、重點歸納之方式呈現，有助於閱讀及記...more
",https://www.books.com.tw/products/0010869520?loc=P_0003_007
8,〔依2020年最新法規編寫〕工業安全技師歷年經典題庫總彙(含工安管理、工安工程、人因工程、工衛概論、風險危害評估、工安衛生法規)〔專技高考〕,陳淨修,2020-08-15,"
◎各科試題，名師精析，一點就通   ◎一本搞定工業安全技師，不必靠補習也能拿高分   ◎題題詳解，輕鬆掌握得分之鑰    取得工業安全技師證照是許多人的夢想，然而在相關考試的準備方面，面對繁多的科目，往...more
",https://www.books.com.tw/products/0010867008?loc=P_0003_008
9,專技高考：工業安全技師歷屆考題彙編,"余佳迪,劉鈞傑,徐哲強,葉日宏,蕭中剛,鄭榮德,陳正容,黃奕舜",2020-07-23,"
對於職安衛領域從業人員來說，成為「工業安全技師」是從事相關工作人員一生夢想之一，也是最能發揮工作價值的表徵及專業能力的肯定，代表從事有關工業安全之規劃、設計、研究、分析、檢驗、鑑定、評估及計...more
",https://www.books.com.tw/products/0010864925?loc=P_0003_009
10,2020依最新考科與命題大綱編寫 職業衛生技師歷年經典題庫總彙(含職業安全衛生法規與職業安全概論、危害辨識與職業病概論、職業衛生與健康管理實務、作業環境控制工程、作業環境監測、暴露與風險評估)[專技高考],陳淨修,2020-05-30,"
本書特色   ◎完整收錄各類科試題，厚植應考實力!   ◎名師精解掌握訣竅，高分勢在必得!   ◎最新試題題題詳解，深入題旨，輕鬆掌握得分之鑰!   依法職業衛生技師可以從事甲級物理性、化學性作業環境監測，因...more
",https://www.books.com.tw/products/0010859357?loc=P_0003_010
11,職業安全衛生管理甲乙級技術士計算題攻略[技術士/專技高考][多張技師/技術士證照名師群聯手編寫],"何健聖,吳孟偉,蘇信呈",2020-05-30,"
◎擁有多張技師/技術士證照，陣容最強大的名師群聯手編寫   ◎精選145題重要題型強化解題觀念，不用死記也能拿高分    工作者，可預見的是國內愈來愈重視職業意識日益抬頭，職業安全衛生人員的市場需求越來...more
",https://www.books.com.tw/products/0010863937?loc=P_0003_011
12,驗光師國考系列：圖解數量視光學,楊文卿,2020-05-20,"
本書收集歷屆國考試題以及光學教科書習題中的計算題，用圖解方式詳細解答，並且將題目按照驗光師國考考科考綱分類成為二十章節，詳細如目錄所示。...more
",https://www.books.com.tw/products/0010861008?loc=P_0003_012
13,驗光師國考系列：眼疾病學,許承儒,2020-05-20,"
本書秉持First Choice 系列的慣例，依眼睛解剖構造細分章節講解，輔以比較表及疾病圖片闡釋重點，並接續相對應之考題及詳解加強印象，同時附上近五年的醫師國考試題以供考生複習及強化答題技巧。...more
",https://www.books.com.tw/products/0010861006?loc=P_0003_013
14,室內裝修材料施工作業實務：附「建築物無障礙設施設計規範」圖例精要(增修六版),林明成等,2020-05-18,"
以往國人對室內裝修，僅依業主口頭講述或憑工匠多年自恃之經驗，即從事相關工程，無較正確的施工步驟作為規範，造成施工品質認知上的差異，甚者危及建築物之安全，以致糾紛四起。為對於室內裝修從業人員應...more
",https://www.books.com.tw/products/0010859306?loc=P_0003_014
15,技師考試2020試題大補帖【環境工程技師】(102~108年試題),百官網公職師資群,2020-03-26,"
本書為【試題大補帖】系列叢書，專為【環境工程技師】考試之考生提供102~108年共七年試題解析，幫助您一次準備全面應戰、協助您熟悉題型順利上榜。   本書收錄科目包含：環境化學與環境微生物學、廢棄物工...more
",https://www.books.com.tw/products/0010854285?loc=P_0003_015
16,2020依109年最新法規編寫 就業服務乙級技能檢定學術科考照祕笈[技術士],珍妮,2020-03-15,"
◎收錄就業服務乙級職類參考題庫及各職類共用工作項目學科題庫 ◎小視窗解說法律條文，掌握法規so easy! ◎精編複選題庫，為您奪得致勝先機!   因應台灣勞動環境之改變，提升就業服務機構人員之倫理道德與水...more
",https://www.books.com.tw/products/0010852158?loc=P_0003_016
17,印染設計與創意,陳亮運,2020-01-22,"
不需要在專業教室，只要有簡便的印染工具，跟著書中詳細步驟引導，就能輕鬆的實踐自己的巧思創作，為布料美感大加分!   或許在你印象中，印染技法幾乎都得在專業的工廠或教室來進行，事實上，只要帶著你的...more
",https://www.books.com.tw/products/0010847685?loc=P_0003_017
18,2020全方位驗光人員應考祕笈：視覺光學【含歷屆試題QR Code(驗光師、驗光生)】(三版),林煒富,2020-01-15,"
本書依考選部命題大綱及歷屆考題編寫，精心彙整常考重點與重要概念，是一本全方位的驗光人員應考致勝祕笈，適合眼鏡配光從業人員及視光相關科系學生準備應考驗光人員考試。   作者教學與實務經驗豐富，編...more
",https://www.books.com.tw/products/0010846353?loc=P_0003_018
19,2020全方位驗光人員應考祕笈：眼球解剖生理學及眼睛疾病【含歷屆試題QR Code(驗光師、驗光生)】(三版),蘇俊峰,2020-01-10,"
本書依考選部命題大綱及歷屆考題編寫，精心彙整常考重點與重要概念，是一本全方位的驗光人員應考致勝祕笈，適合眼鏡配光從業人員及視光相關科系學生準備應考驗光人員考試。   作者教學與實務經驗豐富，編...more
",https://www.books.com.tw/products/0010848857?loc=P_0003_019
20,2020高分金榜必備題庫 風險危害評估：重點整理與經典題庫解析〔工安技師 公務高普考 國民營事業〕〔收錄歷年考題〕,劉永宏,2019-12-30,"
本書特色   ◎主題式考題彙整，輕鬆掌握高分關鍵   ◎豐富圖表解說，完整建立知識體系   ◎名師精心解析，強化實力更有效率   取得工業安全技師證照是許多人的夢想，然而在相關考試的準備方面，面對繁多的考...more
",https://www.books.com.tw/products/0010846164?loc=P_0003_020
21,2020年〔高分金榜必備秘笈〕工業衛生概論過關寶典〔專技高考/技術士〕,"劉永宏,郭展宏,陳毓軒",2019-12-27,"
◎重點式考題彙整，輕鬆掌握高分關鍵   取得工業安全技師證照是許多人的夢想，然而在相關考試的準備方面，面對繁多的考試內容，往往讓人不知該如何是好；作者有鑑於此，以自身考照經驗，精心彙整了歷屆與具...more
",https://www.books.com.tw/products/0010843996?loc=P_0003_021
22,109年工業安全技師套書,名師作者群,2019-12-26,"
●〔公務、專技高考金榜秘笈〕職業安全衛生法規過關寶典〔公務高考/專技高考/技術士〕   ◎經典申論題薈萃，脈絡條理分明!   國內就業市場競爭日趨激烈的今天，唯有通過國家考試及取得技能檢定證照，才是求...more
",https://www.books.com.tw/products/0010848644?loc=P_0003_022
23,好評四版 驗光生滿分題庫合輯〔驗光人員考試-驗光生特考、驗光生普考〕,"許瑋怡,陳詹之,黃榤,龍羽薇",2019-12-20,"
...more
",https://www.books.com.tw/products/0010842908?loc=P_0003_023
24,土地法規與稅法(增訂版),曾文龍,2019-11-01,"
本書包括土地法、平均地權條例、土地徵收條例、土地稅法、房屋稅條例、契稅條例…等綜合論析。內容系統完整、觀念清晰、簡單易懂，提高學習興趣，並收錄近三年的不動產經紀人及地政士國家考試之考題。編排...more
",https://www.books.com.tw/products/0010841384?loc=P_0003_024
