,書名,作者,出版日期,內容介紹,網址
1,2021導遊/領隊實務(一)速成考照精華【最精華重點+試題解析】,"樂達,菲揚",2020-10-20,"
★2021全新企劃發行，一書在手搞定導遊領隊雙證照!以「短期過關」為目標，將龐雜的導遊領隊(一)內容整理濃縮後，只給你「真正會考的重點+近年招考最新題解」；全書每一頁都對應實際考情，最適合短期考照使...more
",https://www.books.com.tw/products/0010834038?loc=P_0003_001
2,2021導遊/領隊實務(二)速成考照精華【最精華重點+試題解析】,"樂達,菲揚",2020-10-20,"
★2021全新企劃發行，一書在手搞定導遊領隊雙證照!以「短期過關」為目標，將龐雜的導遊領隊(二)內容整理濃縮後，只給你「真正會考的重點+近年招考最新題解」；全書每一頁都對應實際考情，最適合短期考照使...more
",https://www.books.com.tw/products/0010834040?loc=P_0003_002
3,2021導遊/領隊觀光資源概要：速成考照精華【最精華重點+試題解析】,"樂達,菲揚",2020-10-20,"
★2021全新企劃發行，一書在手搞定導遊領隊雙證照!以「短期過關」為目標，將龐雜的導遊領隊觀資內容整理濃縮後，只給你「真正會考的重點+近年招考最新題解」；全書每一頁都對應實際考情，最適合短期考照使...more
",https://www.books.com.tw/products/0010837411?loc=P_0003_003
4,2021導遊/領隊速成考照精華套書【最精華重點+試題解析】,"樂達,菲揚",2020-10-20,"
★2021全新企劃發行，一套在手搞定導遊領隊雙證照!以「短期過關」為目標，將龐雜的導/領內容整理濃縮後，只給你「真正會考的重點+近年招考最新題解」；全書每一頁都對應實際考情，最適合短期考照使用!★   ...more
",https://www.books.com.tw/products/0010837415?loc=P_0003_004
5,榜首推薦：絕對考上導遊+領隊【英語筆試+口試+語音有聲書】2021年最新試題、必考文法單字分析 (附獨家老師語音導讀：用聽的也能背單字、免費線上題庫測驗)(九版),陳安琪,2020-09-18,"
英語領隊導遊筆試+口試，一本就夠 【近三年考試字彙占70%，讀對範圍才是決勝關鍵!】 首創!聽老師說：快速背英語單字   ● 2021年第九版領隊、導遊考試英語用書，最新109年試題、必考1000個單字分析!   ● 本...more
",https://www.books.com.tw/products/0010870619?loc=P_0003_005
6,絕對考上導遊+領隊!郭育伶等15位榜首使用推薦：2021年【全套彩色圖+表+文+語音有聲書】最新10版-新法修訂+試題解析 (附獨家老師語音字幕導讀、50天讀書計畫表、免費線上題庫測驗)(十版),陳安琪,2020-09-18,"
♞ 2021年第十版領隊、導遊考試用書，最新109年試題解析、法規修正&時事!   ● 全國唯一「全書彩色圖表印刷」，考題解析+星級分類，奢華級閱讀享受，效率事半功倍   ● 本書讀者2012~2019年八年創下12位全國...more
",https://www.books.com.tw/products/0010870636?loc=P_0003_006
7,【2021年全新改版】導遊人員(十五版),張萍如,2020-09-15,"
【名師張萍如老師 2021年全新改版】法規最新最完整修訂版   ※每個單元老師會針對重要度標示”星號""讓您在閱讀前就先掌握考試重點。   ※文字表格化條列化，讓您更容易記憶。   ※歷屆經常出現考題的內容，會...more
",https://www.books.com.tw/products/0010870695?loc=P_0003_007
8,【2021年全新改版】領隊人員(十五版),張萍如,2020-09-15,"
【名師張萍如老師 2021年全新改版】法規最新最完整修訂】   ※每個單元老師會針對重要度標示”星號""讓您在閱讀前就先掌握考試重點。   ※文字表格化條列化，讓您更容易記憶。   ※歷屆經常出現考題的內容，會...more
",https://www.books.com.tw/products/0010870698?loc=P_0003_008
9,【2021年全新改版】領隊人員別冊(十三版),張萍如,2020-09-15,"
本書專為以購買導遊人員加考領隊人員而設計!   本書內含：   (一)領隊技巧：   包含領隊帶團的技巧、交通、膳宿、景點之安排，此章節也是很實際的試題，是容易準備與掌握的一章。   (二)民法債編旅遊專節...more
",https://www.books.com.tw/products/0010870700?loc=P_0003_009
10,【2021年全新改版】導遊人員別冊(十三版),張萍如,2020-09-15,"
本書專為以購買領隊人員加考導遊人員而設計!   本書內含：   (一)導覽解說：   人員解說是所有解說媒體中最直接、反應最快、效果最好的一種，也是考試最重要的考點。   (二)觀光心理與行為：   服務品質及...more
",https://www.books.com.tw/products/0010870702?loc=P_0003_010
11,【2021年全新改版】導遊人員+領隊人員別冊雙證照套書(十一版),張萍如,2020-09-15,"
【名師張萍如老師 2021年全新改版】   最新法規完整修訂!!   『主考導遊人員，加考領隊人員適用』   導遊領隊雙證照第一首選!提供您最快、最新也最省錢的專業教材   感謝各學校、協會、中心等採用!   ※每...more
",https://www.books.com.tw/products/0010870704?loc=P_0003_011
12,【2021年全新改版】領隊人員+導遊人員別冊雙證照套書(十一版),張萍如,2020-09-15,"
【名師張萍如老師 2021年全新改版】   全新法規完整修訂!!   『主考領隊人員，加考導遊人員適用』   導遊領隊雙證照第一首選!提供您最快、最新也最省錢的專業教材   感謝各學校、協會、中心等採用!   ※每...more
",https://www.books.com.tw/products/0010870707?loc=P_0003_012
13,領隊與導遊實務2021：重點整理、試題解析、考照攻略13/e,"徐世杰,蔡進祥,賴子敬,鄧秀玉",2020-09-01,"
.輔考經驗淬練‧內容幾經驗證   作者群具有20餘年領隊導遊實務工作與教學經驗，本書為其多年輔導學生考取領隊與導遊證照之必勝寶典，內容針對考照命題範圍與方向設計。    .整合考試內容‧掌握學習重點   全...more
",https://www.books.com.tw/products/0010870603?loc=P_0003_013
14,絕對上榜!導遊、領隊常考題型特訓[帶你取得證照] [導遊、領隊人員],,2020-08-30,"
★屬於你的導遊領隊考試首選用書    自102年領隊導遊考試舉辦以來，考選部於領隊導遊考試中，增加了配合工作需要的情境實例試題，並著重專業知能的理解分析及應用，加重了試題篇幅；加以近年來觀光法規變動...more
",https://www.books.com.tw/products/0010869976?loc=P_0003_014
15,"2021導遊+領隊人員題庫攻略套書(導遊/領隊適用)模擬試題+最新試題=1,950題(100%題題詳解)",三民補習班名師群,2020-08-21,"
★針對2021年導遊領隊考試全新改版，導遊+領隊三合一題庫攻略[實務一+實務二+觀光資源概要]，各收錄三回模擬試題+107年~109年各科歷屆試題。    ★總題數高達1,950題，100%題題解析!所有題目皆由三民輔考專...more
",https://www.books.com.tw/products/0010868511?loc=P_0003_015
16,2021年[考照撇步全蒐羅]外語導遊_課文版套書,名師作者群,2020-08-21,"
書名:〔2021圖表解說、導遊領隊考試輕鬆上手〕導遊領隊實務(一)[華語、外語導遊領隊人員]   比補習更有效率!   一書搞定導遊實務(一)/領隊實務(一)!   一、兩書併而為一，勢之所趨   由於「導遊人員」證照...more
",https://www.books.com.tw/products/0010869442?loc=P_0003_016
17,2021年〔自學攻略全輯〕外語領隊_課文版套書,名師作者群,2020-08-21,"
書名:〔2021圖表解說、導遊領隊考試輕鬆上手〕導遊領隊實務(一)[華語、外語導遊領隊人員]   比補習更有效率!   一書搞定導遊實務(一)/領隊實務(一)!   一、兩書併而為一，勢之所趨   由於「導遊人員」證照...more
",https://www.books.com.tw/products/0010869444?loc=P_0003_017
