,書名,作者,出版日期,內容介紹,網址
1,小學生語文能力大躍進,,2020-08-26,"
國語文能力是所有學科的學習基本    本書專為國小升國中的學童所編寫，分上、下學期，共35回學力評量，內容除了注音、國字、改錯之外，另加入成語、唐詩、造句、修辭、閱讀測驗等題型，培養孩子對語文的敏...more
",https://www.books.com.tw/products/0010869658?loc=P_0003_001
2,小學生作文修辭24招(第4版),國小作文教研會,2020-08-01,"
還依稀記得在唸小學時，最感到難為情的，就是老師的作文評語：「像流水帳一樣，不夠生動。」每當看到這一類的評語，總會感到灰心不已，很希望自己的文章更具有吸引力，卻又不知該如何下手。當時學習作文的...more
",https://www.books.com.tw/products/0010866335?loc=P_0003_002
3,天才小寫手(中年級1),鄒彤憶,2020-06-12,"
★ 獨創七大心法，專為國小中年級量身打造! ★ 從小鍛鍊紮實寫作能力，寫好作文就從國小開始!   ˙ 點題小叮嚀：觀念提示，激發靈感，分析題目意義   ˙ 寫作敲門磚：漸進引導，收集材料，充實文章內容   ˙ 素...more
",https://www.books.com.tw/products/0010860501?loc=P_0003_003
4,善用成語•出口成章④,國語科編寫研究小組,2020-04-01,"
◎全套共6冊，適合國小1-6年級學生閱讀學習。   ◎每冊規劃30篇教材，將成語自然融入故事內容，讓學生了解作文時如何運用成語。   ◎每篇教材後附成語填空，引導學生將所學成語融會貫通運用在句子中，即時驗...more
",https://www.books.com.tw/products/0010853861?loc=P_0003_004
5,善用成語‧出口成章②,國語科編寫研究小組,2020-04-01,"
◎全套共6冊，適合國小1-6年級學生閱讀學習。   ◎每冊規劃30篇教材，將成語自然融入故事內容，讓學生了解作文時如何運用成語。   ◎每篇教材後附成語填空，引導學生將所學成語融會貫通運用在句子中，即時驗...more
",https://www.books.com.tw/products/0010853862?loc=P_0003_005
6,善用成語•出口成章⑤,國語科編寫研究小組,2020-04-01,"
◎全套共6冊，適合國小1-6年級學生閱讀學習。   ◎每冊規劃30篇教材，將成語自然融入故事內容，讓學生了解作文時如何運用成語。   ◎每篇教材後附成語填空，引導學生將所學成語融會貫通運用在句子中，即時驗...more
",https://www.books.com.tw/products/0010853864?loc=P_0003_006
7,善用成語‧出口成章③,國語科編寫研究小組,2020-04-01,"
◎全套共6冊，適合國小1-6年級學生閱讀學習。   ◎每冊規劃30篇教材，將成語自然融入故事內容，讓學生了解作文時如何運用成語。   ◎每篇教材後附成語填空，引導學生將所學成語融會貫通運用在句子中，即時驗...more
",https://www.books.com.tw/products/0010853865?loc=P_0003_007
8,善用成語•出口成章⑥,國語科編寫研究小組,2020-04-01,"
◎全套共6冊，適合國小1-6年級學生閱讀學習。   ◎每冊規劃30篇教材，將成語自然融入故事內容，讓學生了解作文時如何運用成語。   ◎每篇教材後附成語填空，引導學生將所學成語融會貫通運用在句子中，即時驗...more
",https://www.books.com.tw/products/0010853866?loc=P_0003_008
9,善用成語‧出口成章①,國語科編寫研究小組,2020-04-01,"
◎全套共6冊，適合國小1-6年級學生閱讀學習。   ◎每冊規劃30篇教材，將成語自然融入故事內容，讓學生了解作文時如何運用成語。   ◎每篇教材後附成語填空，引導學生將所學成語融會貫通運用在句子中，即時驗...more
",https://www.books.com.tw/products/0010853857?loc=P_0003_009
10,國小作文與閱讀講義(1年級)第3版,資優國語文教研會,2020-01-20,"
本書是專為加強國小學童的作文與閱讀能力而設計的。內容包括作文指導與作文觀摩，並設計了看圖作文、作文遊戲等單元，以啟發學童對於寫作的興趣；同時選編了與單元主題相關的閱讀文章，並設計評量單元，以...more
",https://www.books.com.tw/products/0010847993?loc=P_0003_010
11,國小作文與閱讀講義(2年級)第3版,資優國語文教研會,2020-01-20,"
本書是專為加強國小學童的作文與閱讀能力而設計的。內容包括作文指導與作文觀摩，並設計了看圖作文、作文遊戲等單元，以啟發學童對於寫作的興趣；同時選編了與單元主題相關的閱讀文章，並設計評量單元，以...more
",https://www.books.com.tw/products/0010847994?loc=P_0003_011
12,國小作文與閱讀講義(4年級)第3版,資優國語文教研會,2020-01-20,"
本書是專為加強國小學童的作文與閱讀能力而設計的。內容包括作文指導與作文觀摩，並設置了作文小百科單元，以啟發學童對於寫作的興趣；同時每單元均選編與單元主題相關的文章，增加學童閱讀的廣度，文後的...more
",https://www.books.com.tw/products/0010847997?loc=P_0003_012
13,國小作文與閱讀講義(5年級)第3版,資優國語文教研會,2020-01-20,"
本書是專為加強國小學童的作文與閱讀能力而設計的。內容包括作文指導與作文觀摩，並設置了作文小百科單元，以啟發學童對於寫作的興趣；同時每單元均選編與單元主題相關的文章，增加學童閱讀的廣度，文後的...more
",https://www.books.com.tw/products/0010847998?loc=P_0003_013
14,國小作文與閱讀講義(6年級)第3版,資優國語文教研會,2020-01-20,"
本書是專為加強國小學童的作文與閱讀能力而設計的。內容包括作文指導與作文觀摩，並設置了作文小百科單元，以啟發學童對於寫作的興趣；同時每單元均選編與單元主題相關的文章，增加學童閱讀的廣度，文後的...more
",https://www.books.com.tw/products/0010848000?loc=P_0003_014
15,國小作文與閱讀講義(3年級)第3版,資優國語文教研會,2020-01-20,"
本書是專為加強國小學童的作文與閱讀能力而設計的。內容包括作文指導與作文觀摩，並設置了作文小百科單元，以啟發學童對於寫作的興趣；同時每單元均選編與單元主題相關的文章，增加學童閱讀的廣度，文後的...more
",https://www.books.com.tw/products/0010847996?loc=P_0003_015
16,天才小寫手(高年級1),鄒彤憶,2019-12-06,"
★ 國文女狀元學習法大公開，作文力大躍進! ★ 國小高年級作文水平提升，國小中年級作文能力養成! ★ 名師現身說法，啟發你的寫作實力!   以素養為導向，獨創六大心法，循序漸進引導孩子進行腦力激盪，鍛煉出...more
",https://www.books.com.tw/products/0010842067?loc=P_0003_016
17,天才小寫手(高年級2),鄒彤憶,2019-12-06,"
★ 國文女狀元學習法大公開，作文力大躍進! ★ 國小高年級作文水平提升，國小中年級作文能力養成! ★ 名師現身說法，啟發你的寫作實力!   以素養為導向，獨創六大心法，循序漸進引導孩子進行腦力激盪，鍛煉出...more
",https://www.books.com.tw/products/0010842070?loc=P_0003_017
18,天才小寫手(高年級3),鄒彤憶,2019-12-06,"
★ 國文女狀元學習法大公開，作文力大躍進! ★ 國小高年級作文水平提升，國小中年級作文能力養成! ★ 名師現身說法，啟發你的寫作實力!   以素養為導向，獨創六大心法，循序漸進引導孩子進行腦力激盪，鍛煉出...more
",https://www.books.com.tw/products/0010842072?loc=P_0003_018
19,天才小寫手(高年級4),鄒彤憶,2019-12-06,"
★ 國文女狀元學習法大公開，作文力大躍進! ★ 國小高年級作文水平提升，國小中年級作文能力養成! ★ 名師現身說法，啟發你的寫作實力!   以素養為導向，獨創六大心法，循序漸進引導孩子進行腦力激盪，鍛煉出...more
",https://www.books.com.tw/products/0010842075?loc=P_0003_019
20,天才小寫手(高年級套書4本),鄒彤憶,2019-12-06,"
★ 國文女狀元學習法大公開，作文力大躍進! ★ 國小高年級作文水平提升，國小中年級作文能力養成! ★ 名師現身說法，啟發你的寫作實力!   以素養為導向，獨創六大心法，循序漸進引導孩子進行腦力激盪，鍛煉出...more
",https://www.books.com.tw/products/0010842077?loc=P_0003_020
21,小學生寫日記學作文(第4版),國小作文教研會,2019-10-01,"
大家都知道：寫日記是練習作文最好的方法；問題是，小朋友寫日記並不如成人想像中那麼容易，因為日記是「隨意作文」；換句話說，就是「自由命題作文」。既然日記跟作文沒有什麼分別，所以指導小朋友寫日記...more
",https://www.books.com.tw/products/0010836316?loc=P_0003_021
22,閱讀素養全攻略(一年級),世一文化編輯群,2019-07-26,"
什麼是「閱讀素養」?理解力 + 探究力 = 素養 108新課綱即將上路，跨領域學習成為必須，您的孩子跟上素養腳步了嗎?   本書精選適合國小學童閱讀的20篇文章，設計多樣化的練習題型，讓小朋友對文   章內容有...more
",https://www.books.com.tw/products/0010830244?loc=P_0003_022
23,閱讀素養全攻略(三年級),世一文化編輯群,2019-07-26,"
什麼是「閱讀素養」?理解力 + 探究力 = 素養 108新課綱即將上路，跨領域學習成為必須，您的孩子跟上素養腳步了嗎?   本書精選適合國小學童閱讀的20篇文章，設計多樣化的練習題型，讓小朋友對文   章內容有...more
",https://www.books.com.tw/products/0010830257?loc=P_0003_023
24,閱讀素養全攻略(四年級),世一文化編輯群,2019-07-26,"
什麼是「閱讀素養」?理解力 + 探究力 = 素養 108新課綱即將上路，跨領域學習成為必須，您的孩子跟上素養腳步了嗎?   本書精選適合國小學童閱讀的20篇文章，設計多樣化的練習題型，讓小朋友對文   章內容有...more
",https://www.books.com.tw/products/0010830262?loc=P_0003_024
25,閱讀素養全攻略(五年級),世一文化編輯群,2019-07-26,"
什麼是「閱讀素養」?理解力 + 探究力 = 素養 108新課綱即將上路，跨領域學習成為必須，您的孩子跟上素養腳步了嗎?   本書精選適合國小學童閱讀的20篇文章，設計多樣化的練習題型，讓小朋友對文   章內容有...more
",https://www.books.com.tw/products/0010830267?loc=P_0003_025
26,閱讀素養全攻略(六年級),世一文化編輯群,2019-07-26,"
什麼是「閱讀素養」?理解力 + 探究力 = 素養 108新課綱即將上路，跨領域學習成為必須，您的孩子跟上素養腳步了嗎?   本書精選適合國小學童閱讀的20篇文章，設計多樣化的練習題型，讓小朋友對文   章內容有...more
",https://www.books.com.tw/products/0010830270?loc=P_0003_026
27,閱讀素養全攻略(二年級),世一文化編輯群,2019-07-26,"
什麼是「閱讀素養」?理解力 + 探究力 = 素養 108新課綱即將上路，跨領域學習成為必須，您的孩子跟上素養腳步了嗎?   本書精選適合國小學童閱讀的20篇文章，設計多樣化的練習題型，讓小朋友對文   章內容有...more
",https://www.books.com.tw/products/0010830253?loc=P_0003_027
28,小學生古文遊 4,周蜜蜜,2019-03-29,"
本書基於教育局規定的小學生古文閱讀五十篇的內容，共分為四冊。每冊每篇古文都包括有原文閱讀、文義解釋、難點辨析、背景知識、作者導讀和思考問題這幾個部分，並邀請著名作家周蜜蜜老師對每篇古文進行解...more
",https://www.books.com.tw/products/0010817905?loc=P_0003_028
29,閱讀素養大提升(國小1年級)第2版,陳建志,2019-03-11,"
閱讀素養是一種能力，可以理解、運用和思考書面的文字，從而實現自己的目的，發展自己的知識和潛能，以及參與社會的事務。   很多時候人們閱讀的目的是要完成一些工作。對學生而言，這種為了完成某種工作...more
",https://www.books.com.tw/products/0010816582?loc=P_0003_029
