,書名,作者,出版日期,內容介紹,網址
1,藍星沙的社會學(三版),藍星沙,2020-10-15,"
.社會學經典名著：提供社會學必讀經典名著摘要精萃，不用把厚重原典讀完也能引經據典、掌握社會學術語，增加答題深度。    .台灣社會現況與國際情勢：探討國內外時事、社會議題等國際趨勢，應付當前靈活的...more
",https://www.books.com.tw/products/0010874201?loc=P_0003_001
2,就是這本刑法總則體系+解題書(六版),"周易,法夫子",2020-10-15,"
為什麼要買這本?作者告訴你    【體系層次分明】   詳細介紹犯罪審查體系，搭配大量圖表說明，幫讀者完整打底。    【見解介紹完整】   大量收錄近年重要的實務和新近學說見解，考試資訊不漏接。    【作...more
",https://www.books.com.tw/products/0010874190?loc=P_0003_002
3,就是這本刑法分則體系+解題書(六版),周易,2020-10-15,"
為什麼要買這本?作者告訴你    【體系層次分明】   以保護法益為核心，詳細分析各罪構成要件，幫讀者完整打底。    【見解介紹完整】   大量收錄近年來重要的實務和新近學說見解，考試資訊不漏接。    【...more
",https://www.books.com.tw/products/0010874195?loc=P_0003_003
4,就是這本社會學體系+解題書(2版),莎莉,2020-10-01,"
為什麼要買這本?作者告訴你   這本《社會學體系+解題書》，是針對所有三、四等考試量身打造的體系+解題書，筆者打破以往傳統編排方法，為考生量身訂做的一本書。除了以歷年考題為核心整理考試重點，搭配相...more
",https://www.books.com.tw/products/0010872056?loc=P_0003_004
5,這是一本證券交易法解題書,希言,2020-10-01,"
為什麼要買這本?作者告訴你   一、本書收錄至少上百題的考題，從基礎的申論題一路到近期的研究所與律師、司法官國家考試綜合實例題型，囊括了證券交易法所有重要爭點相關考題。   二、本書的另外一個特色...more
",https://www.books.com.tw/products/0010872055?loc=P_0003_005
6,政治學(二十組申論經典題型)(高普考、三四等特考、研究所、各類相關考試考試適用),劉沛,2020-09-30,"
◆試題-精確分類：   特別將「相似題目」依主題相互集合在一起，每一主題中的題目，又依難易度，「由簡而難」的進行題號的前後排列，閱讀時可精確掌握題型的微小差異與變化規律。   ◆解題-邏輯一致：   數...more
",https://www.books.com.tw/products/0010873764?loc=P_0003_006
7,行政法總論(含概要)(高普考‧三、四等特考‧研究所‧升等考‧司法‧鐵路考試適用),程怡,2020-09-28,"
本書特色   ◆將考題內容融入課文並標示，使讀者快速連 結並掌握考試重點及課文運用!   ◆運用法學小百科講解艱澀選擇題等，追求「 細緻」!   ◆加入專題研究加強實務見解(尤其是最新大 法官解釋794號、法院...more
",https://www.books.com.tw/products/0010872286?loc=P_0003_007
8,教育行政學(高考、研究所、各類相關考試考試適用),劉邵,2020-09-26,"
◆內容架構化   條理分明、架構明確，幫助考生完整理解教育行政學。   ◆循序漸進、按部就班   全書十七章深入淺出，對教育行政學進行完整敘述，是本絕佳的學習工具書。   ◆實戰演練   每章節後列出相關歷屆...more
",https://www.books.com.tw/products/0010873033?loc=P_0003_008
9,票據法解題書,林律師,2020-09-21,"
本書主要蒐羅近20年司法官、法研所、高考法制、民間公證人、調查局票據法之重要實例題型，內容分為四大部分，分別是緒論、總論、本票各論、支票各論，編排上係以較實質意義之票據法體系排列，使讀者從基本...more
",https://www.books.com.tw/products/0010746146?loc=P_0003_009
10,就是這本智慧財產法體系+解題書(2版),"張律師,韋憲",2020-09-21,"
為什麼要買這本?作者告訴你   本書建構專利法、著作權法及商標法體系之初衷，以法條架構為綱要，並充實學說理論及實務見解，並且輔以經典試題的解析，希望此書能不只對讀者準備考試有些許的幫助。也能建立...more
",https://www.books.com.tw/products/0010872060?loc=P_0003_010
11,行政學-全彩心智圖表3.0-高普考.地方特考.各類特考(保成)(四版),王濬,2020-09-20,"
適用對象   1.欲熟讀行政學體系的各類科考生   2.法律在校生、各類國考生、實務工作者皆適用   使用功效   有效建立體系的認識，幫助讀者學習   改版差異   1.心智圖改版升級：1大張(精簡版)、1小冊本(詳...more
",https://www.books.com.tw/products/0010871015?loc=P_0003_011
12,這是一本刑事訴訟法解題書(進階篇)(3版),凱風,2020-09-10,"
為什麼要買這本?作者告訴你   明明是已經讀過的章節，在考試時卻寫不出來或沒有想到，這是最讓人無力的事，也是每個法律系學生多少會碰到的問題。這是因為在研讀的過程中，我們不可能一次掌握住每個章節的...more
",https://www.books.com.tw/products/0010870743?loc=P_0003_012
13,這是一本商事法解題書(2版),"果核,果殼",2020-09-10,"
為什麼要買這本?作者告訴你   果殼負責公司法、證券交易法篇章之主要撰寫，果核負責保險法篇章之主要撰寫，然後互相就各題有爭議之處、撰寫架構上討論，點出另一種思維，並呈現給讀者更寬廣的思考。法律的...more
",https://www.books.com.tw/products/0010870744?loc=P_0003_013
14,民事訴訟法(下)(喬)(17版),喬律師,2020-09-10,"
本書秉持作者一貫的初衷，以建構民事訴訟法體系為本，並以學說理論、實務見解為枝葉，輔以作者個人意見及考試準備心得，希望貫徹一本書主義，兼顧理論實力及答題技巧。自十週年慶後新裝上市，歡迎舊雨新知...more
",https://www.books.com.tw/products/0010870747?loc=P_0003_014
15,榜首的4堂民法解題課：律師.司法官.高考.研究所(保成),宋定翔,2020-09-08,"
適用對象   要報考律師、司法官、研究所、高考的考生   使用功效   精選民法重要篇章，重點式打擊問題點，以體系帶出對民法架構的理解，融會貫通更迅速 本書特色   精選案例，講解民法15個重要主題   民法...more
",https://www.books.com.tw/products/0010871085?loc=P_0003_015
16,刑法總則(圖說),陳奕廷,2020-09-01,"
本書特色   本書是以「刑法總則」為主的體系書，重點放在刑法體系的建構，說明較為詳細、完整並力求理解，如果距離考試僅剩兩、三個月，這絕對不是你的首選，請另外參考作者的《考點式刑法一本通》，本書...more
",https://www.books.com.tw/products/0010745558?loc=P_0003_016
17,家事事件法一本通,陳明珠,2020-08-31,"
本書特色   本書之特點及使用方式分述於下：   一、獨家建立「五大切入核心體系」   以考試的投資報酬率計算，加上作者向來投機的「考試取向念書法」，獨家建立「五大切入核心體系」。   二、隨時對比原「...more
",https://www.books.com.tw/products/0010745715?loc=P_0003_017
18,公共政策獨門暗器(高考、三等特考、研究所、高考二級考試適用),程明,2020-08-31,"
本書特色   ★分類答題解析技巧   解析完整，從題目落點主題、考試偏好與趨勢、解題注意事項等，完整呈現，讓讀者一目了然!   ★三段論證申論結構   完整的申論題論述內容，讓讀者輕鬆閱讀。   ★解釋名詞獨...more
",https://www.books.com.tw/products/0010868609?loc=P_0003_018
19,行政學葵花寶典：必考申論題高分心法、考情趨勢與完整解析(高考二、三級‧三等特考‧研究所考試適用),程明,2020-08-31,"
本書特色   ◆「獨家申論高分心法」心法祕笈值得典藏!   ◆解析最完整，各種考題分析清楚，讓讀者一目了然、胸有成竹!   ◆獨立介紹解釋名詞、蒐集行政學學者重要觀點名言，考生於作答時視題目加以應用，保證...more
",https://www.books.com.tw/products/0010868618?loc=P_0003_019
20,教育專業綜合科目(教甄、教檢(資格考)、研究所考試適用),羅正,2020-08-28,"
本書特色   ◆綜融作者多年補教實務經驗，以深入淺出地吸收透徹的邏輯及次序設計章節，讀者可在主體有意識地領導下，循序漸進提昇基礎實力。   ◆由作者精心完整彙集當前教育學界「主觀學院觀點」，讀者不用...more
",https://www.books.com.tw/products/0010869524?loc=P_0003_020
21,原來如此!保險法體系爭點,張一合,2020-08-27,"
本書特色   本書以2020修正後的新保險法為主軸中心，將最新保險法體系架構以例題方式帶您了解保險法各個爭點所在，同時彙整最近實務見解、各家學者文章，奠定保險法基礎概念。   每單元的例題皆繪製「法律...more
",https://www.books.com.tw/products/0010869260?loc=P_0003_021
22,互動式‧行政法(高普考‧三、四等特考‧研究所‧升等考‧司法‧鐵路‧一般警察人員考試適用),呂晟,2020-08-27,"
◆互動式學習，有如名師在側   精心編輯白話式碎碎念視窗，及「行政法知識家」，輕鬆掌握重要觀念。   ◆精心嚴選試題，準確掌握趨勢   收錄近年熱門行政法國考試題，讓你精確掌握命題核心。   ◆白話說重點...more
",https://www.books.com.tw/products/0010869528?loc=P_0003_022
23,身分法一本通,許恒輔,2020-08-26,"
本書之緣起，乃是為幫助考生在短時間以最精簡、最有效率之方式迅速複習國考重點所出版，故書籍之主軸完全以「重點精華」之方式呈現，僅擷取各章精華部分加以論述，以期能幫助考生在最短時間內掌握親屬繼承...more
",https://www.books.com.tw/products/0010745722?loc=P_0003_023
24,法研所歷屆試題解析(商事法)(109~107年),高點法商研究中心,2020-08-25,"
本套書共分為四冊，每本係以投考組別為分類，本書為商事法，內容除可為法研準備用，更可從法研趨勢臆測未來國考命題焦點。   每年依最新學說論著、新修法規、舊題新解   本書內容廣納109~107年各校法律相...more
",https://www.books.com.tw/products/0010307907?loc=P_0003_024
25,法研所歷屆試題解析(刑法、刑事訴訟法)(109~107年),高點法商研究中心,2020-08-25,"
本套書共分為四冊，每本係以投考組別為分類，本書為刑法、刑事訴訟法，內容除可為法研準備用外，更可從法研趨勢臆測未來國考命題焦點。   依最新學說論著、新修法規舊題新解   本書內容廣納109~107年各校...more
",https://www.books.com.tw/products/0010307926?loc=P_0003_025
26,法研所歷屆試題解析(憲法、行政法)(109~107年),高點法商研究中心,2020-08-25,"
本套書共分為四冊，每本係以投考組別為分類，本書為憲法、行政法等，內容除可為法研準備用，更可從法研趨勢臆測未來國考命題焦點。   每年依最新學說論著、新修法規、舊題新解   本書內容廣納109~107年各...more
",https://www.books.com.tw/products/0010307906?loc=P_0003_026
27,法研所歷屆試題解析(民法、民事訴訟法)(109~107年),高點法商研究中心,2020-08-25,"
本套書共分為四冊，每本係以投考組別為分類，本書為民法、民事訴訟法等，內容除可為法研準備用，更可從法研趨勢臆測未來國考命題焦點。   每年依最新學說論著、新修法規、舊題新解   本書內容廣納109~107...more
",https://www.books.com.tw/products/0010307925?loc=P_0003_027
28,知識圖解：經典行政法(高普考、三四等特考、研究所、升等考、各類特考考試適用),陞鑌,2020-08-21,"
※基礎概念 ‧ 深入淺出：   打好基礎，循序漸進學習，適合欲參加考試的所有行政法初學者。   ※進階考點 ‧ 效率複習：   重要考點專題學習，幫助你掌握重點，效率複習。   ※申論選擇 ‧ 見招拆招：   「基本...more
",https://www.books.com.tw/products/0010868617?loc=P_0003_028
29,最新實務見解彙編,蔡佩蓉,2020-08-20,"
針對司律改制，考題方向偏向個案事實之綜合題型，著重對問題之分析、思考、論理與解決能力，臚列實務見解及學說之批判，並斟酌利益衡量而擬具個人意見。在開放式問題，須從題幹事實解析爭點意識，並擬定答...more
",https://www.books.com.tw/products/0010868576?loc=P_0003_029
30,幼兒教育(含幼兒教育理念與實務、課程教學與評量)( 教師資格考、教甄、教保員、研究所考試適用),"張瑛,張茂英",2020-08-20,"
◎內文中穿插「知識加油站」來幫助理解重要觀念，清晰掌握重點。   ◎內文後附有豐富的歷屆試題，用大量的練習來檢視自身弱點，並加強複習。   ◎收錄詳盡的相關法規，準確掌握考情趨勢。...more
",https://www.books.com.tw/products/0010868608?loc=P_0003_030
31,教育行政(高考、各類特考、研究所考試適用),"徐昌男,蕭世蒼",2020-08-18,"
總覺得教育行政學科深如大海，讓您摸不著頭緒嗎?那您絕對不能錯過，本書必為準備教育行政學科考試的首選! 本書特色   一、筆者以豐富的學識及教學經驗，教您準備考試、奪得高分的小撇步!   二、簡明表格扼...more
",https://www.books.com.tw/products/0010868611?loc=P_0003_031
32,政治學讀本：20組經典主題(高普考、三四等特考、研究所考試適用),劉沛,2020-08-18,"
本書特色   .架構完善：全書各篇章皆簡化為「基礎本文」、「進階專題」到「考題演練」三個部分。幫助考生從基礎實力養成、進階實力提升到實戰演練，循序漸進而有效率的完成學習。   .資料最新：精華收錄近...more
",https://www.books.com.tw/products/0010868599?loc=P_0003_032
33,撲馬老師開講-刑法總則-破-國考各類科皆適用(保成)(七版),撲馬,2020-08-14,"
適用對象   1.欲報考國考各類科之考生   2.欲對刑法加以研究之考生   使用功效   1.以「重要條文說明」及「平易詼諧的例題」，引導讀者熟悉刑法分則的各大罪章。   2.並提供活用之破題技巧，一步步深入答...more
",https://www.books.com.tw/products/0010867800?loc=P_0003_033
34,撲馬老師開講：刑法總則、刑法分則套書(保成)(共2本),撲馬,2020-08-13,"
撲馬老師開講刑法套書   實力扎根x考點釐清x解題挑戰 三種訴求一次搞定    ★僅此一套!別為分號   ★撲馬老師唯一指定 徐浩天老師修訂    1B1P2-撲馬老師開講.刑法總則、刑法分則-套書(共2本)-套書明細    1...more
",https://www.books.com.tw/products/0010867799?loc=P_0003_034
35,財產法爭點地圖(3版),賴川,2020-08-13,"
讓你快速了解本科重點的導覽。   讓你填充資料的筆記藍本。   讓你快速複習的考前總整理。   讓你背下關鍵句帶進考場的急救要訣。...more
",https://www.books.com.tw/products/0010867788?loc=P_0003_035
36,民事訴訟法(上)(喬)(17版),喬律師,2020-08-13,"
本書秉持作者一貫的初衷，以建構民事訴訟法體系為本，並以學說理論、實務見解為枝葉，輔以作者個人意見及考試準備心得，希望貫徹一本書主義，兼顧理論實力及答題技巧。自十週年慶後新裝上市，歡迎舊雨新知...more
",https://www.books.com.tw/products/0010867782?loc=P_0003_036
37,撲馬老師開講：刑法分則 Q 國考各類科皆適用(保成)(六版),撲馬,2020-08-13,"
適用對象   1.對於非法律系本科學生，第一次準備刑法的人，可以透過這個課程學到刑法的基本概念，解題技巧，讓你入門的更順利。   2.對於法律系大三大四學生，有志於司律的同學，可以透過本課程學習到新的...more
",https://www.books.com.tw/products/0010867793?loc=P_0003_037
38,考點式票據法一本通,賴宏宗,2020-08-10,"
本書是考前衝刺之總複習用書，讀者於閱讀本書之前，多半已有相當之程度，或是無充分之準備考試時間，故本書以應引述之實務見解、多數說及應知之獨門見解為主，並搭配重要例題，帶領讀者於有限之時間內，有...more
",https://www.books.com.tw/products/0010757077?loc=P_0003_038
39,破解民事訴訟法爭點解讀,甯律師,2020-08-10,"
民事訴訟法的學習不易，除了涉及大量爭點，和實務、學說見解之爭論，讓讀者難以上手之外，不易理解之抽象概念亦是一大障礙。作者希望藉由本書以較白話的方式讓考生能夠理解民事訴訟法之概念，並且透過圖文...more
",https://www.books.com.tw/products/0010745709?loc=P_0003_039
40,身分法一本通,陳明珠(侯律師),2020-08-10,"
本書特色   擺脫傳統教科書的體例，以「命題機率最高的實例題型解題步驟」，為同學架構出審題及作答時，應如何兼具「效率性」及「完整性」的思考架構!透過作者精闢、獨到的分析，讓你在最短時間內輕鬆掌握...more
",https://www.books.com.tw/products/0010737694?loc=P_0003_040
41,行政法(高普考‧三、四等特考‧研究所‧升等考‧地方‧司法‧鐵路‧警察考試適用),陳治宇,2020-07-31,"
行政法 全新必考重點 ‧ 學者獨門暗器破解    最新時事案例、學術見解、法規、判解函釋   行政訴訟法增訂「都市計畫審查程序」109.7.1上路   ◎名師見解 ‧ 論列學說爭議   精心比較各典試委員之最新著作，為...more
",https://www.books.com.tw/products/0010866699?loc=P_0003_041
42,行政學析論(高考(一、二、三級)‧普考‧三四等特考‧升等考‧國軍轉任‧研究所考試適用),程明,2020-07-30,"
本書特色   ★典試課本重點絕無遺漏   ★全國獨創名家名言佳句   ★重要解釋名詞完整編排   ★重點提示外加考題範例   ★獨家收錄研究所試題   ★就是行政學含申論選擇...more
",https://www.books.com.tw/products/0010866700?loc=P_0003_042
43,知識圖解：政治學新論(高普.地方特考.三、四等特考.升等考.研究所考試適用),郭雋,2020-07-30,"
讓政治學變簡單   政治議題 + 實際案例   依政治學知識完整體系編排，內容架構清晰、層次分明、簡明易懂   ◆章節以知識圖解化「速讀表解」呈現，文表合一，快速理解，非常適合初學者及自修者閱讀。   ◆特...more
",https://www.books.com.tw/products/0010867344?loc=P_0003_043
44,憲法解題書,歐律師,2020-07-30,"
本書特色   本書主要是著重在考試寫作的示範與教學，以及重要(常考)爭點的分析，在定位上雖然不是憲法的打底書，但在編排上仍非常重視整體架構，希冀同學們在讀完本書後對於憲法體系以及考題走向都能完全...more
",https://www.books.com.tw/products/0010795294?loc=P_0003_044
45,民事訴訟法(含家事法)解題書,李淑明,2020-07-30,"
本書特色   本書收錄109年新出爐的研究所考題及最新的國考試題，同時，因應新的國考趨勢，即便是研究所考題，作者亦擴充內容與考點、增加配分，以符合國考的考法，如此更能達到練習之效。   本書內容架構...more
",https://www.books.com.tw/products/0010866650?loc=P_0003_045
46,私藏題庫：公共政策主題式申論題庫精準解題(高考‧二三等特考‧研究所‧地方‧退除役‧身心障礙‧一般警察‧原住民特考考試適用),張本原,2020-07-28,"
考試就要練等級，   學好練滿、高分破關!   ★主題式架構~聚焦重要考點   主題式整編私藏歷屆重要試題，並用最完整、最符合時勢的申論題範例，引領同學精準解題。   ★解題透析~要領一點通   透析每一考題，...more
",https://www.books.com.tw/products/0010866703?loc=P_0003_046
47,教育統計(高普考、三四等特考、研究所、插大轉學考 考試適用),吳迪,2020-07-24,"
內容詳實，去蕪存菁，題題皆為考試重點。   網羅各類考科重要試題，深入淺出，加強磨練，提升實力。   將抽象的數學概念化為人人易懂的數學符號，學習事半功倍。   ◆重要觀念   深入淺出、循序漸進，破除...more
",https://www.books.com.tw/products/0010866039?loc=P_0003_047
48,新公司法爭點解讀,"崴律師,翔律師",2020-07-23,"
本書特色   本書以2018修正後的新公司法最新發展為論述主軸，以全新的爭點雷達架構圖，彙整了最新的經濟部、學者見解，囊括了近年國考、法研所考題，確實做到了體系、爭點、解題三合一。   本書特別收錄近...more
",https://www.books.com.tw/products/0010865815?loc=P_0003_048
49,勞動社會法爭點解讀,"李毅,辰翊",2020-07-21,"
勞社法是律師二試之選考科目，許多有興趣的考生在大學時未必能有機會修習，而市面上少有內容夠新又符合律師考試範圍且篇幅適中者，故本書撰寫目的便是以不增加考生過多負擔之有限篇幅(特別是國考準備趨勢...more
",https://www.books.com.tw/products/0010745702?loc=P_0003_049
50,海商法與海洋法題型破解(3版),"晴天,麥曲",2020-07-16,"
本書特色   《題型破解》完整收錄重要題型，以體系化的編排方式呈現，以擬真的版面、字數作答，輔以關鍵字句提醒，陪您一起破解難題，找到打開國考大門的鑰匙。   海商法：   「方法比努力更重要」，筆者...more
",https://www.books.com.tw/products/0010865170?loc=P_0003_050
51,就是這本行政學體系+解題書,許多,2020-07-16,"
為什麼要買這本?作者告訴你   最體貼讀者的國考行政學讀本!   沒有百科全書式的剪貼大雜燴，只有滿滿的考點精粹!   本書的每點內容考古題都有考過，絕不浪費寶貴時間與大腦記憶體!   上榜不能靠僥倖，經典...more
",https://www.books.com.tw/products/0010865173?loc=P_0003_051
52,周易的刑法文章解密,周易,2020-07-16,"
為什麼要買這本書?   透過「文章群」彙整相類似爭點，重要考情不漏接!   「筆者的碎碎念」提供不同的詮釋角度，全面提升答題戰力!   「近期修法與實務分析」掌握近期修法資訊，考試別擔心!...more
",https://www.books.com.tw/products/0010865174?loc=P_0003_052
