,書名,作者,出版日期,內容介紹,網址
1,研究所2021試題大補帖【熱力學與流體力學】(107~109年試題),林禾,2020-10-23,"
本書收錄國內各重點大學研究所107~109年【熱力學與流體力學】共三年試題。   本書收錄學校：臺灣大學、交通大學、清華大學、成功大學、中央大學、中正大學 本書特色   1.補班名師解題，不用三顧茅廬立即獲...more
",https://www.books.com.tw/products/0010874768?loc=P_0003_001
2,研究所2021試題大補帖【自動控制】(107~109年試題),詹森,2020-10-22,"
本書收錄國內各重點大學研究所107~109年【自動控制】共三年試題。   本書收錄學校：臺灣大學、台灣聯合大學系統、成功大學、清華大學、中正大學、中央大學、中興大學、臺北科技大學 本書特色   1.補班名師...more
",https://www.books.com.tw/products/0010874763?loc=P_0003_002
3,研究所2021試題大補帖【工程力學】(107~109年試題),張皓,2020-10-12,"
本書收錄國內各重點大學研究所107~109年【工程力學】共三年試題。   本書收錄學校：臺灣大學、交通大學、清華大學、成功大學、中央大學、中正大學、中山大學、中興大學、臺北科技大學 本書特色   1.補班名...more
",https://www.books.com.tw/products/0010873636?loc=P_0003_003
4,研究所2021試題大補帖【計算機概論】(107~109年試題),張逸,2020-10-12,"
本書收錄國內各重點大學研究所107~109年【計算機概論】共三年試題。   本書收錄學校：臺灣大學、政治大學、中央大學、中正大學、成功大學、中山大學、臺北大學、中興大學 本書特色   1.補班名師解題，不用...more
",https://www.books.com.tw/products/0010873637?loc=P_0003_004
5,研究所2021試題大補帖【工程數學(4)化工所】(105~109年試題),周易,2020-09-22,"
本書收錄國內各重點大學研究所【化工所】105~109年【工程數學】共五年試題。   本書收錄學校：臺灣大學、臺灣科技大學、成功大學、中正大學、中興大學 本書特色   1.補班名師解題，不用三顧茅廬立即獲得大...more
",https://www.books.com.tw/products/0010872423?loc=P_0003_005
6,有機化學分章試題解析(上),梁傑,2020-09-18,"
「凡事豫則立，不豫則廢」，作者認為想要在有機化學這門科目上拿高分，就必須要有充足的準備；其實只要擁有一份詳盡解易於理解和記憶的備考資料，再加上不斷重複地練習，同學最終就能夠在化學浩瀚的宇宙中...more
",https://www.books.com.tw/products/0010696820?loc=P_0003_006
7,研究所2021試題大補帖【工程數學(2)機械所】(107~109年試題),周易,2020-09-16,"
本書收錄國內各重點大學【機械所】107~109年【工程數學】共三年試題。    本書收錄學校：臺灣大學、清華大學、交通大學、成功大學、中山大學、中央大學、中正大學、中興大學、臺灣科技大學、臺北科技大學 ...more
",https://www.books.com.tw/products/0010871662?loc=P_0003_007
8,研究所2021試題大補帖【工程數學(1)電研所】(107~109年試題),周易,2020-09-16,"
本書收錄國內各重點大學【電研所】107~109年【工程數學】共三年試題。    本書收錄學校：臺灣大學、交通大學、台灣聯合大學系統、成功大學、中央大學、中正大學、中山大學、中興大學  本書特色    1.補班...more
",https://www.books.com.tw/products/0010871661?loc=P_0003_008
9,研究所2021試題大補帖【線性代數】(107~109年試題),大碩研究所師資群,2020-09-16,"
本書收錄國內各重點大學研究所107~109年【線性代數】共三年試題。    本書收錄學校：臺灣大學、交通大學、清華大學、成功大學、中央大學、中正大學、政治大學、中山大學、臺北大學、臺灣科技大學、臺北科...more
",https://www.books.com.tw/products/0010871655?loc=P_0003_009
10,研究所2021試題大補帖【離散數學】(107~109年試題),大碩研究所師資群,2020-09-16,"
本書收錄國內各重點大學研究所107~109年【離散數學】共三年試題。    本書收錄學校：臺灣大學、清華大學、交通大學、台灣聯合大學系統、成功大學、中央大學、中正大學、政治大學、中山大學、臺北大學、臺...more
",https://www.books.com.tw/products/0010871658?loc=P_0003_010
11,研究所2021試題大補帖【工程數學(3)土木所、環工所】(107~109年試題),周易,2020-09-10,"
本書收錄國內各重點大學【土木所、環工所】107~109年【工程數學】共三年試題。   本書收錄學校：臺灣大學、交通大學、成功大學、中山大學、中央大學、中興大學、臺灣科技大學、臺北科技大學 本書特色   1....more
",https://www.books.com.tw/products/0010870899?loc=P_0003_011
12,研究所2021試題大補帖【化工熱力學與反應工程學】(105~109年試題),林隆,2020-09-10,"
本書收錄國內各重點大學研究所105~109年【化工熱力學與反應工程學】共五年試題。    本書收錄學校：臺灣大學、清華大學、成功大學、中央大學、中正大學、臺灣科技大學、臺北科技大學、中興大學  本書特色 ...more
",https://www.books.com.tw/products/0010870905?loc=P_0003_012
13,研究所2021試題大補帖【電路學】(105~109年試題),張鼎,2020-08-25,"
本書收錄國內各重點大學研究所105~109年【電路學】共五年試題，讓您不用花錢上課即可享有補班名師解題，不用上網搜尋即可擁有最新研究所試題，不用尋求大師即可獲得精準考題分析。不費吹灰之力，輕鬆準備...more
",https://www.books.com.tw/products/0010869460?loc=P_0003_013
14,研究所講重點【離散數學(下)含歷屆經典試題解析】,林緯,2020-08-01,"
離散數學是資訊領域中非常重要的應用數學，也是公認最難準備的一科。其涵蓋範圍相當廣泛，大體而言可區分成四大部分：「基礎數學」、「組合數學計數方法」、「圖形理論與其應用」、「抽象代數與其應用」。...more
",https://www.books.com.tw/products/0010866937?loc=P_0003_014
15,觀念式物理化學,李世哲,2020-07-08,"
本書是作者將多年來授課教材精編整理而成，針對深奧、抽象、繁雜的理論及公式，加以化繁為簡，強調觀念的釐清與建立，使讀者對於物理化學能易學易懂。   本次改版，主要根據近年來各校最具代表性的考題與...more
",https://www.books.com.tw/products/0010442723?loc=P_0003_015
16,研究所講重點【分子生物學(上)】(4版),高宇,2020-07-03,"
作者將「分子生物學」共分為上、下冊廿章節介紹，第一章介紹分子生物學的歷史沿革，對於一些在分子生物相關領域有傑出貢獻之學者的偉大事蹟做一概要式的說明。第二章則針對細胞做一介紹，由於有許多非生物...more
",https://www.books.com.tw/products/0010867830?loc=P_0003_016
