,書名,作者,出版日期,內容介紹,網址
1,照顧服務員單一級檢定學術科大全,"楊士央,洪論評,王采芷,蕭玉霜",2020-09-10,"
◆最完整顧服務員單一級檢定「基本照顧服務技術」。   ◆每道試題的步驟流程圖精美清晰、圖解詳細能夠一目了然，讀者依操作步驟說明，快速領略製作技巧，進而收到事半功倍之效，輕鬆取得單一級證照。   ◆本...more
",https://www.books.com.tw/products/0010873019?loc=P_0003_001
2,印前製程乙級檢定術科應檢寶典|2020版,技能檢定研究室,2020-08-20,"
設計區塊是訓練學生從設計助理到設計師的途徑，印刷區塊則是訓練學生熟悉軟體的操作，正確接收設計人員的指令，完美地將畫面呈現，並且合理的進行印刷前置作業的數位設定工作與合理的落版方式，這些動作牽...more
",https://www.books.com.tw/products/0010867288?loc=P_0003_002
3,【結訓電腦測驗適用】營造作業主管經典題庫解密,湯士弘,2020-08-07,"
★出版要點包括(1).全書對應近期職安衛法令修訂、(2).參酌近期最新考題之命題趨勢、並因應新年度可能出現之新題型變化，增加設計大量全新擬真試題供讀者先行演練。★   本書寫作出版之緣起係因應勞動部「職...more
",https://www.books.com.tw/products/0010866794?loc=P_0003_003
4,技能檢定共用項：職業安全衛生、工作倫理與職業道德、環境保護、節能減碳學科參考資料 最新版(第五版) 附MOSME行動學習一點通,TKD技能檢定中心,2020-07-22,"
1.依勞動部最新公告學科共用項參考資料編輯。   2.「職業安全衛生」關乎勞工的生命安全、環境公安的保障以及工作的順利有效達成，為工作安全的最佳屏障。   3.「工作倫理與職業道德」展現各職類級別的精神...more
",https://www.books.com.tw/products/0010865846?loc=P_0003_004
5,最新機車考照完全手冊(25K),,2020-05-26,"
本書特別企劃收錄中華民國道路交通號誌、標線及機車考照等，最新各式交通規則題庫及最新120題的情境式考題，並附上專利商品紅色遮色膠片，只要覆蓋在解答上，就能輕鬆自我檢測，讓考取駕照變得更方便! 本...more
",https://www.books.com.tw/products/0010860057?loc=P_0003_005
6,最新汽車考照完全手冊,世一文化編輯群,2020-05-26,"
本書含報考汽車駕駛執照須知、中華民國道路交通號誌、標誌、標線、標字及最新出題率最高之汽車考照的是非題、選擇題題庫、道德駕駛、安全駕駛等，並附上最新交通管理處罰條例、最新駕駛人路考評分標準、道...more
",https://www.books.com.tw/products/0010860086?loc=P_0003_006
7,職業駕駛考照完全手冊 最新版：計程車、大型車、聯結車考照必備,,2020-05-26,"
本書專為計程車、大型車、聯結車考照使用，內容包含報考職業駕駛之簡易流程、報考須知、中華民國道路交通號誌、標誌、標線、標字、各車路考評分標準，最新考照題庫(含機械常識)、道德駕駛、安全駕駛等，並...more
",https://www.books.com.tw/products/0010860087?loc=P_0003_007
8,最新機車考照完全手冊(25K),,2020-05-26,"
本書特別企劃收錄中華民國道路交通號誌、標線及機車考照等，最新各式交通規則題庫及最新120題的情境式考題，並附上專利商品紅色遮色膠片，只要覆蓋在解答上，就能輕鬆自我檢測，讓考取駕照變得更方便! 本...more
",https://www.books.com.tw/products/0010860054?loc=P_0003_008
9,最新汽車考照完全手冊,,2020-05-26,"
本書含報考汽車駕駛執照須知、中華民國道路交通號誌、標誌、標線、標字及最新出題率最高之汽車考照的是非題、選擇題題庫、道德駕駛、安全駕駛等，並附上最新交通管理處罰條例、最新駕駛人路考評分標準、道...more
",https://www.books.com.tw/products/0010860085?loc=P_0003_009
10,最新機車考照完全手冊(32K),,2020-05-26,"
本書特別企劃收錄中華民國道路交通號誌、標線及機車考照等，最新各式交通規則題庫及最新120題的情境式考題，並附上專利商品紅色遮色膠片，只要覆蓋在解答上，就能輕鬆自我檢測，讓考取駕照變得更方便! 本...more
",https://www.books.com.tw/products/0010860051?loc=P_0003_010
