,書名,作者,出版日期,內容介紹,網址
1,國貿業務丙級技能檢定學術科考照秘笈[NEW!! 依據Incoterms 20201編寫!](6版),吳怡萱,2020-09-15,"
「一本寫給長期備戰或短期衝刺考生的考照必備秘笈!」   ◎依主題系統化彙整重要考題，考試趨勢一書通包!   國貿業務丙級技能檢定學科測驗題雖然全部取自勞動部最新修正的800題題庫，但面對如此多的題目往往...more
",https://www.books.com.tw/products/0010869190?loc=P_0003_001
2,丙級國貿業務術科通關寶典含術科作答本與解析本(收錄2020年第一、二梯次試題) 最新版(第十一版),謝沄芸,2020-09-04,"
1.依據勞動部最新公告術科試題編寫。   2.針對檢定範圍做重點整理、範例解析，並搭配立即練習，可收立竿見影之效。   3.模擬試題乃針對各種題型的考題來編寫，讓考生能充分掌握題目之變化。   4.測驗試題...more
",https://www.books.com.tw/products/0010870547?loc=P_0003_002
3,六週拿到就業服務乙級：學術科心智圖整理+精選考題詳解(全國第一本，就業服務技術士心智圖專門書籍!),"張珮芸,曾華煜",2020-09-04,"
◆全國第一本針對就業服務技術士考生編寫的「心智圖」專門書籍! ◆大數據分析歷屆考古題，只放會考的重點!    跟著有輔導經驗的專業老師複習，備考不要再走冤枉路!    張珮芸老師與曾華煜老師曾輔導、協助多...more
",https://www.books.com.tw/products/0010870475?loc=P_0003_003
4,會計事務丙級學科超強解析(十六版),"卓如意,陳品茹,高麗萍",2020-09-01,"
● 依據勞動部2020年公告最新學科題庫編寫   ● 單頁解析，讀者易於閱讀，輕鬆學習   ● 加強作答能力，以期厚植學習實力   ● 附錄2020年8月1日起適用之共同科目學科題庫...more
",https://www.books.com.tw/products/0010872773?loc=P_0003_004
5,會計事務丙級技術士技能檢定術科(人工記帳)筆試實作(解答本)(四十三版),卓如意,2020-09-01,"
此書為會計事務丙級技術士技能檢定術科(人工記帳)筆試實作(四十三版)之解答本。...more
",https://www.books.com.tw/products/0010872775?loc=P_0003_005
6,會計事務丙級技術士技能檢定術科(人工記帳)筆試實作(四十三版),卓如意,2020-09-01,"
.本書係依據勞動部2020 年公告之最新檢定規範所編成，書內各回測驗涵蓋丙級檢定之範圍。   .掌握命題趨勢，編排由淺入深，滿足學習上的個別差異之需。   .重點整理，例題示範，增強熟悉度及掌握作題技巧。...more
",https://www.books.com.tw/products/0010872776?loc=P_0003_006
7,主題式會計事務(人工記帳、資訊)丙級 技能檢定術科滿分題庫〔2020會計術科金榜分類題庫〕〔會計丙級技術士〕(2版),林惠貞,2020-08-30,"
Get it now!!   買了本書，會計丙級術科一點都不難>>>   ■符合最新檢定規範及IFRS規定   ■重點整理搭配實戰演練，建立會計事務扎實基礎   ■不必靠補習，攻略丙級術科考試只要50天   本書專為會計丙級技能...more
",https://www.books.com.tw/products/0010867717?loc=P_0003_007
8,門市服務：乙級檢定創意Q&A(十版),羅應浮,2020-08-27,"
全新十版因應門市服務乙級證照最新檢定科目，以專章提供讀者各職類共同規範的最新內容，並延續本書固有特色，強調以讀者為導向的編輯(RGE)，含括三大重點架構，並提供門市術科模擬口試服務、門市之操作型...more
",https://www.books.com.tw/products/0010869993?loc=P_0003_008
9,丙級電腦軟體應用學科含資訊類與技能檢定共同項(職業安全衛生、工作倫理與職業道德、環境保護、節能減碳)題庫工作項目解析 最新版(第十四版) 附贈MOSME行動學習一點通,佳彥資訊,2020-08-22,"
1.依勞動部最新公告學科試題編寫。   2.解析詳實，鉅細靡遺，重點清晰。   3.學科試題細分工作項目與自我評量，提升學習效果。   4.試題與解析作一明顯區別，強化學習效果。   5.附贈「MOSME 行動學習一點...more
",https://www.books.com.tw/products/0010868552?loc=P_0003_009
10,電腦軟體應用丙級檢定學科試題解析|109年啟用(第二版),林文恭研究室,2020-07-16,"
◆本書依據勞動部勞動力發展署技能檢定中心最新公告，電腦軟體應用丙級學科試題撰寫，針對學科題目解析說明，輔助考生記憶。   ◆109.07.01報檢啟用，題目包含單選題767題。   ◆109.08.01啟用，90006職業安...more
",https://www.books.com.tw/products/0010864080?loc=P_0003_010
11,就業服務乙級技術士技能檢定完全指導手冊(第九版)(附學術科歷屆試題),張秋蘭 ,2020-07-01,"
隨著就業服務蓬勃發展與服務內容多元化，我國第一張也是唯一的一張國家級人力資源管理證照-〔就業服務乙級技術士技能檢定〕報考人數年年成長，截至2019年11月為止，通過檢定者僅7,071人，足見此專業證照取...more
",https://www.books.com.tw/products/0010869577?loc=P_0003_011
12,就業服務乙級技術士 [考照秘笈]+[題庫寶典]完全攻略組合包,"珍妮,黃皇凱",2020-06-29,"
「江湖本無路，有了腿，便有了路。」   零基礎的人應該如何靠自己考上證照?首先需要一本秘笈。   研讀考科要訣、遍覽答題心法是必須的，   只是光靠記憶、背誦仍然是不夠的!即便倒背如流，也未必能打遍天...more
",https://www.books.com.tw/products/0010863442?loc=P_0003_012
13,丙級門市服務學術科通關寶典：使用微創POS系統最新版(第二版)(附贈MOSME行動學習一點通),郭小喬,2020-03-16,"
1.依據勞動部最新公告學科、術科試題編寫。   2.學科試題細分工作項目與自我診斷，提升學習效果。   3.試題與解析作一明顯區別，每題均附有詳細解析，強化學習效果。   4.術科筆試均有詳盡的解析內容，文...more
",https://www.books.com.tw/products/0010853432?loc=P_0003_013
14,對應最新401營業稅申報考點 會計事務人工記帳丙級術科贏家攻略(增修訂四版),"林崇漢,林彙桓",2020-02-03,"
★2020全新第四版修訂重點：針對最新命題趨勢「營業稅申報」，於稅務會計一章加強收錄詳盡之「401營業稅申報書例題與填列說明」。助考生掌握最新考情! ★   本書係為參加會計事務(人工記帳)丙級技術士技能檢...more
",https://www.books.com.tw/products/0010848713?loc=P_0003_014
15,快學習!重點題解一本搞定：就業服務乙級 通關講座(學術科重點精華+全試題詳解)(增修訂四版),"王朝明,許朝茂",2020-01-31,"
★遵循廣大考生建議、以「節省考生準備時間」為宗旨重新架構!採最精華重點與最新試題解析「三合一」設計→讓讀者準備就服「一本就搞定」。   1. 第一部分重點精華專注「應考導向」→幫考生整理出「真正會考的...more
",https://www.books.com.tw/products/0010848283?loc=P_0003_015
16,2020年TIMS行銷專業能力認證：初階「行銷企劃證照」題型題庫,台灣行銷科學學會,2020-01-01,"
※初階「行銷企劃證照」測驗之詳細報名方式與應試說明書等，請至本會官網查詢。   網址：www.tims.org.tw...more
",https://www.books.com.tw/products/0010848936?loc=P_0003_016
17,門市服務丙級技能檢定學術科(微創POS系統)109年版,"楊潔芝,楊麗文",2019-11-18,"
附書DVD*1   本書內容包含學科、術科第一站筆試、第二站櫃檯作業(微創POS系統)及第三站清潔作業(地板+玻璃)   學科：完整收錄學科題目，難題解析掌握題目不出錯   術科：「看題目、按清單/刷條碼、帶話術...more
",https://www.books.com.tw/products/0010840158?loc=P_0003_017
18,門市服務丙級技能檢定 學科&筆試 109年版,"楊潔芝,楊麗文",2019-11-18,"
本書內容包含學科、術科第一站筆試   學科篇   *最新109年啟用之學科試題622題，部分試題輔以解析說明，針對學科輕鬆準備並建立正確觀念。   *含109啟用之90006職業安全衛生/90007工作倫理與職業道德/9000...more
",https://www.books.com.tw/products/0010840160?loc=P_0003_018
19,丙級門市服務學術科講義：筆試及清潔作業(附門市服務理論、教學影片光碟)(2020最新版),林宜 ,2019-10-01,"
本書係依據勞發署公告「門市服務技術士技能檢定規範」及技能檢定中心104年9月24日最新修訂「技術士技能檢定門市服務職類丙級術科測試應檢參考資料」編撰而成。   筆者經多年了解應檢人員參與檢定結果，將...more
",https://www.books.com.tw/products/0010839976?loc=P_0003_019
20,國貿業務丙級檢定學術科教戰守策(含活動夾冊)(修訂十三版),張瑋,2019-09-20,"
本書依據勞動部最新公告〈技術士技能檢定國貿業務職類丙級學術科測試應檢參考資料〉編撰。對讀者而言，是全方位的考試用書；對教師而言，更是絕佳的教學輔助用書。 書籍特色   一、學科：學科80題皆出自政...more
",https://www.books.com.tw/products/0010834646?loc=P_0003_020
21,會計事務丙級學科超強解析(十五版),"卓如意,陳品茹,高麗萍",2019-09-01,"
. 依據勞動部最新公告學科試題編寫   . 單頁解析，讀者易於閱讀，輕鬆學習   . 加強作答能力，以期厚植學習實力...more
",https://www.books.com.tw/products/0010837406?loc=P_0003_021
22,門市服務：乙級檢定創意Q&A(9版),羅應浮,2019-08-01,"
全新九版因應門市服務乙級證照最新檢定科目，以專章提供讀者各職類共同規範「職業安全衛生、工作倫理與職業道德、環境保護、節能減碳」的最新內容，並延續本書固有特色，強調以讀者為導向的編輯(RGE)，含...more
",https://www.books.com.tw/products/0010832559?loc=P_0003_022
23,2019年國貿業務乙級過關秘笈 國貿業務乙級技能檢定學術科得分寶典(國貿乙級/技術士),吳怡萱,2019-07-12,"
◎收錄近800題學科分類題庫，突破學習無盲點!   國貿業務乙級技能檢定學科測驗題雖然全部取自勞動部修正的800題題庫，但面對如此多的題目往往只能囫圇吞棗，死記題目與答案，臨場考試時，卻常常會因為題目...more
",https://www.books.com.tw/products/0010827032?loc=P_0003_023
24,會計事務丙級技術士技能檢定(人工記帳)術科筆試實作(解答本)(四十二版),卓如意,2019-06-01,"
此書為會計事務丙級技術士技能檢定術科(人工記帳)筆試實作(四十二版)之解答本。...more
",https://www.books.com.tw/products/0010826124?loc=P_0003_024
25,國貿業務丙級檢定學術科試題解析(修訂六版),康蕙芬,2019-05-31,"
本書係依據勞動部公告之「國貿業務丙級技術士技能檢定」學科題庫與術科範例題目撰寫，其主要特色如下：   一、學科部分：本書將學科題庫800題選擇題，依據貿易流程的先後順序作有系統的分類整理，共十一章...more
",https://www.books.com.tw/products/0010823556?loc=P_0003_025
26,30天通過就業服務技術士：就業服務、勞工社保與職涯輔導要點,,2019-05-10,"
作者為了協助考生在30天迅速掌握就業服務技術士考試要點，依據實際參與準備考試經驗，系統化編製考試要點與考情須知並隨附模擬考題，方便朋友們輕鬆通過就業服務技術士考試。 本書特色   1.30天迅速充電：...more
",https://www.books.com.tw/products/0010822125?loc=P_0003_026
27,2019符合檢定規範及IFRS規定 會計事務(人工記帳、資訊)乙級技能檢定學科分類題庫[會計技術士],李秋燕,2019-04-05,"
本書專為會計乙級技能檢定學科考試所編寫，其特色如下：   1. 內容符合檢定規範與金管會認可之IFRS為編修依據。   2. 各單元均有不同難易程度練習題和解析。   3. 重點內容提示曾出現考題之年度。   4. 加...more
",https://www.books.com.tw/products/0010818631?loc=P_0003_027
28,BAP Using Microsoft Office 2016商務專業應用能力國際認證Essentials Level Office大師通關寶典(Documents文書處理、Spreadsheets電子試算表、Presentations商業簡報)：附贈BAP學評系統含教學影片(最新版),JYiC認證研究團隊,2019-03-25,"
1.本書為BAP商務專業應用能力國際認證核心能力等級(Essentials Level) 考前複習之測驗題組，內容包含2016版的Documents文書處理、Spreadsheets電子試算表、Presentations商業簡報三項專業認證......more
",https://www.books.com.tw/products/0010818471?loc=P_0003_028
29,乙級會計事務(人工記帳)術科必勝秘笈含解析本最新版(第三版),吳秀蓮,2018-10-15,"
1.有效輔導學生參與乙級會計事務技能檢定使用。將學習內容重點條列整理，學習架構及脈絡清楚易懂。並附有「試題範例」，配合課程內容供學生練習。   2.各章提供「補充精要」及「IFRS搶鮮報」，列出稅法、...more
",https://www.books.com.tw/products/0010803864?loc=P_0003_029
30,丙級門市服務學術科講義：筆試及清潔作業(2019最新版)(附門市服務理論、教學影片光碟),林宜 ,2018-09-27,"
本書係依據勞發署公告「門市服務技術士技能檢定規範」及技能檢定中心102年12月6日最新修訂「技術士技能檢定門市服務職類丙級術科測試應檢參考資料」編撰而成。   筆者經多年了解應檢人員參與檢定結果，將...more
",https://www.books.com.tw/products/0010803964?loc=P_0003_030
