,書名,作者,出版日期,內容介紹,網址
1,丙級女子美髮學科題庫工作項目解析 最新版(第九版) 附MOSME行動學習一點通,"徐淑貞,陳惠芳",2020-09-25,"
1.依勞動部最新公告學科試題編寫。   2.解析詳實，鉅細靡遺，重點清晰。   3.學科試題細分工作項目與自我診斷，提升學習效果。   4.試題與解析作一明顯區別，強化學習效果。   5.附贈MOSME行動學習一點通...more
",https://www.books.com.tw/products/0010872281?loc=P_0003_001
2,單一級照顧服務員技能檢定學術科完全攻略(2020最新版)(附學科測驗卷),"吳孟凌,呂美花,曾雪玲,謝築樂",2020-09-21,"
本書依據勞動部勞動力發展署技能檢定中心公告「照顧服務員單一級技術士技能檢定學術科測試參考資料」編寫而成。本書共分應考須知、術科操作與提示、學科題庫與題解三大篇，並系統性的編寫每個環節，以紮實...more
",https://www.books.com.tw/products/0010872887?loc=P_0003_002
3,乙級美容技能檢定學術科完全指南(附術科測試參考資料)(2021最新版),"何麗玉,莊美妃",2020-09-14,"
專為乙級美容技能檢定之用，根據實際考試流程編寫，適合高中職、大專及準備參加乙級美容考試之社會人士使用。   圖文並茂，依實際試場流程編寫，清晰易懂，讓您輕鬆理解上手! 本書特色   本書依照勞動部最...more
",https://www.books.com.tw/products/0010872885?loc=P_0003_003
4,美容乙級技術士技能檢定學術科突破(附示範操作QR Code&示範DVD),"劉宛菱,廖秀瑩,施珮緹,黃嫈琪",2020-09-02,"
▲本書乃根據「勞動部勞動力發展署技能檢定中心」最新公布之「技術士技能檢定美容職類乙級術科測試應檢參考資」編輯而成。    ▲本書分為七大部分   一、術科測試應試說明   二、化粧的基本概念   三、化粧...more
",https://www.books.com.tw/products/0010855814?loc=P_0003_004
5,丙級女子美髮技能檢定學術科試題精解(2020第三版),呂美煥 ,2020-06-16,"
專為美髮丙級技能檢定之用，適合高職美髮科或準備參加丙級美髮考試之社會人士使用。   本書集結作者數十年教學與監評經驗，搭配精美圖片呈現術科操作重點，使讀者迅速掌握應考重點。  本書特色    1.內容...more
",https://www.books.com.tw/products/0010866461?loc=P_0003_005
6,丙級美容技能檢定學術科完全指南(附術科測試參考資料)(2021最新版),"何麗玉,楊惠雯,莊美妃",2020-06-16,"
一、本書係遵照行政院勞動部勞動力發展署技能檢定中心109年度「美容」職類丙級技術士技能檢定學術科測試標準編輯而成。   二、本書也適合想從事美容業取得丙級技術士證照之社會精英參考。 本書特色   1.文...more
",https://www.books.com.tw/products/0010863342?loc=P_0003_006
7,保母人員單一級技術士技能檢定學術科突破(附示範操作QR Code &DVD光碟影片),編輯小組,2020-04-06,"
一、依據技能檢定中心最新公布之「15400保母人員單一級技術士技能檢定學術科測試應檢參考資料」編輯而成。   二、技術步驟皆有彩色照片說明每個細部流程，並附有「小叮嚀」、「自我評量」、「特別提醒」、...more
",https://www.books.com.tw/products/0010831549?loc=P_0003_007
8,照顧服務員單一級技術士檢定學術科必勝秘笈(二版),優護平台(股)公司(優照護)編輯小組,2020-04-01,"
優照護編輯群    這本教材不但按照公告標準來編寫，也能在術科應考過程，提醒應考人一些常常犯錯的地方，亦提供各種小秘訣，讓檢定的動作能更準確，以提升照服員的考照率。    .書第壹部份術科考題共分七...more
",https://www.books.com.tw/products/0010855810?loc=P_0003_008
9,照顧服務員技術士技能檢定學術科~通關寶典(六版),照服研究小組,2020-04-01,"
※依勞動部勞動力發展署最新公布增修編撰，並加入 109年2月6日修訂為新型冠狀病患肺炎(武漢肺炎)防疫期間於109 年元月 1 日後報檢至防疫解除前之適用版本 ─【術科測試修訂資料請參閱P(附0~附2)】。    ※超...more
",https://www.books.com.tw/products/0010855807?loc=P_0003_009
10,照顧服務員單一級檢定學術科應試指南(2版),林王美園,2020-01-15,"
‧依據勞動部勞動力發展署下設置技能檢定中心最新公布之「17800照顧服務員單一級技術士技能檢定測試應檢參考資料」編輯而成。    ‧術科各步驟附圖解、重大扣分項目明確提醒、口述言語範例、注意事項等。文...more
",https://www.books.com.tw/products/0010847560?loc=P_0003_010
