,書名,作者,出版日期,內容介紹,網址
1,乙級建築物室內裝修工程管理研讀攻略(1)：法規摘要彙編(4版),晨興,2020-10-05,"
★ 2020新更新法規 ★ ☆ 建築技術規則 ☆ 用戶用電設備裝置規則 ☆ 職業安全衛生設施規則   1. 完整、扎實、易懂有口皆碑，連續數年考題命中率80%以上。   2. 全書重新增刪，聚焦歷年常考法規、工法，重新精實...more
",https://www.books.com.tw/products/0010871597?loc=P_0003_001
2,丙級視覺傳達設計學術科通關寶典 最新版(第七版) 附贈MOSME行動學習一點通,"程正豪,陳美燕",2020-08-03,"
1.依據勞動部最新公告學術科試題編寫。   2.學科解析詳實，重點清晰。   3.學科解析以功能型顏色標示，與試題明顯區別，強化學習效果節省時間加速閱讀與複習，提升學習效果。   4.術科以四段式基本製圖解...more
",https://www.books.com.tw/products/0010867119?loc=P_0003_002
3,乙級工程測量技能檢定學術科題庫解析(2020最新版),鄭亦洋 ,2020-07-17,"
本書學科係依據勞動部勞動力發展署技能檢定中心公告技術士技能檢定測量職類規範乙級工程測量應具知能所編定。   將公告之學科試題加以解析，將重點進行敘述，期讓讀者循序漸進學習、融會貫通。   術科部分...more
",https://www.books.com.tw/products/0010866462?loc=P_0003_003
4,丙級建築製圖應用 電繪圖項學術科通關寶典含教學影片 最新版(第四版) 附贈MOSME行動學習一點通,"張淑芬,翁美秋",2020-07-09,"
1.學科試題期許能給讀者完整的說明；對於題目的說明力求正確，考據力求詳實，給予讀者完整的題目相關認知。   2.術科透過本書可瞭解CNS線條、字法相關規範、建築製圖符號及繪製要領。   3.此書可作為建築...more
",https://www.books.com.tw/products/0010864338?loc=P_0003_004
5,室內裝修工程實務(乙級學術科2020最新版),徐炳欽 ,2020-07-01,"
本書主要提供建築物室內裝修工程管理乙級技術士參考用書，與室內裝修相關工程，如泥作、木作、輕鋼架、水電、金屬、塗裝、玻璃、窗簾與壁紙等，讓技術工法與工程管理可快速連貫理解。早期台灣裝修相關技術...more
",https://www.books.com.tw/products/0010866472?loc=P_0003_005
6,乙級建築物室內設計及室內裝修工程管理 學科公告題庫 逐題解析彙編(最新版),晨興,2020-05-29,"
★ 完全根據勞動部勞動力發展屬技能檢定中心最新公告，12500建築物室內設計學科題庫，12600建築物室內裝修工程管理學科題庫，共同科目題庫詳加解析編輯而成。   ★ 每題都有解析不必再死背答案，完全理解後...more
",https://www.books.com.tw/products/0010858974?loc=P_0003_006
7,乙級「建築物室內設計證照」術科考題及參考解答(108年),晨興,2020-02-21,"
◆ 因應108年室內設計證照考題大幅變動，最佳參考書圖。   ◆ 最完整『建築物室內設計證照』考題及參考解答。   ◆ 以A2大開紙張，1比1印刷，所有比例與考試相同，提供應試者最精準確實之參考資料。   ◆ 每年...more
",https://www.books.com.tw/products/0010849521?loc=P_0003_007
8,丙級室內配線(屋內線路裝修)學科題庫分類解析 最新版(第十一版) 附贈MOSME行動學習一點通,鄧登木,2020-02-04,"
1.依據勞動部最新公告學科試題編寫。   2.解析詳實，鉅細靡遺，重點清晰。   3.試題細分工作項目、自我診斷與自我評量，提升學習效果。   4.學科試題以功能型顏色標示，節省時間加速閱讀與複習。   5.試題...more
",https://www.books.com.tw/products/0010849316?loc=P_0003_008
9,乙級建築物室內裝修工程管理研讀攻略(3),晨興,2019-10-25,"
1. 完整、扎實、易懂有口皆碑。連續數年考題命中率80%以上。   2. 全書重新增刪，聚焦歷年常考法規、工法，重新精實改編再版。   3. 總計15大法規，16大工法，照片詳圖300餘幅，表格150餘幅，全部重新整理...more
",https://www.books.com.tw/products/0010837915?loc=P_0003_009
10,乙級建築物室內裝修工程管理研讀攻略(2),晨興,2019-10-25,"
1. 完整、扎實、易懂有口皆碑。連續數年考題命中率80%以上。   2. 全書重新增刪，聚焦歷年常考法規、工法，重新精實改編再版。   3. 總計15大法規，16大工法，照片詳圖300餘幅，表格150餘幅，全部重新整理...more
",https://www.books.com.tw/products/0010837913?loc=P_0003_010
11,丙級建築製圖應用：手繪項學術科通關寶典最新版(第四版)(附贈MOSME行動學習一點通),"張淑芬,楊舜銘,盧昭伶",2019-10-09,"
1.依據勞動部最新公告試題編寫，學科試題解析詳實，鉅細靡遺，重點清晰，強化學習效果。   2.針對術科檢定各題解題操作要訣及重點以文字配合圖面詳細說明，並將各題要點以操作流程方式整合，清楚易懂。   ...more
",https://www.books.com.tw/products/0010837681?loc=P_0003_011
12,丙級測量學術科通關寶典：附贈MOSME行動學習一點通 2019年最新版(第十一版),張淑芬,2019-09-17,"
1.依據勞動部最新公告學術科試題編寫。   2.學科試題細分工作項目與自我評量，提升學習效果。   3.術科：分類學習效能佳、解題精簡條理化、試題分析表格化。   4.附贈MOSME行動學習一點通，可重複測驗實用...more
",https://www.books.com.tw/products/0010835315?loc=P_0003_012
13,破解金工：乙、丙級技術士檢定考題應考全書，全台唯一收錄金工所有試題及考古題的完整解答大公開,吳祝銀,2019-08-22,"
全台唯一收錄金工所有試題及考古題的完整解答大公開!  本書特色： ※超過300張以上圖文對照步驟化解構 ※考試時臨場應變的小訣竅 ※試題及考古題收集完整   「乙、丙級金工技術士檢定」是當前唯 一官設的珠寶...more
",https://www.books.com.tw/products/0010831015?loc=P_0003_013
14,乙級工程測量技能檢定學術科題庫解析(2019最新版),鄭育祥 ,2019-08-22,"
本書學科係依據勞動部勞動力發展署技能檢定中心公告技術士技能檢定測量職類規範乙級工程測量應具知能所編定。   將公告之學科試題加以解析，將重點進行敘述，期讓讀者循序漸進學習、融會貫通。   術科部分...more
",https://www.books.com.tw/products/0010836977?loc=P_0003_014
15,丙級印前製程 圖文組版項學術科通關寶典使用 Photoshop /InDesign / Illustrator(第十版)：最新版- 含線上多媒體影音教學與範例素材 - 附贈MOSME行動學習一點通,倪慧君,2019-07-12,"
1.依據勞動部最新公告學術科試題編寫。   2.學科解析詳實，鉅細靡遺，重點清晰。   3.術科每一試題皆以step by step方式逐步建構，簡單易學。   4.術科有多媒體教學光碟，可邊看邊學。   5.試題範例蒐錄完...more
",https://www.books.com.tw/products/0010828459?loc=P_0003_015
16,家具木工丙級檢定必勝寶典,"何佳晉,林木發",2019-05-18,"
國內第一本家具木工丙級證照攻略!  近年來木作蔚為流行，許多從業者及非從業者也紛紛投入木工的學習，甚至選擇木工延伸可能的職涯方向，從整個裝潢市場的發展來看，木工人才也確實是未來的趨勢。 目前坊間...more
",https://www.books.com.tw/products/0010821661?loc=P_0003_016
17,室內裝修工程實務(乙級學術科2019最新版),徐炳欽,2019-03-19,"
本書主要提供建築物室內裝修工程管理乙級技術士參考用書，與室內裝修相關工程，如泥作、木作、輕鋼架、水電、金屬、塗裝、玻璃、窗簾與壁紙等，讓技術工法與工程管理可快速連貫理解。早期台灣裝修相關技術...more
",https://www.books.com.tw/products/0010818710?loc=P_0003_017
18,丙級視覺傳達設計技能檢定學術科題庫整理與分析(附學術科測驗卷、範例光碟)(2019第二版),黃鴻錡,2019-03-19,"
1.本書依勞委會職訓局最新公告的學術科試題編撰而成，學科內容涵括色彩學、商業攝影、印刷概要、廣告媒體、圖學、設計基礎等相關領域，並附詳解，熟練題型外還能增長知識!   2.術科的字體與圖形繪製皆有清...more
",https://www.books.com.tw/products/0010827616?loc=P_0003_018
19,智取建築物室內裝修工程管理乙級技術士術科破解攻略(附99-106年術科考古題精析)(立學系列)(五版),李秉穎,2019-02-13,"
百餘種變幻莫測考古題，五大答題絕技全面拆解!   市面室內裝修技術士的題庫類書籍何其繁多，一般考生通常在法規與施工作業等浩瀚無垠的學海裡失去方向，甚至迷信『有背就有分』『背越多越好』的準備方向，...more
",https://www.books.com.tw/products/0010814308?loc=P_0003_019
20,乙級「室內設計技術士」證照術科：歷年考題及A1 1:1參考解答(107年),晨興,2018-12-31,"
1. 因應107室內設計證照考題大幅變動，最佳參考書圖。   2. 最完整『室內設計技術士』證照考題及參考解答。   3. 以A1海報1:1印刷，所有比例與考試相同，提供應試者最精準確實之參考資料。   4. 考題繪製...more
",https://www.books.com.tw/products/0010810099?loc=P_0003_020
21,配管基礎實務與應用含自來水管配管‧自來水管學科解析最新版(第三版),"林世維,林勝隆,林英凱,林英男,沈家興,蕭志村",2018-10-17,"
1.本書結合作者多年配管實務經驗，利用深入簡出的說明，使初學者可以容易的學習，適合配管實務入門能力之養成。   2.自來水管配管檢定學科詳盡解析，補充資料完整。...more
",https://www.books.com.tw/products/0010803869?loc=P_0003_021
22,2018 最新版 工程材料搶分祕笈,"孫德昌,歐陽弘",2018-06-15,"
章節分別為：緒論、水泥、混凝土、石材、陶瓷材料、玻璃、瀝青材料、木材、高分子材料、金屬材料、塗料。   精選各章節做有系統地歸納、整理與分析，均附有習題，廣蒐各類題目，經有反覆練習進而掌握命題...more
",https://www.books.com.tw/products/0010615932?loc=P_0003_022
23,【依據最新法規編寫】室內空氣品質維護管理專責人員應試寶典[行政院環保署證照],"彭立言,江軍",2018-06-15,"
...more
",https://www.books.com.tw/products/0010791945?loc=P_0003_023
24,裝潢木工丙級技術士技能檢定秘笈,"林木發,柯一青,楊子儀,江軍",2018-05-01,"
.收錄勞動部公告學術科試題   .術科分解動作流程完整呈現   .文字說明與3D圖解一次就通...more
",https://www.books.com.tw/products/0010787622?loc=P_0003_024
25,丙級視覺傳達設計技能檢定學術科題庫整理與分析(2019最新版)(附學科測驗卷、範例光碟),黃鴻錡,2018-04-16,"
1.本書依勞委會職訓局最新公告的學術科試題編撰而成，學科內容涵括色彩學、商業攝影、印刷概要、廣告媒體、圖學、設計基礎等相關領域，並附詳解，熟練題型外還能增長知識!   2.術科的字體與圖形繪製皆有清...more
",https://www.books.com.tw/products/0010786919?loc=P_0003_025
26,丙級自來水管配管暨自來水管承裝技工考驗 學術科通關寶典附影音教學光碟 - 2018年最新版(第七版) - 附贈OTAS題測系統,"文定宇,黃崇陽",2018-03-13,"
◎依據勞動部最新公告學術科試題編寫。   ◎學科試題與解析作一明顯區別，強化學習效果。   ◎術科詳解掌握實作要領，繪製立體圖，管路落樣圖，清晰對照。   ◎附贈OTAS題測網，可供線上測驗(web版)及單機版使...more
",https://www.books.com.tw/products/0010782496?loc=P_0003_026
