,書名,作者,出版日期,內容介紹,網址
1,【最新試題詳盡解析+法令修訂對照】信託業業務人員 速成(2020年8月版),劉憶娥,2020-08-14,"
★2020全新改版再進化!新重點、新法規、新試題全面導入，再貼心附上各類「精華總整理」→更準!更快!更好用!助您一次PASS過關，早日脫離考照苦海......★   1.全書各單元試題練習「全面抽換試題並加強解析易讀...more
",https://www.books.com.tw/products/0010867394?loc=P_0003_001
2,2020收錄最新試題解析 信託業務人員專業測驗一次過關[金融研訓院信託業業務人員],蔡季霖,2020-05-30,"
本書特色    ◎系統化彙整，立即掌握考試趨勢!   ◎牛刀小試，立即、有效、集中練習!   ◎精選歷屆試題及解析，考情趨勢瞭若指掌!    本書係依據台灣金融研訓院所出版的「信託法制」及「信託實務」二本書為基...more
",https://www.books.com.tw/products/0010859353?loc=P_0003_002
3,信託業務人員專業能力測驗歷屆試題詳解練習本(2020年版),蕭善言,2020-04-24,"
本書係為參加「信託業務人員專業能力測驗」所做的歷屆考題詳解，閱讀時請先看「最近年度出題趨勢分析」，該分析詳細說明各項範圍之出題數及出題比重，讀者可依各項範圍出題比重安排準備時間，必然事半而功...more
",https://www.books.com.tw/products/0010856007?loc=P_0003_003
4,信託法規與實務,倪仁禧,2020-03-09,"
本書是作者在多年來教學與研究過程中點滴累積的作品，為了教學需要而創作教材，為使同學容易理解而圖表化，為了協助同學考取信託專業證照而重點化。因此希望透過此教材提供同學理解生硬的信託法規，吸收內...more
",https://www.books.com.tw/products/0010868185?loc=P_0003_004
5,期貨信託法規與自律規範,高朝樑,2020-02-24,"
...more
",https://www.books.com.tw/products/0010536298?loc=P_0003_005
6,信託業務人員重點精華,高朝樑,2019-12-09,"
...more
",https://www.books.com.tw/products/0010536279?loc=P_0003_006
7,信託法規與稅制(2019年最新版),台灣金融研訓院編輯委員會,2019-09-20,"
為培育信託人才，並符合「信託從業人員具備專門學識或經驗準則」之規定，本院接受委託辦理「信託業業務人員信託業務專業測驗」，為提供有志加入信託業人士完整的相關知識。為配合信託業務相關法規與實務之...more
",https://www.books.com.tw/products/0010834651?loc=P_0003_007
8,信託原理與實務(2019年最新版),台灣金融研訓院編輯委員會,2019-09-20,"
為培育信託人才，並符合「信託從業人員具備專門學識或經驗準則」之規定，本院接受委託辦理「信託業業務人員信託業務專業測驗」，為提供有志加入信託業人士完整的相關知識。為配合信託業務相關法規與實務之...more
",https://www.books.com.tw/products/0010834652?loc=P_0003_008
9,信託業務總整理(2019年版),金融研訓院編輯委員會,2019-09-20,"
台灣金融研訓院接受中華民國信託業商業同業公會之委託，辦理信託業業務人員信託業務專業測驗，每年舉辦筆試及電腦測驗。為協助金融人員及莘莘學子能以最快速的時間，吸收最完整的信託測驗相關知識內容，特...more
",https://www.books.com.tw/products/0010834654?loc=P_0003_009
10,2019收錄最新試題及解析 信託業務專業測驗考前猜題及歷屆試題[信託業務],龍田,2019-04-05,"
本書內容因應最新相關法規之公布和信託業務之發展趨勢，係為欲參加「信託業務人員信託業務專業測驗」之考生所編撰。書前特別詳盡整理「考前重點精華」及44個「最新時事命題焦點」，便利考生快速翻閱並熟記...more
",https://www.books.com.tw/products/0010819845?loc=P_0003_010
