,書名,作者,出版日期,內容介紹,網址
1,2021初階授信人員專業能力測驗(重點統整+歷年試題)：系統化彙整法規+實務，授信要點無遺漏!(金融證照),艾帕斯,2020-09-30,"
系統化彙整法規+實務，授信要點無遺漏!   財團法人台灣金融研訓院之「初階授信人員專業能力」證照，此證照為銀行的入門證照，欲從事授信人員，此證照為必備之一，亦為了解銀行主要業務-授信業務的入門科目...more
",https://www.books.com.tw/products/0010871569?loc=P_0003_001
2,2021初階外匯人員專業測驗重點整理+模擬試題—初階外匯人員專業測驗：系統化彙整重要考點(金融證照),蘇育群,2020-09-25,"
「專業的你，取得證照一定需要這本!」    「初階外匯人員專業能力測驗」和「外匯交易專業能力測驗」雖然都是由金研院所主辦的外匯能力，但兩者最大的區隔在於報考資格的限制，簡單來說「外匯交易專業能力...more
",https://www.books.com.tw/products/0010871567?loc=P_0003_002
3,〔2021考點全面歸納!〕外匯交易專業能力測驗(重點速成+模擬試題),高瀅,2020-09-20,"
關於「外匯交易專業能力測驗」的3個大哉問-   Q1.「外匯交易專業能力測驗?初階外匯人員專業能力測驗?傻傻分不清」   Q2.「考題不公開，如何準備心慌慌?」   Q3.「聽說很簡單，為什麼還是有人沒考過?」   ...more
",https://www.books.com.tw/products/0010869582?loc=P_0003_003
4,【2020最新法令全面修訂對照】初階外匯人員 速成(2020年8月版),金融證照編輯小組,2020-08-18,"
★2020全新大改版!因應2020新版國貿條規與外匯信用狀與法規頻繁修訂，更新全書各單元演練試題與重點。全書每一字、每一句、每一題都出自實際命題→每一頁都對應實際考情，「讓最專業的外匯老師、帶你讀到真...more
",https://www.books.com.tw/products/0010867393?loc=P_0003_004
5,【收錄「考前衝刺速成大補貼」】初階授信人員 速成(2020年8月版),"林崇漢,林彙桓",2020-08-14,"
★修法出題注意!甫於109.6.24修正之 《中小企業認定標準》第2條(改採不分業別統一中小企業認定基準)馬上就出現在7月筆試的授信實務命題中......。本次改版除新增最新考題外，更配合近期授信相關法規修法進...more
",https://www.books.com.tw/products/0010867395?loc=P_0003_005
6,初階外匯/授信雙證照題庫套書(金融考照適用.收納大量試題.附贈線上題庫),鼎文公職名師群,2020-08-12,"
贈題庫網進階版帳號2組(市值500元)   歷屆考古題庫自行組卷產生模擬試題，考後馬上批閱試卷，以測驗自己的學習成果，   透過精闢試題詳解，達到學習事半功倍的效果。   考前衝刺最佳利器! 大量試題演練就...more
",https://www.books.com.tw/products/0010788468?loc=P_0003_006
7,初階授信人員測驗歷屆試題詳解練習題本(2020年最新版),林崇漢,2020-05-29,"
本書完整蒐錄初階授信人員測驗最近10屆試題，總計2科1510題，詳盡解析，並仔細分析出題趨勢，能真正有效輔助您「掌握命題取向」，只要用對方法，就能「一次考上」!   銀行初階授信人員測驗題型為「選擇題...more
",https://www.books.com.tw/products/0010860448?loc=P_0003_007
8,金融證照初階授信人員專業能力測驗(授信法規與實務)(金融考照適用‧收納大量試題‧附贈線上題庫)(3版),趙毓全,2020-05-25,"
☆你不只是買了一本書，還買了一個資料庫☆   近年來金融證照考試蔚為風潮，是社會新鮮人證明自己能力的最佳利器，更是在職老鳥提升自我實力的最好方法，而勤做考古題則是考取金融證照考試的不二法門之一，...more
",https://www.books.com.tw/products/0010440609?loc=P_0003_008
9,外幣保單證照高分速成(2020最新法規修訂+試題題庫)(三版),三民保險證照名師群,2020-05-13,"
★2020年全新改版!   ★收錄最新法規修訂+150題試題題庫!    【本書適用】   這本《外幣保單證照高分速成》適用於中華民國人壽保險商業同業公會舉辦之「人身保險業務員銷售外幣收付非投資型保險商品測驗」，...more
",https://www.books.com.tw/products/0010857852?loc=P_0003_009
10,金融證照【初階外匯人員專業能力測驗題庫精析(含外匯交易)】 (金融考照適用‧收納大量試題‧附贈線上題庫)(3版),金融證照小組,2020-04-24,"
☆你不只是買了一本書‧還買了一個資料庫☆ ☆國外匯兌業務‧進出口外匯業務‧一魚兩吃☆   近年來金融證照考試蔚為風潮，是社會新鮮人證明自己能力的最佳利器，更是在職老鳥提升自我實力的最好方法，而勤做考古...more
",https://www.books.com.tw/products/0010440615?loc=P_0003_010
11,初階外匯人員專業能力測驗歷屆試題詳解練習題本,陳賢芬,2020-04-17,"
本書係為參加「初階外匯人員專業能力測驗」所做的歷屆考題詳解，閱讀時請先看「最近年度出題趨勢分析」，該分析詳細說明各項範圍之出題數及出題比重，讀者可依各項範圍出題比重安排準備時間，必然事半而功...more
",https://www.books.com.tw/products/0010855350?loc=P_0003_011
12,法令更新對應 債權委外催收人員證照 速成(七版),林崇漢,2020-03-03,"
★全新改版!因應近期修法進行全書修訂★   本次改版係針對近期與債權催收有關之重要常考法令大幅修訂(如：民法繼承編，民事訴訟法，強制執行法，金融機構作業委託他人處理內部作業制度及程序辦法及消費者債...more
",https://www.books.com.tw/products/0010851201?loc=P_0003_012
13,進階授信人員資格測驗,高朝樑,2020-02-24,"
授信人員專業能力測驗分為「初階授信人員」與「進階授信人員」二個等級，由於其測驗範圍大致相同，主要的差異在於題目的難易程度有別，且進階授信考題中多了「題組」與「申論題」二種，一般而言凡是經初階...more
",https://www.books.com.tw/products/0010536282?loc=P_0003_013
14,初階外匯人員重點精華,黃原桂,2019-12-31,"
...more
",https://www.books.com.tw/products/0010536290?loc=P_0003_014
15,債權委外催收人員專業能力測驗,高朝樑,2019-12-30,"
依據「金融機構辦理應收債權催收作業委外處理要點」第3點第2項規定，金融機構應收債權之受委託機構應聘僱具有實際催收經驗者，並依行政院金融監督管理委員會94年5月9日金管銀(五)字第0945000294號函規定，...more
",https://www.books.com.tw/products/0010639461?loc=P_0003_015
16,初階授信人員重點精華,高朝樑,2019-12-09,"
...more
",https://www.books.com.tw/products/0010536270?loc=P_0003_016
17,銀行授信法規及實務-重點整理暨試題解析(2018年最新版),金融研訓院編輯委員會,2018-09-07,"
本書係節錄「銀行授信法規」及「銀行授信實務」二書內容，保留其精髓，完整呈現銀行授信業務的各項層面。本書共分為三篇，第壹篇銀行授信法規共分為四章，包括：授信基本法律、授信相關規章、外匯相關規章...more
",https://www.books.com.tw/products/0010798339?loc=P_0003_017
18,銀行授信法規(2018年最新版),金融研訓院編輯委員會,2018-09-01,"
授信業務係銀行重要的業務之一也是銀行獲利最主要的來源，辦理時必須遵循的法律及規定繁多，亟需有系統地彙集與整理。本書特蒐集銀行處理授信業務，應遵循及注意之有關法律及相關函令規定加以整理合輯，全...more
",https://www.books.com.tw/products/0010799696?loc=P_0003_018
19,銀行授信實務(2018年最新版),金融研訓院編輯委員會,2018-09-01,"
由於金融環境國際化及全球化趨勢，金融業變化頻仍，使得金融從業人員需面臨更多挑戰及衝擊。因此，為強化從業人員之專業知識及技能，本院特擬定證照測驗再生計畫，將指標性測驗之參考用書重新規劃整理，以...more
",https://www.books.com.tw/products/0010799698?loc=P_0003_019
20,外匯重點整理及試題解析(2017-2018年最新版),本院編輯委員會,2017-05-26,"
「外匯重點整理及試題解析」乙書係節錄「進出口外匯業務」與「國外匯兌及法規」二書內容，保留其精髓，完整呈現銀行外匯業務的各種層面。本書共分為三篇，第壹篇進口外匯與外幣保證業務分為六章，包括：外...more
",https://www.books.com.tw/products/0010765672?loc=P_0003_020
21,國外匯兌及法規(2017~2018年全新版),金融研院編輯委員會,2017-04-07,"
2017~2018年最新版「初階外匯人員專業能力測驗參考書籍」，全套包括「進出口外匯業務」及「國外匯兌及法規」共二冊。此次改版係將原版「進口外匯業務」及「出口外匯業務」兩冊彙集為「進出口外匯業務」，...more
",https://www.books.com.tw/products/0010749357?loc=P_0003_021
22,授信管理：法規制度與融資架構,陳錦村,2016-11-18,"
「授信業務」既是銀行的主要業務，更是基層行員爭取升遷機會須擁有的職能之一，坊間相關書籍雖多，惟本書強調授信知識，不宜侷限在法令規章的死背，而是將融資架構與授信條件有效搭配在法規制度上，俾藉此...more
",https://www.books.com.tw/products/0010735703?loc=P_0003_022
23,金融人員企業授信必修12堂課,本院編輯委員會,2016-10-28,"
本書共分十二課：第一課認識企業授信基本概念：首揭企業授信之定義與類別，讓讀者建立本書的框架；第二課企業借款主體之法定資格：由授信5P的審核原則出發，瞭解企業借款主體法定資格的重要性；第三課企業...more
",https://www.books.com.tw/products/0010733919?loc=P_0003_023
24,【最終版-收錄105年5月試題暨詳解】結構型商品銷售人員 速成(2016年9月版),"吳筱婷,廖慶憲,李育泰,林忠義,葉俊佑",2016-09-14,"
★考生注意!「結構型商品銷售人員」證照考試延長至105年底★      原定105年5月21日為最後一期之「結構型商品銷售人員」證照考試，因「衍生性金融商品銷售人員」考試委員對於命題涵蓋範圍尚未達成共識-故主...more
",https://www.books.com.tw/products/0010559538?loc=P_0003_024
25,【超逼真】外匯交易專業能力測驗 500問 模擬題庫,李惠華,2016-09-14,"
★超逼真!完全對應「外匯交易專業能力」證照命題範圍★     準備「外匯交易專業能力」測驗的考生有福了!鑒於「外匯交易專業能力」此一考試並未公布試題，特別力邀具有多年外匯交易經驗、同時亦為金融業外匯...more
",https://www.books.com.tw/products/0010729346?loc=P_0003_025
26,國際金融與匯兌,"張瀞之,徐耀華",2014-06-13,"
本書分成六大部分，分別為國際金融與總體經濟指標、國際匯兌業務、信用狀業務、外匯交易、衍生性與結構性金融商品以及兩岸金融，涵蓋國際金融與匯兌理論和實務等議題共十三章。並加入最新的人民幣業務開放...more
",https://www.books.com.tw/products/0010640219?loc=P_0003_026
27,銀行授信實務個案精選,呂子立,2013-06-01,"
授信是銀行資產部位中最主要的生利資產，授信資產配置的良窳與適切，攸關資產獲利與風險控管，如果你已是授信經辦員或是授信主管，可能經常為上級長官給你的預算配額，而不知如何安排授信策略；或是你從未...more
",https://www.books.com.tw/products/0010592270?loc=P_0003_027
