,書名,作者,出版日期,內容介紹,網址
1,病毒完全圖鑑：你必須知道的101種病毒的構造、流行史與驚人多樣性,瑪莉蓮‧盧辛克,2020-08-07,"
★英國與美國亞馬遜4.5顆星評鑑   ★世界病毒學權威瑪莉蓮‧盧辛克博士剖析101種最迷人的病毒，揭露其感染途徑、發展史、相關疾病、預防與治療方法   ★以上色照片呈現病毒樣貌，異常美豔!看待病毒的眼光從此...more
",https://www.books.com.tw/products/0010866015?loc=P_0003_001
2,人類與病毒之戰：一本書看懂病毒為什麼可怕、如何預防傳染、疫情爆發時的生活準則,徐明達,2020-05-11,"
僅僅幾奈米的病毒，卻是人類的千年宿敵。 我們擺脫不了病毒的致命威脅，該如何自保? 臺灣第一本病毒專書，解析臺灣在對抗病毒的攻防中， 學到什麼、做對什麼、未來如何戰勝病毒。   為什麼洗手可以殺死病...more
",https://www.books.com.tw/products/0010857368?loc=P_0003_002
3,寄生蟲圖鑑：50種住在不可思議世界裡的居民(雙色增訂典藏版),"大谷智通,目黑寄生蟲館",2020-05-02,"
「讓怕蟲的人也愛不釋手，你絕對會想擁有的生物圖文典藏書」 臺灣限定雙色增訂典藏版 專業詳實解說+優美點描插圖 歡迎進入不可思議的寄生蟲世界 收錄7大類別、50種令人驚嘆不已的寄生蟲 世界唯一的寄生蟲...more
",https://www.books.com.tw/products/0010855733?loc=P_0003_003
4,少了微生物，我們連屁都放不出來：細菌病毒如何決定人類的生活，以及我們該如何自保?,"法蘭克．塔杜伊斯,馬庫斯．艾格特",2020-04-08,"
在這個病菌橫行、感染危機四伏的時刻， 酒精、消毒水、殺菌劑、抗生素、抗病毒藥…… 誰才是我們人類的終極保命武器? 答案或許跌破眾人眼鏡，竟然是微生物自己!  最有趣 × 最嚴謹 × 最生活化的衛生知識 德國...more
",https://www.books.com.tw/products/0010853651?loc=P_0003_004
5,酸莖菌驚人療效(二版),上田明彥,2020-04-01,"
日本京都巴斯德研究所的岸田綱太郎博士從京都的醃菜-酸莖中發現了一種可提高人體干擾素的物質，它是乳酸菌的一種，稱為「酸莖菌」。由於干擾素原體抑制因子為癌症、C型肝炎的治療藥，因此酸莖菌的出現，深...more
",https://www.books.com.tw/products/0010165039?loc=P_0003_005
6,致命大瘟疫：亡覆帝國盛世的隱形殺手,劉滴川,2020-03-30,"
大瘟疫─壓垮中央集權政府的最後一根稻草  從傳統的大統一史觀另闢門徑 從疫病探索中央集權政府消亡的原因  絲路開通、帝國戰爭、人口遷徙帶來不同的疾病 影響一個國家的生產力與人心  瘟疫之於秦漢，正如...more
",https://www.books.com.tw/products/0010853475?loc=P_0003_006
7,微戰爭：對決細菌、病毒,王哲,2020-03-06,"
沒有細菌，人類也無法存活。只是從一萬年前開始細菌成了人類的敵人。   病毒已成了人體的一部分。人類要生存，細菌、病毒也要生存，雙方不得不為了生存而戰。   從一萬年前開始，人類便從有益生物轉變成有...more
",https://www.books.com.tw/products/0010851780?loc=P_0003_007
8,微戰爭：對決鼠疫、天花、黃熱病,黃哲,2020-03-06,"
人類要生存，細菌、病毒也要生存，雙方不得不為了生存而戰。   黑死病迫使歐洲人走出自己的天地。   天花導致西方的羅馬帝國和東方的大漢帝國走向衰敗。   天花也導致美洲大陸的古典文明被徹底的毀滅。   ...more
",https://www.books.com.tw/products/0010851781?loc=P_0003_008
9,微戰爭：對決瘧疾、愛滋病、流感,王哲,2020-03-06,"
人類要生存，細菌、病毒也要生存，雙方不得不為了生存而戰。   隨著人類科學的進步，細菌、病毒也不段的變昇、進化。人類竭盡全力，想盡了各種辦法，其結果只是證明了科學是那麼脆弱。科學發展到了今天，...more
",https://www.books.com.tw/products/0010851782?loc=P_0003_009
10,圖解看不見的鄰居，微生物：3小時瞭解病毒與細菌,左卷健男,2020-02-06,"
看不見不代表不存在，你知道自己吃進了什麼嗎?   這些看不見的病毒細菌，你以為就沒事了嗎?    人一離開媽媽的子宮(無菌的環境)之後，就要開始獨自面對這個複雜、充滿微生物的環境。我們的生活周遭，無處...more
",https://www.books.com.tw/products/0010847971?loc=P_0003_010
