,書名,作者,出版日期,內容介紹,網址
1,滅絕生物學：失敗者的生存策略,池田清彥,2020-11-04,"
6億年.6次生物大滅絕 從地球99%物種消失的歷史， 尋找全世界76億人類的未來!   環境承載力瀕臨崩潰，   滅絕是系統僵化的必然結果，新物種必定打敗舊物種。   過度穩定帶來危機，適應機制停止進化!   地球...more
",https://www.books.com.tw/products/0010873727?loc=P_0003_001
2,我們的身體，想念野蠻的自然：人體的原始記憶與演化,羅伯．唐恩,2020-10-08,"
腹瀉、絞痛竟然可以靠吃蟲來解救? 盲腸裡因為有細菌，免疫功能才能增強? 沒有獵豹、老虎的追趕，才讓我們容易心悸與焦慮? 進入農業社會後，人類的壽命反而縮短了? 原來，我們的身體想念著原始的自然；我們...more
",https://www.books.com.tw/products/0010871907?loc=P_0003_002
3,達爾文進城來了：新物種誕生!都市叢林如何驅動演化?,曼諾‧許特惠森,2020-07-04,"
――――當達爾文演化論深入現代都市叢林，生物在高樓林立的人口密集區如何展現驚人的演化?――――  達爾文認為，演化是緩慢運作的過程，在人類短暫的一生中不可能觀察到。 但事實上，就這麼一次，他錯了。 透過...more
",https://www.books.com.tw/products/0010862474?loc=P_0003_003
4,美的演化：達爾文性擇理論的再發現,理查．O．普蘭,2020-06-06,"
除了「天擇」，「美麗」也在推動演化! 重新詮釋達爾文性擇理論的演化生物學鉅作， 解開天擇無法解釋的動物特徵與行為模式之謎。 ★普立茲獎決選入圍 ★《紐約時報》、《史密森尼》雜誌、《華爾街日報》2018...more
",https://www.books.com.tw/products/0010859733?loc=P_0003_004
5,可悲的雄性生物：有趣到睡不著的男性進化絕種史,藤田紘一郎,2020-06-01,"
即使當昆蟲，雄性也是活得很辛苦的哟!   由生物學開始，重新思考男人與女人的價值所在!   【有趣到令人晚上睡不著的男性進化絕種史】   ●「寄生蟲博士」、日本東京醫科大學名譽教授 藤田紘一郎之著作。   ...more
",https://www.books.com.tw/products/0010859011?loc=P_0003_005
6,寫給青少年的物種起源：突變、天擇、適者生存，演化論之父達爾文革命性鉅作，改變人類看世界的方式(經典問世一百六十週年紀念版‧全彩圖解),"查爾斯．達爾文,編寫／麗貝卡．斯特福夫",2020-04-30,"
你真的了解「物競天擇」嗎? 為什麼連病菌都會「演化」?誰才是不被淘汰的「適者」? 改變人類文明，撼動社會思潮 演化論之父達爾文畢生研究精華，小獵犬號五年航程之心血結晶 經典問世一百六十週年紀念版‧全...more
",https://www.books.com.tw/products/0010855562?loc=P_0003_006
7,上帝撿到槍：生命科學密碼,朱欽士,2020-04-30,"
聖經裡的上帝說：要有光。   生物學的上帝說：撿到槍。   對比前五天創造出的無機物，第六天創造出的生命簡直不要太優秀!!!!   (前幾行強調)   最有名的腦筋急轉彎：到底是先有蛋，還是先有雞?!   比月老...more
",https://www.books.com.tw/products/0010856011?loc=P_0003_007
8,認識DNA(增修三版)：下一波的醫療革命,林正焜,2020-04-09,"
增加一萬多字CRISPR章節和2019新型冠狀病毒相關篇章 DNA時代已經來臨!但你，認識DNA嗎? 親人有癌症病史時，你就該做基因檢查嗎? 甲基化過與不及都可能致癌? 複製人真的可能嗎?CRISPR基因編輯技術有哪些功...more
",https://www.books.com.tw/products/0010853774?loc=P_0003_008
9,祖先的故事：前往生命初現地的朝聖之旅(套書，上下冊不分售),"理查・道金斯,黃岩",2020-04-01,"
全面理解生物學發展，從現在回溯至生命起源 《自私的基因》、《盲眼鐘錶匠》作者理查‧道金斯 企圖大一統演化生物學之磅礡力作! 入圍2005年英國皇家學會科學圖書獎 《祖先的故事》為當代最偉大的科學家之一...more
",https://www.books.com.tw/products/0010852500?loc=P_0003_009
10,人類崛起：從直立行走、煮食生活到抽象語言，演化如何造就了現在的我們?,泰德薩,2020-03-12,"
我們是如何開始站立起來，邁開腳步? 我們是什麼時候開始說話，建立社會? 人類演化發展的重重謎團，就此解開!  ◎人類化石研究權威泰德薩深入探索智人的崛起 ◎林秀嫚(台灣史前文化博物館副研究員)專業導讀  ...more
",https://www.books.com.tw/products/0010851072?loc=P_0003_010
