,書名,作者,出版日期,內容介紹,網址
1,統計：看圖解成為大數據高手,湧井良幸,2020-09-28,"
AI是透過統計思考!   現在就想學起來的資料科學!   統計聽起來很難，但是各式各樣的數字、表格和圖表可是常常出現在大家的日常生活中喔!   統計和煮味噌湯時的試味道一樣?   沒錯!統計就是取出一部分來預...more
",https://www.books.com.tw/products/0010871612?loc=P_0003_001
2,數字公民：如何打造你的識數世界觀，輕鬆成為現代公民!,安德魯．Ｃ．Ａ．艾略特,2020-07-01,"
大概從1000開始，數字跟我們的認知產生斷裂，   我們對它已經無感，但這卻會影響你在公民社會中的判斷力。   現代社會，識字能力稀鬆平常，識數能力才更重要!   晉升「識數公民」的必讀之作。   我們周圍...more
",https://www.books.com.tw/products/0010861972?loc=P_0003_002
3,數學之前人人平等：我們都有數學天分，只缺正確的開導和信心,約翰．麥登,2020-05-27,"
雲端運算、大數據、人工智慧當道 我們再也經不起對數學一無所知    JUMP 數學創辦人約翰.麥登(John Mighton)，曾獲世界教育創新獎(WISE Awards)，20年來他成功培育成千上萬不同年齡層的學生。他指出，我們...more
",https://www.books.com.tw/products/0010858347?loc=P_0003_003
4,數學女孩秘密筆記：矩陣篇,結城浩,2020-04-01,"
AB等於零，但A和B都不是零。 這種「不可思議的數」真的存在嗎? 矩陣類似數，卻又不是數， 跟著矩陣旋轉星空，發現數學公式如此令人怦然心動!   ◎日本数学会出版賞、日本出版協會貢獻獎得主──結城浩最新力...more
",https://www.books.com.tw/products/0010853869?loc=P_0003_004
5,文化脈絡中的數學,單維彰,2020-02-26,"
數學是一種語言，一種非常精準的語言，人們使用數學語言與自然對話、與藝術對話、與文學對話、與生活對話、與文化對話、與教育對話、與文明進展對話、與民主對話、與愛情對話。《文化脈絡中的數學》將引領...more
",https://www.books.com.tw/products/0010848791?loc=P_0003_005
6,世界第一簡單密碼學(修訂版),"三谷政昭,佐藤伸一",2020-01-03,"
網路為現代人帶來無限便利， 「密碼」已然成為守護安全的利器。 但是關於密碼，我們了解多少? 本書將從密碼基礎知識至實際應用方法， 層層剝開密碼的神秘面紗!   有絕對安全的密碼嗎?   如何防止密碼被盜...more
",https://www.books.com.tw/products/0010844753?loc=P_0003_006
7,數學文章寫作 推敲篇,結城浩,2019-12-04,"
《數學文章寫作》進階級——《推敲篇》，來了!   數學，推敲推敲!唐朝賈島作詩「僧敲月下門」，韓愈說：「作敲字佳。」遂定稿，這就是推敲的由來。   如何寫出正確又容易閱讀的數學文章，向讀者傳達你的思維...more
",https://www.books.com.tw/products/0010841810?loc=P_0003_007
8,ACT數學,"SIMON JANG,TIFFANY T. JANG",2019-12-02,"
本書特色   準備ACT數學只需這本書，ACT數學滿分 買這本書就夠了!   美國高中數學老師 Tiffany Jang & Dr. Simon Jang   帶領無數學生ACT數學滿分最新力作!   ‧超過1500道練習題，能有效複習考點......more
",https://www.books.com.tw/products/0010841605?loc=P_0003_008
9,數學文章寫作：基礎篇,結城浩,2019-11-06,"
全台第一本數學寫作專書   寫作文章的目的，是向讀者傳達你的想法!   ★★★前臺灣師範大學數學系教授兼主任 洪萬生 專文導讀★★★   日本數學會出版賞得主結城浩教你邏輯清晰的寫作技巧   解題時常常「不知道...more
",https://www.books.com.tw/products/0010838660?loc=P_0003_009
10,圖解數學基礎入門 全新修訂版,川久保勝夫,2019-10-02,"
生活周遭的一切事物，都是數學創意延伸的結果   AI時代，只有數理強的人不會被淘汰   快入手探索經濟及社會脈動的最強武器!   從數字的構成到函數、幾何、微積分   豐富的插圖和圖表   網羅國小到高中數學...more
",https://www.books.com.tw/products/0010835869?loc=P_0003_010
11,數學、詩與美,Ron Aharoni,2019-08-23,"
數學與詩有什麼關係呢?似乎是毫無關係。數學處理的是抽象的事物，而詩處理的是感情的事情。然而，兩者具有某種本質上的共通點，那就是：美。   本書《數學、詩與美》嘗試要解開這兩個領域之間的類似之謎。...more
",https://www.books.com.tw/products/0010832110?loc=P_0003_011
12,囚犯的兩難：賽局理論、數學天才馮紐曼，以及原子彈的謎題,威廉‧龐士東,2019-06-12,"
賽局理論是一門「衝突的科學」，戰爭是人類最激烈的衝突   馮紐曼從對遊戲的洞察中，創建了影響深遠的賽局理論   為了贏得賽局，你必須考慮對手的選擇，而對手同時也在考慮你的選擇   出身奧匈帝國的馮紐...more
",https://www.books.com.tw/products/0010823873?loc=P_0003_012
13,數學女孩 龐加萊猜想,結城浩,2019-05-03,"
日本数学会出版賞得主結城浩的科普輕小說 數學迷們引頸盼望的本傳續集 獎金100萬美元，百年以來無人能解的世紀難題終得證明!   不管是外型、氣質，還是態度，都十分優秀，   在世間來來去去，卻不會顯露出...more
",https://www.books.com.tw/products/0010820606?loc=P_0003_013
14,應用數學實務與數據分析,,2018-10-19,"
在應用型教育的前提下，數學的教育是否還是概念、性質定理以及習題?對於學生的疑惑「學習數學有什麼用?」迫切需要做出回答。在此背景下，編者編寫了本書。   本書主要為會計學、金融學以及工程專業的學生...more
",https://www.books.com.tw/products/0010802660?loc=P_0003_014
15,賽局理論圖解(二版),清水武治,2018-10-10,"
從塞局理論的基本命題到利用方法， 以易懂的圖示漸進地讓你通盤了解! 所謂賽局理論，是指當存在競爭對手時，為了達成自己的目標，進行合理性思考應該採取何種行為的科學。 現在，賽局理論被廣泛運用在經濟...more
",https://www.books.com.tw/products/0010794437?loc=P_0003_015
16,經濟模型與MATLAB應用,"唐小英,孫雲龍",2018-08-10,"
本書透過經濟管理、日常生活、科學技術中眾多數學模型的實例，系統、詳實地闡述了數學建模與數學實驗的基本理論和主要方法，並重點講解模型在MATLAB中的編程實現方法。本書可作為各類學校、各專業學生數學...more
",https://www.books.com.tw/products/0010795955?loc=P_0003_016
17,數學女孩秘密筆記：積分篇,結城浩,2018-07-04,"
日本数学会出版賞得主結城浩的挑戰狀 青春×科普，真理只有一個!   『不變的東西，才有命名的價值』   留意所有細節，才能不受迷惑，   發現積分、極限與無限之間的魅力   當距離逼近極限，出現的矛盾是偶...more
",https://www.books.com.tw/products/0010790837?loc=P_0003_017
18,Quantitative Analysis for Management (GE) 13e,"Barry Render,Jr.,Michael E. Hanna,Ralph M. Stair,Trevor S. Hale",2018-04-02,"
Quantitative Analysis for Management helps students to develop a real-world understanding of business analytics, quantit......more
",https://www.books.com.tw/products/0010787324?loc=P_0003_018
19,如何進入彩虹泡泡中：100個有趣的數學實驗,阿爾貝希特．波依特許巴赫,2017-12-01,"
世界上第一個「摸得到的數學實驗館」   打破你對數學的刻板印象，數學一點也不無聊!   從館中的100個數學實驗，感受動手做數學的全新體驗!   位於德國吉森的數學博物館，是世界第一個讓遊客動手做數學的實...more
",https://www.books.com.tw/products/0010771605?loc=P_0003_019
20,圖解統計學入門,小島寬之,2017-11-25,"
不談機率、不用微積分、不要Σ符號， 高中數學全忘光了也沒關係， 直接切入核心，統計學輕鬆入門! 暢銷熱賣!在日本已銷售突破 100,000本! 長據Amazon分類排行榜第一名，網路佳評如潮，眾多日本網友五星推薦...more
",https://www.books.com.tw/products/0010767907?loc=P_0003_020
