,書名,作者,出版日期,內容介紹,網址
1,物理源流：物理歷史與物理科技,李丹丹,2020-04-10,"
聲學是研究一切聲音現象、利用聲音或消除聲音的科學。自然界中時刻都發生各種各樣的聲音，聲學是中國歷史上最悠久的學科之一。在中國古代，聲學效應早就在實際中加以應用了。從振動與波的概念的形成，到實...more
",https://www.books.com.tw/products/0010854994?loc=P_0003_001
2,化學歷程：化學歷史與化學科技,方士華,2020-01-22,"
化學，自古以來就與人類的生活密不可分，化學科技也並非一朝一夕形成，而是在先民的探索與實踐下，經年累月沉積下來的豐富知識。   首先應用到化學知識的技術是陶器，陶器是人類掌握了「火」這一力量後用...more
",https://www.books.com.tw/products/0010848193?loc=P_0003_002
3,用塗鴉學物理：從 51 張手繪理解 2600 年重要物理大發現,唐．雷蒙斯,2019-01-05,"
從泰利斯三角測量、牛頓萬有引力定律，到愛因斯坦相對論， 用小塗鴉畫出物理學最深奧的大原理，讓你一看就懂! 專文介紹 香港大學理學院講師、科學專欄作家 余海峯 好讀推薦   師大附中物理科教師 陳忠城  ...more
",https://www.books.com.tw/products/0010809694?loc=P_0003_003
4,一本書讀懂物理,林珊,2018-11-09,"
物理學很難懂嗎?   一點也不，100個物理故事給你最精彩的體驗!   從亞里斯多德到被蘋果砸中的牛頓，普朗克和發明相對論的愛因斯坦，物理學家們孜孜不倦的研究浩瀚的物理學。力學是不可忽略的一大學問，是...more
",https://www.books.com.tw/products/0010805252?loc=P_0003_004
5,有關化學的那些事,蔡宇智／編,2018-08-01,"
充斥著一百多種元素的化學課本讓我們感到頭疼，   但其實很多元素的背後，都隱藏著令人著迷的故事。   本書將打破課本固定的純知識性講解，以活潑有趣的形式，   讓你從中輕鬆學到知識，進而對元素有更深...more
",https://www.books.com.tw/products/0010795117?loc=P_0003_005
6,跟大師學創造力1-5套書：伽利略、牛頓、達爾文、達文西、貝多芬 與 109個STEM實驗深度學習力,"何理翰,克利斯頓．勞森,凱麗,海倫．包爾,潘奇克,珍妮斯．賀伯特",2018-06-21,"
5年級以上適讀—科學、數學、自然、人文藝術、歷史文化 STEM補充教材首選! 109個STEM實驗，培養深度學習力   「讀寫科學史」最佳範本，不只給孩子，也適合每一個充滿好奇心的大人   以科學家/藝術家的故事...more
",https://www.books.com.tw/products/0010789708?loc=P_0003_006
7,【全彩圖解】3分鐘讀懂霍金‧時間簡史：找出穿越千年的時空奧祕，黑洞、蟲洞、時光機的科學知識,Dr. Shen,2018-05-23,"
帶你同遊最有趣的時空旅行! 找出穿越千年的時空奧祕， 黑洞、蟲洞、時光機的科學知識   有沒有可能，有一天我們走在路上，能看見來自於未來世界的人呢?   宇宙有壽命嗎?如果有一天宇宙爆炸了，人類該何去...more
",https://www.books.com.tw/products/0010787366?loc=P_0003_007
8,跟大師學創造力3：達爾文與演化論+21個自然實驗,克利斯頓．勞森,2018-01-10,"
【跟大師學創造力1-5】 系列 學習寫作與表達能力 ，「讀寫科學史」最佳範本     以科學家/藝術家的故事追根溯源，和隨手可作的簡單活動，體驗大師的創作歷程，更能幫助讀者「深度學習」，增加閱讀能力及跨...more
",https://www.books.com.tw/products/0010775305?loc=P_0003_008
9,跟大師學創造力1：伽利略的大發現+25個酷科學實驗,潘奇克,2017-10-13,"
【跟大師學創造力1-5】 系列 學習寫作與表達能力 ，「讀寫科學史」最佳範本   以科學家/藝術家的故事追根溯源，和隨手可作的簡單活動，體驗大師的創作歷程，更能幫助讀者「深度學習」，增加閱讀能力及跨領...more
",https://www.books.com.tw/products/0010766780?loc=P_0003_009
10,跟大師學創造力2：牛頓的物理學探索+21個趣味實驗,凱麗‧何理翰,2017-10-13,"
【跟大師學創造力1-5】 系列 學習寫作與表達能力 ，「讀寫科學史」最佳範本   以科學家/藝術家的故事追根溯源，和隨手可作的簡單活動，體驗大師的創作歷程，更能幫助讀者「深度學習」，增加閱讀能力及跨領...more
",https://www.books.com.tw/products/0010766785?loc=P_0003_010
11,認識化學：教科書裡不會出現的100個化學故事,林珊,2017-07-21,"
化學不只屬於實驗室，更和每一個人的生活緊密相連 ── 「化學」：一門關於變化的學問 它不應侷限於課本，而是一種觀察世界的方式。   本書精選了100個關於化學的故事，   透過物質接觸、變化，反應的旅程  ...more
",https://www.books.com.tw/products/0010759303?loc=P_0003_011
12,科學百科：是科學也是玩具套組(1書+1台鹽水動力引擎車模型組裝),英國DK出版社,2017-07-06,"
《科學百科》+【Pro sKit寶工鹽水動力引擎車】 科學啟發X圖像思考X模型美學X樂趣無限 全面理解科學歷史與科學理論， 親自組裝體驗科學模型的樂趣，真實感受科學魅力!   【Pro sKit寶工鹽水動力引擎車】   ...more
",https://www.books.com.tw/products/0010755811?loc=P_0003_012
13,火星時代：人類拓殖太空的挑戰與前景,李奧納德‧大衛,2017-06-12,"
見證人類成為行星際物種的新時代   這一次，我們的目的不是探訪，而是居留     ●與國家地理頻道《火星時代》共同製作，以扎實的科學根據描述未來人類拓殖火星的大冒險   ●由《阿波羅13號》導演朗・霍華撰...more
",https://www.books.com.tw/products/0010753896?loc=P_0003_013
14,薛丁格的貓：50個改變歷史的物理學實驗,亞當‧哈特－戴維斯,2017-06-12,"
本書的實驗，定義了物理學的研究範疇 透視有史以來的偉大科學家 如何透過巧妙的實驗設計，從中探索物理學的世界 也為人類的科技發展奠定了重要基石   本書由英國廣播公司BBC知名科普節目主持人亞當‧哈特-...more
",https://www.books.com.tw/products/0010753902?loc=P_0003_014
15,關於物理的100個故事,林珊,2017-06-09,"
與眾不同的「書」情方式，前所未有的「悅讀」體驗! 一樣的物理，不一樣的物理故事!   阿基米德只需一個支點，就能把地球翹起來；   牛頓只需一顆蘋果，就能發現萬有引力的奧秘；   而你，只需要這樣一本書...more
",https://www.books.com.tw/products/0010755869?loc=P_0003_015
16,科學百科：BIG IDEAS 輕鬆讀系列,英國DK出版社,2017-06-07,"
風靡全球的百科權威英國DK出版社獨家授權 《BIG IDEAS輕鬆讀》全面解讀人類文明史上的經典思維 38國引進，33種語言，系列全球熱銷超過330萬冊 史上最全面、最易懂、最有趣的《BIG IDEAS輕鬆讀》系列叢書  ...more
",https://www.books.com.tw/products/0010752859?loc=P_0003_016
17,死亡與來世：從火化到量子復活的編年史,柯利弗德．皮寇弗,2017-04-01,"
暢銷書《數學之書》和《物理之書》的作者柯利弗德.皮寇弗最新力作   「死亡並非撲滅光明，是因天已破曉，而將燈滅熄。」   ──泰戈爾，節錄自《東方的訊息》(Message of the East)，一九四七年   死亡的本...more
",https://www.books.com.tw/products/0010747021?loc=P_0003_017
18,大發現：一場以科學來型塑世界的旅程,史蒂文．溫伯格,2017-03-28,"
在這本內容豐富又背逆不恭的搶眼歷史書中，諾貝爾物理學獎得主史蒂文.溫伯格帶領我們從古代的米利都前往中世紀的巴格達和牛津，從柏拉圖的學院和亞歷山卓的博物館前往沙特爾(Chartres)的主教座堂學校和倫...more
",https://www.books.com.tw/products/0010746777?loc=P_0003_018
19,關於化學的100個故事,林珊,2016-08-04,"
啟發智慧火花，體驗驚奇結果。 寓知識於故事，讀出化學大腦。   A擁抱B，變成了C，化學，就是這麼有趣。   更有趣的，是那些課本上讀不到的化學故事。    閱讀，從來就沒有身高的限制，   寫給想長大的小...more
",https://www.books.com.tw/products/0010724983?loc=P_0003_019
20,數理化通俗演義(下)【修訂新版】,梁衡,2016-07-13,"
當科學成為章回小說──從「光譜分析法的創立」到「生命科學的發展」   一本把科學史寫成演義故事的神奇之作。   用有趣的故事串起數千年的科學發展，最容易勾起閱讀興趣的科學入門讀物，在閱讀中重新拾起對...more
",https://www.books.com.tw/products/0010721253?loc=P_0003_020
21,數理化通俗演義(上)【修訂新版】,梁衡,2016-07-01,"
當科學成為章回小說──從「世界是什麼?」到「原子論的創立」   一本把科學史寫成演義故事的神奇之作。   用有趣的故事串起數千年的科學發展，最容易勾起閱讀興趣的科學入門讀物，在閱讀中重新拾起對科學的...more
",https://www.books.com.tw/products/0010719906?loc=P_0003_021
22,解開生命之謎：運用量子生物學，揭開生命起源與真相的前衛科學,"吉姆．艾爾-卡利里,約翰喬伊．麥克法登",2016-03-04,"
★全球知名物理家《悖論》作者最新力作   ★亞馬遜書店科普類書籍NO.1   ★亞馬遜書店生物類書籍NO.1   ★亞馬遜書店物理類書籍NO.1   ★獨立報「年度選書」   ★金融時報「年度選書」   ★英國最受歡迎的科普作...more
",https://www.books.com.tw/products/0010707351?loc=P_0003_022
23,諾貝爾物理獎2005-2015,科學月刊,2016-02-03,"
最前沿的科學與最卓越的心靈 掌握近十年諾貝爾物理獎的演變趨勢   諾貝爾物理獎得主，您認識幾位?「江山代有才人出」，將出於何處?   人類是要側重探究基礎研究，還是以實用文明為導向?   每年十月諾貝爾...more
",https://www.books.com.tw/products/0010704591?loc=P_0003_023
24,諾貝爾化學獎2005-2015,科學月刊,2016-02-03,"
十年諾貝爾化學獎的非凡成就 科學各領域的大融通、跨領域的整合趨勢   探索生物中巨大分子的量子計算，為量子化學建立里程碑。   合成化學研發眾多新穎觸媒，爆發出驚人進展。   化學與生物結合，把研究延...more
",https://www.books.com.tw/products/0010704593?loc=P_0003_024
25,日出：看物理大師們如何揭開相對論與量子力學發展史,"張軒中,黃宇傲天",2015-04-25,"
●二十世紀初烏雲密布的物理學天空，量子力學和相對論是如何噴湧而出的? ●沿著歷史軌跡與人物軼事，帶領我們回到革命的時代。 ●從震撼人心的物理學傳奇故事中，發掘思考的原動力。   本書描述了在二十世紀...more
",https://www.books.com.tw/products/0010672567?loc=P_0003_025
26,夸克與宇宙起源,侯維恕,2015-01-01,"
筆者以錢思亮先生紀念演講的內容為大綱，寫成了這本基本粒子最前沿的科普書籍，以說故事的方式，深入淺出地介紹了近代粒子物理中幾個舉足輕重的重大發現：   一、拉塞福帶領人類看見原子之中還有結構，開...more
",https://www.books.com.tw/products/0010660618?loc=P_0003_026
