,書名,作者,出版日期,內容介紹,網址
1,不用背公式就能知道的趣味化學故事,張允誠,2020-06-01,"
柔軟的棉花在生活中經常用到，   然而柔軟溫順的棉花   卻有著無與倫比的威力，   你知道是什麼威力嗎?    世界雖然很複雜，卻也充滿著奇幻。   化學就是我們的身邊，並且很有趣!   在輕鬆閱讀中學到知識...more
",https://www.books.com.tw/products/0010859895?loc=P_0003_001
2,化學與人生(5版),魏明通,2019-08-25,"
從來沒有一門學科像化學一樣，與人類生活息息相關的。本書以有趣而具可讀性的方式介紹衣、食、住及行的化學。衣的化學除了各種纖維、染料、清潔劑之外，另加最近熱門話題的變色衣料及潑水透濕衣料等。食的...more
",https://www.books.com.tw/products/0010833081?loc=P_0003_002
3,薄膜科技概論,"劉英麟,呂幸江,孫一明,安全福,崔玥,張雍,李亦宸,李岳憲,李魁然,楊台鴻,洪維松,游勝傑,王大銘,童國倫,羅林,胡蒨傑,莊清榮,賴君義,賴振立,鍾台生,阮若屈,陳世雄,陳榮輝,韓剛,高從堦,黃書賢",2019-07-10,"
鑒於國內學界參與薄膜科技研究及業界運用膜者眾，但缺少一本適當的書籍，既可作為學界的教科書，也提供自修者學習的參考書。因此，撰寫一本薄膜科技的專門書籍，是編者多年來的願望。希望此書面世能成為產...more
",https://www.books.com.tw/products/0010828292?loc=P_0003_003
4,奇幻礦物盆景：水族箱與玻璃瓶中的精美礦物庭園,佐藤佳代子,2019-06-20,"
宛如來自異世界的神秘收藏品 化學樹、絨球、微生物與水母交織譜出的靜謐樂章 與眾不同且難得一見的罕見生態瓶 優雅、華美、可愛又歷久不衰 自製魅力無限的「奇幻盆景」   ★第一本令人驚豔的礦物盆景&生態...more
",https://www.books.com.tw/products/0010825474?loc=P_0003_004
5,生活物理,長澤光晴,2019-06-12,"
自然、運動、交通工具、光與聲音…… 用物理解開生活周遭所有的「為什麼」!   物理最吸引人之處，在於利用幾項定律或定理並搭配部分假設就能探討各種現象。本書所探討的主題全是不著痕跡地存在於你我周遭的...more
",https://www.books.com.tw/products/0010824304?loc=P_0003_005
6,燒杯君和他的化學實驗,上谷夫婦,2019-02-24,"
燒杯君和他的夥伴們領銜主演，講解超過20種化學實驗! 看燒杯君在搞什麼鬼!   ● 實驗器材擬人化， 依實驗類型分成5個章節，共介紹超過 20 種化學實驗。   ● 把化學實驗變有趣。幫助你在進行實驗時，輕鬆設...more
",https://www.books.com.tw/products/0010814102?loc=P_0003_006
7,生活中的毒物科學：如何吃得安全、健康? 不可不知的毒與解毒知識,小城勝相,2019-02-14,"
日常生活中，我們不知不覺吃進了多少毒?   毒物進入人體內最常見的途徑即是食物。而研究食物所內含的潛在毒性物質的學問，即被稱為「毒物學」。   洋芋片、乳瑪琳、二手菸中含有毒物質眾所皆知，但甚至連...more
",https://www.books.com.tw/products/0010813401?loc=P_0003_007
8,超圖解毒物圖鑑：科學監修作家告訴你30種致病且致命的毒物,"くられ,姬川たけお",2018-12-26,"
「活物勿近!?」   如果用分子、原子的等級來看人類，首先，人的身體裡有大量水分。接著，眾多蛋白質以絕妙的平衡存在於體內。不需要的產物，就會以二氧化碳、氨等的型態排出體外。如此這般，一面控制著化...more
",https://www.books.com.tw/products/0010808675?loc=P_0003_008
9,化學，就是這樣的!(2版),日本化學會,2018-11-28,"
◎榮獲 2010全國科普閱讀年百種好書 化學類   本書是由許多從事化學工作的人所共同合作完成，希望讓大家能更了解化學，也希望大家能喜歡化學。本書選出大約七十個相關主題，如化學是什麼樣的學問、化學的基...more
",https://www.books.com.tw/products/0010806265?loc=P_0003_009
10,毒家報導 : 揭露新聞中與生活有關的化學常識(四版),高憲明,2018-09-28,"
高教授於中央大學開設「化學與生活」通識，將平常上課內容撰寫整理，並加入時事新聞，舉凡近日時常被討論的開放美牛進口之「瘦肉精」、先前頗具爭議的毒奶事件「三聚氰銨」及早已不知道喝下多少的飲料瓶毒...more
",https://www.books.com.tw/products/0010800531?loc=P_0003_010
11,微泡發生器流體動力學機理及其仿真與應用,李浙昆,2018-09-28,"
本書是作者十餘年來對微泡發生器的研究與開發、對流體動力學研究的總結。內容主要分為三個部分。   第一部分：以射流式微泡發生器為例，研究了微泡發生器流體動力學機理、微泡生成機理及射流微泡發生器、...more
",https://www.books.com.tw/products/0010801080?loc=P_0003_011
12,跟著怪咖物理學家一起闖入核子實驗室：一次搞懂核融合、核分裂、連鎖反應、原子彈、氫彈、中子彈的超強威力,多田將,2018-06-20,"
極小世界爆發的極大破壞力 純粹以物理學觀點解析人類史上最強的武器   怪咖物理學家又來了!這回，他將結合自己的暗黑嗜好與學術專業，向大家揭露核子武器不為人知的祕密!   即使只有高中物理和化學常識的...more
",https://www.books.com.tw/products/0010789745?loc=P_0003_012
13,化學實驗：生活實用版(第三版),莊麗貞,2018-05-15,"
對大多數的學生而言，化學一向是最傷腦筋的課目之一，若能將生活中常見的物品，帶入實驗室中，讓學生有參與感，體認化學即是生活，則會達事半功倍之效。本書「化學實驗-生活實用版」將化學理論與一般生活...more
",https://www.books.com.tw/products/0010790888?loc=P_0003_013
