,書名,作者,出版日期,內容介紹,網址
1,極度地球：你的小小行動，對世界有超級影響力!搶救七大生態浩劫危機，化身地球守護者，小行動護家園的求生行動指南,克里夫‧傑福,2020-10-01,"
SOS!地球陷入極度危機! 海洋微粒、全球暖化、氣候劇變、水源汙染、垃圾超載、森林消失…… 了解地球生態危機， 每一個人都不能置身事外， 你，就是最棒的環保小鬥士! 現在就用行動修復家園， 地球因為有了你...more
",https://www.books.com.tw/products/0010871113?loc=P_0003_001
2,地質學家的記時錄：從山脈、大氣的悠遠演變，思索氣候變遷與地球的未來,瑪希婭‧貝約內魯,2020-04-01,"
榮獲2019年美國出版商協會大眾科學與數學類散文獎、2019年美國圖書館協會年度傑出學術寫作作品、2018 EcoLit Books最佳環境寫作選書 入圍2019年美國筆會/E.O.威爾遜文學科學寫作獎初選、《洛杉磯時報》科...more
",https://www.books.com.tw/products/0010853088?loc=P_0003_002
3,天崩地裂的科學預言：天啟末日真會到來?人類有能力阻止或只是無助地等待,西川有司,2019-04-10,"
宇宙學大師史蒂芬•霍金最終預言： 人類的浩劫，百分之百降臨! 全球不時出現九級強震、巨大海嘯與極端天氣 毀天滅地的災難撲面而來之前， 我們能否阻止?還來得及嗎?   身處最易受災地區，台灣不可不知的科...more
",https://www.books.com.tw/products/0010818005?loc=P_0003_003
4,翻轉災難,羅伯．謬爾伍德,2019-03-06,"
臺北市長柯文哲 新北市長侯友宜 國內外專家學者 齊聲誠摯推薦   災害的發生由天而定，   災害所帶來的損失主要則是人禍所致!   長久以來，天然災難層出不窮，人類不斷嘗試克服來自大自然的威脅，並訂立各...more
",https://www.books.com.tw/products/0010814529?loc=P_0003_004
5,打開人與環境潘朵拉之盒,何昕家,2018-03-10,"
一本跨越通識與環境兩大教育領域的書籍，進行一場對自然環境的探索與實踐。   ◎對一般讀者而言，這是瞭解環境倫理與永續發展非常親近的讀本；環境教育專業工作者，也能從這本書中獲得深層的發想。   ◎將環...more
",https://www.books.com.tw/products/0010780781?loc=P_0003_005
6,環境科學概論：結合全球與在地永續發展 8/e,Cunningham,2018-01-01,"
環境保護及永續發展不僅是世界各國政府公部門的問題，也是私部門的問題，更是民眾切身相關的問題。在極端的環境問題背後，如果能有一本可以詳盡介紹環境科學各面向的書，則可更系統性地了解環境問題。幸運...more
",https://www.books.com.tw/products/0010778747?loc=P_0003_006
7,沸騰的河流：亞馬遜叢林的探險與發現(TED Books系列),安德魯．盧梭,2016-08-31,"
☆《國家地理雜誌》、《富比世》、《赫芬頓郵報》專文報導 ☆超人氣TED演講影片總點閱近80萬次   叢林是一個充滿傳說和幻象的地方，這條河的確真實存在，然而它為什麼會沸騰?   國家地理學會探險家安德魯‧盧...more
",https://www.books.com.tw/products/0010726599?loc=P_0003_007
8,販賣懷疑的人：從吸菸、DDT到全球暖化，一小群科學家如何掩蓋真相,"娜歐蜜．歐蕾斯柯斯,艾瑞克．康威",2016-08-10,"
★究竟為什麼，原本該致力挖掘自然界真相的科學家，會刻意扭曲同儕的研究成果?   為什麼他們要散布毫無根據的指控?   為什麼就算觀點已經證實並非事實，他們仍然拒不修正?   又為什麼就算他們的主張已經被...more
",https://www.books.com.tw/products/0010722942?loc=P_0003_008
9,海風下,瑞秋．卡森,2015-10-28,"
美國自然保育先驅、《寂靜的春天》一書作者 瑞秋.卡森逝世50週年紀念版。   《海風下》一書，詩意與科學知識深入並存，   被譽為卡森最成功的作品，成為後世自然寫作的標竿，   也是她晚年回顧時最鍾愛的...more
",https://www.books.com.tw/products/0010693273?loc=P_0003_009
10,臺灣風險十堂課：食安、科技與環境,周桂田,2015-08-12,"
本書特色   一再爆發的食安問題，人心惶惶，究竟該如何解決?經濟開發與環境保護，如何取捨?如何兼顧?高科技系統風險與科學證據的不確定性該怎麼辦?      危機就是轉機!現在正是風險治理觀念全面轉型的契機...more
",https://www.books.com.tw/products/0010687336?loc=P_0003_010
11,文明密碼：台灣「進步」啟示錄,經典雜誌,2013-06-12,"
以宏觀的視野，體檢台灣自然環境痼疾   以微觀的角度，診斷台灣人的生活文明病   《經典》編輯團隊傾全力投入   徹底調查生態環境的惡質化   並探討食衣住行美育等日常面向的文化質地   為台灣的永續生存...more
",https://www.books.com.tw/products/0010588708?loc=P_0003_011
12,糧食危機關鍵報告：台灣觀察,彭明輝,2011-04-03,"
台灣物產豐饒，農業技術傲視全球，糧食危機絕對不會燒到台灣來? 錯! 近七年來，台灣的綜合糧食自己率逐年下降，早就不能養活自己! 台灣外匯存底高，就算農產量不足，有錢還是買得到糧? 錯! 「有錢就買得到...more
",https://www.books.com.tw/products/0010501028?loc=P_0003_012
13,生態旅遊：保育、水利與環境,施上粟,2009-12-15,"
1.本書針對水文循環在生態旅遊的意涵進行論述，並介紹若干理論及實際案例，希冀提供讀者更專業而深入的了解，並希望能統整水域生態旅遊的理論架構。   2.全書分為二篇，「總論篇」敘述生態旅遊、水文學、...more
",https://www.books.com.tw/products/0010456642?loc=P_0003_013
14,自然與人為互動：環境史研究的視角,劉翠溶,2008-12-30,"
這本論文集收錄中央研究院臺灣史研究所第二次環境史研討會的部分論文，自然與人為分別在光譜的兩端，然而其間的重疊互動則呈現出複雜的關係。作者來自不同的學術領域，包括地質科學、地球科學、大氣科學、...more
",https://www.books.com.tw/products/0010424026?loc=P_0003_014
