,書名,作者,出版日期,內容介紹,網址
1,地表最強!省錢裝潢中古、老屋全攻略 終極版,漂亮家居編輯部,2020-07-18,"
懂得精簡費用，30坪只要150萬元，老宅也能變成舒適宅! ◆老屋裝潢關鍵Q&A：想要省錢，一定必知的20個問答。 ◆ Step by step：清楚易懂的步驟，一步一步帶你省錢裝修老屋! ◆ 找出老屋居住危機：教你判斷老屋...more
",https://www.books.com.tw/products/0010863606?loc=P_0003_001
2,日本大師才懂系列套書(三冊)：《日本設計師才懂的好房子法則》、《蓋出好房子──日本建築師才懂の思考&設計》、《日本造園大師才懂的，好房子景觀設計85法則》,"川村奈津子,森清敏,荻野壽也,黑崎敏",2020-07-15,"
本套書組合：《日本設計師才懂的好房子法則：小坪數的難題，他們最懂；蓋房子的設計，他們想得最細。日系動線、格局、建材、手法、蓋屋知識全公開!》、《蓋出好房子──日本建築師才懂の思考&設計：看圖就會...more
",https://www.books.com.tw/products/0010863564?loc=P_0003_002
3,中古公寓變身風格好宅的基本法則,主婦之友社,2020-06-22,"
從選屋到翻新裝潢，全方位基本法則+收納訣竅，   打造個人風格&舒適度兼具的住家改裝實用指南!    高貴新成屋難以下手，不如精打細算升級老公寓，量身打造變身風格好宅!   從買房時的屋舍選擇、購屋手續、...more
",https://www.books.com.tw/products/0010861283?loc=P_0003_003
4,老屋翻新一本通：速懂危老條例 X精算翻修成本，重建、改建、整建疑難全解!,漂亮家居編輯部,2019-11-21,"
老屋挑得好，裝修沒煩惱；老屋買不好，住得真困擾! 不知道老屋到底該整建、改建，還是重建? 「老屋價值評估檢測」，教你立刻判定老屋價值， 針對3種不同類型的老屋，推出完全攻略! ※不堪使用型老屋→重建 ...more
",https://www.books.com.tw/products/0010839930?loc=P_0003_004
5,一看就懂家屋的運作和維護,查理・溫,2019-09-11,"
文科生也能看得興味盎然的工程圖   不再為一兩分鐘就能自己動手解決的小狀況而打電話叫修   家屋是許多人一生中最重要的有形資產，提供全家人最大的舒適、庇護，也常是我們情感的莫大依托。但這跟我們朝夕...more
",https://www.books.com.tw/products/0010832905?loc=P_0003_005
6,靠北真心話：室內設計師的暗黑小學堂,陳岳夫,2019-05-07,"
人啊，總覺得自己很了解自己。 可是像我從事室內設計工作這麼多年，常常遇到想要這個、想要那個的業主，都搞不清楚自己到底要的是什麼……陳岳夫   擁有一個夢想中的家，是每個人的願望。但是如何將自己對空...more
",https://www.books.com.tw/products/0010820270?loc=P_0003_006
7,老屋創生25帖,"劉熒楓,張尊禎,曾淑美,李應平,林欣誼,葉益青,陳國慈,陳歆怡,高嘉聆",2019-04-26,"
★著重老房子再利用之經營模式探討，對於有心活化老屋者，特別具參考價值   ★25個案例分布北中南東各縣市與離島，老屋年資從戰後上溯至清代，建築形式包含傳統三合院、街屋、日式宿舍到近代產業建築，具多...more
",https://www.books.com.tw/products/0010819480?loc=P_0003_007
8,後半輩子最想住的家：先做先贏!40歲開始規畫、50歲開心打造，好房子讓你笑著住到老,林黛羚,2018-11-01,"
│好房子，讓你笑著住到老│   40歲開始規畫、50歲開心打造!   越住越年輕   給自己一個安心減齡的家   讓父母好用、自己未來也享受，別等「老了再說」!   【老後的家，不是你所想的那樣!】   ●高齡住家≠100...more
",https://www.books.com.tw/products/0010802963?loc=P_0003_008
9,日本式建築改造法：耐震補強、節能改造重點技巧╳RC、木造建築改造設計流程全圖解,田園都市建築家之會,2018-07-28,"
建築改造，讓老屋重獲新生! 建築要全面改造還是局部翻修?需要改造的是客廳、廚房還是臥室?有沒有年幼孩童或行動不便的年長者?是否要注意無障礙空間?有無防火、防震、採光、隔音的性能需求?最重要的是業主...more
",https://www.books.com.tw/products/0010793426?loc=P_0003_009
10,做對翻修，老屋再住20年：從挑對屋型、掌控預算到裝修工程，老屋變身好屋必學翻修技巧,東販編輯部,2018-04-26,"
漏水、壁癌、格局不佳、採光差， 老房子最常見問題，其實都有解!! 老屋翻修全解析， 解決屋況困擾， 學會預算內做對、做好老屋整修， 再住20年!   新的房子買不起，不如整修老屋繼續住，只是老房子年久失...more
",https://www.books.com.tw/products/0010785260?loc=P_0003_010
11,居家改造教科書,坂田夏水,2018-03-31,"
~CP值超高的DIY翻修手法!~ 提升空間質感、機能， 房東、租客務必要看! 本書特色   ◎4大新手不敗翻修手法：粉刷、黏貼、安裝、裝飾，4種簡易、省時的改造工程，親子一起做也很好玩!   ◎列出「DIY」VS.「委...more
",https://www.books.com.tw/products/0010783340?loc=P_0003_011
12,《住好也要住健康》套書限量優惠組：遠離病住宅的健康設計+拯救二手屋,SH美化家庭,2017-12-18,"
本套書組合：《拯救二手屋》、《遠離病住宅的健康設計》      年前裝潢開工前一定要讀的指導書。      改造老屋是為了安全與未來生活，   但是潮溼高溫的環境讓有害物質散發更快，   影響的是全家罹癌的機...more
",https://www.books.com.tw/products/0010772105?loc=P_0003_012
