,書名,作者,出版日期,內容介紹,網址
1,建築的誕生：15位傳奇大師的生命故事，161件影響世界美學的不朽作品,金弘澈,2020-11-01,"
他們，讓建築誕生了!   安東尼‧高第，建造聖家堂奉獻一生的西班牙建築師。   他說：「直線屬於人類，曲線屬於上帝。」   密斯‧凡德羅，他掀起現代建築風潮，建造起讓紐約天際線脫胎換骨的摩天大樓，是前無...more
",https://www.books.com.tw/products/0010874066?loc=P_0003_001
2,百年貝聿銘：游弋於不同文明之間的建築大師,"李菁,賈冬婷",2020-09-01,"
本書以記者視角展現了貝聿銘的一生。既是一部貝聿銘的成長傳記，又是一部貝聿銘建築設計作品的編年史傳。兩位作者實地採訪，內容真實可靠：不僅採訪貝聿銘的兩個兒子、他的幾位助手、項目參與者和傳記作者...more
",https://www.books.com.tw/products/0010867316?loc=P_0003_002
3,聖地牙哥.卡拉特拉瓦：關於他的手繪與建築的所思所想,"克莉絲汀娜．卡西歐．德．阿爾伯諾茲,聖地牙哥．卡拉特拉瓦",2020-06-24,"
「我從未遵循過任何學派的規定。同時，我沒有自行創建新學派的野心；我只是試圖以不同的方式實踐兩三件事，從事建築這門藝術，因為我相信從做得好的事情中所產生的「魔力」。至少在設計形式的階段，建築師...more
",https://www.books.com.tw/products/0010860698?loc=P_0003_003
4,建築的夢想：龐畢度中心建築師理察‧羅傑斯自傳,"理察‧布朗,理察‧羅傑斯",2020-03-16,"
2007普立茲克獎建築獎得主∣威尼斯建築雙年展終身成就獎   英國左派建築師Richard Rogers   情感豐沛的自傳&回憶錄    這不是一本人生勝利組的典型傳記   讀寫障礙，不擅繪圖，被AA建築聯盟學院教授認定不...more
",https://www.books.com.tw/products/0010851022?loc=P_0003_004
5,建築師，很有事：畫說空間的療癒與幽默，林淵源的異想世界,林淵源,2020-02-06,"
“建築師”── 牆外的人覺得是個高大上的職業，在紙上畫上幾筆，彷彿就能成為舉世矚目的地標建築， 牆內的人則是在無止境的提案、畫圖、修改迴圈中焚膏繼晷，受到業主與法規、施工等無情現實的折磨， 當我們...more
",https://www.books.com.tw/products/0010847390?loc=P_0003_005
6,This is萊特(增訂新版),伊恩．佛爾納,2019-12-30,"
「當我還年輕時，我必須在誠實的傲慢或虛偽的謙遜之間做選擇，我選了前者，而我看不出改變的必要。」──法蘭克.洛伊.萊特   美國建築師協會票選二十世紀全美十大建築，第一名即為法蘭克.洛伊.萊特的落水山...more
",https://www.books.com.tw/products/0010843131?loc=P_0003_006
7,HO!SANAA：妹島和世+西澤立衛的溫柔建築風景,謝宗哲,2019-11-27,"
日本最具傳奇的建築俠侶 第一本貼近普立茲克建築獎二人組的專書   建築學者謝宗哲歷時十年書寫力作   從21世界金澤美術館、紐約新美術館到羅浮宮朗斯分館   成長歷程、創業起始、創作養分、旅行壯遊到作品...more
",https://www.books.com.tw/products/0010835449?loc=P_0003_007
8,現代性的魅惑：修澤蘭與她的時代,殷寶寧,2019-11-20,"
臺灣第一女建築師修澤蘭── 超越時代的建築先驅者                   修澤蘭是臺灣戰後重要的建築師之一，作品具高度表現性與雕塑性。設計作品類型多元，包括學校、教堂、火車站等，最膾炙人口的代表作為陽...more
",https://www.books.com.tw/products/0010840115?loc=P_0003_008
9,路易斯‧康：在建築的王國中,"大衛‧B‧布朗寧,大衛‧G‧德‧龍",2019-09-28,"
我相信建築師在某種程度上必須回過頭去聆聽最初的聲音。──現代建築史上的傳奇人物    我覺得路易斯•康是一個神祕的人，因為他具有發現「永恆價值——真理——生命本源——靈魂」的高度自覺。──印度建築師多西   ...more
",https://www.books.com.tw/products/0010835477?loc=P_0003_009
10,思慕的城,陳家毅,2019-08-22,"
知名建築師帶你漫步世界各大城鎮   建築師陳家毅因工作之需遊歷世界各地，他以敏銳的雙眼，細膩的筆觸，寫下記憶中的城市，將屬於視覺的建築，轉化為詩意的文字。建築師不僅建設樓宇，也記錄城鎮的變遷、...more
",https://www.books.com.tw/products/0010830949?loc=P_0003_010
