,書名,作者,出版日期,內容介紹,網址
1,世界是垂直的：從人造衛星、摩天大樓到地底隧道，由分層空間垂直剖析都市中社會、政治的權力關係,史提芬．葛雷罕,2020-10-29,"
▌當我們習慣以平面看世界，我們漏看、錯看了什麼?▌ 新堡大學都市地理學家帶領讀者自高處出發，沿垂直縱軸逐步遞降，並深入地表之下； 從高懸都市上方太空、大氣層的飛行物體，到城市中的大樓、棚戶與各式...more
",https://www.books.com.tw/products/0010870428?loc=P_0003_001
2,城市如何運作：從人文學看待城市的15種觀點,俞炫準,2020-10-23,"
翻開城市的15張臉   城市是一個有機體，   城市有生也有死。   從巷弄到公寓，從橋樑到公園，   一步步帶領讀懂你我的城市，   看見空間裡的政治、經濟、文化、歷史、人文與科學，   解析道路的法則、為何...more
",https://www.books.com.tw/products/0010873111?loc=P_0003_002
3,香港築印,馮俊鍵,2020-09-18,"
歲月悠長的建築   仍蘊含着流動的生命   走在香港的大街上，總會與不同的建築物擦身而過，新舊區交替之間，不少建築屹立於城市多年，成為歷史的見證，承載着幾代人的回憶。   本書以細膩的筆觸與繪畫，勾...more
",https://www.books.com.tw/products/0010871416?loc=P_0003_003
4,我高齡，我想去公園玩：高齡友善環境建構指南,李麗雪,2020-09-18,"
當我老了─我想要什麼樣的公園?   景觀空間設計師─我會設計出什麼樣公園給高齡者使用?   公部門的人─我要端出什麼樣的公園願景給高齡民眾?   台灣已是高齡社會，預計2026年將邁入超高齡社會，我們的高齡行...more
",https://www.books.com.tw/products/0010871137?loc=P_0003_004
5,都市及區域計劃(二版),辛晚教,2020-09-08,"
都市及區域計劃的目的，一方面為了調和土地使用過程中彼此的競爭衝突，避免因濫用或誤用降低環境品質；另一方面必須積極地引導都市及區域適度成長，提升土地資源使用效能。由於此學門涉及廣泛的學術領域，...more
",https://www.books.com.tw/products/0010800963?loc=P_0003_005
6,寫給凡夫俗子的地區再生入門：20年實證經驗，122個地方創生關鍵詞，擺脫寄生政府、再造故鄉價值的教戰法則,木下齊,2020-08-29,"
――――靠關係拿補助，拚命提案賺考績，寄生政府只會越來越衰敗!――――  臺灣「地方創生元年」之後，真正該「創生」的是誰?  日本地方創生導師集結20年精髓暢銷力作 特別收錄臺灣版專文，深入剖析「臺日地方創...more
",https://www.books.com.tw/products/0010867607?loc=P_0003_006
7,百年眾望經典.明日田園城市：與飛機並列20世紀初期兩大發明，超前時代的城市規劃先聲,埃伯尼澤‧霍華德,2020-08-14,"
沒讀過霍華德《明日田園城市》，別說你懂都市計畫 城市規劃最受推崇，也最受誤解的跨世紀經典 與飛機並列20世紀初期兩大發明，超前時代的城市規劃先聲    ★本書帶領所有困惑的臺灣人，回到霍華德提出田園...more
",https://www.books.com.tw/products/0010866916?loc=P_0003_007
8,巷弄經濟學,牟鍾璘,2020-08-06,"
城市的未來，取決於巷弄競爭力 巷弄不只是觀光、文化、生活風格的匯聚地， 更是創意城市崛起最前線! 精選世界知名巷弄經營案例： 韓國弘大、日本富山、英國愛丁堡、美國布魯克林、中國上海、新加坡中峇魯...more
",https://www.books.com.tw/products/0010865443?loc=P_0003_008
9,棲居：都市規劃的過去、現在與未來，如何打造開放城市，尋找居住平衡的新契機?,理查．桑內特,2020-06-13,"
城市是如何建造的，人如何生活其中?  紐約中央公園設置多出入口、低矮柵欄，卻未能促進城市社交? Googleplex打造自給自足的內部設計，竟阻礙了創意發揮? 黑格爾人文與社會科學終身成就獎得主，經典《肉體...more
",https://www.books.com.tw/products/0010860355?loc=P_0003_009
10,規劃快題設計：設計方法與案例分析(彩色版),韋爽真,2020-06-05,"
現如今有很多優秀的規劃設計師都在探討一個問題，如何才能在最短的時間裡表現出一個好的規劃設計效果?在規劃設計行業中，手繪是學習和工作中不可或缺的技能，貫穿規劃設計方案的過程。    電腦3D表現有著...more
",https://www.books.com.tw/products/0010860747?loc=P_0003_010
11,街頭設計：改變街道的七種方式,"以倉敬之,吉城壽榮,影山裕樹,柿原優紀,榊原充大,武川寬幸,江上賢一郎,笹尾和宏,高岡謙太郎",2020-04-24,"
●一本讀完就讓你忍不住想走上街頭，打造有趣戶外活動的實踐手冊。   ●收錄七個獨特的戶外活動案例，從戶外音樂節、公園婚禮到星空電影節等，看見不同活動如何活化公共空間，打造截然不同的風景。   ●多位...more
",https://www.books.com.tw/products/0010854722?loc=P_0003_011
12,公園地景百年流轉：都市計畫下的臺北，邁向現代文明的常民生活史(特贈「日治臺北市區計畫街路並公園圖」),林芬郁,2020-04-11,"
一座城市，總少不了公園  都市叢林中的唯一綠地，誕生於台灣不過120多年  ◎特別贈送： 1932年日治「臺北市區計畫街路並公園圖」 「臺北公園系統」古今對照賽璐璐透明片   ●1932年一張市區計畫圖，揭開臺北...more
",https://www.books.com.tw/products/0010854163?loc=P_0003_012
13,街道美學,蘆原義信,2020-03-28,"
日本當代建築大師帶你走訪世界各大城市，丈量街道的視覺秩序，重新發現平凡而偉大的美。 美化街道需要花大錢嗎?其實只需要改變思維，每個人都能發揮影響力!   ♦日本建築大師最膾炙人口的著作，首度正式授...more
",https://www.books.com.tw/products/0010853257?loc=P_0003_013
14,建築美學.永續城鄉：空間、社區、不動產的循環經濟,張桂鳳,2020-03-25,"
地方創生✕智慧城市✕搖籃到搖籃的永續設計   10年後的世界，將以什麼面貌呈現?   當人口、資源、環境瀕臨極限，一場新型態的經濟革命應運而起。   永續、綠化、零浪費，這些關鍵字已不能停留於美好願景中，...more
",https://www.books.com.tw/products/0010853955?loc=P_0003_014
15,折疊都市：從日本的都市規劃實踐經驗，探尋人口減少時代的城市設計和人本生活,饗庭伸,2020-03-07,"
――――今後的城鄉和社區不是「營造」，而是「折疊」―――― 作者專文導讀臺日經驗觀察 × 來自日本的都市計畫處方箋 ★21世紀是城市的世紀，有些城市爆炸性成長、有些城市持續收縮，面對總體人口減少的時代，好的...more
",https://www.books.com.tw/products/0010850745?loc=P_0003_015
16,巷口3067：一場擾動與連結新竹舊城的教育實驗,"張祐境,曾聖凱,林士平,盧柏云,羅玉婷,董昭民,蔡宜穎,蔡雨靈,許倍銜,詹宜螢,陳延昇",2020-01-22,"
市場中的策展活力，擾動新竹舊城的新面貌   新竹舊城區由老空間、老文化、老產業等元素組合形成特色，隨著時代變遷，舊有的元素逐漸衰敗，且脫離一般人的生活。如何透過有形和無形、軟體或硬體的手段，發...more
",https://www.books.com.tw/products/0010844725?loc=P_0003_016
17,東京大學最終演講：我與都市共學的這條路,西村幸夫,2020-01-15,"
近40年的街町保存、社區營造與都市計畫經驗， 沉澱粹鍊出與都市共學所得之10項心法。 本書總結著西村幸夫教授對都市、對社區營造的心血經驗。 既是十個接續的心法，也是社區營造的青年世代值得借鏡的一個...more
",https://www.books.com.tw/products/0010845968?loc=P_0003_017
18,都市規劃界傳奇套書《偉大城市的誕生與衰亡》+《凝視珍‧雅各》,"珍‧雅各,羅伯特・卡尼格爾",2019-12-13,"
影響二十世紀城市面貌最深遠的人物──珍‧雅各，不可不讀的現代都市規劃經典──《偉大城市的誕生與衰亡》，透過她的眼，得以更理解城市，更深刻明瞭美好生活的本質。透過這本世紀好書，得以反思現代都市生活...more
",https://www.books.com.tw/products/0010842398?loc=P_0003_018
19,時速五公里之前的城市：由高雄老屋開啟地域性空間論述,林宛蓁,2019-12-13,"
人眼在時速40公里的行車中會產生47公分的動態模糊， 這讓當代的都市移動經驗只剩下起點與終點； 若回到時速5公里以下、以步行為主的年代， 建築的意義對我們會有什麼不同?   高雄，臺灣第一大港，是一座從...more
",https://www.books.com.tw/products/0010844270?loc=P_0003_019
20,偉大城市的誕生與衰亡：美國都市街道生活的啟發(世紀經典名著，全新直排校對新版),珍‧雅各,2019-12-11,"
讓規劃大師霍華德「田園城市」、建築巨擎科比意「光輝城市」黯然失色的經典名著! 世紀好書、永恆必讀經典!超越時間與空間、跨越世代的城市之心   2006年4月25日，哥倫比亞廣播公司、《紐約時報》、《華盛...more
",https://www.books.com.tw/products/0010842222?loc=P_0003_020
21,海市蜃樓VII：台灣閒置公共設施抽樣踏查,"LSD,姚瑞中",2019-12-02,"
台灣各地常可見偌大的閒置公共設施，其產生的原因包括政黨輪替、政務官更迭、競選支票承諾、政策轉彎、空間使用目標不明確、特定活動而非常態活動之建設、管理不善、不當的競爭型計畫、法規過時或抵觸、行...more
",https://www.books.com.tw/products/0010841939?loc=P_0003_021
22,AAA城市藝術生活誌04：空間編輯者,忠泰集團,2019-11-30,"
創刊於2016年的《AAA》，取材涵蓋6大領域：閱讀城市、聚落生活、街區研究、市集遊逛、風格店鋪和住所潮流。在「空間的趣味  藝術的體會  生活的滋味」的主軸之下，我們從《城市舊街區的新提案》、《雙城...more
",https://www.books.com.tw/products/0010847189?loc=P_0003_022
23,社會小設計：從點到面的設計串聯，小改變翻轉地方大未來,謝淳鈺,2019-11-07,"
你逛過楊梅永寧社區的百年古蹟「江夏堂」、「驛品香生態農場」嗎? 想到新竹寶山，你會想到什麼?水庫?還是黑糖? 看似即將消失的傳統木雕、竹編，你知道也能變身現代傢具、燈具嗎? 透過「為社會而設計」，農...more
",https://www.books.com.tw/products/0010838198?loc=P_0003_023
24,社區交往：臺北場所創生紀實【2009-2019】,"侯志仁,劉柏宏,曾毓仁,林蔓娟,詹育芳,謝昀軒,連振佑",2019-10-25,"
一切的緣起從2009年開始，當時臺北正流行著「國際花卉博覽會」，也因為「花博」的緣故，臺北市政府向市民推出了「臺北好好看」整合型計畫，期望城市發展能在國際會展的帶動下蛻變，從窳陋建築、地標意象、...more
",https://www.books.com.tw/products/0010837545?loc=P_0003_024
25,台灣建築獎十年合輯2009~2018,,2019-09-20,"
台灣建築獎自民國67年舉辦第一屆「建築師雜誌獎」以來，從無間斷的舉辦至今40週年，2008年曾於雜誌製作「台灣建築獎30週年」及「30週年論壇」。自2009~2018已累計表揚44件作品(12件台灣建築獎、28件台灣建...more
",https://www.books.com.tw/products/0010834369?loc=P_0003_025
26,香港道路探索：路牌標誌x交通設計,邱益彰,2019-09-12,"
本書為香港第一本專述道路設計及字型專書。書中遊走英、美、歐、日，考察世界道路設計，借鏡探討香港主要道路網絡發展，分享路牌款式的演變，以及展示香港獨有交通標誌、監獄體路牌等，邀請大家一同發掘身...more
",https://www.books.com.tw/products/0010834129?loc=P_0003_026
27,城鄉規劃讓生活更美好：實踐篇,韓乾,2019-09-10,"
✮國寶級城鄉規劃大師的集大成✮   規劃不再紙上談兵!讓美好的實踐成為每個城鄉的必須!   本書承接《理念篇》對土地與資源的溫柔關懷，更由政策、規範等執行面探究城鄉規劃之實踐。   城鄉規劃最重要的，就...more
",https://www.books.com.tw/products/0010836781?loc=P_0003_027
28,打造所有人的理想歸宿：在地整體照顧的社區設計,山崎亮,2019-08-23,"
年老了也不想住進養護機構，但又擔心獨居在家發生意外無人協助?   看日本如何運用「社區設計」的概念，打造出擁有照護機能的理想歸宿!   年齡增長是所有人都會面臨的課題，而高齡化問題也是現今社會需要正...more
",https://www.books.com.tw/products/0010831711?loc=P_0003_028
29,空間正義,愛德華．索雅,2019-07-10,"
「當一位都市理論的世界領導者將他的思想與當前都市社會運動的意義相結合時，產生的就是一部精采卓越的著作，它告訴我們另一種城市是可能的，並且進而探索成就這種城市的各種方法。」—— 曼威.柯斯特 (Manu...more
",https://www.books.com.tw/products/0010826020?loc=P_0003_029
30,遊牧世界的市民城市：探討未來新生活型態城市創生發展新思維,查爾斯．蘭德利,2019-06-08,"
當「移動」成為生活、工作、探索的常態時， 世界成為處處挑戰、處處是機會的新遊牧時代， 在此流動浪潮下，居住者與城市的關係必須重新被定義 以創意推動城市改造的國際權威 查爾斯.蘭德利最新力作 探討未...more
",https://www.books.com.tw/products/0010823726?loc=P_0003_030
31,規劃快題設計：設計方法與案例分析,韋爽真,2019-05-31,"
現如今有很多優秀的規劃設計師都在探討一個問題，如何才能在最短的時間裡表現出一個好的規劃設計效果?在規劃設計行業中，手繪是學習和工作中不可或缺的技能，貫穿規劃設計方案的過程。   電腦3D表現有著很...more
",https://www.books.com.tw/products/0010824142?loc=P_0003_031
32,反造再起：城市共生ING,"侯志仁,張正,施佩吟,曾憲嫻,朱冠蓁,李仲庭,李玉華,海辰,潘信榮,綠點點點點,羅秀華,蘇睿弼,許瀞文,連振佑,都市農耕網",2019-05-22,"
「地方創生」到不了的地方，就來「反造」吧!   「反造」是種非典型都市規劃的精神和方法，強調人類共同居住在一起的單位——城市，不只由政府主導，從上而下，做理性計算的技術官僚計劃，還能由住民發動，從...more
",https://www.books.com.tw/products/0010821899?loc=P_0003_032
33,反造城市：非典型都市規劃術(增訂版),"于欣可,侯志仁,吳振廷,吳比娜,大猩猩游擊隊,康旻杰,張聖琳,施佩吟,許瀞文,連振佑,邱啟新,顏亮一,黃仁志",2019-05-22,"
「反造」是種非典型都市規劃的精神和方法，強調人類共同居住在一起的單位——城市，不只由政府主導，從上而下，做理性計算的技術官僚計劃，還能由住民發動，從下而上，進行更包容、更具創意的空間安排，實踐...more
",https://www.books.com.tw/products/0010821915?loc=P_0003_033
34,城鄉規劃讓生活更美好：理念篇,韓乾,2019-05-10,"
✮國寶級城鄉規劃大師的集大成✮   以台灣在地觀察與城鄉規劃的經典理論作對話，本書是作者對這片土地最溫柔的告白，知識豐富又富含洞見。   許多社會、經濟、環境與健康疾病問題，直接關聯到我們如何建造和...more
",https://www.books.com.tw/products/0010822838?loc=P_0003_034
35,城市的勝利：都市如何推動國家經濟，讓生活更富足、快樂、環保?(最爭議的21世紀都市規畫經典),愛德華．格雷瑟,2019-05-07,"
底特律為何一墜千里、紐約為何浴火重生? 從經濟學角度剖析都市， 挑戰你對郊區生活完美的迷思， 揭開為何都市才是歷史上引領創新、繁榮、技術與民主之地   ★《經濟學人》非文學類年度好書、《金融時報》商...more
",https://www.books.com.tw/products/0010820262?loc=P_0003_035
36,都市及區域計劃法規考題精解：都市計畫技術職系考前終極逆襲攻略,涂承澤,2019-04-30,"
與神同行，試在必行   公務人員高普特考科中，「都市及區域計畫法規」向來被視為能左右錄取結果的關鍵考科，越能精準掌握贏取高分，趁勢拉高平均分數，成功考取公職的機率越高。   作者運用「提高得分並確...more
",https://www.books.com.tw/products/0010821594?loc=P_0003_036
37,引路者：導引山崎亮走上社區設計的大師們，探究英國社區設計如何發跡，重新回復工業社會所剝奪的人性與尊嚴,山崎亮,2019-04-11,"
暢銷書《社區設計》作者山崎亮最新力作.收錄大量彩圖 山崎亮與十九世紀英國七位重要社會改革家的對話 透過工業革命後的英國，窺見當代亞洲面臨的都市問題； 從七位先賢、大師的思想，看見社區設計發展軌跡...more
",https://www.books.com.tw/products/0010817507?loc=P_0003_037
