,書名,作者,出版日期,內容介紹,網址
1,移地花競艷：臺灣亂彈戲的敘事結構與地方特色,簡秀珍,2020-10-29,"
出自清朝「花部」戲曲的亂彈戲，來到臺灣已超過兩百年，因主要以北管音樂伴奏，半世紀以來也有人稱它為「北管戲」。由於迎神賽會的大量需求，臺灣亂彈戲曾經非常興盛，然而隨著觀眾喜好的轉變，亂彈戲逐漸...more
",https://www.books.com.tw/products/0010870572?loc=P_0003_001
2,愛在三部曲25週年【珍愛典藏版】：愛在黎明破曉時+愛在日落巴黎時+愛在午夜希臘時，經典全劇作+精美劇照,"伊森‧霍克,李察‧林克雷特,茱莉‧蝶兒,金‧克里桑",2020-10-14,"
全球影迷愛戴、文青傳誦的影史最佳愛情經典， 電影上映25週年，三部曲劇作合體全球獨家首發! 愛情的樣態，時光的流變，人生的凝練， 看銀幕永恆CP傑西和席琳的精采演繹。   橫跨兩個九年(1995-2004-2013)...more
",https://www.books.com.tw/products/0010872632?loc=P_0003_002
3,"四川好女人 , 2/e (英漢對照)",貝托爾特．布萊希特,2020-09-22,"
世上真有好人嗎?   處在這個競爭激烈的世界，人能否保持純真善良，同時還能在社會上繼續生存?   《四川好女人》這部人間寓言，帶我們重新反省人性善惡、社會現實與生存選擇的問題。   本劇是布萊希特晚期...more
",https://www.books.com.tw/products/0010868503?loc=P_0003_003
4,"勇氣媽媽 , 2/e (英漢對照)",貝托爾特‧布萊希特,2020-09-22,"
是生存還是競爭?是麵包還是槍彈的戰場?    在《勇氣媽媽》中，安娜和三個子女拉著馬車販賣軍用品，靠戰爭討生活，雖然三個子女都因為戰爭而相繼喪生，明知戰爭的禍害，卻忍不住想要戰爭，拉著馬車繼續向前...more
",https://www.books.com.tw/products/0010868543?loc=P_0003_004
5,顧曲談,羅澧銘,2020-08-28,"
雅好戲曲，亦精通戲曲的羅澧銘，對廣東粵劇、粵樂，興趣尤深。他既觀劇聽曲，又同時評論劇曲，下筆有理有據，而且旁徵博引，寫的都是高素質而認真的戲曲評論。上世紀五十年代，羅氏在《星島晚報》連載一系...more
",https://www.books.com.tw/products/0010869356?loc=P_0003_005
6,古典新詮：雨果與李漁,陳佳彬,2020-08-25,"
本書以「古典新詮」為題，嘗試對古典作品進行討論，包括運用古典元素，製造新的意象，以及重新閱讀文獻，給予新詮釋。全書分上下篇。   上篇：雨果作品改編成為跨文化新編京劇研究，以《悲慘世界》、《聖...more
",https://www.books.com.tw/products/0010868787?loc=P_0003_006
7,香港文學大系一九五○―一九六九‧粵劇卷,梁寶華,2020-08-21,"
叢書簡介   二○一六年夏，《香港文學大系一九一九—一九四九》十二卷全套面世後，另一階段的《香港文學大系一九五○—一九六九》編纂計劃隨即開始籌備，二○一七年組成主編團隊，編纂方式沿用《中國新文學大系...more
",https://www.books.com.tw/products/0010868664?loc=P_0003_007
8,一生千面：唐文華與國光劇藝新美學,陳淑英,2020-07-07,"
流不盡的英雄血 斬不斷的京劇魂 精選國光劇團六齣經典劇目， 穿越古今，揉雜新舊，京劇的薪火不滅。   ◤精緻全彩舞台劇照，幕後排練側拍，劇迷不可錯過的珍貴收藏!◢   ◤中研院院士王德威先生盛讚為「台灣...more
",https://www.books.com.tw/products/0010862223?loc=P_0003_008
9,高文舉：林吳素霞南管戲傳本[精裝],林吳素霞,2020-06-01,"
南管音樂與南管戲曲在台灣已經存在好幾百年了，它典雅、精緻的樣貌與演出風格，已成為重要的文化標籤。以往它與人民的生活、習俗、宗教緊密結合，成為常民文化中不可或缺的一環。然而隨著時代改變，南管逐...more
",https://www.books.com.tw/products/0010862884?loc=P_0003_009
10,韓國華 : 林吳素霞南管戲傳本[精裝],林吳素霞,2020-06-01,"
南管音樂與南管戲曲在台灣已經存在好幾百年了，它典雅、精緻的樣貌與演出風格，已成為重要的文化標籤。以往它與人民的生活、習俗、宗教緊密結合，成為常民文化中不可或缺的一環。然而隨著時代改變，南管逐...more
",https://www.books.com.tw/products/0010862886?loc=P_0003_010
11,飄渺間往事如夢：粵劇教與學,楊慧思,2020-05-13,"
「粵劇」是香港一項世界非物質文化遺產。   通過粵劇教育深化語文學習，推動價值教育及傳承中華文化。   粵劇教學不但能拓闊學生的創意思維，打破傳統語文的學習空間，對於情意教育也有裨益。通過豐富的戲...more
",https://www.books.com.tw/products/0010857264?loc=P_0003_011
12,明代宗教雜劇研究,柯香君,2020-04-24,"
宗教與戲劇關係密切，尤其在中國多元而複雜之社會背景下，宗教是人民心中不可或缺的精神糧食。本書將從明代外緣之社會環境、內緣之劇作及作家本身生活體驗、宗教觀念等多方角度，對明代宗教雜劇進行全面性...more
",https://www.books.com.tw/products/0010855881?loc=P_0003_012
13,粵曲的學和唱：王粵生粵曲教程(增訂第四》,陳守仁,2020-03-27,"
王粵生老師是自1950年代以來，省、港、澳最傑出的粵曲作曲家，也是一代粵樂演奏家、粵劇和粵曲頭架師傅。與此同時，他作為一個粵曲導師，對粵曲演唱實踐、音樂理論、文詞格律、鑼鼓點，以至用來配合教學的...more
",https://www.books.com.tw/products/0010859126?loc=P_0003_013
14,戲曲知多點,,2020-03-13,"
知道粵劇早已於元末明初時期，已經開始萌芽嗎?   你知道戲曲不只是一個唱演的藝術，當中還包含了各種博大精深的傳統文化嗎?   你能說出粵劇以外，其他不同地區的戲曲劇種嗎?   中國戲曲藝術源遠流長，在千...more
",https://www.books.com.tw/products/0010852205?loc=P_0003_014
15,親密：高俊耀劇作選,高俊耀,2020-03-09,"
如果我要說阿爸的故事，我要從哪個點說起?從阿爸跟著阿公阿嬤來 \到馬來西亞這塊土地說起?還是從他和媽認識然後生下我們開始說起?還是從阿爸的葬禮開始說起?到底從哪個點說起才會更清楚?到底從哪個點說起...more
",https://www.books.com.tw/products/0010850955?loc=P_0003_015
16,帝女花 讀本,,2020-02-28,"
粵劇賞析入門的第一本書   全面解構經典名劇《帝女花》的說白和唱腔音樂   含重新校訂版《帝女花》全劇本   經典粵劇劇目《帝女花》，雖然已有多種版本的文本面世，而即使不少人已看過它的舞台版、欣賞過...more
",https://www.books.com.tw/products/0010850821?loc=P_0003_016
17,中國戲曲入門,,2020-02-01,"
這是一部關於中國戲曲的入門指南。   在了解戲曲以前，先要知道一些基礎知識，包括歷史淵源、種類、劇種特點、唱腔，建立一個基本的戲曲藝術觀與審美觀。   中國戲曲是文化的集大成者，包含了文學、美德、...more
",https://www.books.com.tw/products/0010857011?loc=P_0003_017
18,寂寞寂寞不好：馮勃棣劇本集,馮勃棣,2020-01-25,"
不要隨便終結孤單，除非你已經學會了終結愛情! 紀蔚然 X 易智言 X 庾澄慶 X 柴智屏 X 李焯雄 聯合推薦   「神說，要有光，就有了光。」——創世記一章3節   這段經文充滿創作隱喻。一來是那從無到有的過程；...more
",https://www.books.com.tw/products/0010847671?loc=P_0003_018
19,粵劇的興起：二次大戰前省港與海外舞台,伍榮仲,2020-01-24,"
這是第一部從社會史、商業史及文化史角度探索粵劇的興起、發展與傳播的著作。作者運用了第一手中英文材料和大量的學術論著，當中包括近年才被發現的檔案，以二十世紀初為焦點，直到太平洋戰爭爆發為止，分...more
",https://www.books.com.tw/products/0010847943?loc=P_0003_019
20,清宮戲班逸史,羅泰琪,2020-01-15,"
揭開清宮戲班的神秘帷幕，看一場帝國興衰的戲中戲   順治帝為何廢除女樂，一律改用太監擔任宮廷樂手?康熙年間《長生殿》與《桃花扇》紅遍大江南北，身為作者的洪昇與孔尚任為何一個被捕入獄、一個遭到罷免...more
",https://www.books.com.tw/products/0010847463?loc=P_0003_020
21,神話故事之戲曲臉譜,偶樹瓊,2019-12-25,"
...more
",https://www.books.com.tw/products/0010845508?loc=P_0003_021
22,阮劇團2017劇本農場劇作選V,"蔡逸璇,陳緯恩,黃煚哲",2019-12-24,"
劇本農場第五年的作品，這第五年的創作過程中，遭遇了三年前同樣的逆流，其中一位劇作家因為個人因素，中途退出了農場計畫，儘管還是有些遺憾，但是創作原本就是十分走心的一段旅程，我們尊重創作過程中獨...more
",https://www.books.com.tw/products/0010845259?loc=P_0003_022
23,方舟三部曲(林孟寰劇本書),林孟寰,2019-12-05,"
人類的未來，是什麼樣子?   方舟將會帶領我們前往何處?   林孟寰首本劇本書《方舟三部曲》   ◎林孟寰，曾獲臺北文學獎劇本首獎、臺北兒藝節劇本首獎，並以《通靈少女》入圍金鐘獎迷你劇集類最佳編劇。   ◎...more
",https://www.books.com.tw/products/0010842991?loc=P_0003_023
24,2.5次元完全解析：松田 誠、茅野イサム、和田俊輔、佐藤流司，由業界頂尖人士全面揭露2.5次元舞台的魅力,門倉紫麻,2019-11-27,"
誕生於日本，並且正向全世界擴散的嶄新娛樂 「2.5次元舞台劇」 持續創造令眾多粉絲為之狂熱作品的領航者們， 對於未來有著什麼樣的想像呢? 探究「2.5次元」之歷史與未來的寶貴訪談集!   「在2.5次元的世界...more
",https://www.books.com.tw/products/0010841059?loc=P_0003_024
25,醒世恆言(上/下) 二版,馮夢龍,2019-10-01,"
晚明通俗文學大師馮夢龍收錄宋元話本舊篇和明代新作，一一加以增刪、潤飾，輯為「三言」，即《喻世明言》、《警世通言》和《醒世?言》三書。其中有對愛情的歌頌、對市井生活的描寫、對封建官僚的譴責和對...more
",https://www.books.com.tw/products/0010355253?loc=P_0003_025
26,鉤奇探古話臉譜,翁偶虹,2019-10-01,"
當代戲曲臉譜研究三大家之一翁偶虹力作   解讀京劇名家楊小樓、郝壽臣臉譜特色   《鉤奇探古話臉譜》為翁偶虹畢生臉譜研究精華萃集，記述了其搜集和摹繪臉譜的過程，更寫出提升凝結戲曲臉譜開創性理論的心...more
",https://www.books.com.tw/products/0010834482?loc=P_0003_026
