,書名,作者,出版日期,內容介紹,網址
1,巴黎古董 初階購物手札,李顏,2020-02-01,"
- 最方便的隨身購物指南，帶你輕鬆暢遊巴黎古董市集!   - 重要古董類型一次收錄，一次補足坊間學不到的藝術史知識!   在巴黎，除了堂而皇之的博物館外，竟然有可近觀、可褻玩藝術品的地方?   在古董市集，...more
",https://www.books.com.tw/products/0010847866?loc=P_0003_001
2,當藝術遇上法律：藝術投資收藏的攻防對策,葉茂林,2019-10-25,"
畢卡索也得知道的一門課? 華人世界首部藝術投資相關法律專書   藝術蔚為最具品味、熱門之投資標的，   偽作、著作侵權、買賣糾紛、詐欺、失竊毀損等各種NG也伴隨而來，   置身其中的畫家、藏家、投資人、...more
",https://www.books.com.tw/products/0010837166?loc=P_0003_002
3,2019拍賣年鑑,華藝文化編輯群,2019-04-22,"
這是一本反映香港、北京、紐約、倫敦、東京、大阪、杭州、上海、台北、廈門、橫濱、巴黎、蘇黎世、科隆、索爾茲伯里、舊金山、洛杉磯、薩爾茨堡、布魯塞爾、米蘭、福州、廣州、瀋陽等城市，中國骨董藝術市...more
",https://www.books.com.tw/products/0010820398?loc=P_0003_003
4,當代藝術市場結構,羅青,2019-04-01,"
我從文化記號學(cultural semiotics)出發，為「當代墨彩畫」指出一條繪畫語言重建的基礎道路，拋磚引玉，謹供藝術同好參考。同時對當代墨彩畫史的編寫、畫家的定位、畫作的評價，展覽的策畫，美術館及畫廊...more
",https://www.books.com.tw/products/0010815905?loc=P_0003_004
5,2019文物拍賣大典,,2019-03-20,"
更宏觀的排行，更精確的分類 《拍賣大典》透析華人藝術市場大數據   趙無極連年制霸、蘇軾《木石圖》躍居古書畫龍頭、乾隆御製琺瑯彩碗竄升億元關……，回顧2018年拍賣，熱潮雖較往年稍降，整體表現依然亮眼...more
",https://www.books.com.tw/products/0010815412?loc=P_0003_005
6,錢暴後的暗處：操作下的21世紀藝術市場,喬治娜‧亞當,2018-12-25,"
藝術是一種時尚、品味，也是一種投資、交易與收藏! 然而，當藝術成為被操控的工具時， 你，還敢進入藝術市場嗎?   ‧美國百年老店諾德勒畫廊，被控販賣假畫倒閉收場   ‧偽畫大師沃夫岡‧貝特萊奇橫掃市場，...more
",https://www.books.com.tw/products/0010808011?loc=P_0003_006
7,多視角下的中國繪畫藝術品價格問題研究,楊蓉,2018-09-07,"
本書對於馬克思在勞動價值理論中迴避不談的藝術品、古董類特殊商品的商品屬性、價值決定和使用價值進行了探討，力圖在馬克思的經濟理論思想框架內，完善其對藝術品商品價格的研究。其次，對藝術品價格的決...more
",https://www.books.com.tw/products/0010798721?loc=P_0003_007
8,不良嗜好：收藏台灣藝術40年,蕭麗虹,2018-07-27,"
與藝術的美好相遇—— 國際藝術交流竹圍工作室創辦人暨陶藝家蕭麗虹首次公開不為人知的「不良嗜好」 60位名家X118件創作，重現台灣藝術發展40年精采片段   一位香港出生、在美國受教育的「洋」媳婦，如何從...more
",https://www.books.com.tw/products/0010793355?loc=P_0003_008
9,2018亞洲現代與當代藝術拍賣大典,拍賣大典編輯部,2018-04-13,"
聚焦現當代藝術市場新浪潮! 2017年現當代經典拍品實錄、華人亞洲區排行完整呈現!   【華人】趙無極《29.01.64》2億港幣刷新個人拍賣紀錄   【日本】草間彌生持續引領國際風潮   【韓國】金煥基制霸韓國拍...more
",https://www.books.com.tw/products/0010784402?loc=P_0003_009
10,2018書畫拍賣大典,拍賣大典編輯部,2018-04-13,"
洞悉中國書畫藝術市場新趨勢! 2017年書畫高價精品全方位呈現!   全球最高價!齊白石《山水十二條屏》9億人民幣創中國藝術品歷年新高   【古代】南宋《六龍圖》4350萬美元紐約天價落槌!   【近現代】黃賓虹...more
",https://www.books.com.tw/products/0010784404?loc=P_0003_010
