,書名,作者,出版日期,內容介紹,網址
1,歐洲鈔票故事館(2版),莊銘國,2020-05-28,"
最浪漫的鈔票故事書   繼第34屆金鼎獎最佳圖書《遇見鈔票》，鈔票學達人莊銘國   再次帶領您神遊一鈔一世界的藝術殿堂。    鈔票不只是鈔票   輕鬆成為知性與感性的世界公民    在作者眼中，鈔票就是「國...more
",https://www.books.com.tw/products/0010859267?loc=P_0003_001
2,美洲與大洋洲鈔票故事館,"莊銘國,許啟發",2019-01-28,"
幅員最長遠的鈔票故事書，從北半球到南半球， 探索新大陸的美洲與大洋洲人文藝術殿堂。   在加拿大賞楓，到美國拜訪自由女神；參加巴西嘉年華，探訪祕魯的天空之城，再到阿根廷跳探戈；參觀祕魯傳聞中外星...more
",https://www.books.com.tw/products/0010812829?loc=P_0003_002
3,隋唐五代貨幣通覽,蔡啟祥,2019-01-01,"
本書內容有三大部份: 一、「考據資料」二、「錢幣資料」三、「相關圖片資料」。   其一「考據資料」: 引用歷史文獻及貨幣史資料，更引用近年來考古出土報告，各地錢幣家發表文章、著述等。   其二「錢幣資...more
",https://www.books.com.tw/products/0010813173?loc=P_0003_003
4,中華民國107年郵票目錄,中華郵政股份有限公司,2019-01-01,"
...more
",https://www.books.com.tw/products/0010813913?loc=P_0003_004
5,鈔寫浪漫：在這裡，世界與你相遇,謝哲青,2018-10-31,"
關於旅行，關於文明， 關於生命的流轉曲折， 從皮夾裡一張一張抽出， 細數過往。 ★ 第40屆金鼎獎 優良出版品推薦   「我收集的不是紙鈔，而是夢想。」   三十多年來的漂泊，   把每一個遙遠他鄉當成故鄉。...more
",https://www.books.com.tw/products/0010804072?loc=P_0003_005
6,臺灣老虎郵：百年前臺灣民主國發行郵票的故事,"李明亮,王威智",2018-10-25,"
一枚獨虎票流浪到邁阿密，   一瞬間觸發了一名年輕科學家迢遙的追索。   一九六六年，李明亮在美國邁阿密的一家集郵店看見獨虎票，他驚訝地盯著票面上「臺灣民主國」幾個大字，心想自己讀漏了歷史課本的哪...more
",https://www.books.com.tw/products/0010802268?loc=P_0003_006
7,名人鈔票故事館：世界鈔票上的人物百科,"莊銘國,許啟發",2018-08-28,"
在各國鈔票上所展現的代表人物，其背後均有一段精彩的事跡。   藉由國家的「名片」──鈔票，傳達出這些人物的精神價值。   哪個國家有「天使的國度」之稱?這些國王們如何撐起這個美名?   哪位鈔票人物的故...more
",https://www.books.com.tw/products/0010797302?loc=P_0003_007
8,從息借商款到愛國公債，細說早期中國對內公債(1894-1949),戴學文,2017-09-28,"
★台灣第一套「中國政府公債」專書(「對內公債」與「對外公債」兩冊) ★出版界唯一珍稀公債史料典藏雙書   清光緒二十年(1894)，甲午戰爭爆發前夕，戶部仿「息借洋款」之法，開始「息借商款」。這是中國政府...more
",https://www.books.com.tw/products/0010765115?loc=P_0003_008
9,從台灣海防借款到愛國公債，歷數早期中國對外公債(1874-1949),戴學文,2017-09-28,"
★台灣第一套「中國政府公債」專書(「對內公債」與「對外公債」兩冊) ★出版界唯一珍稀公債史料典藏雙書   在英國匯豐銀行的引導下，中國從清同治十三年(1874) 的「台灣海防借款公債」開始，陸續在海外發行...more
",https://www.books.com.tw/products/0010765117?loc=P_0003_009
10,亞洲鈔票故事館(2版),莊銘國,2017-09-28,"
神遊古老亞洲的人文藝術殿堂。   中國第一個被聯合國教科文組織，列為世界自然與文化雙重遺產的是哪座山?日本近代鈔票史上第一次出現的女性是哪位?她掩藏不住的文學光芒背後，有什麼樣的動人故事。誰是發...more
",https://www.books.com.tw/products/0010765949?loc=P_0003_010
11,魏晉南北朝貨幣通覽,蔡啟祥,2017-08-01,"
本書內容有三大部份： 一、「考據資料」二、「錢幣資料」三、「相關圖片資料」。   其一「考據資料」： 引用歷史文獻及貨幣史資料，更引用近年來考古出土報告，各地錢幣家發表文章、著述等。   其二「錢幣...more
",https://www.books.com.tw/products/0010764641?loc=P_0003_011
12,遇見鈔票(4版),"卓素絹,莊銘國",2017-01-25,"
榮獲第34屆金鼎獎 第一本最美麗的鈔票故事書   新聞局第32次中小學生優良課外讀物人文類獎   一張名片代表著一個人的身分地位，   一張國家的名片──「鈔票」，則足以見證一個輝煌的年代，   這將是最慷慨...more
",https://www.books.com.tw/products/0010742572?loc=P_0003_012
13,中華民國105年郵票目錄,中華郵政股份有限公司,2017-01-01,"
...more
",https://www.books.com.tw/products/0010743590?loc=P_0003_013
14,鈔票的藝術,"呂松穎,莊銘國",2016-12-25,"
走進美學與人文的祕密花園   真善美是每個靈魂最深處的渴望   這場藝術與知性的對話   呈現了每個時空最美麗的瞬間   是藝術，是饗宴，也是一趟旅程   紙鈔上的美學饗宴   賞心篇中，平面繪畫、立體雕塑與...more
",https://www.books.com.tw/products/0010739186?loc=P_0003_014
