,書名,作者,出版日期,內容介紹,網址
1,假如我是一隻海燕： 從日治到解嚴，臺灣現代舞的故事,林巧棠,2020-01-08,"
從日治到當代，一百多年來，臺灣人始終在追尋自由， 政治的自由、思想的自由、文化的自由； 而臺灣現代舞發展的歷史，就是臺灣人追尋「身體的自由」的歷史。   假如我是一隻海燕   永遠也不會害怕   也不...more
",https://www.books.com.tw/products/0010845037?loc=P_0003_001
2,跟雲門去流浪(新版)(二版),林懷民,2019-09-26,"
# 46年舞蹈生涯 唯一巡演日記   # 雲門舞集幕後開箱   關於飛行 演出 掌聲 受傷 應變 與跨文化觀察 以及林懷民對於文化養成的感觸和期許   # 2019年底林懷民卸任雲門舞集藝術總監 錯過再也沒有的親筆巡演...more
",https://www.books.com.tw/products/0010835037?loc=P_0003_002
3,舞躍臺灣情：蔡麗華的悅舞人生,蔡富澧,2019-09-01,"
蔡麗華，1945年生於臺南新化，小時候就展現文學、運動、舞蹈多方面的天賦。本書作者蔡富澧以流暢文筆，細數她一生以超人毅力，創辦舞蹈系所、田野調查與舞團及雜誌經營的作為。本書並闡述她數十年間，在編...more
",https://www.books.com.tw/products/0010836565?loc=P_0003_003
4,舞初心：曹金鈴返璞收圓的人生,曹金鈴,2018-11-01,"
身心自在，是人生最美麗的平衡。十年前，曹金鈴是全神貫注優雅的舞者，今天的她，教大家輕鬆的和自己身體對話。只需十分鐘，你便享有身、心、靈的平靜，歡愉和自在!   知名舞蹈家曹金鈴年屆七十，回首十年...more
",https://www.books.com.tw/products/0010802222?loc=P_0003_004
5,不怕我和世界不一樣：許芳宜的生命態度,"林蔭庭,許芳宜",2018-10-05,"
許芳宜，這個被媒體譽為「瑪莎葛蘭姆傳人」的舞者，為了追求舞蹈之夢，一直以自己的方式與體驗，不循常規地堅持走出自己的路。從學生時代就脫離父親為她描繪的人生藍圖，隻身獨闖舞者聖地紐約，吞下所有現...more
",https://www.books.com.tw/products/0010801515?loc=P_0003_005
6,我心我行‧Salute,許芳宜,2018-09-25,"
人生不能複製，生命無法重來。   我是生命的指揮家，人生這場大戲和我的現場演出不謀而合，   一個是 Life 人生，一個是Live現場。   我的名字叫做許芳宜，19歲我許下人生的第一個夢想：我要成為職業舞者...more
",https://www.books.com.tw/products/0010798703?loc=P_0003_006
7,完美，稍縱即逝：舞蹈家古名伸的追尋筆記,古名伸,2018-07-25,"
台灣少有的舞蹈家散文集。透過古名伸細膩的感知與文字，我們不只看見台灣當代的美學切片，更找到全新的角度，向外看世界，向內看自己。    舞蹈家古名伸橫跨七年的專欄集結。這七年，不止是古名伸的七年，...more
",https://www.books.com.tw/products/0010793164?loc=P_0003_007
8,有女飛天・潔兮・舞想 VU.SHON-APSARAS,樊潔兮,2017-11-02,"
「飛天舞蹈，是我一生追求的志業，在這個道途上，它成就了我的藝術，也成就我的婚姻，更引導了我的人生觀。」   樊潔兮，自三歲習舞以來，在芭蕾、現代、中國舞等嚴謹專業造就了她，超過半世紀的舞齡，匯...more
",https://www.books.com.tw/products/0010768366?loc=P_0003_008
9,逐夢黑天鵝：逆流而上的芭蕾舞者,米斯蒂・柯普蘭,2017-10-05,"
★2015年《時代雜誌》百大最具影響力人物 ★《紐約時報》暢銷作者米斯蒂‧科普蘭私密自傳   出身底層的天才芭蕾舞者，舞出堅持不懈與優雅的生命之歌   寫給勇敢追逐夢想的每一個人   『登臺演出時，一切掌握...more
",https://www.books.com.tw/products/0010766344?loc=P_0003_009
10,羅曼菲：紅塵舞者(緬懷紀念版+電影書衣),徐開塵,2017-08-11,"
「一直以來都是命運把我推向對的環境。」 ──舞者羅曼菲 從雲門舞集、百老匯，一路來到雲門2、台北越界舞團、北藝大舞蹈系…… 羅曼菲多元的身分與豐富的生命經歷，造就她不平凡的一生。 羅曼菲生前唯一認可...more
",https://www.books.com.tw/products/0010761093?loc=P_0003_010
