,書名,作者,出版日期,內容介紹,網址
1,《金星人愛情故事》幕後設定資料集,"盧彥維,金星人事務所",2020-11-06,"
在暑假倒數的第七天，我們相遇了金星人──    ★原汁原味 旅日動畫團隊 製作心得分享：   細節處理 配音配樂調整   分鏡圖表 照相知識運用   角色設定 從造型到配色   基礎概念 整體創作流程    ★巴哈姆特動...more
",https://www.books.com.tw/products/0010873217?loc=P_0003_001
2,女子力配色圖鑑：2000個零失誤色彩最強搭配解方,"全惠民,紅糖美學",2020-11-06,"
女力時代第一本最強選色經典! 藝術設計暢銷作者團隊最新鉅作!      色彩大師都在用的配色訣竅   想要的色彩就在這裡，隨查隨用，   搭出你的一萬種可能!    ‧7大設計領域，各式色彩速查!   ‧29種女性風格...more
",https://www.books.com.tw/products/0010874719?loc=P_0003_002
3,日本人就是這樣學平面設計：極簡留白|漫畫動感|情報滿載|魔鬼細節……的85黃金法則,"大森裕二,生田信一,龜尾敦",2020-11-04,"
如何做出Japan Design，打動人心的日系風格好設計?   ——日本設計學院教科書——   85個黃金法則=85個你該有的平面設計基本觀念   原來，日本人是這樣開始學平面設計啊!   一開始就學對，學會日本平面設計的...more
",https://www.books.com.tw/products/0010874789?loc=P_0003_003
4,好設計，會說話：好設計的6步創作流程X設計師的6大必備工具X設計元素的4堂解剖課,紅糖美學,2020-11-02,"
設計方案為什麼不被認可，提案的時候總是比輸人? 設計不是漂亮就好，會「說話」的設計才是「好」設計!   >>從「無」到「有」的設計思路   >>設計如何定位   >>如何使畫面有重點   >>讓主角打上Spotlight  ...more
",https://www.books.com.tw/products/0010874196?loc=P_0003_004
5,版面研究所②心動版面學：53個讓女人下單的設計關鍵!,ingectar-e,2020-10-30,"
第一本教你成功擄獲女性眼球的版面設計! 53個讓女人下單的設計關鍵!   {成功挑動女性的目光}   【9大風格】女性不是只有可愛才買單，提供9大最受女性喜歡的設計風格。   【53個版面設計】掌握關鍵5要領，L...more
",https://www.books.com.tw/products/0010873513?loc=P_0003_005
6,小澤和則的動畫特效作畫技法,小澤和則,2020-10-27,"
~知名動畫師小澤和則親身傳授~   火、水、風、光、煙、爆炸、破壞……   營造臨場感的57個特效作畫技巧   「小澤君，你的特效繪製技術已凌駕在我之上!」   ──橋本敬史(動畫師《蒸氣男孩》、《空中殺手》)   ...more
",https://www.books.com.tw/products/0010873940?loc=P_0003_006
7,書上設計展2020,尼普利編輯室企劃,2020-10-25,"
設計人的行動哲學 一本晉升設計師的必備年鑑  選系前-設計解憂專門店 就學中-畢業設計百寶袋 畢業後-新銳創意懶人包    本書適合：以設計為職志的你、把設計當態度的你、從設計找出路的你    設計人每年就...more
",https://www.books.com.tw/products/0010874870?loc=P_0003_007
8,字型城市：香港造字匠,郭斯恆,2020-09-30,"
本書不是要從專業的字體設計角度，來解構中文字體或字型結構的工具書，也不是中文字體設計理論專書，要教人如何設計中文字體；而是從人文關懷和香港本位出發，以了解本土造字匠的工藝美學和社會轉變之間所...more
",https://www.books.com.tw/products/0010873012?loc=P_0003_008
9,特殊印刷・加工事典,"FLAIR,島﨑肇則,西村希美",2020-09-30,"
不曉得該怎麼跟印刷廠講要怎麼印…   不曉得該用哪種印刷方式…   看了這本就能解決這些煩惱!   ○未來要學習各種特殊印刷、加工的人   ○想從新型印刷方式尋找靈感的人   ○想知道怎麼應用特殊印刷、加工的職...more
",https://www.books.com.tw/products/0010870827?loc=P_0003_009
10,平面設計研究室：100個傳單、海報精選範例詳解,,2020-09-28,"
現在是個最能體現「傳單(flyer)」意義的時代。   把宣傳單放置或張貼在各個地方，   資訊就會「飛也似的」立刻透過網站或社群媒體「傳」出去。   只要短短一瞬間的工夫，我們便能經由某人的分享得知活動資...more
",https://www.books.com.tw/products/0010870836?loc=P_0003_010
11,色彩之書：融合科學、心理學及情感意義，帶領你發現自我的真實色彩,凱倫・海勒,2020-09-28,"
應用色彩心理學的國際領導人物──凱倫・海勒Karen Haller 獻給每個人的「自信色彩聖經」， 以美好色調來革新日常、取悅自己!   ★英國《星期日泰晤士報》年度設計好書   ★亞馬遜4.5顆星好評，提供最實用的色...more
",https://www.books.com.tw/products/0010868529?loc=P_0003_011
12,給設計的你：帶你窺見設計的完整輪廓(好評精典版),裴恩設計事務所,2020-09-25,"
DVD/書附超值光碟   在本書納入前端的發想、企劃與手稿繪製。   用一個案例書名完整過程與注意事項，將「設計」這個主題的廣度加大。   嘗試將設計師該有的思維放進書中，一步一步地讓讀者窺見完整的「設...more
",https://www.books.com.tw/products/0010871880?loc=P_0003_012
13,工業生產製造與機構裝置套書(共五冊)：圖解看懂工業圖面+圖解加工材料+圖解機械加工+圖解工業製圖+圖解507種機械傳動,"亨利‧布朗,西村仁",2020-09-24,"
看懂圖面‧製圖‧加工材料‧機械加工.機構裝置構造原理 理解整個工業機械裝置原理、機械加工和製圖完整流程 讓你從任何面向或環節入門都能得心應手  第1冊：圖解看懂工業圖面：創意設計力×製造優勢，打造高附...more
",https://www.books.com.tw/products/0010870297?loc=P_0003_013
14,速配色彩圖表 立刻上手的配色方案：基本色‧無彩色‧金銀色‧螢光色,南雲治嘉,2020-09-16,"
本書以色彩意象為基礎進行色彩配色,將設計中的色彩知識簡單明瞭的整理便於查閱與配色參考。本書收錄配色書籍少有的金銀色與螢光色用法及多種色彩組合範本。本書如色彩字典般具備從配色辭典引用色彩的便利...more
",https://www.books.com.tw/products/0010871316?loc=P_0003_014
15,品牌設計力2：7家品牌設計公司╳36個品牌設計案例╳5種產業領域,東販編輯部,2020-09-10,"
橫跨北中南7家知名品牌設計公司設計總監不藏私分享 36個市場上實際運作的品牌設計案例逐一解說 超過5種產業領域在各種品牌設計上不同的發想過程   從草稿繪製、提案說明、品牌識別系統到商業上實際應用方...more
",https://www.books.com.tw/products/0010868012?loc=P_0003_015
16,最強配色選色速查圖典5000：聰明的選色、吸睛的配色，激發設計的色彩搭配靈感,紅糖美學,2020-09-07,"
暢銷書《配色設計學》《中國傳統色配色圖典》作者最新力作!    Dictionary of Color Combinations with 5000 Sample Color Schemes   ☑搭出驚艷色彩，給你無限的配色好點子!   ......more
",https://www.books.com.tw/products/0010868807?loc=P_0003_016
