,書名,作者,出版日期,內容介紹,網址
1,竹谷隆之 畏怖的造形,竹谷隆之,2020-10-20,"
鬼才‧竹谷隆之 影像作品的雛形、造形過程、設計圖稿一舉公開!   《正宗哥吉拉》第2形態、第3形態、第4形態、第5形態雛形造形過程/初期設計/人型第5形態個體原型 etc…   《進擊的巨人 ATTACK ON TITAN》立...more
",https://www.books.com.tw/products/0010874868?loc=P_0003_001
2,2020木雕藝術創作采風展：臺中市雕塑學會會員聯展,,2020-08-01,"
為保存作者個人藝術風格，將展出之木雕藝術創作作品，編印成冊，以供大眾欣賞。...more
",https://www.books.com.tw/products/0010871838?loc=P_0003_002
3,2020木雕藝術創作采風展：Making the Best of Things 物盡其用 貝馬丁個展,,2020-08-01,"
為保存作者個人藝術風格，將展出之木雕藝術創作作品，編印成冊，以供大眾欣賞。...more
",https://www.books.com.tw/products/0010871840?loc=P_0003_003
4,2020木雕藝術創作采風展：臺灣木雕協會會員聯展,,2020-08-01,"
為保存作者個人藝術風格，將展出之木雕藝術創作作品，編印成冊，以供大眾欣賞。...more
",https://www.books.com.tw/products/0010871842?loc=P_0003_004
5,2020木雕藝術創作采風展：合木金雕 江石德雕塑個展,,2020-07-01,"
為保存作者個人藝術風格，將展出之木雕藝術創作作品，編印成冊，以供大眾欣賞。...more
",https://www.books.com.tw/products/0010871832?loc=P_0003_005
6,2020木雕藝術創作采風展：苗栗縣三義木雕協會會員聯展,,2020-07-01,"
為保存作者個人藝術風格，將展出之木雕藝術創作作品，編印成冊，以供大眾欣賞。...more
",https://www.books.com.tw/products/0010871834?loc=P_0003_006
7,金剛演義：劉柏村雕塑個展2020,,2020-03-27,"
『金剛』系列命題是個人十年來創作的研究路線，也是以金屬材質表現中，最具代表性的主題系列作品。基本上「金剛」攫取健美力士的身軀形象，它參合了佛教的「金剛不壞之身」、神話、科幻、卡漫想像中所向無...more
",https://www.books.com.tw/products/0010852926?loc=P_0003_007
8,片桐裕司 雕塑解剖學[完全版],片桐裕司,2020-03-27,"
全新追加了東方人女性的臉部、頭部   西方人女性的臉部、頭部   製作過程&徹底解說。   全面改訂女性的身體、男性的骨骼、肌肉、   兒童與老人的雕塑造形，並且大幅增加頁數的完全版。   掌握立體結構、人...more
",https://www.books.com.tw/products/0010852936?loc=P_0003_008
9,飛廉 : 岡田恵太造形作品集&製作過程技法書,岡田恵太,2020-01-20,"
以龍、虎、幻獸等造型聞名的岡田恵太，將他所製作的造型作品集結成冊，要送給喜歡他造型作品的粉絲們。岡田恵太的造型作品，無論是獸角、獸牙、龍林等等部位都栩栩如生，這也是他的作品最吸引人的地方。本...more
",https://www.books.com.tw/products/0010847247?loc=P_0003_009
10,2019木雕藝術創作采風展：守護之神劍獅,"林彥甫,陳建智",2019-12-01,"
為保存作者個人藝術風格，將展出之木雕藝術創作作品，編印成冊，以供大眾欣賞。...more
",https://www.books.com.tw/products/0010859063?loc=P_0003_010
