,書名,作者,出版日期,內容介紹,網址
1,潘玉良版畫全集,衣淑凡,2017-11-01,"
語言 中/英   Languages Chinese / English   《潘玉良版畫全集》是第一本討論潘玉良版畫作品的專書，完整收錄潘玉良珍稀的直刻版畫。此外，本書將安徽博物院收藏的「版」以及巴黎賽努奇亞洲藝術博物館收...more
",https://www.books.com.tw/products/0010769796?loc=P_0003_001
2,常玉版畫全集,衣淑凡,2017-05-08,"
常玉是30年代早期唯一一個創作西式版畫的中國藝術家。熟悉中國書法、印璽篆刻以及漆器雕刻的常玉，將流暢的線條融入版畫當中，少了材料和顏色的干擾，常玉的版畫更能精煉出他對簡單的愛好。   繼油畫、雕...more
",https://www.books.com.tw/products/0010752394?loc=P_0003_002
3,版畫在臺灣,施筱雲,2016-09-01,"
★廖修平被譽稱為臺灣現代版畫之父   ★他與一批觀念先進、創作熱忱的青年版畫家   ★共同啟動了版畫發展的齒輪   ★成為帶動臺灣現代版畫藝術創作和教育的火車頭   版畫是富有設計感及創造性的藝術，複數分享...more
",https://www.books.com.tw/products/0010815293?loc=P_0003_003
4,俄羅斯典藏晚清木版年畫,,2016-08-15,"
《俄羅斯典藏晚清木版年畫》是由中正大學媽祖文化研究中心主任楊玉君獨家取得授權，將俄羅斯國立宗教歷史博物館典藏的珍貴木版年畫，內含曆畫、紙馬、門畫、門神、財神、祈嗣、驅邪、吉祥圖等，搭配專業圖...more
",https://www.books.com.tw/products/0010724711?loc=P_0003_004
5,黃坤伯美柔汀/MEZZOTINT/創作集,黃坤伯,2016-07-01,"
美柔汀是凹版畫創作的一種技法，有別於基本版種技法的表現方式，創作的方式以刀具(刮磨刀)在處理過的金屬版面上，刮磨出明暗素描般的光影與層次，由於其版種的特性，能營造出神秘且細膩的氛圍。本書是作者...more
",https://www.books.com.tw/products/0010722751?loc=P_0003_005
6,都市風情：上海小校場年畫,"嚴潔瓊,張偉",2014-06-11,"
第一本上海年畫專著 勾稽百年年畫史 收錄八十張版畫 上海租界生活和洋場風俗精采再現   年畫是中國民間特有的造形藝術。起源於遠古時間自然崇拜和神靈信仰觀念，利用年畫表達民眾趨吉避凶、祈福迎祥的盼望...more
",https://www.books.com.tw/products/0010637398?loc=P_0003_006
7,舊版新印-謝里法版畫作品展,曲德益,2013-05-01,"
謝里法曾是五月畫會的一員，也是台灣文學研究會、台灣文化交流中心、巴黎文教基金會等團體的催生者，近年則以編撰臺灣美術地方發展史為主。本次展覽內容搜羅謝里法自1964至1974年間旅居巴黎、紐約時期所創...more
",https://www.books.com.tw/products/0010650060?loc=P_0003_007
8,吳昊版畫作品展,曲德益,2013-05-01,"
在台灣當今藝壇，用「人間瑰寶」來形容吳昊老師在藝術界的地位可說一點也不為過。吳昊老師少年離家展開軍旅生涯，後因緣際會學習繪畫，有機會親炙李仲生、黃榮燦等現代繪畫先鋒；在之後成立東方畫會、防空...more
",https://www.books.com.tw/products/0010650062?loc=P_0003_008
9,周瑛印紀,"周子荐（周健）,曲德益",2013-05-01,"
周瑛以版畫創作知名，係臺灣當代重要版畫家，亦是中華民國版畫學會創始人之一，生前獻身教育40載，在台灣藝術界具有一定的影響與重要地位。周瑛早期木刻版畫作品有與抗戰木刻同一脈絡的風格，繼而漸以寫實...more
",https://www.books.com.tw/products/0010661862?loc=P_0003_009
10,天上人間 儒釋道人物版畫圖繪特展,李天鳴,2009-01-01,"
中國文化博大精深.(儒釋道)人物所形成的型態風格與故事題材. 多樣異趣.本院收藏明青古籍中.圖繪及版刻的書籍豐富多樣.細膩非凡.透過其人物形象讓觀著於儒釋道的哲理已深ㄧ層的了解...more
",https://www.books.com.tw/products/0010431063?loc=P_0003_010
