,書名,作者,出版日期,內容介紹,網址
1,蕭條 CULT片 爆炸力：那個低潮期的香港電影,黃曉南,2020-09-18,"
金融風暴、失業、負資產、沙士疫情……1998至2003年是香港的低潮期，電影行業尤其雙重坎坷，經濟不景以外，盜版VCD極猖獗，整個行業深陷低谷，這批夾於時代縫隙的港產片得不到足夠重視，甚至被視為「爛片」...more
",https://www.books.com.tw/products/0010871438?loc=P_0003_001
2,掌鏡人生：金馬獎攝影師林文錦自傳，見證1950-1980年代台灣電影發展史,林文錦,2020-07-07,"
一個田庄囝仔的夢   金馬獎攝影師林文錦自傳   見證1950-1980年代台灣電影發展史   金馬獎電影攝影師林文錦，為戰後台灣第一代電影從業人員，於一九五○年進入中影的前身──農業教育電影公司──擔任練習生，...more
",https://www.books.com.tw/products/0010862202?loc=P_0003_002
3,光影羅曼史：台港電影的藝術與歷史,沈曉茵,2020-02-26,"
這是一本有關台港電影的羅曼史，講述著台灣、香港從1960年代到二十一世紀的電影故事。它聚焦了台灣的台語片、國語文藝片、瓊瑤片，同時審視了後續的新電影及侯孝賢作品。本書也探視了香港的敘事片，探索香...more
",https://www.books.com.tw/products/0010848786?loc=P_0003_003
4,毋甘願的電影史：曾經，臺灣有個好萊塢,蘇致亨,2019-12-31,"
風光一時的臺語片，為何淪為粗製濫造的代名詞? 本書將告訴你，關於本土文化的粗俗印象是怎樣煉成的。 重寫臺語電影史，就是重建臺灣戰後文化史!   國寶級電影手繪海報大師陳子福親筆題寫書名   X   橫跨日...more
",https://www.books.com.tw/products/0010843446?loc=P_0003_004
5,李香蘭與原節子,四方田犬彥,2019-12-18,"
電影史的深度解謎 文化研究的扛鼎力作 以一手見聞與秘辛考掘 破解兩位絕代女神的明星神話   同樣出生於1920年   出道於1930年代中期   待過東寶   合作導演的重疊性極高   甚至還合演過兩部電影   成為「...more
",https://www.books.com.tw/products/0010843730?loc=P_0003_005
6,破曉將至：中國電影研究(1977-1979),段善策,2019-08-09,"
1977-1979年是中國電影重要的轉捩點，民眾《於無聲處》清楚聽到《生活的顫音》，用指尖輕觸《春雨瀟瀟》裡的《櫻》，看到《苦惱人的笑》。這《並非一個人的故事》而已，亦是徬徨時期的人們，埋藏於《青春...more
",https://www.books.com.tw/products/0010830438?loc=P_0003_006
7,香港流行文化的(後)青春歲月,朱耀偉,2019-08-09,"
「青春，請你歸來」   上世紀八十年代，香港流行文化風靡全球華人社群，電影、電視劇及粵語流行曲之間的跨媒體協同效應，塑造出譚詠麟、張國榮及梅艷芳等超級巨星，偶像工業如日方升。   這段流行文化的光...more
",https://www.books.com.tw/products/0010830784?loc=P_0003_007
8,回顧香港電影三十年,張徹,2019-07-26,"
本書細述邵氏的盛衰、獨立製片制度的形成、港產片的本地化和中港電影的發展。文章着重背景，突出主流，夾敍夾議，見解獨到，並不時列舉大量鮮為局外人知的圈內情，諸如多齣名片攝製過程的來龍去脈，以及像...more
",https://www.books.com.tw/products/0010829321?loc=P_0003_008
9,光影裏的浪花：香港電影脈絡回憶,魏君子,2019-06-13,"
本書是由一班熱衷於香港電影的內地資深影迷所編撰，他們以對港產片充滿不滅的熱情出發，追逐着香港光影成長的尾巴，從影迷的視角試圖整合自19世紀末至2012年香港電影百年歷史的流轉。本書特別仿擬《史記》...more
",https://www.books.com.tw/products/0010825155?loc=P_0003_009
10,動態影像的足跡：早期臺灣與東亞電影史,李道明,2019-03-27,"
有關臺灣與東亞的早期電影歷史研究，二十年來相關的研究成果並不多，其中朝鮮電影研究的中文書籍或論文迄今仍極為罕見。本書收錄十九篇包含臺灣與東亞早期電影史研究的方法論與新課題，以香港、臺灣、朝鮮...more
",https://www.books.com.tw/products/0010816831?loc=P_0003_010
11,台灣電影變幻時：尋找台灣魂,鄭秉泓,2019-02-26,"
後海角年代   對台灣電影最私密最主觀最直言不諱的愛與評論   如果《海角七号》重新定義台灣電影，為二十一世紀台片掀起第一波高潮，那麼從《賽德克‧巴萊》、《女朋友。男朋友》到《刺客聶隱娘》和《幸福...more
",https://www.books.com.tw/products/0010812400?loc=P_0003_011
