,書名,作者,出版日期,內容介紹,網址
1,漫威宇宙：史丹.李與他的超級英雄,里爾‧萊博維茨,2020-10-06,"
史丹‧李開創了漫威宇宙， 美國終於有了自己的神話。    鋼鐵人、復仇者聯盟、蜘蛛人、X戰警……   這些在21世紀席捲全世界電影票房、成為普世「文化Icon」的超級英雄，   全都誕生於20世紀中葉，出自史丹‧李...more
",https://www.books.com.tw/products/0010871521?loc=P_0003_001
2,電影裡的人權關鍵字：借問阿嬤,"孫世鐸,潘孟希,路那,陳冠瑋",2020-09-08,"
電影是對話的起點，   也是理解人權議題的可能路徑。    《電影裡的人權關鍵字》系列手冊由國家人權博物館與富邦文教基金會共同策劃。以不同類型的電影為文本，爬梳其中觸及的人權議題，整理成關鍵字，進...more
",https://www.books.com.tw/products/0010870136?loc=P_0003_002
3,電影裡的人權關鍵字：雨季不再來,"孫世鐸,林靖豪,馬翊航",2020-09-08,"
電影是對話的起點，   也是理解人權議題的可能路徑。    《電影裡的人權關鍵字》系列手冊由國家人權博物館與富邦文教基金會共同策劃。以不同類型的電影為文本，爬梳其中觸及的人權議題，整理成關鍵字，進...more
",https://www.books.com.tw/products/0010870138?loc=P_0003_003
4,感悟電影的藝術人文：108部世界電影評論,何威,2020-08-25,"
108部世界電影，108種人文風光與藝術表達   精選108部世界電影，涵蓋中外經典作品、獨立電影及劇情短片    何威從觀影數十年的世界電影館藏中，粹取最具思想深度與人生感悟的108部電影。   通過分析電影的...more
",https://www.books.com.tw/products/0010866836?loc=P_0003_004
5,他與她的飛行：宮崎駿與日本動畫美少女的戰鬥情結,"李世暉,鄭聞文",2020-07-03,"
宮崎駿的少女如何帶領男人飛翔? 戰鬥美少女文本的華麗登場!   「美少女」作為一種鮮活的標誌，代表日本動漫的重要特色。但此概念並非日本所獨有，法國的聖女貞德、中國的花木蘭、白娘子(白蛇傳)，美國的寶...more
",https://www.books.com.tw/products/0010862035?loc=P_0003_005
6,法國電影新浪潮[最新圖文增訂版],焦雄屏,2020-05-27,"
70年前，9825公里外，一本本鮮明黃書皮雜誌離開印刷廠，化作柴薪，點燃電影革命的硝煙。   他們以創新的精神，與一種接近固執的憤怒，向整個50年代的電影傳統說不。   第二次世界大戰結束，電影圈的戰爭卻...more
",https://www.books.com.tw/products/0010857826?loc=P_0003_006
7,《歸鄉》的親子關係與俄羅斯文化：這位導演，讓我想起我爸媽,吳孟樵,2020-05-15,"
「你是誰?」   離家12年的爸爸忽然回來了，   安德烈和伊凡的生活從此顛覆；   就像歷經家國劇變的俄羅斯，   被迫走上改變與成長之路……   初試啼聲便一鳴驚人的俄羅斯導演安德烈‧薩金塞夫的電影處女作《...more
",https://www.books.com.tw/products/0010857399?loc=P_0003_007
8,老師的回家功課：電影裡的素養札記,李威使,2020-05-04,"
同樣是看影片，怎樣才能讓孩子擁有更獨立的思維方式? 本書教你如何透過影像(影片)閱讀，引導孩子思考社會現象、政治生態，甚至是生命的議題。   這是一位老師最私密的告白。   孩子，我跟你說：   在離開...more
",https://www.books.com.tw/products/0010856528?loc=P_0003_008
9,遊歷電影.電影遊歷,黃國兆,2020-04-13,"
★ 知名本地電影人黃國兆橫跨四十年電影評論   影評涵蓋法國、日本、印度、韓國等大型影展。從文本細讀，配合文化脈絡，解讀各地電影。   本書文章均是作者親赴歷年外地電影展，實地觀看參展電影時的評論鑒...more
",https://www.books.com.tw/products/0010854086?loc=P_0003_009
10,電影裡的人權關鍵字：超級大國民,"孫世鐸,曲潔茹,蔡雨辰,路那,陳之昱,陳佩甄,馬翊航",2020-02-27,"
電影是對話的起點，   也是理解人權議題的可能路徑。    ◎手工裝訂，一個關鍵字一張插卡   ◎每篇提供「教學提示」，重點一目瞭然      《電影裡的人權關鍵字》系列手冊由國家人權博物館與富邦文教基金會共...more
",https://www.books.com.tw/products/0010850759?loc=P_0003_010
11,電影裡的人權關鍵字：第六十九信,"何友倫,房慧真,林傳凱,溫席昕,路那,馬翊航",2020-02-27,"
電影是對話的起點，   也是理解人權議題的可能路徑。    ◎手工裝訂，一個關鍵字一張插卡   ◎每篇提供「教學提示」，重點一目瞭然    《電影裡的人權關鍵字》系列手冊由國家人權博物館與富邦文教基金會共同...more
",https://www.books.com.tw/products/0010850765?loc=P_0003_011
12,戲夢餘音：黃愛玲電影文存 上下卷,黃愛玲,2020-02-01,"
本書收錄已故電影文化人黃愛玲未及結集的影評、論文、講辭、散文等文字。四十年筆耕的成果，可視為私家版「如何欣賞電影」或「華語電影史」。她敏銳的目光把讀者帶到香港左翼電影、淪陷時期的上海電影、不...more
",https://www.books.com.tw/products/0010864205?loc=P_0003_012
13,新海誠導演作品 天氣之子 官方美術設定集,新海 誠,2020-01-31,"
「那個夏天，我們確實在那片天際上──   改變了世界的樣貌。」   動畫製作幕後祕辛滿載：   故事導覽&電影片段場面、角色設定、美術設定、分鏡圖、企劃書等。   同時收錄充實專訪：   導演新海誠、音樂RADW...more
",https://www.books.com.tw/products/0010842445?loc=P_0003_013
14,在流放地的影像：聞海電影研究(精裝),"劉兵,崔衛平,張亞璇,張真,徐匡慈,曹愷,杜阿梅,艾曉明,董冰峰,貝嶺,鄺老五,高長空,黃明川",2020-01-15,"
2001年，中國紀錄片導演聞海為追求獨立自由，以決絕姿態離開電視台，開始拍攝獨立電影，從第一部電影《北京郊區》至2019年《在流放地》，共拍攝了十多部紀錄片，獲獎無數。《在流放地的影像》為研究聞海紀...more
",https://www.books.com.tw/products/0010846333?loc=P_0003_014
15,反派的力量：影史經典反派人物，有你避不開的自己(二版),馬欣,2019-12-04,"
我想藉由這些反派，讓人知道與善對立的並不是惡， 而是對於惡的無知。   書寫電影反派的經典暢銷作，從選材到寫法同樣吸睛。   全新收錄一篇新序與四篇新作：《計程車司機》的崔維斯、《血色入侵》的艾莉...more
",https://www.books.com.tw/products/0010841253?loc=P_0003_015
16,解憂電影院：那些電影教我的事，用一場電影的時間，改寫你我的人生劇本,"水ㄤ,水某",2019-10-30,"
這是「那些電影教我的事」，也是我們的人生故事   50道提問，100部電影   水ㄤ、水某最新力作，深刻書寫你我的生命體悟    一對理性與感性兼具的夫妻，一句句暖心動人的電影箴言，他們是「那些電影教我的...more
",https://www.books.com.tw/products/0010837431?loc=P_0003_016
17,香港粵語片藝術論集,盧偉力,2019-10-10,"
《香港粵語片藝術論集》結集了香港電影研究者盧偉力從九十年代末以來，關於五六十年代香港粵語電影藝術的研究文章，當中包括論文、筆記和影片賞析，亦是作者在電影方面的文字紀錄。本書談到多位粵語片時代...more
",https://www.books.com.tw/products/0010836785?loc=P_0003_017
18,你想了解的侯孝賢、楊德昌、蔡明亮(但又沒敢問拉岡的),楊小濱,2019-09-30,"
書末附錄兩篇楊小濱與蔡明亮專訪對談錄   本書為國科會專題計畫「拉岡理論視野下的台灣新電影」(NSC 100-2410-H-001-051-MY3)成果   作為近代精神分析理論的建構者與革新者，拉岡的理論為現代電影、文學、...more
",https://www.books.com.tw/products/0010835279?loc=P_0003_018
19,夜短夢長,毛尖,2019-07-03,"
「夜太短電影太多，光影世界是我的道德和不道德，我的圖騰和深淵。 這是我的電影筆記，也是人生自白。」──毛尖   她寫影評逾20年，   她說她把自己放在一個普通觀眾的位置上，   經歷一部電影的情緒起落，...more
",https://www.books.com.tw/products/0010826108?loc=P_0003_019
20,視聽之餘：香港及華語電影雜感,家明,2019-07-01,"
你多久沒有進電影院看一齣香港電影?    很多人說，同一張戲票，同樣花上幾十元，寧願看荷里活大製作，怎樣也不會的香港電影。    或者，從卡士、特技的角度，香港電影無法與荷里活電影媲美。既然同為娛樂...more
",https://www.books.com.tw/products/0010861096?loc=P_0003_020
21,從電影中發現社會學,胡正文,2019-07-01,"
「試著讓自己的心靈像是面三稜鏡，讓不同的光折射進來。」   ──美國社會學家 米爾斯(C. W. Mills)《社會學的想像》(The Sociological Imagination)   電影觸動人們的感官，   延伸心靈與思維層面的敏......more
",https://www.books.com.tw/products/0010825956?loc=P_0003_021
22,犬之島 動畫電影製作特輯：威斯‧安德森作品集,蘿倫‧威佛＆萊恩‧史蒂文生,2019-06-07,"
逾600張精美劇照、側拍、手稿×14篇、14萬字幕後團隊深度訪談   「置中狂」導演威斯・安德森電影專書首度中文化!   特別收錄大友克洋所繪製的《犬之島》日本版電影海報插畫!   漫畫名作《末日》作者望月峯...more
",https://www.books.com.tw/products/0010822879?loc=P_0003_022
23,犬之島 動畫電影製作特輯+電影改編漫畫(首刷限量套書送電影海報),"威斯・安德森,望月峯太郎,萊恩‧史蒂文生,蘿倫‧威佛",2019-06-07,"
《犬之島》動畫電影製作特輯：   ★國立臺灣藝術大學多媒體動畫藝術學系石昌杰教授 推薦   逾600張精美劇照、側拍、手稿×14篇、14萬字幕後團隊深度訪談   「置中狂」導演威斯・安德森電影專書首度中文化!  ...more
",https://www.books.com.tw/products/0010823200?loc=P_0003_023
24,溫情主義寓言‧當代華語電影,周蕾,2019-05-30,"
溫情主義之所以至今仍值得深思，並不是因為它促使我們重新發掘過去，而是這股來自過去的神祕張力，至今仍然與我們的「現在」糾纏不清，它傳遞出強烈的政治意涵，甚至引發行動、改變當下的現實。   一九八○...more
",https://www.books.com.tw/products/0010822563?loc=P_0003_024
25,香港動保電影：光影背後的動人故事,"安采妮,陳達仁",2019-05-28,"
「將電影娛樂與動物保護意識文化結合再推廣開去，不是因為我要『出風頭』，我是認真為了將『動保』這兩個字告知更多人。」──陳達仁   「動物成為我的心靈支柱，動物對我來說不單只是朋友，更是無可取替的...more
",https://www.books.com.tw/products/0010822480?loc=P_0003_025
26,有一隻老虎在浴室,毛尖,2019-05-15,"
董橋先生看了毛尖新書《有一隻老虎在浴室》，大表稱讚：「毛尖機靈。當今文章寫得機靈的不多，真的不多。靈是知，大惑者終身不解，大愚者終身不靈。靈是靈巧，蒲松齡〈小二〉說她為人靈巧，善居積，經紀過...more
",https://www.books.com.tw/products/0010839817?loc=P_0003_026
27,我們不懂電影,毛尖,2019-05-15,"
看過《富春山居圖》，看過《不二神探》，看過《小時代》，回家，默默給張藝謀陳凱歌上了一炷香。我錯了，以前老覺得他們玩三無產品搞得一地爛片，現在想想，他們做的至少還叫影片，今天在電影院放映的東西...more
",https://www.books.com.tw/products/0010839821?loc=P_0003_027
28,夜短夢長,毛尖,2019-05-15,"
說毛尖才華橫溢，等於是廢話。她最令我吃驚的是速度，而且對與各種知識的吸收更是如此，譬如老電影。我倚老賣老，自以為積數十年觀影的經驗，在腦海裏留下數千部老電影的鏡頭，特別是經典老片，可以如數家...more
",https://www.books.com.tw/products/0010839823?loc=P_0003_028
29,左撇子的電影博物館：看電影長知識，讓你的電影更好看,左撇子,2019-05-09,"
資深影評左撇子首發創作，知識含金量破表的達人級影評! 歷史╳法律╳文化╳心理╳生物╳經濟╳密碼 以電影為引線，拓展各領域知識 結合人生體驗，喚起深度共鳴 讓觀影不再只是一項娛樂，而是一場華麗的知識饗宴...more
",https://www.books.com.tw/products/0010820663?loc=P_0003_029
30,跨越：文學、電影與文化辯證,張國慶,2019-05-07,"
二十世紀現代文學與類型電影的文化脈絡解剖   本書輯錄作者近幾年來有關文學與電影的評論。全書以馬克思理論、女性主義及當代文化理論為主軸，探討文學與電影文化批判的意涵。內容涵蓋當代英美文學、義大...more
",https://www.books.com.tw/products/0010821000?loc=P_0003_030
