,書名,作者,出版日期,內容介紹,網址
1,台語歌謠鋼琴演奏曲集,陳亮吟,2020-09-30,"
收錄30首耳熟能詳的台灣歌謠，也有流行在民間的東洋歌曲，以及包含近二、三十年來已成經典的台語歌曲，和近幾年來廣受歡迎的台語流行歌曲。    鋼琴左右手五線譜，維持原貌的編曲；樂曲解析，彈奏上難易度...more
",https://www.books.com.tw/products/0010870321?loc=P_0003_001
2,五線譜、豆芽譜、樂譜：流行豆芽譜 第95冊(適用鋼琴、電子琴),"姚逸軒,黃束靜",2020-08-12,"
本書特色    *編曲難易度寬廣分級，教學/演奏兩相宜。 (參考英國皇家考級，以標註「幾顆星」均勻分級。)   *增加「解析加油站」專欄，古典/流行無縫接軌。   *增加「QR Code」掃碼，體驗樂譜與示範音頻同...more
",https://www.books.com.tw/products/0010867024?loc=P_0003_002
3,愛的高音直笛曲集(樂譜版),曾婷芝,2020-08-01,"
以國民樂器直笛，簡單吹奏出感動人心的優美旋律，輕鬆走進音樂的世界。   ◎充滿愛與溫暖的直笛曲集，10童謠曲集、6首古典樂曲集、9首讚美詩歌曲集，適合初學者或已具備音樂基礎者演奏的曲目。   ◎以放大直...more
",https://www.books.com.tw/products/0010865549?loc=P_0003_003
4,愛上烏克麗麗 一上 基礎入門篇(11版),呂苑菁,2020-07-17,"
「愛上烏克麗麗系列教材」是以演奏曲為主的教材，注重的是手法和技巧的演奏方式，比較像學鋼琴的感覺，一個音一個音階慢慢的上來，當這一些技巧手法都會了曲子自然就會好聽動人，之後可以進入二部合奏，甚...more
",https://www.books.com.tw/products/0010860224?loc=P_0003_004
5,聆聽指觸美韻套書(39歲開始彈奏的正統原聲吉他+初心者的指彈木吉他爵士入門/附2CD),"中村たかし,打田石紀夫",2020-07-08,"
典絃FB官方粉絲專頁：www.facebook.com/overtop.music/   典絃IG官方帳號：www.instagram.com/overtop_music01/   典絃LINE@官方帳號：nav.cx/d3cwIwq   ......more
",https://www.books.com.tw/products/0010857116?loc=P_0003_005
6,從古典名曲學流行鋼琴彈奏技巧,蟻稚勻,2020-06-08,"
從古典名曲學流行鋼琴彈奏技巧    基礎樂理   在彈奏之前，必需先學習一些基礎樂理，這些會讓你在彈奏視譜時更加順暢。    Waltz   華爾滋又名圓舞曲，是從拉丁文「旋轉」(volvere)演變而來，為一種中庸速...more
",https://www.books.com.tw/products/0010860090?loc=P_0003_006
7,五線譜、豆芽譜、樂譜：流行豆芽譜精選第18冊(適用鋼琴、電子琴),"姚逸軒,謝宛玲",2020-06-05,"
為目前國內2018~2019年最新國.台.英.日.韓語...等，最流行的歌曲，所編輯而成。   以五線譜方式編輯。   為【喜愛流行音樂】但又看不慣簡譜的樂友們，所精心編輯的鋼琴彈唱譜。  本書特色    *編曲難易度...more
",https://www.books.com.tw/products/0010860419?loc=P_0003_007
8,烏克麗麗、簡譜、樂譜：烏克麗麗大百科 (適用烏克麗麗),"郭偉建,鄭國棠",2020-06-05,"
?重磅消息?   「烏克麗麗大百科」正式發行!由 四分衛 Quarterback吉他手郭偉建 小郭 老師主筆，遊手好弦作者鄭國棠老師輔助，再由 劉雲平 老師編輯。如此強大的製作陣容，匯集各方教學經驗的烏克麗麗教材...more
",https://www.books.com.tw/products/0010860417?loc=P_0003_008
9,鑼鼓節奏遊戲,邱垂堂,2020-05-01,"
專為樂齡族活動、團體活動、親子音樂遊戲設計的節奏教材，統合您的手眼耳肢體神經功能，豐富您生活的音樂涵養!   利用空間佈局概念，樂譜演奏的音只出現在聲部拍子的空間位置 上，若是休止符無須演奏的拍...more
",https://www.books.com.tw/products/0010856234?loc=P_0003_009
10,經典電影主題曲30選(三版),朱怡潔,2020-04-29,"
本書特色   ●精選30部經典電影主題曲   ●附電影大綱簡介、配樂介紹與曲目賞析...more
",https://www.books.com.tw/products/0010855515?loc=P_0003_010
11,五線譜、豆芽譜、樂譜：流行豆芽譜第94冊(適用鋼琴、電子琴),"姚逸軒,黃束靜",2020-04-23,"
為目前國內當月最新國.台.英.日.韓語...等，最流行的歌曲，所編輯而成。   以五線譜方式編輯，約每75~90天發行一本。   為【喜愛流行音樂】但又看不慣簡譜的樂友們，所精心編輯的鋼琴彈唱譜。 本書特色   ...more
",https://www.books.com.tw/products/0010855984?loc=P_0003_011
12,吉他和弦終極訓練2020(附教學影片QR CODE)(改版),蔡文展,2020-03-25,"
吉他和弦千變萬化，雖然說簡單幾個和弦指型，就可以彈遍大多數的流行歌曲。不過對於那些想更深入探索吉他奧妙的人，基本和弦指型已經無法滿足不斷延伸的求知欲。深入學習吉他和弦的理論與演奏，將大大提升...more
",https://www.books.com.tw/products/0010853063?loc=P_0003_012
13,懷念中日歌謠卡拉OK,劉清祥,2020-03-16,"
懷念的昭和演歌暢銷曲，翻唱了(台)(國)語經典老歌，採用大字體、漢字注音及歌詞中文翻譯。演唱時可第一遍日語或第二遍套入(台)(國)語歌詞唱法歡唱教學。...more
",https://www.books.com.tw/products/0010852634?loc=P_0003_013
14,金塔：第二號長笛奏鳴曲《蒙古》，作品六,金塔,2020-02-24,"
長笛演奏家兼作曲家金塔，2018年創作出具有爵士俏皮風格的《第一號長笛奏鳴曲》，同年也完成充滿塞外民族風格的第二號長笛奏鳴曲《蒙古》。這首樂曲創作靈感來自於蒙古達斡爾族的父親，金塔從小在北京長大...more
",https://www.books.com.tw/products/0010849935?loc=P_0003_014
15,永存的冠冕：李佳恩詩歌作品集(2),李佳恩,2020-02-14,"
延續《獻新歌給榮耀主》詩歌作品集，筆者從2016至2019年，寫了《永存的冠冕》一系列的作品。大部分的詩歌是爲了地方教會所創。這四年其間，筆者的人生進入了另一個階段，就是三個孩子都進入小學。人生在不...more
",https://www.books.com.tw/products/0010849517?loc=P_0003_015
16,李斯特《魔鬼圓舞曲》第一號：給長笛、單簧管與鋼琴,,2020-01-15,"
「探討西方近代政治經濟思想在大轉型過程中，執著狂熱與功利追求在不同時空所扮演的關鍵角色，浮士德作為一個代表，一個象徵，其意義是巨大而深遠的。如是觀之，這部作品的啟發也就不僅只是與音樂藝術相關...more
",https://www.books.com.tw/products/0010846750?loc=P_0003_016
17,Hit101中文經典鋼琴百大首選(三版),何真真,2020-01-13,"
101首中文經典歌曲改編的鋼琴演奏曲   ∙本書收錄80-90年代，中文流行歌曲中最為經典的熱門金曲共101首。   ∙鋼琴左右手完整總譜，每首歌曲均標註有完整歌詞、原曲速度與和弦名稱。   ∙原版、原曲採譜，經...more
",https://www.books.com.tw/products/0010837302?loc=P_0003_017
18,五線譜、豆芽譜、樂譜：流行豆芽譜第93冊(適用鋼琴、電子琴),"姚逸軒,黃束靜",2019-12-31,"
為目前國內當月最新國.台.英.日.韓語...等，最流行的歌曲，所編輯而成。   以五線譜方式編輯，約每75~90天發行一本。   為【喜愛流行音樂】但又看不慣簡譜的樂友們，所精心編輯的鋼琴彈唱譜。 本書特色   ...more
",https://www.books.com.tw/products/0010844889?loc=P_0003_018
19,看簡譜學古典名曲,蟻稚勻,2019-12-23,"
看簡譜學古典名曲   不會看豆芽(五線譜)，一樣可以彈奏古典名曲。   30首經典古典名曲，各種音樂風格Waltz、Soul、Slow Rock、Swing...   曲目介紹、彈奏解析及人物簡介   基礎樂理   本書是以首調簡譜為...more
",https://www.books.com.tw/products/0010843860?loc=P_0003_019
20,歌謠交響：許石創作與採編歌謠曲譜集,黃裕元,2019-11-15,"
「我有一個理想，   就是希望那些幾乎被大家遺忘了的臺灣鄉土民謠，   能夠重新在臺灣民眾的心胸中燃燒起來!」——許石，1964.10   許石音樂事業中涉及相當多的歌曲，除了他原創的歌曲，還包括他民謠整理、...more
",https://www.books.com.tw/products/0010840351?loc=P_0003_020
21,五線譜、豆芽譜、樂譜：流行豆芽譜第92冊(適用鋼琴、電子琴),"姚逸軒,黃束靜",2019-10-04,"
為目前國內2017~2018年最新國.台.英.日.韓語...等，最流行的歌曲，所編輯而成。   以五線譜方式編輯。   為【喜愛流行音樂】但又看不慣簡譜的樂友們，所精心編輯的鋼琴彈唱譜。 改版六大特色：   *編曲難...more
",https://www.books.com.tw/products/0010835996?loc=P_0003_021
22,愛上烏克麗麗 幼教篇1(第6版),呂苑菁,2019-09-17,"
「愛上烏克麗麗系列教材」是以演奏曲為主的教材,注重的是手法和技巧的演奏方式,比較像學鋼琴的感覺,一個音一個音階慢慢的上來,當這一些技巧手法都會了曲子自然就會好聽動人,之後可以進入二部合奏,甚至三部...more
",https://www.books.com.tw/products/0010860225?loc=P_0003_022
23,日語演歌曲譜(第六集),許航,2019-08-09,"
內附歌詞翻譯及譜曲共計150首以上歌曲...more
",https://www.books.com.tw/products/0010830995?loc=P_0003_023
24,五線譜、豆芽譜、樂譜：流行豆芽譜精選第17冊(適用鋼琴、電子琴),謝宛玲,2019-07-16,"
為目前國內2017~2018年最新國.台.英.日.韓語...等，最流行的歌曲，所編輯而成。   以五線譜方式編輯。   為【喜愛流行音樂】但又看不慣簡譜的樂友們，所精心編輯的鋼琴彈唱譜。   【適用程度：小奏鳴曲 以...more
",https://www.books.com.tw/products/0010828302?loc=P_0003_024
25,簡譜、樂譜：流行二胡教材樂譜精選集 第6冊(適用二胡 附伴奏QR Code),林一鳳,2019-07-16,"
本書的使用方法，提供二胡C、 D、G、F、A- Bb、Bb 調完整的音位表，提供練習曲，音域盡量以三個把位為主，藉以熟練二胡常用的音符，樂曲則選用樂壇流行的音樂為中心，配合編者提供的弓法、指法練習，期望...more
",https://www.books.com.tw/products/0010828305?loc=P_0003_025
26,Hit102中文流行鋼琴百大首選,"朱怡潔,聶婉迪,邱哲豐",2019-07-08,"
本書收錄了2007~2016年熱門的中文流行歌曲102首，其中包含影視劇主題曲、歌唱選秀節目熱門選曲、音樂網紅喜愛的翻唱歌曲…等。   每首鋼琴演奏譜均提供左右手完整樂譜，標註中文歌詞、速度與和弦名稱。不但...more
",https://www.books.com.tw/products/0010824724?loc=P_0003_026
27,古典吉他名曲大全(二)附影音教學QR code及MP3音檔下載(三版),楊昱泓,2019-05-03,"
本書特色   ✻ 收錄古典吉他世界經典名曲共16首   ✻ 五線譜、六線譜並列，完整吉他套譜   ✻ 詳盡音樂符號解說，古典吉他作曲、編曲家年表   ✻ 作曲家及曲目簡介，演奏技巧提示   ✻ 內附留法名師彈奏示範影...more
",https://www.books.com.tw/products/0010820225?loc=P_0003_027
28,鋼琴動畫館：西洋動畫(四版),朱怡潔,2019-04-29,"
本書特色   ●18首西洋經典卡通動畫主題音樂，鋼琴獨奏套譜   ●當代最具影響力的動畫片廠及配樂大師介紹   ●內附演唱用歌詞   ●MP3全曲演奏示範   掃描QRCode 連結(麥書文化官網)下載MP3範例音檔。...more
",https://www.books.com.tw/products/0010819334?loc=P_0003_028
29,鋼琴動畫館：日本動漫(五版),朱怡潔,2019-04-29,"
本書特色   ●左右手鋼琴五線套譜   ●原曲採譜、重新編曲、適合進階彈奏者   ●內附日本語、羅馬拼音歌詞   ●MP3全曲演奏示範     掃描QRCode 連結(麥書文化官網)下載MP3範例音檔。...more
",https://www.books.com.tw/products/0010819335?loc=P_0003_029
30,云中月圓薩克斯風演奏樂譜集(CD專輯+樂譜),王云希,2019-04-01,"
「王云希-Sax Ruby」首位台灣流行薩克斯風女演奏家，Youtube影片千萬次點閱率。   這次將用薩克斯風演奏具有台灣風格的歌曲。   CD收錄十首歌曲以外還附上同CD十首歌曲的薩克斯風技巧譜!   一律使用簡譜，...more
",https://www.books.com.tw/products/0010820161?loc=P_0003_030
31,五線譜、豆芽譜、樂譜：流行豆芽譜第91冊(適用鋼琴、電子琴),謝宛玲,2019-02-19,"
為目前國內當月最新國.台.英.日.韓語...等，最流行的歌曲，所編輯而成。   以五線譜方式編輯，約每75~90天發行一本。   為【喜愛流行音樂】但又看不慣簡譜的樂友們，所精心編輯的鋼琴彈唱譜。      【適用...more
",https://www.books.com.tw/products/0010814565?loc=P_0003_031
32,簡譜、樂譜：最新排行第146冊(適用鋼琴、電子琴、吉他、Bass、爵士鼓等樂器),"卓錦炎,盧錦鴻",2018-11-05,"
適合：任何樂器 演奏、伴奏、彈唱 (簡譜/樂團小總譜)   為目前國內當月最新國.台.英.日.韓語...等，最流行的歌曲，所編輯而成。   以移動調性和弦簡譜方式編輯，約每75~90天發行一冊 。   適合：職業琴師...more
",https://www.books.com.tw/products/0010803978?loc=P_0003_032
33,五線譜、豆芽譜、樂譜：流行豆芽譜第90冊(適用鋼琴、電子琴),謝宛玲,2018-11-05,"
為目前國內當月最新國.台.英.日.韓語...等，最流行的歌曲，所編輯而成。   以五線譜方式編輯，約每75~90天發行一本。   為【喜愛流行音樂】但又看不慣簡譜的樂友們，所精心編輯的鋼琴彈唱譜。   【適用程...more
",https://www.books.com.tw/products/0010803981?loc=P_0003_033
