,書名,作者,出版日期,內容介紹,網址
1,無盡的歌：教會音樂與敬拜的13堂課,肯尼．歐斯貝克,2020-05-15,"
∮所有渴慕敬拜讚美神的人，都要讀!   你是專業的音樂敬拜服事者?   愛聽、愛唱詩歌的敬拜者?   想知道怎樣敬拜能蒙神悅納?   想了解聖詩與教會音樂有何不同?   想認識經典聖樂背後的創作故事嗎?   讓《無...more
",https://www.books.com.tw/products/0010862355?loc=P_0003_001
2,聽見音樂的靈魂：作曲家帶你聽懂西方古典音樂的演變和故事,揚‧斯沃福德,2020-05-06,"
★Amazon讀者四星半好評推薦 ★讓作曲家、音樂史專家，帶你聽出音樂的真正魅力   如果教你從音樂史上最著名、最重要的交響樂開始聽古典音樂，那是教科書。   如果教你從作曲家的個性、擅長的音樂特色開始聽...more
",https://www.books.com.tw/products/0010856407?loc=P_0003_002
3,從裝懂到聽懂，現代音樂簡史：爵士、藍調、民謠、搖滾、龐克、嘻哈……生活中總是沒人理解你，但你一定能找到一種音樂懂自己。,"儲智勇,王碩",2020-03-30,"
114首音樂、88張經典圖片，讓你一邊看書一邊聽懂音樂。   ◎「爵士」的原文是在罵人。「搖滾」的中文則是詩人余光中發明。   ◎重金屬和新金屬的差別是……主唱和吉他手有沒有爭寵較勁?   ◎為什麼唱美國現代民...more
",https://www.books.com.tw/products/0010852552?loc=P_0003_003
4,圖解古典樂：從樂理入門到音樂史完全解析，全方位提升藝術涵養,中川右介,2020-03-26,"
透過插畫回答古典樂相關的疑問!   用眼睛來享受的音樂世界   零知識也看得懂!   從樂曲的聆賞方式乃至作曲家與其時代背景的關係，包括古典音樂的基礎知識、樂曲的聆賞方式、作曲家與其時代背景(巴洛克~古...more
",https://www.books.com.tw/products/0010852903?loc=P_0003_004
5,你不可不知道的100首經典名曲(全新增訂版)(七版),許汝紘,2020-03-23,"
名曲之所以經典，在於樂章的雋永；   樂章之所以傳世，在於作曲家對音符的執著。   精選100首的執著、100首的感動、100首的經典。   ★曾榮獲國立台灣藝術教育館「中小學優良藝術出版品」推薦   ★掃描QRCOD...more
",https://www.books.com.tw/products/0010852612?loc=P_0003_005
6,我們的搖滾樂,熊一蘋,2020-02-05,"
以歷史之眼、文學之心，重返大時代下年輕世代的生命世界 再現他們一心追求自由、以音樂為抵抗的跌撞顛簸故事   「讀著六十年前的青少年如何爭取玩團和聽歌的機會時，我在心裡浮現了非常強烈的感觸。我以為...more
",https://www.books.com.tw/products/0010847199?loc=P_0003_006
7,古典樂小史：從音階到交響曲，探訪動人心弦的西洋音樂及巨匠們的音樂之路,松田亞有子,2019-12-19,"
前東京愛樂的海外公關部部長為古典樂新手寫的入門聖經! 清楚介紹古典樂的起源、演進歷史與重要的音樂家 讓你不再霧煞煞，開始享受古典樂的絕妙之作 音樂是世界共通的語言，而古典樂的魅力更是歷久彌新，對...more
",https://www.books.com.tw/products/0010842581?loc=P_0003_007
8,聽賞中國音樂,,2019-12-01,"
《聽賞中國音樂》一書，是特別為對中國音樂有興趣的一般讀者撰寫，同時亦希望藉此與學者、樂師、作曲家等專業讀者對話。作者注重以一種超越自我文化、身分、專業，甚至個人喜好與實效的角度來認識和欣賞「...more
",https://www.books.com.tw/products/0010850362?loc=P_0003_008
9,歲月如歌：詞話香港粵語流行曲(增訂版),朱耀偉,2019-09-12,"
過去數十年，粵語流行曲作為香港本土文化的重要代表，陪伴香港人走過高山低谷。從七八十年代的光輝歲月，到如今的「粵語歌已死」，唱片業衰落後本土流行音樂該何去何從?回憶中的動人旋律究竟能否繼續奏響...more
",https://www.books.com.tw/products/0010834102?loc=P_0003_009
10,香港流行文化的(後)青春歲月,朱耀偉,2019-08-09,"
「青春，請你歸來」   上世紀八十年代，香港流行文化風靡全球華人社群，電影、電視劇及粵語流行曲之間的跨媒體協同效應，塑造出譚詠麟、張國榮及梅艷芳等超級巨星，偶像工業如日方升。   這段流行文化的光...more
",https://www.books.com.tw/products/0010830784?loc=P_0003_010
11,中國音樂史簡明,柯琳,2019-08-02,"
本書依據現代教育理論和神經生物學原理，結合多年的教學經驗和研究成果，精心設計和編著的新型簡明讀本。本書將高效的學習策略和學習方法融入概念和要點的梳理，將紛繁的音樂史内容打造成方便記憶的知識要...more
",https://www.books.com.tw/products/0010830575?loc=P_0003_011
12,西方音樂史簡明,柯琳,2019-08-02,"
本書依據現代教育理論和神經生物學原理，結合多年的教學經驗和研究成果，精心設計和編著的新型簡明讀本。本書將高效的學習策略和學習方法融入概念和要點的梳理，將紛繁的音樂史内容打造成方便記憶的知識要...more
",https://www.books.com.tw/products/0010830578?loc=P_0003_012
13,國立臺灣大學圖書館典藏 平家物語音譜本第一卷：平家物語 節附語り本,,2019-01-31,"
本書為臺灣大學圖書館《平家物語音譜本》系列第一卷。是根據所收藏的平曲音譜本附上將草書解讀為現行字體的全文影像再製本。   「平曲」是以琵琶伴奏而演誦「平家物語」的藝能。平家物語在13世紀初問世，...more
",https://www.books.com.tw/products/0010813641?loc=P_0003_013
14,詞曲之外：奧山貞吉與日治時期臺灣流行歌編曲,"國立臺灣藝術大學,陳婉菱",2019-01-25,"
關於日治時期的臺語流行歌曲，除了有詞曲的超絕魅力之外，尚有編曲的絕妙風華。前者已被滔滔長論反覆剖析無數，但後者卻從來無人聞悉。本書將以活躍於日本流行樂界的編曲家奧山貞吉之臺灣編曲作品為主軸，...more
",https://www.books.com.tw/products/0010811398?loc=P_0003_014
15,電視汁撈飯：跳進劇集歌大時代,黃國恩,2019-01-18,"
電視機又再響起主題曲前奏， 大家都趕緊回家，乖乖坐定，目不轉睛， 片尾曲播出，大家才舒一口氣； 熟悉的音符，是為一個時代的印記。   香港流行樂壇能在八十年代攀上高峰，此前實有一個漫長的蘊釀期，當...more
",https://www.books.com.tw/products/0010811779?loc=P_0003_015
16,嘻哈囝：台灣饒舌故事,統籌策劃．顏社KAO!INC.,2018-12-15,"
華語世界第一本台灣饒舌專書   30年台灣饒舌故事 × 10位台灣饒舌人物   大支、小人、熊仔、蛋堡、李英宏、夜貓組、草屯囝仔、BCW、熱狗、頑童MJ116 ──最真實的Real Talk   「我想讓這些嘻哈人述說自己的故...more
",https://www.books.com.tw/products/0010807679?loc=P_0003_016
17,留聲年代：電影、文學、老唱片,李志銘,2018-12-06,"
我們總因為一首歌，抑或一個名字、一齣電影而記住一個時代   現代語言學之父索緒爾(Ferdinand de Saussure)曾說：「在語言裡，我們不能使聲音離開思想，也不能使思想離開聲音。」作者李志銘從自己的收藏與...more
",https://www.books.com.tw/products/0010805798?loc=P_0003_017
18,香港流行音樂專輯101：第一部‧1974-1987,Muzikland,2018-11-02,"
香港流行樂壇曾光輝一時，影響力遍及東南亞及各地華人社區，幾多天皇巨星誕下，多少專輯被奉為經典。本書作者投身音樂工業多年，從碟評人角度出發，結合相關創作人乃至歌手專訪，於浩瀚的唱片名單中挑選10...more
",https://www.books.com.tw/products/0010803834?loc=P_0003_018
19,為時間終結而作：梅湘四重奏的故事,瑞貝卡・莉欽,2018-10-01,"
首部揭露二十世紀最傳奇音樂故事《時間終結四重奏》於二戰德軍戰俘營中創生、首演的著作   這個故事關於一首穿越古今的四重奏，   基於《啟示錄》而創作，寫在末日般的時代。   它挑戰過去，通往未來，   ...more
",https://www.books.com.tw/products/0010800070?loc=P_0003_019
20,中西音樂史簡編,"孟燕,白海燕",2018-09-07,"
本書的初衷是編寫一部既簡單明瞭又方便學生複習的教材。如何在一本書中盡量全面呈現中西音樂史的核心知識點，是筆者在編寫過程中遇到的一大難題。經編者多方思考及反覆探討，確立了本書的主體架構和培養思...more
",https://www.books.com.tw/products/0010798706?loc=P_0003_020
21,古典音樂便利貼(六版),許汝紘,2018-07-27,"
★曾榮獲國立台灣藝術教育館「中小學優良藝術出版品」推薦   輕鬆便利、隨手掌握，   五大樂派、25位音樂家軼事及經典作品、30則音樂常識，   以及聆聽音樂會的基本禮貌及相關資訊。   處變不驚的韓德爾，...more
",https://www.books.com.tw/products/0010794205?loc=P_0003_021
