,書名,作者,出版日期,內容介紹,網址
1,性別是彩虹色的嗎?39位多元性別者的認同歷程、112個LGBTQIA+關鍵字、探索性別光譜，認識性少數、性別多樣化，給青少年的最友善性別教育讀本,艾胥莉‧,2020-09-30,"
學校沒有教的多元性別讀本 112個性別關鍵字+性別光譜全彩圖解+39位多元性別者的分享 英國《獨立報》彩虹書榜(Rainbow List)年度Top10 甫出版即衝上美國亞馬遜書店網站「青少年LGBT議題」分類榜首No.1 美國...more
",https://www.books.com.tw/products/0010870429?loc=P_0003_001
2,青少女生存手冊：認識中學女生的交友問題，協助她建立自信、處理衝突的十堂課,露西・漢門,2020-02-03,"
青春期女孩的生活，比你想的還要複雜!   她的自信心與安全感，來自同儕團體的喜愛與接納    然而對社交的過度關注，也導致隨之而來的混亂不安   如何引導她認識自我的價值，防止霸凌，並審慎使用社群媒體?...more
",https://www.books.com.tw/products/0010847682?loc=P_0003_002
3,快樂成長性教育圖書：青春告白,香港家庭計劃指導會,2019-10-18,"
飛魚與C君是稱兄道弟的好朋友，除了一起對戰手機遊戲《全民追捕》，更會分享男生身體深處的變化。如此深刻的感情，卻因偶然一次的玩笑，而令他們關係面臨破裂……   王琦與校內女神Sophia是好友。女神生涯是...more
",https://www.books.com.tw/products/0010837661?loc=P_0003_003
4,帥氣男孩修煉手冊,,2019-07-05,"
青春是生命中的大好年華，是男孩夢想啟航的時節，是規劃自己未來的起點。在本書的目錄裡，每一篇的主題，分別從強健的體格、帥氣的外表、睿智的頭腦、無畏的勇氣、肩上的責任、遠大的志向、時尚的引領等方...more
",https://www.books.com.tw/products/0010827605?loc=P_0003_004
5,方法總比問題多：名師轉變棘手學生的施教藝術,,2019-06-21,"
儘管每位老師都希望自己的學生認真聽講，主動學習，成績良好，遵守紀律並且綜合素質高，但理想和現實總是矛盾的，由於班級裡每個學生不但形態各異，其內心世界、性格特點以及家庭背景的薰陶等也是千差萬別...more
",https://www.books.com.tw/products/0010826088?loc=P_0003_005
6,飛寶兒童安全護身套書(3冊),飛寶文化編輯部,2018-09-25,"
【飛寶兒童安全護身套書】 《人小，但是機伶：兒童人身安全指南》 《拒絕別人碰你：跟孩子解釋性侵犯》 《我的SOS救命檔案》 三本得獎書 關愛、故事、方法 教孩子保護自己，教孩子遠離危險，教孩子應變能...more
",https://www.books.com.tw/products/0010799831?loc=P_0003_006
7,友好行為：給教師與家長終結霸凌的八把金鑰,Signe Whitson,2018-09-19,"
創新性的霸凌相關書籍已經細緻深入到探討有關霸凌心理學和霸凌文化氛圍的領域，現在的孩子似乎比以往任何一個時候都更容易產生遭遇這種殘酷和侵略的霸凌行為。很少有作者能夠將我們所知道的訊息合成為八個...more
",https://www.books.com.tw/products/0010801182?loc=P_0003_007
8,希望鍊金術：焦點解決取向在校園輔導的應用,"丁麗萍,廖淑月,張佳雯,林烝增,洪莉竹,陳意文,黃淑芬",2018-03-20,"
「沒有抗拒的當事人，只有不知變通的心理師」   如何幫助桀驁不馴的孩子回到他生命中應有的軌道?   如何以正向經驗安頓顛沛流離的心?   如何拉開情緒的空間，讓解決方法進來?   如果將注意力放在「解決」...more
",https://www.books.com.tw/products/0010782108?loc=P_0003_008
9,不能不說的悄悄話，孩子的性教育從愛教起：嬰幼兒到成年的健康性知識,性健康醫學協會,2017-04-14,"
★本書蒐集了父母和孩子最想知道的四百多個性問題，按照孩子年齡分段提問及解答，並提供品格塑造及增進親子關係的實用絕招，是全方位的性教育寶典。   親愛的父母，別再把孩子的性教育交給學校或傳媒了!   ...more
",https://www.books.com.tw/products/0010748781?loc=P_0003_009
10,大腦說：性不性，有關係,"喬‧艾斯‧麥克爾漢尼,弗瑞坦‧麥克凱席克‧布希",2016-12-09,"
為什麼愛上不該愛的人?   為什麼忘不了早就分手的戀情?   這些每天上演的情節，其實都跟大腦以及神經元的聯結有關。     除了性病、未婚懷孕，最新的腦科學技術告訴我們，婚姻以外的性行為，還會造成第三...more
",https://www.books.com.tw/products/0010737425?loc=P_0003_010
