,書名,作者,出版日期,內容介紹,網址
1,我的第一本廣東話單字：羅馬拼音對照，會ABC就能說粵語 (附MP3),何美玲,2020-10-06,"
超入門、超簡單、超好學 從發音開始，聲韻調到語法結構、單字 一步到位，一本就夠 羅馬拼音輔助，會ABC就能開口說 一看就懂、一學就會 觀光、生活、上班、工商都適用 悠遊港澳、廣東，一書ok!    本書附贈...more
",https://www.books.com.tw/products/0010873006?loc=P_0003_001
2,香港生活粵語教程,"劉衛林,蘇德芬",2020-09-11,"
香港粵語較少受普通話影響，既保有舊日粵語特質，又大量吸納現代用語，成為深具本土特色的語言。本教程從實際教學經驗出發，提供豐富詞彙及語音講解學習，令初學者在最短時間內掌握準確發音及日常用語，可...more
",https://www.books.com.tw/products/0010870718?loc=P_0003_002
3,粵語小詞典：滾熱辣香港話6000例，從初學到升level全搞掂!,鄭定歐,2020-07-01,"
本書專為沒時間系統學習粵語但渴望聽懂會講的人們而編寫，是掌握地道粵語的必備工具書。   ü 條目廣泛：收錄近6000例常用、新潮、極具活力和港澳特色的詞條，緊跟時代步伐。   ü 釋義簡明：選用典型例句並...more
",https://www.books.com.tw/products/0010872449?loc=P_0003_003
4,韻系晷例,召云,2020-06-12,"
古代字典有記載不少字，多數人以為古語與世隔絕或無理可從。   事實可能未必如此。   中文字結構由形音義組成，理式如何，古書未有詳盡。   除外，例如漢書有提及六書之名，但未細說。   直至許慎所著：《...more
",https://www.books.com.tw/products/0010859813?loc=P_0003_004
5,生活廣東話秘笈 初嚟報到篇,陳泳因,2020-06-12,"
本書從港漂角度出發，以普通話為常用語的新來港人士或在港人士為寫作目標，針對日常生活需要，按照平時接觸到的不同生活場景設定內容，如：辦理證件、去銀行開戶口、買菜做飯、約會、實習、上班等等，幫助...more
",https://www.books.com.tw/products/0010861543?loc=P_0003_005
6,外傭廣東話秘笈,李兆麟,2020-03-01,"
全書共八課，介紹了八大主題，每個主題下面均設計生活情景的會話，以精簡會話配合大量實用詞彙和活用短句幫助外傭學習日常工作用語，教會外傭如何處理相關工作。   每課分為三個部分：   1. 情景對話：以...more
",https://www.books.com.tw/products/0010857012?loc=P_0003_006
7,商務普通話 高階篇,"楊煜,楊虹,程曉倩,靳劍",2020-01-24,"
全書由12課組成，每課分8個部分，分別以「背景與對話」、「語音知識和語音練習」、「容易讀錯的詞和字」、「普通話詞彙及知識點」、「小笑話」、「關鍵句型朗讀」、「回答問題」和「延伸閱讀」等各種不同...more
",https://www.books.com.tw/products/0010847939?loc=P_0003_007
8,香港粵語懶人包,張勵妍,2019-10-18,"
本書收錄上千個詞條，涵蓋香港不同時期，在社會各範疇的常用詞語，共分十八類，讓你認識香港特有的粵語詞彙、了解香港風俗文化、學習詞語的用法，粵語詞的組合和使用很靈活，本書並有補充說明，幫助你延展...more
",https://www.books.com.tw/products/0010837635?loc=P_0003_008
9,粵語詞匯溯源,"張錦少,陳雄根",2019-10-10,"
粵語是漢語一支重要的方言，由於部分詞匯口耳相傳，與語文脫節甚久，以致現在通行的寫法與本義的字形( 即「本字」) 不同，而粵語本字的探求，成為粵語研究的重要內容。   ◆ 本書的「溯源」有兩重意義，一...more
",https://www.books.com.tw/products/0010836860?loc=P_0003_009
10,港文言.粵輕鬆,田南君,2019-09-19,"
年代依稀?   事不關己?   文言已死?   總有抗拒文言的道理?   其實，文言不難，   且跟生活息息相關!   《港文言.粵輕鬆》以嶄新姿態，   帶大家走遍港九新界，穿梭小巷大街，   結合貼地生活、粵語流行歌...more
",https://www.books.com.tw/products/0010834694?loc=P_0003_010
11,第一次學廣東話，超簡單：羅馬拼音對照，開口就能說(附中文、廣東話朗讀MP3),施銘瑋,2019-09-03,"
超入門 羅馬拼音對照，簡單易學， 圖文式自然記憶 一看就懂、一學就會、一本搞定， 會ABC就能開口說。    .應急幾句話：赴港澳、廣東，旅行、上班、出差，臨時需要最好用   .實用會話：900句情境會話、句...more
",https://www.books.com.tw/products/0010833177?loc=P_0003_011
12,職場廣東話秘笈,李兆麟,2019-08-26,"
本書共有十大職場主題，每個主題下面設計   針對職場情景的精簡會話   配合大量實用詞彙學習職場用語，學會運用粵語有效表達意見和處理相關工作   針對職場及工作需要，設定職場場境的語言技巧訓練，如：...more
",https://www.books.com.tw/products/0010832474?loc=P_0003_012
13,粵語(香港話)入門：從零基礎到粵語通(附QR code mp3),張勵妍,2019-08-09,"
本書通過有趣並且有效的學習模式，讓讀者快速掌握粵語的基本表達能力。全書共25課，設有句型、會話、詞彙、練習等欄目，還附有常用粵字、高頻詞組和香港地名等列表，理論簡明，圖文並茂，易學實用。   (一...more
",https://www.books.com.tw/products/0010830793?loc=P_0003_013
14,最新圖解 我的第一本廣東話：羅馬拼音對照，馬上和廣東人聊得來 (附中文、廣東話朗讀MP3),"何美玲,施銘瑋",2019-07-31,"
Fast & Easy! 學好廣東話的秘密武器。 圖文式自然記憶法， 一次學會會話.單字.文法.句型， 羅馬拼音對照，口說、耳聽立即會， 初學廣東話最強入門書。   ●500句粵語人士天天聊的迷你會話   ●500個粵語人士...more
",https://www.books.com.tw/products/0010829687?loc=P_0003_014
15,自學廣東話：實況溝通113篇,孔碧儀,2019-04-26,"
本書以實用例句形式，提供一般教科書沒有的廣東話地道說法，各種情境一應俱全，內容涉及遊客最合用的飲食、購物、問路、交通、旅遊、節日慶祝，對初定居香港的人的日常生活需要也照顧到。...more
",https://www.books.com.tw/products/0010820372?loc=P_0003_015
16,僑旅錦囊(一九一八)附〈華英譯音巫語指南〉,盧少卿,2019-04-16,"
香港史必讀經典-百年前中國通過香港進出口海外營商珍貴資料!   保存百年前的粵語用字用詞   本書是一九一八年香港廣發印務局印刷，浣香家塾發行。是當時以僑居殖民地(如香港、澳門)及海外(包括日本、東南...more
",https://www.books.com.tw/products/0010818305?loc=P_0003_016
17,邊學邊用：粵語聽說教材(三),吳偉平,2019-03-29,"
本系列教材由香港中大雅禮中國語言研習所組織編寫,通過模擬設計日常的語言情景、收錄常用詞彙、編寫生動的對話，以及實用的練習，讓中文零基礎的讀者能系統地了解粵語的語法結構，逐個階段學習粵語聽說，...more
",https://www.books.com.tw/products/0010817899?loc=P_0003_017
18,邊學邊用：華語聽說教材(三)(簡體版),吳偉平,2019-03-29,"
本書由香港中文大學雅禮中國語文研習所組織編寫,通過模擬設計日常的語言情景、收錄常用詞彙、編寫生動的對話，以及實用的練習，讓中文基礎不深的讀者也能系統而快捷地了解普通話的發音結構、常用詞彙，輕...more
",https://www.books.com.tw/products/0010817902?loc=P_0003_018
