,書名,作者,出版日期,內容介紹,網址
1,自學西班牙語會話 看完這本就能說：只要直接套用本書會話模式，一次學會日常溝通、必背單字與基礎文法(附音檔下載連結QR碼),許木蓮（Maya Heo）,2020-10-15,"
不讓「文法太難」成為學習西班牙語的阻礙! 只要使用書內的233個句型模式，就能輕鬆跟著開口說， 自然學會西語的基礎會話、文法!    西班牙語文法很困難，所以才不敢說出口?甚至因為害怕文法，讓你一開始就...more
",https://www.books.com.tw/products/0010872877?loc=P_0003_001
2,漢西翻譯面面觀：理論與實踐(二版),陸孟雁,2020-10-09,"
首本從多元視角以中文探討漢西翻譯不同面向之著作   作者除了論述翻譯理論與實務外，亦點出譯者常忽略的文法、詞彙、語義、文化等問題，尤其是正寫法等語言規範，雖看似微不足道，卻攸關譯文之優劣。本書...more
",https://www.books.com.tw/products/0010873251?loc=P_0003_002
3,AMIGO西班牙語A1(隨書附作者親錄國際標準西語發音+朗讀音檔QR Code),José Gerardo Li Chan  李文康,2020-09-21,"
學習全世界第三大語言的西班牙語，已經蔚為風潮。 想學西班牙語，不知道要用哪一本教科書嗎? 用這本最有野心、想讓你最快上手的《AMIGO西班牙語A1》就對了!    ★政大人氣西語教師精心撰寫!   《AMIGO西班...more
",https://www.books.com.tw/products/0010869977?loc=P_0003_003
4,初學者的第一本西班牙語會話：西班牙語10小時速成(附MP3),"狄亞斯,黃安娜",2020-09-09,"
高效率聽說訓練 輕鬆打開話匣子 馬上和西班牙人聊不停 單字附有中文拼音對照 會中文就能說西班牙語    .滿足所有初學者的需要   .可以迅速提升聽說能力   .奠定西班牙語會話基礎    [5捷徑，快速學好西班...more
",https://www.books.com.tw/products/0010869733?loc=P_0003_004
5,¡Vamos! 1,劉紹彬,2020-09-09,"
¡Vamos! 系列是為西班牙語學習者編寫，更適合做為以西語為第二外國語學習者的教材，以華語為母語的教授者和學習者，目的是為使學習者做全面性的自我檢測和學習成果驗收，祈習畢後可達西語檢定 A1‒A2 的程...more
",https://www.books.com.tw/products/0010873326?loc=P_0003_005
6,¡Vamos! 2,劉紹彬,2020-09-09,"
¡Vamos! 系列是為西班牙語學習者編寫，更適合做為以西語為第二外國語學習者的教材，以華語為母語的教授者和學習者，目的是為使學習者做全面性的自我檢測和學習成果驗收，祈習畢後可達西語檢定 A1‒A2 的程...more
",https://www.books.com.tw/products/0010873330?loc=P_0003_006
7,情境式西班牙語圖解字典 (全新增修版)+LiveABC智慧點讀筆16G (Type-C充電版)超值組合,LiveABC編輯群,2020-07-31,"
你知道西班牙語是全世界使用人口第三大的語言嗎?(僅次於華語及英語)   你知道世界上有超過五億人的第一或第二語言就是西班牙語嗎?   讓《情境式西班牙語圖解字典》為你打開學習西班牙語的大門!Hola!   圖...more
",https://www.books.com.tw/products/0010865625?loc=P_0003_007
8,VOCABULARY 2001~4000 隨身讀,本局編輯部,2020-07-01,"
本書特色 1.最豐富的內容收錄在最迷你的篇幅中，隨身攜帶使用方便。 2.依據大考中心所公布之詞彙分級表，將其第三、四級有系統地收錄其中。 3.補充重要片語及例句，讓您徹底掌握單字用法。 4.同反義字補充...more
",https://www.books.com.tw/products/0010317217?loc=P_0003_008
9,漢西翻譯面面觀：理論與實踐,陸孟雁,2020-06-19,"
首本從多元視角以中文探討漢西翻譯不同面向之著作    作者除了論述翻譯理論與實務外，亦點出譯者常忽略的文法、詞彙、語義、文化等問題，尤其是正寫法等語言規範，雖看似微不足道，卻攸關譯文之優劣。本書...more
",https://www.books.com.tw/products/0010862137?loc=P_0003_009
10,躺著背西班牙語1000單字：1分鐘快聽學習法(附MP3),"Felipe Gei,陳依僑",2020-06-10,"
零基礎最佳入門書! 用TED名師的方法，西班牙語很快學會， 躺著聽，躺著學，輕鬆溜。 一個單字連續聽5次，可以加深大腦的記憶， 聽5次，再快唸5次， 幫助耳朵、大腦，快速記住聽到的單字。    TED名師的566...more
",https://www.books.com.tw/products/0010860596?loc=P_0003_010
11,愛上西班牙文A1(隨書附作者親錄標準西語朗讀音檔QR Code),馬里奧,2019-12-30,"
¡Hola! 在找適合自己的西文學習書嗎?   那你絕對不能錯過這本，   由政大歐語系助理教授馬里奧老師，   為你打造的西文入門讀本!   ■中西合璧，最貼心的西文讀本!   馬里奧老師已定居臺灣10年，教學經驗豐...more
",https://www.books.com.tw/products/0010844239?loc=P_0003_011
12,我的第一堂西語課QR Code版(隨書附作者親錄標準西語朗讀音檔QR Code),"洛飛南,游皓雲",2019-11-21,"
想開口說出標準又浪漫的西班牙語嗎?   零基礎、最好學、最扎實的《我的第一堂西語課》登場!   從發音開始，讓你和這美麗的語言輕鬆邂逅!   學習主題最貼近日常生活，讓你一學馬上應用!   用生詞搭配動詞，...more
",https://www.books.com.tw/products/0010839292?loc=P_0003_012
13,自學沒問題!專為入門初學者寫的第一本西班牙語單字手冊(附隨掃隨聽MP3 QR code),黃淳養,2019-11-08,"
西班牙語很難學習??   No!西語是依照發音規則而拼音的，比英文更容易看了就說出來!   英文不好也能學西班牙語??   Sure!西語不論字母發音、文法都和英文不盡相同，放心去學西班牙文吧!   西班牙語是世界第...more
",https://www.books.com.tw/products/0010836703?loc=P_0003_013
14,我的第二堂西語課(隨書附作者親錄標準西語朗讀音檔QR Code),"洛飛南,游皓雲",2019-09-12,"
西語學了一陣子，卻不知道如何運用在生活裡嗎? 其實，用最基礎的西語， 就可以暢聊生活各種話題囉! 就讓本書教你， 如何用最簡單的西語，熱情自在聊自己!   本書為佳評如潮的《我的第一堂西語課》銜接教材...more
",https://www.books.com.tw/products/0010833226?loc=P_0003_014
15,大家的西班牙語A1 升級版(隨書附贈作者親錄國際標準西語發音+朗讀MP3),李文康,2019-06-20,"
學習全世界第三大語言的西班牙語，   已經蔚為風潮。   想學西班牙語，不知道要用哪一本教科書嗎?   用這本最有野心、想讓你最快上手的《大家的西班牙語A1 升級版》就對了!   █政大人氣西語教師精心撰寫! ...more
",https://www.books.com.tw/products/0010824781?loc=P_0003_015
16,我的第一本西班牙語會話：專為華人打造，解說詳盡的西語會話學習書!(附1MP3),鄭雲英,2019-06-14,"
第一本針對亞洲人打造，解說最詳盡的會話學習書! 全方位滿足西班牙生活的溝通需求!   現學現用的60個實用簡短對話+   結合情境主題&文法學習的24堂會話課   旅遊、留學、購物、交友…一本全搞定   自學、教...more
",https://www.books.com.tw/products/0010822889?loc=P_0003_016
17,常用西班牙語動詞變化小手冊,侯惠君,2019-02-18,"
這本小手冊嘗試藉三十七個常見西班牙語動詞來檢視西語陳述式、虛擬式、可能式與命令式的動詞變化並發現動詞時式間的關聯性，希望有志學習西語者於研讀參考時能獲得助益。...more
",https://www.books.com.tw/products/0010814674?loc=P_0003_017
18,Collins易學易記西班牙語會話,Collins,2018-11-20,"
Collins easy learning系列適合各年齡層讀者，即使初學者也能輕鬆掌握、有效運用西班牙語，無論是在學校或在家自修都極有成效，Collins網站上可下載書中部分對話的英╱西輔助音檔，供讀者搭配練習。   全新...more
",https://www.books.com.tw/products/0010804346?loc=P_0003_018
19,情境式西班牙語圖解字典(全新增修版)：【書+ DVD-ROM互動光碟(含朗讀MP3)】,LiveABC編輯群,2018-09-21,"
Hola!   你知道   西班牙語是全世界使用人口第三大的語言嗎?僅次於華語及英語   你知道世界上有超過五億人的第一或第二語言就是西班牙語嗎?   讓《情境式西班牙語圖解字典》為你打開學習西班牙語的大門!  ...more
",https://www.books.com.tw/products/0010799908?loc=P_0003_019
20,實用西語入門,"方柏婷,李優俐",2018-09-01,"
本書乃針對未學習過西語的讀者所設計，內容涵蓋實用語彙、情境對話、基礎文法、課堂練習、文化講座、短文閱讀及複習作業等層面。   為幫助初學者能練習朗讀及生活會話，於字彙、對話和聽力練習方面分別製...more
",https://www.books.com.tw/products/0010798526?loc=P_0003_020
