,書名,作者,出版日期,內容介紹,網址
1,輕鬆上手!日語五十音習字帖,三民日語編輯小組,2020-10-09,"
專為日語初學者量身打造，平假名、片假名習字工具。   藉由字形解析、筆順習字帖、單字練習，一次上手日語五十音!    本書依照發音特性分為「清音‧撥音」、「濁音‧半濁音」、「拗音」、「長音」、「促音」...more
",https://www.books.com.tw/products/0010873063?loc=P_0003_001
2,手機學日語假名,致良日語工作室,2020-07-31,"
學日語就從這本起步!    本書提供日語平假名、片假名、濁音、半濁音、拗音等基礎書寫練習和發音訣竅。透過各式練習，加上詳盡的寫字要領，助您寫出一手令人稱羨的好字，輕鬆踏出學日語的第一步。    內附...more
",https://www.books.com.tw/products/0010867038?loc=P_0003_002
3,手機學日語發音,致良日語工作室,2020-07-31,"
~超基礎日語發音入門~ 內附生活語彙影片，讓學習更加生動有趣!    本書搭配許多生動可愛的彩圖及各種小測驗，協助使用者利用圖像記憶語彙，快速掌握日語發音及假名的書寫。    書內各單元貼心設置「線上音...more
",https://www.books.com.tw/products/0010867020?loc=P_0003_003
4,輕鬆學會日本話 五十音篇：羅馬拼音對照，6天學會50音(附MP3),"朱讌欣,田中浩志",2020-04-29,"
零基礎，如何開始學日文? 從本書下手， 50音很快就上手。   羅馬拼音對照+圖文式自然記憶，   6天學會，   是學好日語50音的第一本書，   也是初學日語最強入門書，   易學.速效，   授課.自學兩相宜。   ...more
",https://www.books.com.tw/products/0010856608?loc=P_0003_004
5,學日語50音不用背：口訣+字源+諧音+自然律動50音，日語假名一次學到好 【附50音拉頁、MP3光碟、QR碼線上音檔】,木村学,2020-02-06,"
《絶賛50音》最新修訂版   附最實用日語50音拉頁海報   絕對好記!   將中文字源的形狀與日文平假、片假名緊密結合   看一次就能對日語50音的樣子有概念!   利用聲音、故事與圖像輔助記憶   聽一次就能對日...more
",https://www.books.com.tw/products/0010847977?loc=P_0003_005
6,初學必備日文五十音：三角形記憶學習法，一本征服五十音,櫻井咲良,2020-02-05,"
哪泥?學五十音光是「あ」就學了一遍又一遍? 別再浪費你的寶貴時間，五十音學一遍就夠啦!   獨創「三角形記憶學習法」，   學一個假名就建構一個「筆順→讀音→字源」三角形，   再搭例句與書寫練習，學習更...more
",https://www.books.com.tw/products/0010845343?loc=P_0003_006
7,學會日語50音的第一本書：開始就把發音練到像母語(25K+1MP3),"上原小百合,吉松由美",2020-01-31,"
日語有太多詞語及發音跟中文相似，   假名也是來自中文，   這些，我們一看就會啦!   學日語，我們幾乎偷跑了100步!   不學就浪費啦!    ▲別死背啦!假名就是從這些中文變來的啦!   ▲真人嘴型+嘴裡透視圖=...more
",https://www.books.com.tw/products/0010847892?loc=P_0003_007
8,超好學日語五十音(25K軟精裝+1MP3)【彩色增修二版】,葉平亭,2020-01-10,"
五十音 快速記憶 馬上上手   《超好學日語五十音》是針對從來沒有學過日文，想開始學日文的讀者所精心設計的。它提供完全沒有概念的初學者，一個完整的架構和內容，不但包含最重要的假名學習，也提供許多...more
",https://www.books.com.tw/products/0010846074?loc=P_0003_008
9,50音帶著背!QR Code版(隨書附日籍名師親錄標準日語發音音檔QR Code),元氣日語編輯小組,2019-11-14,"
佳評如潮! 廣受讀者喜愛的最佳日語入門教材， 搭配音檔QR code，隨掃即聽，讓您輕鬆帶著背!   ★內容把關再把關，堅持呈現最優質好學的50音學習書!   本書分為「清音‧鼻音」、「濁音‧半濁音」、「拗音」、...more
",https://www.books.com.tw/products/0010839282?loc=P_0003_009
10,五十音不靠背：學過一次記得一輩子的假名課,神奇裘莉,2019-10-07,"
神奇裘莉的超強日語神器PART 2來了! 學好五十音，日文成功一大半!   最豐富也是最簡單實用的五十音創新學習輔助書，   全面翻轉，啟動語言細胞，   跟著神奇裘莉學五十音超越五十音，   展開神奇的日文學...more
",https://www.books.com.tw/products/0010834954?loc=P_0003_010
