,書名,作者,出版日期,內容介紹,網址
1,日本人天天用的生活單字2000!動詞變化+情境會話+插圖，延伸3倍記憶!(25K+MP3),"山田玲奈,西村惠子",2020-10-30,"
精選日本人從白天到晚上會用到的詞彙2000， 不管是到處遊覽、吃喝玩樂，還是一般的居家生活、閒話家常， 各種情況會用到的單字都在這裡了! 初學日語，就要學最道地、最實用的單字!   剛學日語不久，動詞的...more
",https://www.books.com.tw/products/0010874164?loc=P_0003_001
2,初學者最易上手的日語學習課(附QR Code行動學習音檔)：一日5分，700句生活日語會話速成,,2020-10-28,"
一日5分，700句生活日語會話速成  從50音到會聽又能說， 日本人天天在說的基本對話一本就搞定    五大主題、六大學習關鍵、12大情境，   過目不忘的單字速記法+   一看就懂的文法解析+   舉一反三的句型變...more
",https://www.books.com.tw/products/0010874574?loc=P_0003_002
3,臨時急用!你一定會用到的菜日文：基礎實用篇,,2020-09-30,"
無師自通，日語溝通速成，僅此一本，別無分號   本書精選各種場合最需要的會話短句   配合中文發音，   讓你輕鬆說日語，不再有口難言   無師自通，日語溝通速成   +MP3   關鍵時刻，用菜日語快速溝通   ...more
",https://www.books.com.tw/products/0010872945?loc=P_0003_003
4,臨場就能開口說，最實用生活日語1000句(附QR Code行動學習音檔)：日本人每天都會用到的情境會話大全，五大情境、50多個主題、1000個生活常用句,周菁,2020-09-23,"
最完整、最有效、高頻率， 日本人每天都會用到的情境會話大全 五大情境、50多個主題、1000個生活常用句， 單字、文法、句型、正誤判斷，快速提升聽說讀寫力    學習全方位，開口說日語就是這麼簡單!   1....more
",https://www.books.com.tw/products/0010871308?loc=P_0003_004
5,EZ Japan日語會話課：N2語彙聽力全面提升 休閒娛樂篇 (附QRcode雲端音檔),"本間岐理,清水裕美子",2020-09-03,"
想考N2必須具備的語彙力與聽解力 考過N2卻還無法開口的缺憾 修過這門課，兩種需求一次滿足!    透過會話形式的教材同步提升語彙運用力與聽力，   幫助你達到N2實力，   進而真正擁有足以實際應用的日語會...more
",https://www.books.com.tw/products/0010867136?loc=P_0003_005
6,用會話學習日本語的基礎Ⅰ,目黑真實,2020-09-02,"
本教材的使用方法    1編輯方針與整體構成   ● 編輯方針   編輯此「会話で学ぶ日本語の基礎」的目的，是通過日常生活中常用的會話情境來學習基本的日語句型和詞彙。與傳統教科書的不同之處在於，每個部分...more
",https://www.books.com.tw/products/0010868809?loc=P_0003_006
7,生活與商用日本語,"林明煌,榮雄生,翁頂升",2020-09-01,"
本書之編排是以日語發音、初學到中級能活用日本語的學習者為對象，其內容特色有：    ◆ 常用單字單元   中日文單字對照，外來語皆有英語加以註明。    ◆ 會話單元   以實用為主，其對話內容的人物是作者以...more
",https://www.books.com.tw/products/0010870259?loc=P_0003_007
8,生活大小事日語這樣說/現場的日本語表現【博客來獨家套書】(附1MP3),"大鶴綾香,田泰淑",2020-08-05,"
生活中的各種教材就是學會日文的最快捷徑 心裡想的、眼睛看的、正在做的、生活中的大小細節 有如親臨日本現場的單字與會話練習 用最逼真的方式，帶你進入日本語學習的世界!   ◆沒有日語環境就自己創造吧，...more
",https://www.books.com.tw/products/0010864538?loc=P_0003_008
9,每日用得上的日本語4000句+LiveABC智慧點讀筆16G(Type-C充電版) 超值組合,LiveABC編輯群,2020-07-31,"
●適用日語入門~中階學習者   ●你知道光是早安、說再見的日語有幾種說法嗎?   ●如果日本朋友跟你問好，你知道要怎麼回答嗎?   ●想試著聊天卻搞不懂這個場合要用敬語還是平語?   別擔心，所有答案都在這本書...more
",https://www.books.com.tw/products/0010865582?loc=P_0003_009
10,生活日語必勝系列套書(全2書)+ LiveABC智慧點讀筆16G( Type-C充電版),LiveABC編輯群,2020-07-31,"
●適用日語入門~中階學習者   ●你知道光是早安、說再見的日語有幾種說法嗎?   ●如果日本朋友跟你問好，你知道要怎麼回答嗎?   ●想試著聊天卻搞不懂這個場合要用敬語還是平語?    別擔心，所有答案都在這本...more
",https://www.books.com.tw/products/0010865921?loc=P_0003_010
11,生活玩樂套書(全2書)+ LiveABC智慧點讀筆16G(Type-C充電版)超值組合,LiveABC編輯群,2020-07-31,"
這樣學才道地! 實用會話情境+老外實景影片，吃喝玩樂，一本就GO!    三個步驟，輕鬆學會老外都在說的道地英語!    你是否明明英語學了很久，遇到老外卻還是支支吾吾，說不出一口流利的英文嗎?就讓本書來解...more
",https://www.books.com.tw/products/0010865922?loc=P_0003_011
12,Shadowing跟讀法︰神奇打造日語表現力(MP3免費下載),今泉江利子,2020-07-20,"
為什麼你的日文，聽起來這麼像日本人? シャドーイング(Shadowing)跟讀法， 讓「聽力」與「口語表現力」同時產生驚人改變!   シャドーイング跟讀法又稱shadowing或影子練習法，顧名思義是聽到什麼，就像影...more
",https://www.books.com.tw/products/0010863984?loc=P_0003_012
13,妙子先生の日本語ミニ講座Ⅰ：擬聲擬態詞、敬語、稱呼、男性用語‧女性用語、第一人稱與第二人稱、間投詞,吉田妙子,2020-06-22,"
政治大學日文系教授吉田妙子老師， 集結30多年教學精華力撰。 數百回迷你講座，篇篇生動，字字珠璣， 是日文學習者一定要入手的文法書!    「就是這樣，沒有為什麼，記起來就對了!」   您在學習語言的時候...more
",https://www.books.com.tw/products/0010857955?loc=P_0003_013
14,妙子先生の日本語ミニ講座Ⅱ：は與が、情態、助詞、寒暄,吉田妙子,2020-06-22,"
政治大學日文系教授吉田妙子老師， 集結30多年教學精華力撰。 數百回迷你講座，篇篇生動，字字珠璣， 是日文學習者一定要入手的文法書!    「就是這樣，沒有為什麼，記起來就對了!」   您在學習語言的時候...more
",https://www.books.com.tw/products/0010857958?loc=P_0003_014
15,妙子先生の日本語ミニ講座Ⅲ：台灣日語、和製英語,吉田妙子,2020-06-22,"
政治大學日文系教授吉田妙子老師， 集結30多年教學精華力撰。 數百回迷你講座，篇篇生動，字字珠璣， 是日文學習者一定要入手的文法書!     「就是這樣，沒有為什麼，記起來就對了!」   您在學習語言的時...more
",https://www.books.com.tw/products/0010857961?loc=P_0003_015
16,會!日本語 中階1,"小川道子,山口知才子,日下倫子,林英子,森節子,永田晶子,澤田尚美,西川幸人,酒井祥子,高見彩子",2020-06-15,"
前所未有的嶄新教科書 《會!日本語》帶領您一步步加強日語溝通能力!   《會!日本語》系列累積數年不斷試用，汲取眾多學習者與老師的意見，耗費6年淬煉而成。 本書特色   ★主題貼近生活，多種情境加強記憶 ...more
",https://www.books.com.tw/products/0010862952?loc=P_0003_016
17,自學日語會話 看完這本就能說：專為初學者設計!只要直接套用本書會話模式，一次學會日常溝通、必背單字與基礎文法(附QR線碼上音檔隨刷隨聽 + 隨身會話練習小冊子),李信惠,2020-06-04,"
淺顯易懂!只要套用就能溝通! 全書涵蓋日常基礎所需的會話、句型、文法、單字 不管是「初學者」，還是「重新學習者」均適用!    從最基本的句型開始學習，   教你如何運用簡單的文法和單字，就能創造出無限...more
",https://www.books.com.tw/products/0010859546?loc=P_0003_017
