,書名,作者,出版日期,內容介紹,網址
1,日常生活學英文寫作：親子的第一本英文日記寶典,英文研究團隊,2020-11-01,"
可愛漫畫×核心單字×生活情境 不知道從哪裡開始寫，看這本就對了。 萬事起頭難，剛開始也可以混合中文和英文使用， 就像只要學會apple(蘋果)，就可以寫出”我喜歡 apples!” 每天留給自己五分鐘， 用基礎單字...more
",https://www.books.com.tw/products/0010874251?loc=P_0003_001
2,61億人都在用的英文寫作技巧：4步驟掌握英文寫作,傅友良 Glory Fu,2020-10-07,"
為什麼他們不出國留學、不花錢補習， 竟然也能寫出像母語人士一樣好的英文文章?  全球61億人都在用的英文寫作技巧大公開! 只要活用傅友良Glory老師的 英文寫作4步驟： 「閱讀短文」、 「看圖寫句子」、 「...more
",https://www.books.com.tw/products/0010872581?loc=P_0003_002
3,SAT作文滿分攻略,鐘莉,2020-08-28,"
中文作文就很難寫了，還要寫英文作文?! 只有二十五分鐘的時間，到底要怎麼寫出滿分六分的文章!!   【透徹理解SAT作文要求】   所謂「知己知彼，百戰百勝」，SAT作文亦是如此。考作文前你需要做何準備?是誰...more
",https://www.books.com.tw/products/0010869179?loc=P_0003_003
4,字幕翻譯必修課：40部電影接案練習本,陳家倩,2020-08-10,"
台大最熱門的字幕翻譯課! 院線片、Netflix、HBO等字幕翻譯的接案入門!   陳家倩老師首部作品《我的職業是電影字幕翻譯師》，帶領讀者一窺字幕翻譯的樣貌，也鼓舞許多想進入這一行的青年學子。但懷有夢想，...more
",https://www.books.com.tw/products/0010866067?loc=P_0003_004
5,後巴別塔時代的翻譯：全球英語與理論轉向,陳德鴻,2020-08-05,"
全球化趨勢下，英語作為世界和學術圈的「通用語」，在各領域、學科，幾乎是論文發表的敲門磚。如此強勢的單一語言席捲全球，彷彿重新構築了一個語言統一的巴別塔時代。   然而，作為通用語的對照，「翻譯...more
",https://www.books.com.tw/products/0010865025?loc=P_0003_005
6,英文日記寫作句典(附中英對照MP3)：上萬例句自由組合套用，輕鬆寫出流暢英文!(二版),石原真弓,2020-08-05,"
★31種生活情境，13,000實用短句★ ★上萬例句自由組合套用★ ★搭配MP3，寫作力、表達力、聽力UP★ ★文法、句型、易錯重點全面解析★ ★自然培養英文語感，流暢英文輕鬆寫★    如何提升英文寫作能力?   就從養成...more
",https://www.books.com.tw/products/0010865183?loc=P_0003_006
7,翻譯研究十二講,,2020-07-29,"
本書集結「余光中人文講座」有關翻譯研究的部分成果共12篇，不僅每篇作者均為翻譯領域成就卓越的譯者、學者、教育工作者，文論同時也展現了臺灣譯學研究三十年的若干樣貌。內容理論與實務兼具，涵蓋翻譯策...more
",https://www.books.com.tw/products/0010862563?loc=P_0003_007
8,把學過的英文找回來，寫出正確英文真輕鬆：重組╳造句╳三句寫作，用 20 個寫作必備公式讓你快速提升英文表達力!,成重　壽,2020-07-16,"
“英文會寫就會說!”   寫出正確句子不需要高深英文，   只需要活用 20 個寫作必備公式，重組、造句、三句寫作輕鬆練    無論是訊息、部落格、文書信件、臉書、LINE、IG、E-mail   各種體裁都能順利寫，絕不...more
",https://www.books.com.tw/products/0010863233?loc=P_0003_008
9,英文研究論文寫作：段落指引(第二版),廖柏森,2020-06-20,"
套用段落句型寫作模版，修訂時態、用字及標點， 帶你從第一句寫到最後一句! 4大論文章節寫作模版，架構流暢易讀的篇章段落 10項標點符號用法指引，寫出清楚正確的句子結構   臺師大廖柏森教授編寫的「英文...more
",https://www.books.com.tw/products/0010861019?loc=P_0003_009
10,中英翻譯：從理論到實踐,董崇選,2020-06-11,"
極佳「中英翻譯」課程專用教科書&在家自學也可通!   翻譯是一種藝術，藝術是一種抉擇的功夫，靠的是膽識、直覺與學養。   理想的「中英翻譯」是在4S的層面上精準達成3F的目標   Sense(意譯)+Sound(音譯)+S...more
",https://www.books.com.tw/products/0010859937?loc=P_0003_010
