,書名,作者,出版日期,內容介紹,網址
1,掌握8大發音要訣!英語聽說超流暢(附MP3 音檔連結)：聽說竅門·豁然大開， 英檢·TOEIC 應試得高分!,Tim Stone,2020-10-28,"
★消音.連音.變音抓住發音瞬間變化   訓練完美美式英語腔調   ★根治模糊聽力毛病   讓耳朵跟上英檢、TOEIC唸題速度   ★打通「聽」「說」二脈   聽說竅門.豁然大開   在學習英語的過程中，老師為了提升學生...more
",https://www.books.com.tw/products/0010873634?loc=P_0003_001
2,你一定要會的英語發音規則：【書+朗讀MP3(掃描QR CODE聆聽或線上下載)】,LiveABC編輯群,2020-09-21,"
想說英語嗎?先練好發音規則，開口說英語才道地!   ■易混淆的子音 [.] [d.] 要怎麼發音才正確?   ■ch、sh、gh、ph、th，你知道這幾個字母組合，要發甚麼音嗎?   ■Worlds的字尾要念[s]還是[z]?   ■美國腔......more
",https://www.books.com.tw/products/0010871195?loc=P_0003_002
3,一看就會圖解英語發音+當場用得上的英語會話5000句+LiveABC智慧點讀筆16G(Type-C充電版)超值組合,LiveABC編輯群,2020-09-15,"
目標讀者：   適於各年齡層。   適於各種學習程度。   適於英語自學者。   可做為教師課後補充教材。   想學習英語基礎發音者。   自然發音與KK音標同步學習 學習發音事半功倍   你是否常常有這樣的疑問：...more
",https://www.books.com.tw/products/0010870726?loc=P_0003_003
4,一看就會圖解英語發音+LiveABC智慧點讀筆16G(Type-C充電版)超值組合,LiveABC編輯群,2020-07-31,"
自然發音與KK音標同步學習 學習發音事半功倍   你是否常常有這樣的疑問：「英語發音真的很難嗎?」、「到底要怎麼樣學習，才能夠說出漂亮的英語呢?」。其實英語發音本身並不困難，只要掌握讓你事半功倍的學...more
",https://www.books.com.tw/products/0010865631?loc=P_0003_004
5,一次學會KK音標：融合字母拼讀雙效學習【二版】(20K彩色+MP3),Cosmos Language Workshop,2020-07-17,"
KK音標+字母拼讀法 雙管齊下，讓你輕鬆練成道地英語口音!   學好道地的英語發音有助提升學習英語的自信心。本書為初學者詳盡解說KK音標，精心篩選最常用的實用單字，搭配字母拼讀法，整理音標與拼寫字母對...more
",https://www.books.com.tw/products/0010864378?loc=P_0003_005
6,學英文音標不用背!：「K.K. 音標」與「自然發音」一次搞定，發音學習無死角!(附音標記憶口訣MP3 光碟)【QR碼行動學習版】,楊淑如,2020-04-16,"
為什麼只學自然發音是不夠的? 為什麼一定要學K.K.音標?   因為有很多重要的字是不符合自然發音規則的   本書教你輕鬆「認識」音標，真的不用背!   保證看完一遍就能看懂英文字典或線上字典的音標    別讓...more
",https://www.books.com.tw/products/0010854448?loc=P_0003_006
7,學會KK音標的第一本書—開始就把發音練到像母語(25K+1CD),里昂,2020-02-27,"
▲別死背啦!10倍音標神速記憶法，可以舉一反十!   ▲真人嘴型+嘴裡透視圖=嘴巴發音清楚，KK音標就好記!   ▲搞笑插畫聯想發音，把短期記憶快速植入長期記憶!   ▲發音不準?41首繞口令，讓您吐字清晰、口齒伶俐...more
",https://www.books.com.tw/products/0010850375?loc=P_0003_007
8,最新圖解 英語發音入門：6天學會KK音標.自然發音 (附美籍老師朗誦CD),Mary Chang,2020-02-12,"
中文注音對照，一目瞭然，   1張圖表，搞定英語發音，   超方便!超好學!   圖像&圖文解析，過目不忘，   真人示範，插圖生動活潑，   1天1課，6天學會，   看字就會唸，聽音就會拼，   發音超標準，連老外...more
",https://www.books.com.tw/products/0010848244?loc=P_0003_008
9,超好學的英文發音課本：專門寫給「學了好久都學不好英文發音」的人們(免費附贈虛擬點讀筆APP+1CD),Josephine Lin,2020-01-08,"
你學了好久都學不會英文發音嗎?   不管練習再多次，輕重音總是放錯，   不管再怎麼努力，講出的英文總是台台的，   明明知道想學好英文，就要先學好發音，   但怎麼學就是學不會嗎?   你需要的是最簡單、...more
",https://www.books.com.tw/products/0010847032?loc=P_0003_009
10,一次學會KK音標：融合字母拼讀雙效學習(25K彩色軟精裝+1MP3),Cosmos Language Workshop,2019-12-06,"
KK音標✙字母拼讀法，雙效學習效果加倍!   學好道地的英語發音有助提升學習英語的自信心。本書為初學者詳盡解說KK音標，精心篩選最常用的實用單字，搭配字母拼讀法，整理音標與拼寫字母對應的發音規則，以...more
",https://www.books.com.tw/products/0010842350?loc=P_0003_010
