,書名,作者,出版日期,內容介紹,網址
1,全新!IELTS 雅思寫作題庫大全：獨家學習計畫，各題型寫作策略剖析，讓你寫出高分內容(雙書裝+隨身學習小冊),Hackers Academia,2020-10-29,"
最強英文檢定破解團隊 Hackers 全面剖析雅思寫作題型、獨家解題技巧， 打造真實度最高的模擬試題!   精確診斷出考生寫作英文文章的盲點，   不管雅思考試取材如何刁鑽、資訊量如何廣大，考題再多變化，   ...more
",https://www.books.com.tw/products/0010873874?loc=P_0003_001
2,全新!IELTS 雅思口說題庫大全：嚴選常考主題，全面剖析各類問題與回答，輕鬆突破超刁鑽口說測驗(附防水書套+1 MP3&音檔下載連結),Hackers Academia,2020-10-29,"
最強英文檢定破解團隊 Hackers 分類剖析雅思口說問題、獨家答題技巧， 打造真實度最高的模擬試題!  精確診斷出考生面對考官應注意事項及口說難題的盲點， 不管考官出題如何刁鑽、考題再多變化， 本書讓你...more
",https://www.books.com.tw/products/0010873934?loc=P_0003_002
3,【IELTS雅思練武功】寫作8.0考前衝刺，就靠這一本!,"王爽,黃爾賓",2020-09-28,"
收錄IELTS雅思應試核心重點，讓你扎實取分， 寫作實力養成就靠這一本!    【本書核心重點】   ✧點亮靈活寫作的學習路   ✧每天3小時掌握大小作文重點   ✧IELTS寫作8.0非你莫屬   ■快速理解圖表   ■建立寫作...more
",https://www.books.com.tw/products/0010872142?loc=P_0003_003
4,【IELTS雅思練武功】口說8.0考前衝刺，就靠這一本!,袁迪,2020-08-26,"
囊括IELTS雅思口說應考關鍵重點， 讓你輕鬆取分，口說實力養成就靠這一本!   【本書核心重點】   培養精準道地口說實力   每天3小時科學有效學習   邁向IELTS口說8.0不是夢   母語思考邏輯   顛覆死記硬背...more
",https://www.books.com.tw/products/0010868256?loc=P_0003_004
5,英國名師教你IELTS雅思考試高分攻略【書(可線上聆聽MP3)】,希伯崙編輯部,2020-07-31,"
#目標讀者： 1. 英語能力初~中級。 2. 加強雅思應試的英語聽說讀寫解題能力。 3. 快速掌握雅思考試的應考技巧。 4. 提升程度，雅思拿高分。   #你的內心總有一個夢想是要出國進修嗎?   #你的雅思成績總是...more
",https://www.books.com.tw/products/0010865677?loc=P_0003_005
6,一手掌握IELTS雅思單字(線膠裝+免費附贈VRP虛擬點讀筆App+防水書套),地表最強教學顧問團,2020-07-29,"
「單字」是學好語言的根本， 也是出題老師的題本。 想要短期衝刺，力拚高分， 最佳的應考策略就是「背單字」! 只要能看懂80%以上的單字， 就能掌握90%以上的題意， 單字背得愈多，答對的機率就愈高! 《一...more
",https://www.books.com.tw/products/0010865355?loc=P_0003_006
7,【IELTS雅思練武功】聽力8.0考前衝刺，就靠這一本!,,2020-07-22,"
【本書核心重點】   ◇脫離題海的關鍵戰術   ◇每天3小時浸泡式學習   ◇讓你輕鬆超越IELTS聽力8.0   ■全面、高效、真題   ■掌握核心考點個個擊破   ■真題和原創範例及時演練   ■融會貫通高效練習    ◇針對雅...more
",https://www.books.com.tw/products/0010863653?loc=P_0003_007
8,全新!IELTS 雅思聽力題庫大全 ：7大題型解題技巧，各類內容精準解析，讓你輕鬆突破高難度聽力測驗(雙書裝+1MP3&音檔下載連結),Hackers Academia,2020-07-02,"
英語檢定第一品牌「Hackers」 分類破解IELTS雅思聽力7大題型 堅持實際進場應考，分析出題傾向， 由母語人士編寫試題，最接近真實考試內容!   你或許已經知道「Hackers」團隊持續暢銷不敗的多益模擬試題，...more
",https://www.books.com.tw/products/0010861091?loc=P_0003_008
9,全新!IELTS 雅思閱讀題庫大全 ：獨創速讀技巧，各領域文章精準解析，讓你輕鬆突破高難度閱讀測驗(附英式、美式單字發音QR 碼線上音檔),Hackers Academia,2020-07-02,"
最強英文檢定破解團隊 Hackers 全面剖析雅思閱讀題型、獨家解題技巧， 打造真實度最高的模擬試題!  精確診斷出考生閱讀英文文章的盲點， 不管雅思文章取材如何刁鑽、資訊量如何廣大，考題再多變化， 讓你...more
",https://www.books.com.tw/products/0010861092?loc=P_0003_009
10,IELTS雅思練武功 閱讀8.0考前衝刺，就靠這一本!,"劉佳薪,張瀚文",2020-06-22,"
【本書核心重點】   每天3小時提升9大核心能力   輕鬆突破IELTS閱讀8.0    開啟接軌國際的那扇窗    告別枯燥閱讀   掌握詞彙句型   領悟核心技巧   應試實用兩相宜    ◇核心重點全都錄， IELTS雅思輕鬆取...more
",https://www.books.com.tw/products/0010861089?loc=P_0003_010
11,牛津英語大師用THINK MAP教你雅思IELTS單字(附單字朗讀MP3光碟+QR Code),"Stephen McCutcheon,路易思(Luiz)",2020-03-25,"
「牛津英語大師」與「雅思預備考官」首度聯手! 用風靡學界的THINK MAP教育工具， 加上雅思IELTS考題仿真例句， 讓你驚奇牢記並活用雅思核心字彙， 成為下一個雅思高分王!   ★ 用THINK MAP輕鬆熟記雅思IELT...more
",https://www.books.com.tw/products/0010852425?loc=P_0003_011
12,一次就考到雅思寫作6.5+(附英式發音MP3),柯志儒,2020-02-13,"
廣受好評且最經典的雅思範文   提供海量的高分範文演練   等同11本劍橋雅思題本的練習量   學習速度加快11倍   範文緊扣雅思四個評分單項   補足英文文法和寫作課的侷限   100%一次直達雅思高分   在雅思...more
",https://www.books.com.tw/products/0010848965?loc=P_0003_012
13,雅思名師Holly Lin獨家傳授 IELTS聽說讀寫高分秘技：【附QR Code線上聆聽、具點讀功能】,Holly Lin,2020-02-06,"
什麼是雅思IELTS?   雅思國際英語測驗系統IELTS (The International English Language Testing System)，是由劍橋大學英語考試院設計用來評估欲前往英語系國家求學、移民或工作者在聽、說......more
",https://www.books.com.tw/products/0010848815?loc=P_0003_013
14,一次就考到雅思文法7+(附英式發音MP3),韋爾,2019-12-09,"
最強雅思學習方式── 超神奇「紅寶書」，揭露寫作卡在「6.5分」的關鍵!   掌握關鍵「細節點」，不用走「數百萬」考生走過的冤枉路   破除魔咒、省掉數次應考的報名費、額外補習費   精選「150」個關鍵考點!...more
",https://www.books.com.tw/products/0010842063?loc=P_0003_014
15,前進IELTS雅思單字滿分筆記(附防水書套+遮色片+QR Code),"Ruan Esterhuyse,維琪老師",2019-11-06,"
你，正在準備雅思考試嗎? 這裡有一本可以陪你上山下海的單字書! 《前進IELTS雅思單字滿分筆記》 是第一本針對雅思規劃的 全能單字隨行書!   有名師嚴選的核心字彙、貼近日常生活的實境例句；   有IELTS高...more
",https://www.books.com.tw/products/0010838707?loc=P_0003_015
16,一次就考到雅思單字7+(附英式發音MP3),韋爾,2019-11-04,"
最強雅思學習方式──   超神奇「藍寶書」   精選《劍12》-《劍14》循環必考字   永遠提供給考生最新、最靠譜資訊   將時間只花在機經、劍橋雅思、歷屆試題中，會重複出現的字彙   10倍速強化雅思四個單項的...more
",https://www.books.com.tw/products/0010838915?loc=P_0003_016
17,連雅思主考官都讚嘆的雅思口說高分祕笈(附1CD),"Hanna Hu,James Brown",2019-09-25,"
為什麼本書讓雅思主考官都讚嘆? 讚嘆一：命中率高 讚嘆二：最強師資 讚嘆三：詳盡攻略 (想知道更多為什麼，請再往下看!)   雅思口說成績總是無法突破門檻，   就算聽力、閱讀、寫作拿到高分，   卻總是被...more
",https://www.books.com.tw/products/0010835053?loc=P_0003_017
18,雅思寫作7+(附英式發音MP3),韋爾,2019-09-11,"
最強雅思寫作學習方式── 超神奇「綠寶書」 點出眾多考生寫作分數卡6.5分原因 賦予對單字、佳句和論點靈活思緒 關鍵24個英單 掌握 ”圖表題寫作” 7以上高分佳句 暢銷書論點加持 有效拓展思路和廣度 優化各類...more
",https://www.books.com.tw/products/0010833114?loc=P_0003_018
19,超倍速52「背」單字(隨書附超強記憶板)(雅思篇),"林漢忠,蔡沂霖",2019-08-09,"
★ 隨書附 10cm × 7cm 紅色超強記憶板。   ★ 人腦最佳自然反射學習法，閱讀解題快3倍!   ★ 適用於雅思(IELTS)、初級英檢、會考、留學等。   ★ 全書依雅思(IELTS)評分制，將單字分成5、6、7、8、9級!   ......more
",https://www.books.com.tw/products/0010828861?loc=P_0003_019
20,一次就考到雅思聽力7+ (附英式發音MP3),Amanda Chou,2019-08-01,"
最強雅思聽力學習方式──   超神奇「橘寶書」 神準猜題、真題重現   聽力「填空題」出題與官方完全一致   專門為亞洲考生設計   1000題試題，超海量練習   12.5倍速學習，大幅縮短備考時間   保7攻9適用   ...more
",https://www.books.com.tw/products/0010829160?loc=P_0003_020
21,連雅思主考官都讚嘆的雅思單字+文法/閱讀/寫作/聽力解題祕笈【網路獨家套書】,"Hanna Hu,James Brown",2019-08-01,"
為什麼本書讓雅思主考官都讚嘆!? 讚嘆1：命中率高 讚嘆2：超強師資 讚嘆3：詳盡解析 ( 如果想知道更多為什麼，請再往下看。)   IELTS雅思國際英語能力測驗   (International English Language Tes......more
",https://www.books.com.tw/products/0010830010?loc=P_0003_021
