,書名,作者,出版日期,內容介紹,網址
1,哇!原來這句韓語這樣說 隨身攜帶版(附音檔QRcode)：追韓劇、綜藝必備 一起跟著主角這樣說!,王韻亭,2020-09-24,"
課本上學不到! 精選1800句超夯韓國生活用語 並收錄韓劇經典台詞及趣味小專欄 跟著韓國年輕人這麼說!    本書精選1800句人氣韓劇、綜藝、網路最常出現的韓語生活短句。生活、愛情、吃喝玩樂、網路、影視娛...more
",https://www.books.com.tw/products/0010867772?loc=P_0003_001
2,韓國人每天掛在嘴邊的生活慣用語：最接地氣的500句日常對話，瞬間拉近你與韓國之間的距離,郭修蓉,2020-09-12,"
最接地氣的500句日常對話   瞬間拉近你與韓國之間的距離   ★附韓國作者親錄標準韓語MP3 QR Code   你知道韓國人被嚇到的第一個反應會說什麼嗎?   「辛苦了!」這句話竟然不是對每個人都可以說?   約會的時...more
",https://www.books.com.tw/products/0010869620?loc=P_0003_002
3,熊愛企韓國：Saleisha老師的第一堂超好玩韓語課(二版)(附光碟),李聖婷,2020-09-03,"
市面上的韓語旅遊書都好難，句子都好長，初學者總是看不下去也唸不出來! 但從發音教起的韓語教學書，都不教我怎麼點烤肉跟check in，只教我問「你叫什麼名字?」! 史上首創!從零開始的韓文初級教材+超實用...more
",https://www.books.com.tw/products/0010868598?loc=P_0003_003
4,追星追劇跟著說 不退流行的實用韓語【書+朗讀MP3】,LiveABC編輯群,2020-08-17,"
# 想要看韓綜、韓劇練聽力，卻總是因為聽不懂而抓不到笑點嗎? # 一群人聊得正開心，你想要融入話題卻不知道大家在聊什麼? # 和歐爸用通訊軟體聊得正開心，但是打出來的字卻看不懂該怎麼辦?   韓國年輕人都...more
",https://www.books.com.tw/products/0010867525?loc=P_0003_004
5,自學韓語看完這本就能說/用簡單韓語聊不停【博客來獨家套書】(附1真人發音教學影片DVD+2MP3),"I.K.Bridge外語學院,南嘉英,幡野泉,柳志英,韓曉",2020-08-05,"
專為華人設計!秒懂易學的韓語自學、會話教材 就把初學者所需的字母、發音、單字、句型、文法、會話全部打包帶走! 還能讓你在初學階段就用韓語旅遊、追星、批貨、交友、KakaoTalk!  結合｢聽、說、讀、寫｣絕...more
",https://www.books.com.tw/products/0010864574?loc=P_0003_005
6,簡單快樂韓國語1 (第二版)(書附MP3),"鄒美蘭,陳慶德",2020-02-27,"
本書特色    你厭倦講解似是而非的韓國語文法嗎?本書是由兩位中、韓專業韓國語講師合力創作而成的初級韓文書!   你厭倦無聊的發音練習了嗎?此書收錄著最新韓國語會話句型以及最實用的生活日常對話!   你厭...more
",https://www.books.com.tw/products/0010850966?loc=P_0003_006
7,超融入韓國語：追劇、韓綜、網民都在用，從單字意思、詞類變化到使用時機、活用句型，不但教你網民說什麼，還告訴你怎麼用!(附QR碼線上音檔),李禎妮,2020-01-03,"
台灣妞韓國媳、喜娜與小眼睛喔爸在韓國、韓國首爾地陪韓流喵 強力推薦!   網民都在用，現實生活也很常用!   從單字意義、演化來源、詞類變化到使用時機   學會超融入韓語讓韓國人更認同你的韓語實力!   另...more
",https://www.books.com.tw/products/0010844175?loc=P_0003_007
8,歡迎光臨台灣韓語導覽(附QRcode音檔),"EZ叢書館編輯部,楊曉蕙",2019-12-05,"
誰說學韓文只能哈韓了?一起向韓國朋友介紹台灣吧!   風土民情‧傳統文物‧美食佳餚──用韓文深入探索台灣在地之美   韓國去了很多次，哪裡有好吃、好逛、好玩的都能滔滔不絕；   可是當韓國朋友問起台灣景點...more
",https://www.books.com.tw/products/0010840411?loc=P_0003_008
9,安妞!用中文說的旅遊韓語!(25K+MP3),金龍範,2019-10-23,"
只要幾秒鐘， 用中文就能馬上開口說韓語! 好想要到韓國去玩! 但是我不會韓文、英文也不好該怎麼辦? 別擔心! 讓「中文拼音+羅馬拼音」來幫助您， 不懂韓文，照樣馬上開口說韓語! 立馬到韓國衝一波吧!   不...more
",https://www.books.com.tw/products/0010838149?loc=P_0003_009
10,課本上學不到!原來這 句韓語這樣說：輕鬆搞懂主角這樣說，追劇、看綜藝更入戲!(附MP3),王韻亭,2019-09-20,"
喜怒哀樂、愛恨情仇 原來韓國年輕人這樣說 課本學不到的韓語超有趣!   本書精選出1800句人氣韓劇、綜藝、網路最常出現的韓語生活短句。其中很多都是課本上學不到的韓國年輕人、朋友間聊天的常用句。   主...more
",https://www.books.com.tw/products/0010832921?loc=P_0003_010
11,去韓國要會的700句(口袋書)【1書】,希伯崙編輯部,2019-08-20,"
只要你是…..   ✓熱愛去韓國自助旅行   ✓想要體驗韓國當地生活   ✓追星一族，沒有韓國歐吧歐妮會活不下去   ✓想要自學加強韓國生活實用會話   ✓想要更了解最道地的韓國生活用語   書本一翻，開口說韓語就這...more
",https://www.books.com.tw/products/0010832019?loc=P_0003_011
12,榮敬老師的《生活必備韓語文法》+《韓國旅遊實境會話》(2書附防水書套、QRCode音檔),李榮敬,2019-08-02,"
全台第一套 「生活必備文法+旅遊實境會話」韓語學習書， 讓韓語真正在生活中派上用場!   文法書專業術語太多、例句不貼近真實生活，看不懂又不實用；   旅遊書只有大量句子，不懂韓語原理，遇到不同狀況就...more
",https://www.books.com.tw/products/0010828293?loc=P_0003_012
13,開朗歐巴的手指旅遊韓語(隨書附贈作者親錄標準韓語朗讀MP3),盧開朗,2019-04-22,"
人氣韓語名師、「WTO姐妹會」固定班底──盧開朗老師， 集結多年教學、旅遊經驗， 加上長年臺韓文化觀察， 為國人打造這一本韓語旅遊會話書 就是要您輕鬆一指，暢遊韓國!   定居臺灣十多年的盧開朗老師，長...more
",https://www.books.com.tw/products/0010818420?loc=P_0003_013
14,別笑!用撲克牌學韓語：韓語旅遊會話卡(隨盒附贈韓籍專業錄音員親錄標準韓語朗讀MP3 QR Code),繽紛外語編輯小組,2019-04-22,"
◎是撲克牌也是學習卡!   打開撲克牌玩一玩!每張撲克牌都有韓語、注音標示、中文解釋，讀一讀，韓語一點都不難!   【例】      收尾音小補帖1   ㄱ→嘴巴保持原本的樣子，聲音急促結束   ㄴ→像「ㄢ」或「ㄣ...more
",https://www.books.com.tw/products/0010818788?loc=P_0003_014
15,旅遊韓語一指通：一個人不會說也可以瘋玩韓國(附QR碼線上音檔+防水書套),西東社編輯部,2019-04-19,"
去韓國旅遊、批貨、追歐爸語言不通怎麼辦? 別擔心!只要帶著《旅遊韓語一指通》 就算不懂韓語，翻開書用手指也能跟韓國人溝通 想要說說看也可以，只要隨手掃一下QR碼 帶著走隨掃、隨聽立刻就能用!   ★攜帶...more
",https://www.books.com.tw/products/0010818127?loc=P_0003_015
16,自遊自在 背包客旅遊韓語：超簡單!超實用!出發前，翻翻就Go了(附MP3),金文賢,2019-03-06,"
韓國好好玩，韓語好簡單，   只要學會本書10個step，   韓國任你玩到瘋，吃到爽，買到夠!     我的第一本自助旅行韓語。   超簡單!超實用!出發前，翻翻就Go了。   敢講、敢說，一個人到韓國旅遊也不怕!   ...more
",https://www.books.com.tw/products/0010815169?loc=P_0003_016
17,圖解韓語會話：用最輕鬆方法，說出最道地韓語!,MIS編輯部,2019-01-23,"
去韓國、追韓劇必備的韓語自學書! 生活化會話、超實用字彙， 讓你秒懂韓國人的日常! 看圖學韓語，情境式加強記憶； 羅馬拼音跟讀，一開口就是道地發音! 《圖解韓語會話》讓你輕鬆增強韓語力! 本書五大特色...more
",https://www.books.com.tw/products/0010812006?loc=P_0003_017
18,韓國導遊教你的旅遊萬用句(隨書附贈作者親錄標準韓語朗讀MP3),金佳圓,2018-12-20,"
為想去韓國旅遊的你量身打造! 擁有最輕薄短小的體積、最豐富多元的情境、最不可或缺的字句! 一書在手，如同擁有隨身韓國導遊!   想到韓國旅遊，卻對韓語一竅不通嗎?   沒關係!跟著導遊講韓語就對了!本書邀...more
",https://www.books.com.tw/products/0010807946?loc=P_0003_018
19,韓國年輕人這樣說：超實用生活會話&經典鄉民流行語,韓語幫幫忙,2018-11-12,"
韓劇、韓綜看滿滿，   你卻發現韓國人說的語詞、句子都不在課本上嗎?   「媽卡」、「世最美」、「獨飯」、「根自感」、「肩膀流氓」……   用最道地的句型、最新鄉民用語來聊天，   一開口就讓歐巴歐逆驚呆...more
",https://www.books.com.tw/products/0010804243?loc=P_0003_019
20,初學者開口說韓語 攜帶版(附MP3),"DT企劃,張亞薇",2018-09-21,"
五大主題、40多種情境 130組實用會話、800句活用句型、1500個補充單字 全方位學習韓語就從這本開始!   本書為初學者開口說韓語的攜帶版。適合初學者入門、以及想從初學跨入進階韓文的讀者們，內容涵蓋食衣...more
",https://www.books.com.tw/products/0010799011?loc=P_0003_020
21,用簡單韓語聊不停：用初級韓語就能應付80%以上的日常對話，讓你從旅遊、購物到上網、追星這本就夠(附MP3),"I.K.Bridge外語學院,南嘉英,幡野泉,柳志英",2018-08-31,"
40音背不全韓語照樣輕鬆說! 文法只用最初級會話照樣沒問題!   集結日常生活中實用短句、會話的超好用韓語學習書   清楚寫出句子的使用時機、使用方式，   就算初學者也絕對不用錯!   無論旅遊、追星、批貨...more
",https://www.books.com.tw/products/0010796245?loc=P_0003_021
22,現學現用!韓語自遊一本就GO(附韓語學習MP3),金美貞,2018-07-11,"
~~要到韓國旅行，帶著這一本就能出發了~~   15大情境會話，   圖解發音和單字，實用句和流行語，   一開口就能和韓國人聊不停   從搭機、入境、飯店住宿、交通、用餐、購物、各類生活用品、生病到發生交通...more
",https://www.books.com.tw/products/0010792672?loc=P_0003_022
