,書名,作者,出版日期,內容介紹,網址
1,月面戰境：台灣本土作者自寫、自繪出版，結合傳說與機戰科幻，高達424頁的原創小說大作!,王瀧ISAO,2020-11-13,"
★ 台灣本土作者自寫、自繪出版，結合傳說與機戰科幻，高達424頁的原創小說大作!   ★ 本書由「台灣本土作者自寫、自繪」，委託「更生文化設計有限公司」排版設計並出版，希望大家能多支持台灣的原創作者!  ...more
",https://www.books.com.tw/products/0010874958?loc=P_0003_001
2,天選者(5)：組團打怪，怎麼總是配到你?!,貓邏,2020-11-09,"
異世界打怪最終章~ 「星辰大海」 冒險Online，即刻出發!    隨書附贈：「來跟骸骨巨龍一起玩」精美海報!    左拎魔獸、右扯大貓，晏笙攜家帶眷一路闖進墟境，   才發現這個傳說中的聖地真.的.很.特.別!   ...more
",https://www.books.com.tw/products/0010874863?loc=P_0003_002
3,少年心理師(05)：機械迷城(上),風念南,2020-11-03,"
莫曉乙在機械城與即將銷毀的SP型機器人超超一見如故，為了拯救超超的命運，不惜與機械城決裂!    失聯多日的周覺莫名其妙出現在機械城，卻與莫曉乙形同陌路。莫曉乙追隨其後，竟導致周覺發生車禍，腦部受...more
",https://www.books.com.tw/products/0010874376?loc=P_0003_003
4,赤瞳者02英雄,晨羽,2020-10-31,"
我很慶幸，你沒有選擇離開這個世界。 ▲《赤瞳者01》首刷上市當日飆速完售，讀者好評不斷! ▲暖淚系青春愛情天后——晨羽，最新奇幻愛情力作。 ▲超高人氣繪師——林花，擔綱封面繪製。 「妳殺過人?」 「對，而且...more
",https://www.books.com.tw/products/0010874041?loc=P_0003_004
5,赤瞳者02英雄【明信片珍藏版】,晨羽,2020-10-31,"
我很慶幸，你沒有選擇離開這個世界。   ▲《赤瞳者01》首刷上市當日飆速完售，讀者好評不斷!   ▲暖淚系青春愛情天后——晨羽，最新奇幻愛情力作。   ▲超高人氣繪師——林花，擔綱封面繪製。   ▲隨書附贈一張美...more
",https://www.books.com.tw/products/0010874233?loc=P_0003_005
6,聖戰(07)混沌之卷(完),天罪,2020-10-30,"
真魔文書易主?!陳風禪要小命不保了!   施展命運轉移之術，需要七天的時間，   一旦成功，剝離者的一切──力量、魔力、技術、知識、運勢──都會被奪走，當然也包含了，自律型魔器真魔文書的所有權……   暢銷作...more
",https://www.books.com.tw/products/0010874550?loc=P_0003_006
7,我，精靈王，缺錢! 04 所以我被星星砸到頭,醉琉璃,2020-10-21,"
第一僕從換人當? 救世小隊的拐騙夥伴全記錄!   人氣作家 醉琉璃 X 幻彩魔法師 夜風   人設歪掉的精靈王與奇異夥伴們，一腳踏上拯救世界的囧途?!   「擁有我，你未來得到的快樂將超乎你想像~」   精靈王人...more
",https://www.books.com.tw/products/0010873259?loc=P_0003_007
8,開掛詩仙蘿莉與我的轉生修羅場 1,逸清,2020-10-19,"
傲氣的網紅美少女、可愛的詩仙蘿莉和害羞的貓耳忍者，   不只看得到、聽得到還……摸得到?   真實度100%的超大型實境遊戲正式公測!   除了是大詩仙李白的後代外，   李非白只是個再平凡不過的高中生，   每...more
",https://www.books.com.tw/products/0010872730?loc=P_0003_008
9,魔族少女的藥引(01)：尋找藥引之旅,花鈴,2020-10-13,"
飛燕文創╳悅閱小說市集---2017輕小說大賞─評審特別獎! 輕小說作家─花鈴最新作品!   千年晶體和魔族傳說   那段消失長達百年的秘密是永遠不應該被揭露的上一代的恩怨為何要我們承受?   魔也有情，無情的卻...more
",https://www.books.com.tw/products/0010871581?loc=P_0003_009
10,關於做為魔王這件事(06)：魔王直營，異世界最大英雄秀劇場──開幕!,貓寬,2020-10-06,"
繼《勇者大人，我是非攻略對象!》後，暢銷作家貓寬再度與人氣繪師@ichigo攜手合作之力作!    莫名穿越成菜鳥魔王?   輔佐官兼貼身護衛的無頭騎士，是一名癡女!   轉蛋，不，招募到的英雄，竟然是正義的人...more
",https://www.books.com.tw/products/0010871589?loc=P_0003_010
11,歡迎光臨科爾諾瓦-第三集「雖然會害怕，但我還是想要說實話!」,"伽伊安,新月夏",2020-10-01,"
◎ 我好不容易當上王宮的煉金術士，怎麼會變成奇幻小說的角色?   ◎ 角色才沒有自我VS.創作者的想法跟我沒關係   ◎ 實體書限定番外：「黃昏的獅子花」、「冬天的陸行鳥」、「黎明」，實話實說。    與哥哥重...more
",https://www.books.com.tw/products/0010871575?loc=P_0003_011
12,A子不會預言自己死亡03(完),午夜藍,2020-09-30,"
「只要能抵達，妳存活的未來──」 一遍又一遍失敗的我們，終於來到夢境的終點……   ★人氣新星作者 午夜藍 & 新銳韓國繪師 A_maru，構築超脫現實的絕美世界   ★異能高中少女及絕望大學青年，共譜微帶不安的青...more
",https://www.books.com.tw/products/0010871543?loc=P_0003_012
13,妖孽王子的救國日常03本應破滅的未來,草草泥,2020-09-30,"
新生代暢銷作家草草泥 x 超人氣大手繪師喵四郎(nyaroro)  ┌——————————♔——————————┐ 他只想把這個人留在自己身邊。 為此，他可以不顧一切，甚至不要這個世界── 「見鬼的世界，去死好了!」 ———————————......more
",https://www.books.com.tw/products/0010870958?loc=P_0003_013
14,神淵古紀 三部曲之二 龍淵殘卷(上),"某樹,沈純",2020-09-21,"
安邑的血脈，是一群永遠不會屈服的靈魂。   他們從未忘記跟神明之間的仇恨。   即使蟄伏在龍淵地下，仍以百煉之劍，等待向神明復仇的機會。    七把凶劍鎮守的地下王國。   名為彗蝕的凶劍被盜引發巨大危...more
",https://www.books.com.tw/products/0010870508?loc=P_0003_014
