,書名,作者,出版日期,內容介紹,網址
1,全彩圖解 降低壞膽固醇、提高好膽固醇[暢銷修訂版],"石川俊次,陳肇文",2020-04-23,"
控制膽固醇、飲食、運動、生活、用藥處方的全方位保健事典 膽固醇有好、有壞。一般來說，膽固醇可分為含有LDL(低密度脂蛋白)的壞膽固醇，和含HDL(高密度脂蛋白)的好膽固醇。想要健康，就要降低壞膽固醇、...more
",https://www.books.com.tw/products/0010854792?loc=P_0003_001
2,健康「心」重點：心臟權威醫師教你預防血脂異常、血管堵塞、心肌梗塞、冠心病，逆轉復發率的護心保健全書,,2020-03-12,"
終止心血管疾病的健康百科‧家庭必備的救命之書   六大常見心血管疾病、五大危險因素，   慎防心臟突發性奪命!心臟科權威醫師帶你，   從預防到逆轉復發率，遠離生命威脅。    近年來，世界各國的心腦血管...more
",https://www.books.com.tw/products/0010851406?loc=P_0003_002
3,說不出口的「泌」密：一本大獲全「腎」療癒實錄,謝登富,2019-03-01,"
──你有說不出口的困擾嗎?!──   下半身紙上健檢，泌尿科健康全攻略   泌尿科權威醫師為你健康揭「泌」，急尿、結石、不舉、睪丸炎、攝護腺肥大、泌尿腫瘤，一本通通有解!   動不動就想跑廁所?→漏尿、膀胱發...more
",https://www.books.com.tw/products/0010814261?loc=P_0003_003
4,暖冬超值組(祛寒+暖足),"ORANGE PAGE編輯部,吉田佳代",2018-11-15,"
祛寒治百病   ★ 石原結實、龍村修等33位日本名醫、重量級專家與三大研究機構，聯手設計73個祛寒對策，幫你一舉擊退體寒。   ★ 分從「運動與伸展」「按摩與血液循環」「飲食」「衣著」「睡眠」「子宮照護」...more
",https://www.books.com.tw/products/0010804778?loc=P_0003_004
5,養生名醫教你居家養肺，從此不過敏、遠離肺癌,楊力,2018-10-05,"
想有健康年輕的身體   從肺開始保養   精選食材+對症穴位+按摩運動   全方位的護肺、養肺   肺臟健康，人才會氣色好，年輕有活力   精選養肺駐顏特效食材   精選20種常見的養肺好食材，白蘿蔔、冬瓜、蘋果...more
",https://www.books.com.tw/products/0010800263?loc=P_0003_005
6,聽力完全寶典：力博宏教你預防和治療聽力受損，從幼兒到長輩，提升人際力學習力，遠離憂鬱失智,"力博宏,楊心怡",2018-06-20,"
在台灣超過12萬人有聽力問題   幼兒先天聽損，影響學習   青少年耳機音量大，造成聽損比例上升20%   年紀大重聽，與人互動困難，佔比高達75%   不敢出門，愈來愈憂鬱，失智退化   究竟有什麼方法可以解除...more
",https://www.books.com.tw/products/0010789137?loc=P_0003_006
7,圖解先天性心臟病：從胎兒到小兒,"吳佩臻,徐綱宏,池宛玲,洪偉力,陳芮瑜",2018-03-02,"
本書為利用圖片方式呈現九種產前常見先天性心臟病，包含：   1.心房中隔缺損(ASD)   2.心室中隔缺損(VSD)   3.房室中隔缺損(AVSD)   4.左心發育不全症候群(HLHS)   5.主動脈弓窄縮(CoA)   6.主動脈......more
",https://www.books.com.tw/products/0010780709?loc=P_0003_007
8,和心臟專家談心：你所不知道的心臟大小事,孫宏濤,2018-03-01,"
心臟疾病——現代人不容忽視的健康課題! 所有你該知道的心臟疾病相關知識完整收錄   世界衛生組織指出，心血管疾病是全球健康的頭號殺手，   近20年來，心臟疾病盤踞國人十大死因第二位!   現代人常見的心臟...more
",https://www.books.com.tw/products/0010780522?loc=P_0003_008
9,血管回春：心臟權威醫師教你這樣做，血管有彈性，疾病遠離你!,黃群耀,2018-02-02,"
心臟權威醫師教你透過飲食、運動、改善生活習慣， 栓塞、三高、疲球心、癌症等疾病，通通遠離你! 你一定要知道!血管老化容易造成心血管疾病等問題， 隨著生活習慣的影響，年輕人也會有血管老化的問題! 不...more
",https://www.books.com.tw/products/0010776354?loc=P_0003_009
10,心肌梗塞,江碩儒,2017-12-12,"
最沉默隱形的殺手!   恐引發心律不整、衰竭、休克、瓣膜斷裂、心肌破損……!   隨著科學與醫療的一日千里，現今大多數的感染類疾病都可順利痊癒，連令人談虎色變的癌症也能得到控制。如今，反而是體內器官系...more
",https://www.books.com.tw/products/0010773067?loc=P_0003_010
