,書名,作者,出版日期,內容介紹,網址
1,怪醫鳥博士的泌尿醫學院：36道你一定要知道的常見泌尿問題(Q版插畫圖解),詹皓凱,2020-09-28,"
這是一本一目了然的醫學書!   泌尿醫學界的「怪醫鳥博士」，以輕鬆趣味的漫畫方式，傳遞艱深醫學常識。   舉凡，小兒包皮、尿床、女性膀胱炎、頻尿、   尿失禁、血尿、尿路結石、睪丸炎……   這些從小孩到...more
",https://www.books.com.tw/products/0010870749?loc=P_0003_001
2,你要跟眼科醫師這樣說：0~100歲的眼睛自我檢查手冊【增訂版】,蕭裕泉,2020-08-17,"
別再為自己的眼睛誤診! 從0~100歲都需要的一本眼睛保健書。    早上起來眼睛又紅又腫，大概是昨天沒睡好?   最近眼睛老是看不清楚，可能是近視又加深?   眼睛出毛病的原因有百百種，可能不是你想的那一種...more
",https://www.books.com.tw/products/0010866820?loc=P_0003_002
3,男性雄風再造解密,許耕榕,2020-08-05,"
男性醫學史的台灣之光   當代醫家共識：男士超過25%機率不能達成或維持堅挺的勃起以完成滿意的性交，即為陽痿，無怪乎患者滿人間?    威而鋼、犀利士、樂威壯等藥物相繼問世，對治療陽痿起到偉大的成就，...more
",https://www.books.com.tw/products/0010865552?loc=P_0003_003
4,「植」得一口好牙：安心植牙大小事,沈瑞文,2020-08-03,"
健康，從「齒」招來! 「植」行任務，由「齒」可見……   植牙，就是把釘子「種」進骨頭之中?   不管是單顆植牙或全口植牙，專業牙醫師治療前中後細節全揭露，從微創、雷射、無痛，再到「一日植牙」的冷銲新...more
",https://www.books.com.tw/products/0010864151?loc=P_0003_004
5,子宮危機解密,鄭丞傑,2020-08-01,"
姐妹們必備「健康指南」，集結診間最常見的子宮100問，一次掌握婦科全貌   全收藏：了解婦科不可或缺的經典教戰手冊   全方位：預防、治療到申請保險的完全指南   全解題：搭配生動插圖，全面終結錯誤觀念...more
",https://www.books.com.tw/products/0010865557?loc=P_0003_005
6,牙齒好，不會老!從嬰兒到銀髮族都適用的牙齒保健百科,青木博之,2020-07-29,"
完整收錄所有年齡層會發生的症狀、治療方式、保健方法!   各位是否認為，不過是長了顆蛀牙，與全身的健康無關呢?實則不然。牙齒若是出了問題，就會連帶影響到全身。而忽視口腔健康所引起的問題，遠遠超過...more
",https://www.books.com.tw/products/0010865282?loc=P_0003_006
7,哈佛醫師 紐約時報暢銷書【賀爾蒙完全調理套書】：終結肥胖+賀爾蒙調理+抗老聖經，共三冊,莎拉‧加特弗萊德,2020-07-15,"
★紐約時報暢銷書   ★《終結肥胖!哈佛醫師的賀爾蒙重整飲食法》、《賀爾蒙調理聖經》、《抗老聖經》暢銷作者莎拉‧加特弗萊德醫師，女性全方位調理專書    ■哈佛醫師 紐約時報暢銷書【賀爾蒙完全調理套書】...more
",https://www.books.com.tw/products/0010863695?loc=P_0003_007
8,上咽喉發炎：慢性疲勞、自體免疫失調、腎病變、頭痛、濕疹、關節痛、喉嚨卡卡、眩暈【2020年增訂版】,堀田修,2020-06-24,"
以下種種失調疾病，原因來自共同的「病根」：慢性上咽喉炎   □眩暈(頭重腳輕)   □全身倦怠感、慢性疲勞(尤其是上午)   □失眠         □上背部緊繃僵硬   □鼻涕倒流       □頭痛(偏頭痛、緊張型頭痛)   □聲...more
",https://www.books.com.tw/products/0010861730?loc=P_0003_008
9,逆轉自體免疫疾病：整合六大照護關鍵，幫你戰勝過敏、濕疹、乾癬、甲狀腺、類風濕性關節炎……等慢性發炎疾病,潘茉‧吉波拉,2020-06-17,"
FIGHT! 過敏、濕疹、乾癬、狼瘡、乳糜瀉、多發硬化症、第一型糖尿病、 甲狀腺問題、發炎性腸道疾病、類風濕性關節炎……等慢性發炎疾病  再會，永別了!自體免疫疑難雜症!    自體免疫疾病是可以治癒的   本...more
",https://www.books.com.tw/products/0010860774?loc=P_0003_009
10,給眼睛的31堂保健練習，一天一次，讓你遠離近視、老花眼的魔法影像,本部千博,2020-06-12,"
※ 只要每天睡前動動眼，就能讓近視與老花眼躲得遠遠地   ※ 眼科名醫嚴選31個訓練眼部肌肉的日課，每天一次輕鬆無負擔   ※ 提供簡明易懂的「眼部保健」小常識，讓你我知悉如何好好「護眼」   ※ 特別收錄「...more
",https://www.books.com.tw/products/0010860056?loc=P_0003_010
11,超前部署!遠離「肩」苦人生，骨科醫師的肌肉反向拮抗術,石英傑,2020-06-01,"
告別硬肩膀，痠、痛、麻、僵、凍 一次通通OUT! 吾Want再舉，一次得解，從此揮別肩苦人生!   「醫生，我的肩膀好痠，看了好多診所，都沒辦法好好工作。」   「醫生，最近做家事的時候，手都舉不起來，每天...more
",https://www.books.com.tw/products/0010858251?loc=P_0003_011
12,救心：心臟病權威預防心血管疾病的養身指南,胡大一,2020-05-28,"
累積暢銷百萬冊!醫學權威胡大一的實戰智慧 心臟要好，才能無病終老    原書名: 告別老年心血管疾病      過了40歲，你的血管就會急遽老化!    只要開始呼吸，身體就會產生自由基，它是造成身體老化的一大...more
",https://www.books.com.tw/products/0010858257?loc=P_0003_012
13,咳不停?循線揪出慢性咳嗽的真相，有效對症治療,郭漢彬,2020-05-27,"
抽絲剝繭找出咳嗽的原因，讓你不再疲於奔命找偏方 你也咳不停，看遍醫生、試過各種方法，依舊無法治癒惱人的咳嗽? 白天咳、晚上咳、或隨時隨地都會咳，全是感冒發炎造成的? 還是胃食道逆流、鼻涕倒流、心...more
",https://www.books.com.tw/products/0010858023?loc=P_0003_013
14,腎臟科名醫江守山教你逆轉腎【2020年增訂版】：喝對水、慎防毒、控三高,江守山,2020-03-24,"
台灣每8人就有1人腎臟出問題，   但96%的人有慢性腎臟病卻不自知!    腎臟是人體的「超級濾心」，負責過濾血液、調節體內水分、製造尿液排泄廢物與毒素，同時也是維持骨骼健康、調節人體免疫力、保護胰臟...more
",https://www.books.com.tw/products/0010851590?loc=P_0003_014
15,裸眼革命：最新、最正確護眼知識，超級醫師教的32個視力回復法,深作秀春,2020-03-23,"
視力的品質，決定你生活的品質! ★全球最佳眼外科醫師最高殊榮「克里欽格紀念獎」受獎醫師! ★最簡單的視力保護習慣，打破傳統錯誤迷思!    你是否最近常加班，眼壓過重、感覺疲勞?   10分鐘看一次手機，眼...more
",https://www.books.com.tw/products/0010852899?loc=P_0003_015
16,顧好耳鼻喉，不怕恐怖病毒找上你：40個你可能忽略卻容易引起重大疾病的耳鼻喉科問題,"張益豪,王瑞玲,陳亮宇",2020-03-23,"
你以為的身體小毛病卻是大警訊 千萬別忽略困擾你多時的耳鼻喉相關毛病， 這是身體要傳達給你的重要訊號! 要如何根治耳鼻喉的疾病? 所有疑難雜症解決方法就在這裡!   大家咳之色變的武漢肺炎，該如何自保?...more
",https://www.books.com.tw/products/0010851507?loc=P_0003_016
17,聽力保健室：專業聽力師教你打造優質「聽」生活!,"曾雪靜,黃銘緯",2020-02-10,"
為什麼常常聽不到?   小心聽力殺手找上你!    講電話的時候，常聽錯對方說的話?   在人多的場合，總是聽得特別辛苦?   說話越講越大聲，自己卻渾然不覺?   走在路上時，往往沒察覺後方來車?   電視的音量...more
",https://www.books.com.tw/products/0010847905?loc=P_0003_017
18,皮膚美容聰明選：治療前，請先聽聽25位皮膚科專家建議,"石博宇,蔡仁雨",2020-01-21,"
追求美容治療的最佳參考書! 皮膚美容治療前，要知道諮詢哪些問題?   ◎皮秒雷射修復期要多久?治療多久後會有效果?   ◎脈衝光治療與雷射治療有何不同?   ◎哪裡想要長膠原蛋白，就可以打哪裡嗎?   ◎外面這麼...more
",https://www.books.com.tw/products/0010845735?loc=P_0003_018
