,書名,作者,出版日期,內容介紹,網址
1,"不想得糖尿病就好好刷牙—日本糖尿病專科醫生親身驗證 : 只要一年,解決高血壓、高血糖、心律不整,還成功減重18公斤",西田亙,2020-11-04,"
※本書初版為方舟文化《斷開糖尿病，從好好刷牙開始!日本糖尿病專科醫生親身驗證：只要一年，解決高血壓、高血糖、心律不整，還成功減重18公斤》   ★根據2019年統計資料，台灣的糖尿病人口已破230萬，且20...more
",https://www.books.com.tw/products/0010874326?loc=P_0003_001
2,矯正代謝力：遠離三高、糖尿病、代謝症候群,蕭慎行,2020-10-05,"
Correct Metabolic Syndrome   轉化體質，平衡胰島素，   改善肥胖、慢性病、致命癌變!    代謝失衡，原來是致病元凶!   以「疏通」取代傳統「對抗」觀念，身體平衡了，健康無病沒煩惱。    台灣平均每5人...more
",https://www.books.com.tw/products/0010871005?loc=P_0003_002
3,膽固醇其實跟你想的不一樣!(暢銷紀念版)：膽固醇的功用超乎想像，想多活20年，你一定要重新認識它,"吉米‧摩爾,艾瑞克‧魏斯特曼",2020-08-20,"
美國正式取消飲食膽固醇攝取上限，為什麼? 膽固醇能修復細胞、製造荷爾蒙、增進記憶、預防心臟病、 提高血清素、合成維生素D、修復神經、減緩憂鬱與焦慮…… 而95%以上的人卻對膽固醇一知半解，包括醫師!  ...more
",https://www.books.com.tw/products/0010866191?loc=P_0003_003
4,高血壓，有救了!,渡邊尚彥,2020-04-01,"
高血壓有救了! 不用再為了控制血壓，而放棄生活品質， 只要「用對方法」、「吃對食物」， 控制血壓，90%有效!  高血壓有救了! 不用刻意禁食、不用劇烈運動、不用被藥物綁架， 跟淡而無味的食物、麻煩的運...more
",https://www.books.com.tw/products/0010854136?loc=P_0003_004
5,啟動糖尿病的大自癒力,韓文蕙,2020-02-20,"
「糖尿病能根治嗎?」 「能否根治，答案只有你自己知道!」 糖尿病根治的定義是：「讓自身的胰腺功能恢復工作，正常精準分泌胰島素。」 成年人的糖尿病、各種慢性病及癌症，均是不健康的生活方式養出來的病...more
",https://www.books.com.tw/products/0010848908?loc=P_0003_005
6,脂肪肝會肝癌、失智嗎?,何豐名,2020-02-17,"
小心，脂肪肝會演變成失智!pulo級名醫何豐名教你如何預防與治療!    ◎說明脂肪肝如何引起可怕的失智症，並提供精準醫療檢測與治療方向新知。   ◎提供最新最正確的保健方法以及結合中西醫學理的雞尾酒療法...more
",https://www.books.com.tw/products/0010848587?loc=P_0003_006
7,三高，你吃對了嗎?,陳偉,2020-02-01,"
用「吃」來預防疾病。三冊一次擁有，完整收錄對抗「三高」──糖尿病、高血壓、高血脂的飲食方式，讓你吃得好、吃得對，擁抱健康。...more
",https://www.books.com.tw/products/0010845954?loc=P_0003_007
8,與風同行：類風濕性關節炎的護理與治療,香港風濕病基金會,2020-01-10,"
「風濕不再，你我自在」   本書除了為大家提供類風濕性關節炎的治療和護理的詳細資訊，更邀請病患者和醫護人員分享他們的故事，加深大家對這種疾病的了解。   縱使現今治療「類風濕性關節炎」的藥物已經變...more
",https://www.books.com.tw/products/0010846246?loc=P_0003_008
9,一分鐘降血壓操：日本藥學預防專家實證!躺、趴、坐，10天提升血管彈性，收縮壓降50!,加藤雅俊,2019-12-31,"
日本累計暢銷200萬冊!患者驚人實證：   1天1分鐘，持續10天，收縮壓降50 mmHg，血管年輕11歲!   比吃藥、減鹽還有效!簡單伸展操 X 清血好食物 X 正確用藥知識。   ◎刻意不吃肉、只吃蔬菜，反而引發高血壓...more
",https://www.books.com.tw/products/0010843536?loc=P_0003_009
10,不依賴藥物 暢銷雙套書(我不吃藥，照樣擊退壞膽固醇與中性脂肪+少吃點藥，血糖值照樣穩妥當),"水野雅登,長島壽惠",2019-11-27,"
《我不吃藥，照樣擊退壞膽固醇與中性脂肪》   討論度爆棚!總膽固醇與中性脂肪明顯下降!改善率高達81%!   中性脂肪446mg/dl → 78mg/dl   總膽固醇 245mg/dl → 212mg/dl   只要14天，原本混濁的血液......more
",https://www.books.com.tw/products/0010840514?loc=P_0003_010
