,書名,作者,出版日期,內容介紹,網址
1,精油芳療.手足按摩應用圖典：3大按摩法 × 38種基礎精油，結合芳香療法與中醫穴道的治癒力量，改善120個身心症狀,"丹尼爾．費絲緹,安娜．杜福",2020-11-05,"
法國精油專家以3大按摩法 × 38種基礎精油 結合「芳香療法」與「中醫穴道」的治癒力量 改善肌肉疼痛、腸胃不適、失眠憂鬱等120個身心症狀   ◎ 用最適切的精油，按摩手腳反射區，效果加乘   我們都知道在中...more
",https://www.books.com.tw/products/0010874602?loc=P_0003_001
2,孕產媽咪腰痠背痛‧按摩拉伸動作全書：專業物理治療師親授!圖解十大全身不適症X兩大舒緩手法，媽媽順產、好眠、減疲勞,"張光祖,郭惠雯,高筱琪",2020-11-01,"
儀嘉醫療體系總院長、物理治療師聯手著作! 專為孕產媽媽設計的全身不適症舒緩指南! 孕前X孕期X產後，三階段緩解全身痛痠麻， 一本圖解十大生理症狀、放鬆身心靈的健康之書。   ◎獻給辛苦的媽媽們：   挺著...more
",https://www.books.com.tw/products/0010874236?loc=P_0003_002
3,修復你的筋膜線：《筋膜修復重塑徒手按摩全書》+《筋膜線按摩伸展全書》【二合一筋膜按摩套組】,"凃俐雯,南西．約翰斯",2020-09-29,"
美國×台灣筋膜專家聯手 按摩、伸展筋膜，徹底改善身體長年疼痛   ◆《筋膜修復重塑徒手按摩全書》   ──40年資深治療師的筋膜按摩指南──   不僅傳授按摩「手法」，更提點常被忽略的「心法」   治療師、運動...more
",https://www.books.com.tw/products/0010871154?loc=P_0003_003
4,按壓手指穴位治百病,健康養生堂編委會,2020-09-04,"
手到病自去，久用成良醫    ○一本濃縮，手診精華   最簡明扼要的手診理論，最清晰好懂的手診流程，最權威的診病、斷病、治病方案，帶你全面把握手診精髓!    ○清晰圖解，細緻入微   14大掌紋線+8種病理紋...more
",https://www.books.com.tw/products/0010869809?loc=P_0003_004
5,筋膜放鬆修復全書：10大部位 × 25個修復動作，專業筋膜治療師教你徒手舒緩緊繃，有效釋放疼痛,阿曼達．奧斯華,2020-09-04,"
英國亞馬遜 ★★★★★ 5顆星推薦 ──《肌筋膜健身全書》作者羅伯特‧施萊普專文推薦──   如果你深受慢性疼痛所苦，這就是你最需要的書!   跑者、治療師、運動員、健身愛好者等皆適用!   以放鬆筋膜為基礎，治療...more
",https://www.books.com.tw/products/0010868215?loc=P_0003_005
6,【肌筋膜舒緩全書】 治痠止痛徒手自療.全球暢銷套組：《肌筋膜‧經絡穴位‧激痛點，對症手療身體疼痛地圖全書》+《零風險健身!肌力伸展解剖全書》,"榮皮耶．克雷蒙梭,石垣英俊,菲德烈克．德拉維耶,麥克．甘迪",2020-09-01,"
日本+法國最強人氣「肌筋膜照護」暢銷書 讓世界權威專家，教會你徒手自療照護健康，全體幹痠痛麻快速解除 Step-by-step，真人動作示範X肌肉部位圖解透視   《肌筋膜‧經絡穴位‧激痛點，對症手療身體疼痛地...more
",https://www.books.com.tw/products/0010868466?loc=P_0003_006
7,筋膜修復重塑徒手按摩全書：圖解9大部位×6大手法，40年資深治療師的疼痛緩解&身體復原指南,南西．約翰斯,2020-08-27,"
──40年資深治療師的筋膜按摩指南── 不僅傳授按摩「手法」，更提點常被忽略的「心法」 治療師、運動傷害防護員、整脊師等， 解決臨床疼痛問題、精進專業的工具書   多數治療師以解剖學、肌動學為基礎，找出...more
",https://www.books.com.tw/products/0010867744?loc=P_0003_007
8,找回有力腰、強健腳的3分鐘足趾操(附3支示範&自我檢測影片QRcode),今井一彰,2020-06-24,"
★日本各大媒體熱門話題   ★亞馬遜暢銷排行榜第一名(「健康法」「老化」類書籍)   ★奧運金牌得主、模特兒、高齡者、孩童都親身證實    踏出一步輕盈，原來20歲是這種感覺!   找回有力腰、強健腳，不是夢!  ...more
",https://www.books.com.tw/products/0010860780?loc=P_0003_008
9,養生穴位我知道,尤國棟,2020-06-18,"
現代社會處於亞健康狀態的人日益增多，文明病更是層出不窮。穴位按摩有助於緩解各種生活常見病症，像頭痛、失眠、感冒、眼睛疲勞、耳鳴等問題，還有對各種慢性病(高血壓、心臟病、糖尿病)預防效果顯著，此...more
",https://www.books.com.tw/products/0010861735?loc=P_0003_009
10,穴道按摩醫學事典：效果顯著、一看就懂!準確按壓、改善症狀!(超值組合：1書 + 1原木壓穴棒),星 虎男,2020-04-01,"
日本醫療保健學系教授/資深專業物理治療師親授 1天1分鐘，促進血液循環、疏通淋巴、消腫瘦臉 享受穴道按摩的驚人好處!    (((超值加強組合!書 × 萬用原木壓穴棒)))   善用原木壓穴棒，能更輕易有效地對症...more
",https://www.books.com.tw/products/0010852682?loc=P_0003_010
