,書名,作者,出版日期,內容介紹,網址
1,macOS活用萬事通：Catalina一本就學會!,蘋果梗,2019-12-26,"
輕鬆學會最簡單又強大的人性化作業系統 亮麗的macOS激發創作能，不拖後腿，絕對值得你信賴   #iPad為你延伸桌面   #提升安全與隱私權。   #螢幕快照更輕鬆更方便。   #iTunes改版進化三兄弟。   #上網新體...more
",https://www.books.com.tw/products/0010843726?loc=P_0003_001
2,Mac活用萬事通：Mojave一本就學會!,蘋果梗,2018-11-30,"
本書從最簡單的開箱開始，就算是毫無Mac經驗的你，也可以輕鬆的入門。一步步的熟練系統操作，熟練各種生活娛樂影音軟體，善用iWork文書軟體，最後可以自己處理許多電腦問題，這是本書能帶給各位讀者的一趟...more
",https://www.books.com.tw/products/0010806558?loc=P_0003_002
3,MAC超密技!省時省力的APPLE工作術,蘋果仁編輯群,2018-04-03,"
・超過10萬粉絲蘋果愛好者網站蘋果仁編輯群傳授精選MAC效率工作術   ・還在猶豫不會使用MAC?WIN使用者轉換Mac無痛學習法!   ・從頭開始，教你用「最蘋果的方式」思考和整理，省紙省心又省腦   ・老手和新...more
",https://www.books.com.tw/products/0010783453?loc=P_0003_003
4,第一次玩Mac就上手(High Sierra對應版),蘋果迷,2018-03-08,"
.Mac OS X完整教學，第一次使用就能即刻上手! .iCloud雲端服務，讓電腦也走在時代的尖端。 .Mac不只是“一台”電腦，教你玩Windows雙開使用!   本書是一本全方位的Mac OS工具書，來自於一個以蘋果產品為主的...more
",https://www.books.com.tw/products/0010780695?loc=P_0003_004
5,Mac活用萬事通：High Sierra一本就學會!,蘋果梗,2017-11-30,"
Mac功能一網打盡，科技結合網路全新進化 輕鬆學會最能幹可靠的作業系統     + 升級Apple檔案系統，電腦更有效率。   + 一體感的最佳示範，Mac與iOS結合的完美體驗。   + iCloud雲端共享，所有方便功能，只...more
",https://www.books.com.tw/products/0010771545?loc=P_0003_005
6,14堂蘋果達人的養成課,陳寗,2017-11-22,"
不做流水帳似的說明書，帶你從頭認識蘋果電腦大小事   本書作者長期撰寫蘋果產品評論、教學專欄，在網路上已累積數百篇教學文章。在多年的教學經驗中發現，從蘋果電腦的發展歷史出發，以介紹操作精神與設...more
",https://www.books.com.tw/products/0010771458?loc=P_0003_006
7,用Mac OS+Android Studio開發最新的手機應用程式,畢小朋,2017-09-05,"
Android已成為世界上市佔率最高的手機作業系統，想要成為App開發人員，Android一定是第一選擇。   Google自從推出整合的Android開發平台Android Studio之後，大大簡化並統一了Android程式開發的速度，......more
",https://www.books.com.tw/products/0010763833?loc=P_0003_007
8,Mac OS相片編修全能王,Dion Scoppettuolo,2017-08-29,"
組織：要如何在成千上萬的照片中快速找到你要的那張?使用簡單明確的分類方法組織所有照片!   編修：將您的照片調整為最佳狀態並增加一點點的小特效，簡單又快速的幾個步驟就可以呈現最美麗的意圖。   分享...more
",https://www.books.com.tw/products/0010763397?loc=P_0003_008
9,Mac活用萬事通：Sierra一本就學會!,蘋果梗,2016-11-28,"
Mac功能一網打盡，科技結合網路全新進化   簡單學會最直覺的作業系統   + 最佳助手Siri加持，工作更輕鬆。   + 直覺操作-全新Mac系統，超多好用功能不錯過。   + iCloud大幅進化-所有方便功能，只需要一個...more
",https://www.books.com.tw/products/0010736018?loc=P_0003_009
10,Mac活用萬事通：El Capitan一本就學會!,蘋果梗,2015-12-21,"
簡單學會最直覺的作業系統 Mac功能一網打盡，科技結合網路全新進化   + 全新扁平化風格介面，快速上手不卡關。   + 直覺操作-全新Mac系統，超多好用功能不錯過。   + iCloud大幅進化-所有方便功能，只需要...more
",https://www.books.com.tw/products/0010699623?loc=P_0003_010
11,愛上小蘋果!iLife╳Mac OS一次搞定,"Bochin Shen,王元綱",2015-04-21,"
本書特別精選《iLife 11完全娛樂指引》與《嗯!用App超簡單就學會Mac OS X 10.8!》這兩本教您如何學會iLife與Mac OS的專業套書嘉惠讀者。我們讓您從本套書中，徹底變身為蘋果達人。   《iLife 11完全娛樂指...more
",https://www.books.com.tw/products/0010671767?loc=P_0003_011
