,書名,作者,出版日期,內容介紹,網址
1,會聲會影 數位影音微創作素人指南：X8以上版本適用,榮欽科技,2018-12-25,"
● 全書三篇大架構-觀念培養、新手培訓、熟手加強；讓讀者自基礎-入門-進階，循序漸進學得會聲會影各類各樣功能與專業剪輯技巧，還能靈活運用。   ● 攝錄影技巧、影音必備知識、視訊剪輯、轉場濾鏡特效、標...more
",https://www.books.com.tw/products/0010809806?loc=P_0003_001
2,會聲會影：爆氣Rush影音達人(X10以上版本適用)(附光碟),梁采汝,2018-07-25,"
爆氣變身影音製作達人，快攻影音後製開展無限創意   視訊剪輯‧轉場濾鏡‧特殊效果‧進階編輯‧輸出分享   您手邊有很多自拍影片不知道怎麼處理?您羨慕網站上自製創意影片爆紅?您想要自製影片送給朋友收藏? 看...more
",https://www.books.com.tw/products/0010794452?loc=P_0003_002
3,會聲會影X10影音剪輯專家,梁采汝,2017-08-29,"
視訊剪輯‧轉場濾鏡‧特殊效果‧進階編輯‧輸出分享   您手邊有很多自拍影片不知道怎麼處理?您羨慕網站上自製創意影片爆紅?您想要自製影片送給朋友收藏? 看完本書，讓您使用會聲會影化身影片剪輯達人! 本書特...more
",https://www.books.com.tw/products/0010763353?loc=P_0003_003
4,會聲會影：高效能影音剪輯實戰(X6以上版本適用)(附光碟),秦邦浩,2017-08-28,"
會聲會影是 Corel 公司最受歡迎的影片剪輯軟體，直覺的操作流程、內建多種特效及轉場特效、擴充性極佳、支援格式廣，不論是小孩的運動會剪輯、搞笑逗趣的 kuso 影片或是專業的專案製作，都是您最佳選擇。 ...more
",https://www.books.com.tw/products/0010763399?loc=P_0003_004
5,會聲會影X9創新影音剪輯實戰錄(附光碟DVD),蔡俊傑,2016-12-23,"
多媒體專業玩家的實用技，讓影音剪輯變得更容易!   社群平台的崛起，帶動了影片分享與行銷的熱度，在影片加入一些後製效果，將讓影片成為吸引人的利器。   本書以會聲會影VideoStudio X9為工具，透過簡潔...more
",https://www.books.com.tw/products/0010738962?loc=P_0003_005
6,會聲會影X8影片剪輯：剪接‧字幕‧濾鏡‧配樂‧分享一次搞定,施威銘研究室,2015-06-30,"
輕鬆剪輯，回憶重現   驕傲地與親友分享你的快樂時光   本書將教你把拍攝好的影片傳到電腦中, 並用會聲會影 X8 來編輯影片, 透過案例式剪輯教學, 讓畫面變得更加專業且生動活潑又有趣。   完成剪輯後, 還...more
",https://www.books.com.tw/products/0010681426?loc=P_0003_006
7,會聲會影X5影片剪輯事件簿 (附完整範例檔及教學影片光碟),陳文暉,2012-04-26,"
書附光碟DVD*1 Corel 強力推薦指定用書   >   獨家附贈影音教學操作影片 / 示範專案與素材 / 會聲會影X5 試用版   >   Corel首席剪輯顧問 陳文暉分享多年的影片製作實務及......more
",https://www.books.com.tw/products/0010543194?loc=P_0003_007
8,影片/MV剪輯活用情報特蒐：快快樂樂學 會聲會影X4,文淵閣工作室,2011-05-20,"
附書光碟DVD*1   光會拍影片還不夠，學會影片剪輯才能分享讓人感動的影片!   速成!喝杯咖啡的時間就能做好影片   6步驟拍出有劇情的影片 x 3分鐘速成紀念MV x 1次學會照片變影片   愛自拍卻不會處理硬碟裡...more
",https://www.books.com.tw/products/0010506728?loc=P_0003_008
9,會聲會影 X4 影片剪輯：YouTube、Facebook 我會紅,施威銘研究室,2011-04-27,"
輕鬆剪輯、快速分享，精彩秀自己!   現在攝影設備非常普及，DV、手機、相機都可以拿來拍影片，拍攝 HomeVideo、大方秀自己的人大幅增加，不過影片若不作任何處理就直接播，每回總得從頭開始看，不然就快轉...more
",https://www.books.com.tw/products/0010505112?loc=P_0003_009
10,SOEZ2u多媒體學園：會聲會影 X3(影音教學DVD),新造數位,2010-05-15,"
SOEZ 2U 互動式多媒體影音教學DVD   全新改版，綜合動態教學、上機練習、互動練習、互動測驗、學習評量、學習成果的六大主題全方位學習。   動態教學：由大師親自設計，影音同步播放，外加旁白與註解，看...more
",https://www.books.com.tw/products/0010470180?loc=P_0003_010
