,書名,作者,出版日期,內容介紹,網址
1,網路開店×拍賣王：蝦皮來了!,"文淵閣工作室,鄧文淵",2018-07-25,"
國內第一本蝦皮開店必勝攻略   手機上架行銷一氣呵成   想賺錢，隨時都可以來蝦拼!   跟著蝦皮，快攻行動網購搶先機   -買家多，開店免費，加入門檻低   30秒隨拍即賣，輕鬆成為超夯賣家   -手機隨拍即傳...more
",https://www.books.com.tw/products/0010793550?loc=P_0003_001
2,阿榮福利味Best!極簡好用免費軟體大補帖(附光碟),阿榮福利味,2016-04-16,"
網路上這麼多軟體，到底哪個才好用呢?   商業套裝軟體好用，但是超級貴，又不想用盜版，該怎麼辦呢?   好用的軟體大多都是英文，到哪找中文版呢?      如果你有以上的問題，快來服一味「阿榮福利味」吧!站...more
",https://www.books.com.tw/products/0010711984?loc=P_0003_002
3,幻境與實相：電子遊戲的理路與內涵,國立交通大學通識教育中心數位動畫文創學程,2015-02-01,"
隨著硬體設備的進步，電玩遊戲能呈現的世界越來越真實、劇情越來越深刻、與現實的連結越來越緊密，電玩儼然成為與文學、藝術「合而不同」的另類載體。電玩種類之繁多、內容之豐富、社群之龐大，其意義需要...more
",https://www.books.com.tw/products/0010664560?loc=P_0003_003
4,阿榮福利味：好用到爆的免費軟體大補帖(附光碟),阿榮福利味,2014-12-18,"
電腦優化該用哪些工具?掃毒用哪套軟體比較好?播影片用哪套播放器順暢畫質又好?   以上這些都可能是你會遇到的各軟體疑難雜症，但是PC軟體的數量多如牛毛，該如何找到適合需求的呢?   透過台灣軟體部落格老...more
",https://www.books.com.tw/products/0010658740?loc=P_0003_004
5,密技偷偷報【密】字第柒拾伍號,PCuSER研究室,2014-10-23,"
【讀者哈拉區】   【練功特輯】   8G就Go!Windows 8帶著跑   【微軟的秘密】   一套系統，兩種桌面!Windows 10全民大公測   【Cover Story】   個資零外洩!手機保密終極實戰   【特別企劃】   ......more
",https://www.books.com.tw/products/0010652927?loc=P_0003_005
6,密技偷偷報【密】字第柒拾肆號,PCuSER研究室,2014-06-26,"
【讀者哈拉區】   [分享] 免費獲得1GB Dropbox空間   [教學] 暫停迅雷VIP會員付費功能   【微軟的秘密】   免換序號，用Windows 8金鑰全新安裝8.1   【練功特輯1】   OS上雲端!Google桌面帶著跑......more
",https://www.books.com.tw/products/0010639893?loc=P_0003_006
7,密技偷偷報【密】字第柒拾參號,PCuSER研究室,2014-04-26,"
...more
",https://www.books.com.tw/products/0010633103?loc=P_0003_007
8,密技偷偷報【密】字第柒拾貳號,PCuSER電腦人,2014-02-27,"
...more
",https://www.books.com.tw/products/0010626561?loc=P_0003_008
9,密技偷偷報【密】字第柒拾壹號,PCuSER研究室,2013-12-26,"
...more
",https://www.books.com.tw/products/0010620358?loc=P_0003_009
10,密技偷偷報年度精悍練功版Ver5.0,PCuSER研究室,2013-11-23,"
【Part 1 Windows撇步王】   Windows 8一鍵輕鬆還原   移除多餘軟體，找回電腦極速效能   用迅影打造多重開機系統   Windows 8 4GB完全攻破   清除Win 8系統垃圾   打包Windows 8，系統......more
",https://www.books.com.tw/products/0010616937?loc=P_0003_010
11,密技偷偷報【密】字第柒拾號,PCuSER研究室,2013-10-31,"
...more
",https://www.books.com.tw/products/0010613876?loc=P_0003_011
12,9-99歲電腦我也會,施威銘研究室,2013-10-16,"
~給初學者最貼心的電腦學習手冊~ ~最實用的題材，超簡明的解說，讓您一問再問、反覆地問，永不嫌膩、永不嫌煩!~   對大部份的初學者來說，學習電腦的困難在於，同樣的操作明明已經教過了，可是沒多久就忘...more
",https://www.books.com.tw/products/0010613327?loc=P_0003_012
13,阿榮福利味：最好用的免費軟體大補帖(附光碟),阿榮福利味,2013-09-26,"
PC電腦，依然是你完成工作最重要的工具，但是手機上那麼多免費App，電腦上呢?是不是可以用免費軟體就能完成各種工作?   省時、省錢、省力，善用免費軟體，你的電腦可以比別人更有效率。   由台灣最大、最...more
",https://www.books.com.tw/products/0010610435?loc=P_0003_013
14,密技偷偷報【密】字第陸拾玖號,PCuSER研究室,2013-08-29,"
...more
",https://www.books.com.tw/products/0010597291?loc=P_0003_014
15,密技偷偷報【密】字第陸拾捌號,PCuSER研究室,2013-06-29,"
作者簡介 PCuSER研究室   相關著作   《Best Download !部落客評選最優軟體大補帖》   《Download!800大熱門網路資源》   《Download!網路密技王 No.14》   《Download!網路密技王......more
",https://www.books.com.tw/products/0010590465?loc=P_0003_015
