,書名,作者,出版日期,內容介紹,網址
1,輕鬆學Google雲端應用(第四版),"全華研究室,王麗琴,郭欣怡 ",2020-08-31,"
本書精選Google各大服務中必學的功能，分別介紹了Google的帳號管理、關鍵字搜尋功能、Gmail郵件管理，以及Google雲端硬碟、雲端辦公室應用、相簿管理、日曆管理及翻譯、Map與協作平台功能等方便好用的工具...more
",https://www.books.com.tw/products/0010872906?loc=P_0003_001
2,雲端發展與重要創新應用,數位新知有限公司,2020-02-25,"
隨著網路技術和頻寬的發達，雲端(Cloud Computing)應用已經被視為下一波電腦與網路科技的重要商機，或者可以看成將運算能力提供出來作為一種服務。    所謂「雲端」其實就是泛指「網路」，希望以雲深不知...more
",https://www.books.com.tw/products/0010850342?loc=P_0003_002
3,輕鬆玩Google 漫步在雲端!一定要會的200+招實用密技,黃建庭,2020-02-12,"
最新最實用!蒐集目前最新且好用的功能，讓你跟上Google更新的腳步   步驟化教學!各應用密技都搭配步驟化的圖片與解說，初學者也容易上手    介紹超過200個最新、最實用的Google密技，讓您充分體驗Google的...more
",https://www.books.com.tw/products/0010848609?loc=P_0003_003
4,翻倍效率工作術：不會就太可惜的Google超極限應用(第四版),文淵閣工作室,2019-12-17,"
全球15億人都在用! 用對Google，輕鬆工作與生活!   ■最神瀏覽器 x 搜尋引擎 x 地圖 x YouTube x 相簿，遠離脫序人生，聰明娛樂享受生活!   ■善用文書、試算表、簡報、日曆、翻譯、Keep、Gmail、表單問卷與...more
",https://www.books.com.tw/products/0010843050?loc=P_0003_004
5,超強Google雲端應用：贏家必勝技能與行銷方程式,鄭苑鳳,2019-09-13,"
?從零基礎到輕鬆活用 利用最強的Google免費服務 學會功能與方法豐富你的生活?   Google雲端平台先進而完備，提供的應用軟體包羅萬象，除了能線上製作簡報、試算表、文件等各類辦公文件?外，搜尋?、電子郵...more
",https://www.books.com.tw/products/0010833396?loc=P_0003_005
6,極限嚴選!Google超神密技完全攻略[年度最強決定版],PCuSER研究室,2019-08-15,"
■你還不知道的Google活用方法一次公開，多位3C部落客集思廣義，絕不是一本枯燥乏味的Google工具書。■集結好玩實用應用與你沒想過的密技，Google不只有搜尋、行事曆等功能，還有超多活用技巧等你發掘!  本...more
",https://www.books.com.tw/products/0010829608?loc=P_0003_006
7,Google 幫幫忙設計寶典,林佳生,2019-07-01,"
「由淺入深掌握各種應用技巧!   一躍升級成為Google達人!」   在過去的十餘年裡，Google已經高速發展成為了一個名符其實的「網路帝國」，除了眾所周知的Google搜尋、YouTube，在網路應用、網誌、即時通訊...more
",https://www.books.com.tw/products/0010829628?loc=P_0003_007
8,輕鬆學Google雲端應用(第三版),"全華研究室,王麗琴",2019-01-15,"
本書精選Google各大服務中必學的功能，分別介紹了Google的帳號管理、關鍵字搜尋功能、Gmail郵件管理，以及Google雲端硬碟、雲端辦公室應用、相簿管理、日曆管理及翻譯、Map與協作平台功能等方便好用的工具...more
",https://www.books.com.tw/products/0010813847?loc=P_0003_008
9,iWork無限玩：Keynote、Pages、Numbers結合iCloud(絕賣版),"張嘉鳴,蔡學欣",2018-03-26,"
如何駕馭Apple電腦、iPhone或是iPad的專業辦公室軟體iWork，看這本就對了。   iWork包含了Pages、Number、Keynote，對於蘋果們來說不只是免費、功能強大，且還與MicrosoftOffice一樣能夠排版報......more
",https://www.books.com.tw/products/0010783673?loc=P_0003_009
10,iWork活用萬事通：Keynote+Pages+Numbers一本就學會!(第三版),蘋果梗,2017-09-15,"
iWork同類書籍累積銷售第一名， 最容易上手的Apple商務軟體   剛從PC轉移到Mac的你，還想要使用Office嗎?iWork不僅是套超棒的文書軟體，而且完全免費。想要使用 iWork，卻又擔心不熟悉它的使用介面嗎?不囉...more
",https://www.books.com.tw/products/0010764460?loc=P_0003_010
