,書名,作者,出版日期,內容介紹,網址
1,建築大師也讚嘆!Minecraft五花八門超OP機關大百科,"あち,うめJam,カゲキヨ,ハヤシ",2020-10-06,"
★自動裝填發射大砲的氣球飛船、指針會動的時鐘塔、海量陷阱的忍者屋等眾多OP機關完全傳授!   ★以立體圖、平面切圖清楚表達方塊的擺放位置，最容易瞭解!   ★本書系獲得學術、教育界人士推薦，特此感謝：   ...more
",https://www.books.com.tw/products/0010871990?loc=P_0003_001
2,我的Minecraft DIY大事典：地獄探險隊 Let’s GO!,"王育貞,盧品霖",2020-09-18,"
★內容包含Minecraft大型改版「地獄更新」的全部資料與綜合應用   ★新生物、新地域、新方塊、新建築技巧、當然還有地獄生存技巧全都有，內容最齊全!    Minecraft進入1.16「地獄更新」大改版，本次更動的範...more
",https://www.books.com.tw/products/0010869786?loc=P_0003_002
3,指尖下的對決：電競遊戲與賽事趨勢,CTESA中華民國電子競技運動協會,2020-09-10,"
運動(sport)是任何種類的遊玩、消遣、運動、遊戲或競爭，不論在室內或室外，一般的通例是以個人的或團體的比賽為主要的部分，這種比賽的操作包含著某種技巧和身體的超越技能。   本書特色    1. 從產業介...more
",https://www.books.com.tw/products/0010870550?loc=P_0003_003
4,Esports全攻略(I)：電子競技面面觀,"周奕傑,李珈慧,柯光隆",2020-09-02,"
近年來電競產業蓬勃發展，電競教育開始向下紮根，由傳統的電子遊戲運動往數位互動娛樂產業轉變，電競教育的方向不再是單純的培養電競戰隊與職業選手，包含電競硬體裝修、電競商品設計、電競賽事組織、電競...more
",https://www.books.com.tw/products/0010872914?loc=P_0003_004
5,Esports全攻略(II)：電競企劃師養成術,"周奕傑,李珈慧,柯光隆",2020-09-02,"
近年來電競產業蓬勃發展，電競教育開始向下紮根，由傳統的電子遊戲運動往數位互動娛樂產業轉變，電競教育的方向不再是單純的培養電競戰隊與職業選手，包含電競硬體裝修、電競商品設計、電競賽事組織、電競...more
",https://www.books.com.tw/products/0010872918?loc=P_0003_005
6,我的世界Minecraft STEM學院：建一座城市,Anne Rooney,2020-07-20,"
★Minecraft與近代歐美教育要領STEM巧妙結合，從科學、科技、工程、數學四大方向教導Minecraft怎麼玩。   ★可以在玩Minecraft的同時，也能瞭解現實生活的相關常識。玩得多，學到更多!   ★每一章節清楚標示...more
",https://www.books.com.tw/products/0010863404?loc=P_0003_006
7,我的世界Minecraft STEM學院：蓋一座遊樂園,Anne Rooney,2020-07-20,"
★Minecraft與近代歐美教育要領STEM巧妙結合，從科學、科技、工程、數學四大方向教導Minecraft怎麼玩   ★可以在玩Minecraft的同時，也能瞭解現實生活的相關常識。玩得多，學到更多!   ★每一章節清楚標示內...more
",https://www.books.com.tw/products/0010863408?loc=P_0003_007
8,電競選手：8堂一點就通的基礎活用課,榮欽科技,2020-07-10,"
當二十一世紀來臨時，遊戲已經是現代人日常生活中成為家庭休閒娛樂的最新選擇，甚至於帶動全球新世代最閃亮的電競產業(e-spors)的蓬勃發展。電子競技近年來風靡全球，正帶來全新的娛樂型態，專業電競手的...more
",https://www.books.com.tw/products/0010863652?loc=P_0003_008
9,舞秋風大力推 Minecraft 必裝模組 精選熱門100款,舞秋風,2020-07-03,"
舞秋風，知名遊戲實況主，為台灣Youtube「遊戲類」少數訂閱人數突破百萬的 Youtuber，2019年曾獲《數位時代》評選為「台灣100大影響力網紅」，至今已產製近萬部各式各樣極具個人風格的影片，目前頻道的總...more
",https://www.books.com.tw/products/0010862005?loc=P_0003_009
10,舞秋風大力推 Minecraft 必裝模組 精選熱門100款 首刷限定版,舞秋風,2020-07-03,"
舞秋風，知名遊戲實況主，為台灣Youtube「遊戲類」少數訂閱人數突破百萬的 Youtuber，2019年曾獲《數位時代》評選為「台灣100大影響力網紅」，至今已產製近萬部各式各樣極具個人風格的影片，目前頻道的總...more
",https://www.books.com.tw/products/0010862113?loc=P_0003_010
