,書名,作者,出版日期,內容介紹,網址
1,Visual C# 2019程式設計經典：邁向Azure雲端與AI影像辨識服務(適用Visual C# 2019/2017),"何嘉益,張力元,張志成,蔡文龍",2020-10-21,"
由微軟MVP、MCSD認證專家與大學教師共同編著，是一本適合大專院校教學，以及MTA、MCSD認證課程的先修教材。內容豐富從基礎到進階，從地端到雲端，進而邁向AI影像辨識設計，範例解說詳細，讓初學者學習完全...more
",https://www.books.com.tw/products/0010873423?loc=P_0003_001
2,Visual C#網路程式設計：線上遊戲實作,"張逸中,李美億",2020-07-31,"
用C#輕鬆寫出網路連線程式! 精選14個線上遊戲程式範例，就是要讓你愈學愈有趣!    初學網路程式設計就靠這一本!包你輕鬆跨過網路程式設計的艱澀門檻   ✪本書精選14個簡單、有趣主題範例，以實作線上遊戲程...more
",https://www.books.com.tw/products/0010865381?loc=P_0003_002
3,Essential C# 7.0 C#必備指南,"Lippert Eric,Michaelis Mark",2020-06-15,"
深度解析C# 7.0的諸多改進，包括元組、解構函數、模式匹配、本地函數和ref回傳等；利用C#面向對象構造寫出更健壯的程式碼；利用泛型、委託、Lambda表達式和事件降低程式碼復雜度；利用C# 7.0跨平臺編譯在L...more
",https://www.books.com.tw/products/0010859818?loc=P_0003_003
4,從零開始學Visual C# 2019程式設計,李馨,2020-05-08,"
✎觀念探討和實作並行，學會程式語言的基礎   ✎每個章節皆是一個獨立思考空間，活用主控台和視窗應用程式   ✎封裝、繼承和多型是物件導向的三大根本，起承轉合之間能深化其應用   ✎課後評量思考操作並兼，...more
",https://www.books.com.tw/products/0010856729?loc=P_0003_004
5,Visual C# 2019 程式設計16堂課,數位新知,2020-04-30,"
因應最新版Visual Studio Community 2019為開發環境，介紹C#程式語言相關運用。   本書配合Visual Studio 2019 整合式環境，能讓初學者透過直覺式學習、接近口語的淺白語法，輕鬆上手。   本書由淺入......more
",https://www.books.com.tw/products/0010856776?loc=P_0003_005
6,Visual C# 2019基礎必修課(適用2019/2017),"何嘉益,張力元,張志成,歐志信,蔡文龍",2020-03-19,"
體貼初學者的學習流程：範例說明->解題技巧->問題分析->程式設計   本書適用Visual C# 2019/2017   **專家與教師共同執筆**   由微軟MVP、微軟認證專家及科技大學教授程式設計教師共同編著，針對目前初學...more
",https://www.books.com.tw/products/0010852312?loc=P_0003_006
7,380個精選實例：一步步昇華成.NET Core大內高手,周家安,2020-02-20,"
Visual Studio號稱地表最強大的開發環境，但也是最龐大的系統。你也許想用的是Visual Studio的強大，但卻又想開發出如Ubuntu Linux或MacOS般的輕巧程式，有可能嗎?   .NET Core是你的答案。   微......more
",https://www.books.com.tw/products/0010849089?loc=P_0003_007
8,C#程式設計入門與實務：百分百自學手冊 ( 最新 Visual Studio 2019 版),彭建文,2020-02-14,"
♦ 按照「認識」、「學會」、「應用」、「求職」四階段所編撰之C#學習教材   ♦ 學習導引歷程：實戰範例+原理講解+參考資料+重點整理+分析與討論   ♦ 所有範例、練習、習題皆為實戰題目，可以直接應用於職場...more
",https://www.books.com.tw/products/0010848630?loc=P_0003_008
9,新觀念 Visual C# 程式設計範例教本(第五版),陳會安,2019-09-20,"
C# 是業界軟體開發的主流語言之一，本書詳細說明程式設計觀念的結構化程式設計、物件基礎和物件導向程式設計，可以讓讀者建立正確的程式設計觀念。打好基礎後再使用 Visual Studio Community 帶您開發各種...more
",https://www.books.com.tw/products/0010834192?loc=P_0003_009
10,圖說演算法：使用C#,"吳燦銘,胡昭民",2019-06-28,"
理解零負擔‧採功能強大C#語言實作   一本輕量級演算法   是您獲得程式設計新技能   提升自我價值的最好投資   運算思維是用來培養系統化邏輯概念的基礎，進而學習在面對問題時能有系統的分析與拆解的能力...more
",https://www.books.com.tw/products/0010825962?loc=P_0003_010
11,Visual C# 2017程式設計16堂課(熱銷版)(二版),吳燦銘,2019-01-30,"
本書由淺入深引導解說Visual C# 2017的新功能，提供完整示意圖以及豐富的程式範例輔助學習，每章均有精心設計的習題，可以協助讀者檢驗學習成效，加強學習效果。   【全書重要主題】   程式語言與.NET   ...more
",https://www.books.com.tw/products/0010813131?loc=P_0003_011
12,從零開始學Visual C# 2017程式設計,李馨,2018-08-24,"
學習一個程式語言，基本功夫不外乎是程式語言結構和流程基本控制。除了以.NET Framework提供的類別庫為範本外，配合Visual Studio 2017整合式開發環境，讓入門者避免不必要的錯誤。無論是使用哪一種語言，...more
",https://www.books.com.tw/products/0010795909?loc=P_0003_012
