,書名,作者,出版日期,內容介紹,網址
1,人工智慧開發實務：使用Swift,"Jon Manning,Marina Rose,Paris Buttfield-Addison,Tim Nugent",2020-06-11,"
從基礎理論到開發人工智慧驅動的App   『從長遠來看，絕大多數人工智慧將不會只在資料中心使用，而是在資料真正的所在處—數十億個真實世界的設備上。由於其速度和表現力的結合，Swift已經成為實現這一轉變...more
",https://www.books.com.tw/products/0010860651?loc=P_0003_001
2,iOS 13 App程式開發實務心法：30個製作專業級iOS App完全實戰攻略,Simon Ng,2020-03-11,"
掌握廣受歡迎的教學內容的精髓   逐步實作出具有精美UI及實用功能、支援雲端資料傳輸的「Food Pin」App    作者公開多年來的iOS開發經驗，並集結廣受歡迎的iOS教學文章，以Swift 5.1與Xcode 11重新編寫，...more
",https://www.books.com.tw/products/0010851322?loc=P_0003_002
3,輕鬆學會iPhone APP實作開發：精心設計17個Lab讓你輕鬆上手,"張力元,黃士嘉",2020-01-13,"
使用Xcode11 × Swift5 × iOS13開發   「BlueNet交通大平台」APP開發技巧大公開 × 逐步掌握範例的實作精髓   作者以自己開發的「BlueNet交通大平台」APP作為本書範例，解析此APP所使用的開發技巧。「......more
",https://www.books.com.tw/products/0010844920?loc=P_0003_003
4,圖解蘋果核心開發技術-Objective-C 物件導向程式設計極效攻略,傅志輝,2019-07-25,"
蘋果作業系統核心語言   高效/高安全/極靈活   通用/進階/物件導向   Objective-C語言，以其高效性和安全性的特點在蘋果作業系統中經久不衰。   本書由淺入深，全面性、系統性介紹Objective-C開發技術，從...more
",https://www.books.com.tw/products/0010829620?loc=P_0003_004
5,iOS 12 App程式開發實務心法：30個製作專業級iOS App完全實戰攻略,Simon Ng,2019-01-02,"
使用最新Xcode 10 × iOS 12 × Swift 4.2開發 知名iOS教學部落格AppCoda作家親授實作關鍵技巧讓你不NG   介紹iOS 12的新技術 × Step by Step實戰操作解說 × 做出具有設計感且支援雲端運......more
",https://www.books.com.tw/products/0010809041?loc=P_0003_005
6,Swift 學習手冊 (第三版),"Jon Manning,Paris Buttfield-Addison,Tim Nugent",2018-10-18,"
在MacOS、iOS和其它平台上開發App   『Swift是Apple系統開發的未來，Jon、Paris和Tim透過豐富的平台及新語言學習之旅，帶領你為未來作好準備。』   —Dafydd Williams    Savagte Inte......more
",https://www.books.com.tw/products/0010801934?loc=P_0003_006
7,翻轉iOS：使用Swift開發感測器應用,關東升,2018-07-30,"
本書介紹蘋果iOS 裝置主要的感測器應用程式開發的相關知識，其中包含手勢識別、加速度計、陀螺儀、指南針、磁力計、照相機、攝影機、音訊裝置存取、定位和藍牙通訊等。   全書包含內容：   iOS 中的手勢識...more
",https://www.books.com.tw/products/0010794334?loc=P_0003_007
8,iOS 11 App程式設計實戰心法：30個開發專業級iOS App的必學主題與實務講座,Simon Ng,2018-01-27,"
使用最新Xcode 9 × iOS 11 × Swift 4開發   介紹iOS 11的新技術 × Step by Step實戰操作解說 × 做出具有設計感且支援雲端運用、地圖、3D Touch與使用者通知等功能的App × 支援最新的iP......more
",https://www.books.com.tw/products/0010774865?loc=P_0003_008
9,學會Swift4程式設計的21堂課,蔡明志,2018-01-26,"
■以Swift 4程式語言開發iOS App   ■21堂課讓讀者掌握最新技術精髓   ■圖形解釋+豐富範例+課後練習輔助學習成效+iOS與OS X App實作   Swift是集合C與Objective-C大成的程式語言，較前述這兩種程式......more
",https://www.books.com.tw/products/0010777081?loc=P_0003_009
10,最快學會 Objective-C 定點突破攻略,傅志輝,2017-07-26,"
Objective-C 語言，以其高效性和安全性的特點在蘋果作業系統中經久不衰。   本書由淺入深，全面、系統地介紹了Objective-C開發技術。從Objective-C 的基礎開始說明，一改程式設計書只有枯燥乏味的文字講解...more
",https://www.books.com.tw/products/0010760663?loc=P_0003_010
11,Swift - AR擴增實境與感應器開發,關東升,2017-04-26,"
本書介紹蘋果iOS 裝置主要的感測器應用程式開發的相關知識，其中包含手勢識別、加速度計、陀螺儀、指南針、磁力計、照相機、攝影機、音訊裝置存取、定位和藍牙通訊等。 全書包含內容：   iOS 中的手勢識別...more
",https://www.books.com.tw/products/0010751335?loc=P_0003_011
12,Swift 3自學力!圖解146個iOS App開發範例，入門必備超直覺設計指南,魏巍,2017-04-22,"
我的第一本Swift Cookbook：15堂輕鬆學會iOS App程式設計 *全圖解!程式概念到架構，用圖為你提點需要思考的設計環節! *低成本!開放源碼、豐富的資源共享，自學者一手包辦沒問題! *超快速!程式碼複製、貼上...more
",https://www.books.com.tw/products/0010746730?loc=P_0003_012
13,Swift 程式設計必學基礎(二版),Boisy G. Pitre,2016-08-25,"
“Boisy Pitre成功的將參與Macintosh開發專案以及為MacTech雜誌撰寫專欄經驗融合在一起，帶給我們有用且易懂的Apple Swift程式語言教學。” - Bill Cheeseman, Vermont Mac和Apple......more
",https://www.books.com.tw/products/0010725591?loc=P_0003_013
14,該是開發蘋果程式的時候了：使用Objective-C,傅志輝,2016-05-25,"
Objective-C 語言，以其高效性和安全性的特點在蘋果作業系統中經久不衰。   本書由淺入深，全面、系統地介紹了Objective-C開發技術。從Objective-C 的基礎開始說明，一改程式設計書只有枯燥乏味的文字講解...more
",https://www.books.com.tw/products/0010716026?loc=P_0003_014
