,書名,作者,出版日期,內容介紹,網址
1,語意軟體設計：現代架構師的新理論與實務指南,Eben Hewitt,2020-10-30,"
為什麼軟體專案失敗的比例會如此驚人?在這本啟發創意的指南中，資深首席架構師兼技術總監Eben Hewitt為軟體架構、設計和統御介紹了一種全新的理論和務實的方法，使你的專案得以圓滿完成。語意設計與以往思...more
",https://www.books.com.tw/products/0010874460?loc=P_0003_001
2,Unreal Engine VR：UE4發開者手冊(好評絕賣版),Mitch McCaffrey,2020-09-28,"
對遊戲開發者與視覺化專家而言，VR是令人驚嘆且有待征服的領域，而Unreal Engine 4便是征服此領域的最佳平台。本書是完整且極具權威的指導書，讓您可以在任何UE4相容的VR硬體裝置上，建立令人震撼的體驗。...more
",https://www.books.com.tw/products/0010871929?loc=P_0003_002
3,KODU遊戲設計程式開發輕鬆玩,陳美琪,2020-09-25,"
本書架構先介紹Kodu環境與各項操作技巧，再以完整小遊戲讓學習者了解完整的遊戲設計過程，接著學會場景的建置、角色物件的編輯、路徑的應用、世界的變更，以及程式指令的應用。最後再以多個遊戲範例做解說...more
",https://www.books.com.tw/products/0010871877?loc=P_0003_003
4,遊戲設計與電競運動概論,"吳燦銘,胡昭民",2020-08-31,"
從產業經濟面的發展趨勢來分析，遊戲產業近年來的表現相當亮眼，市場規模足以和影視娛樂產業並驅。其中的電子競技遊戲更是風靡全球，全新的娛樂型態讓每個遊戲都有死忠鐵粉，無不好奇競相加入，然而玩家們...more
",https://www.books.com.tw/products/0010868545?loc=P_0003_004
5,Android TDD 測試驅動開發：從UnitTest、TDD到DevOps實踐(iT邦幫忙鐵人賽系列書),陳瑞忠,2020-06-04,"
♛ 全台第一本屬於自己的 Android TDD!!!♛   APP 程式總是改壞?------ ☑ 用單元測試驗證正確性，再也不怕改錯!   APP 需求經常變更?------ ☑ TDD：紅燈、綠燈、重構，三步驟法則!   APP 人工......more
",https://www.books.com.tw/products/0010859838?loc=P_0003_005
6,The Pragmatic Programmer 20週年紀念版,"Andrew Hunt,David Thomas",2020-04-30,"
邁向大師之路   《The Pragmatic Programmer》是少數隨著歲月增長值得一讀再讀的經典書籍，無論您是新手還是實戰豐富的從業者，每次閱讀這本書，您都會得到新的領悟。   Dave Thomas和Andy Hunt於1999......more
",https://www.books.com.tw/products/0010856354?loc=P_0003_006
7,敏捷大師精選,"Cherie Silas,Michael de la Maza",2020-02-21,"
【名家名著 20】     大師的精闢見解、79篇文章精選   讀者在尋找關於敏捷的想法和答案時，往往會感覺茫然，不知該何去何從。為此，我們精心編譯79篇大師級文章，讓讀者只需一書在手，就能獲得關於敏捷社...more
",https://www.books.com.tw/products/0010849783?loc=P_0003_007
8,虛擬實境運算世代實作應用與發展趨勢,"何仲,劉曉宇,徐兆吉,馬君",2020-01-13,"
電腦世界範式轉換(Paradigm Shift)，從PC，網路到手機，下一個世代的平台是什麼呢?虛擬實境將成為新的範式。   自從Oculus Rift出現之後，整個世界都圍繞在VR上打轉。「沈浸式」的體驗，讓你分不出真實和...more
",https://www.books.com.tw/products/0010845260?loc=P_0003_008
9,超限進化3D設計：iClone+Unity-多媒體&遊戲創成精粹,"劉為開,吳敬堯",2020-01-06,"
iClone具有簡單易學、功能毫不遜於任何專業3D動畫軟體的優越特點，並體現了簡單但超凡的力量。   Unity具有跨平台輸出，簡潔使用界面與完整多媒體互動製作功能，以及具有相關資料庫與資源提供，已成為未來...more
",https://www.books.com.tw/products/0010845222?loc=P_0003_009
10,管理技術債：減少軟體開發摩擦,"Ipek Ozkaya,Philippe Kruchten,Robert Nord",2020-01-03,"
減少軟體開發摩擦   “這是一本非常智慧和實用的書，展示作者在品質體系方面擁有豐富的實務經驗。讓你認識技術負債是什麼、不是什麼、如何管理，以及如何以負責任的方式償還。我希望在剛開始職業生涯時就讀...more
",https://www.books.com.tw/products/0010844941?loc=P_0003_010
