,書名,作者,出版日期,內容介紹,網址
1,零基礎寫程式：設計商品頁面、嵌入YT影片或Google地圖、FB貼文廣告、發電子報……沒學過程式的你，照樣能談加薪賺外快。,日比野 新,2020-07-28,"
◎公司要做簡單的商品介紹頁面，但外包太貴，最好自己動手。   ◎網拍商品，設計FB貼文廣告、IG限時動態問卷，沒有基礎的文科生照樣能搞定。   ◎YouTube影片怎麼嵌入網頁?怎樣才能在網頁放Google地圖?    以...more
",https://www.books.com.tw/products/0010864146?loc=P_0003_001
2,原型設計：善用原型設計和使用者測試創造成功產品,Kathryn McElroy,2020-03-11,"
「原型設計是設計師需學習和融入實踐的最重要技能之一。當要將原型設計拆解成可操作、可教學的架構時，沒有人比Kathryn McElroy更有資格。本書是每位設計師書架上的必要收藏。」—— Abby Covert (Faculty, ...more
",https://www.books.com.tw/products/0010851440?loc=P_0003_002
3,跟著實務學習 Bootstrap 4、JavaScript：第一次設計響應式網頁就上手 MTA試題增強版(含MTA JavaScript國際認證模擬試題 ),"曾芷琳,林家瑜,歐志信,蔡捷雲,蔡文龍,鄭玉珍",2020-03-09,"
Build School創辦人暨執行長 吳典璋/資策會資深講師 王淳平、林俊昌、蘇國鈞 聯合推薦!   以前端技術框架Bootstrap為主，配合JavaScript、jQuery、jQueryMobile與Cordoav前端技術，並以實例......more
",https://www.books.com.tw/products/0010850728?loc=P_0003_003
4,Google Apps Script雲端自動化與動態網頁系統實戰(附320分鐘影音教學/範例程式碼),"呂國泰,王榕藝,白乃遠",2020-02-21,"
翻轉工作流程，快速打造雲端自動化系統!   國內第一本超完整GAS實作中文書!   以12個案例掌握熱門的Google Apps Script雲端神器，   從入門到自動化實戰開發與設計!      無論是大型公司或中小企業，有些...more
",https://www.books.com.tw/products/0010849846?loc=P_0003_004
5,網頁設計,張毅,2020-01-22,"
網路改變了我們固有的生活方式，改變了我們曾沿用已久的學習和工作方式，顛覆了我們曾以為最便捷的交流方式……網路影響著人類生存與文明進步的每一個方面。顯而易見，網路早就不僅停留在資訊技術的範疇，人...more
",https://www.books.com.tw/products/0010848208?loc=P_0003_005
6,響應式網頁設計驚嘆號：Dreamweaver CC*╳Bootstrap 4╳JavaScript 範例大全,李啟宏,2019-11-22,"
★最新!響應式網頁設計趨勢實用書!★ 透過Bootstrap4打造適用於各行動裝置的完美網站   變動區塊編排 | 滑動瀏覽 | 折疊內容 | 互動視窗 | 滾動監聽 | 響應式導覽列 | 一頁式網站……等最詳盡的Bootstrap 4功...more
",https://www.books.com.tw/products/0010840612?loc=P_0003_006
7,React前端開發：同構應用與狀態管理,"侯策,顏海鏡",2019-11-05,"
以React 技術堆疊為核心，同時從原始碼層面分析Redux思想、著重介紹伺服器端渲染和同構應用的架構模式。   本書的誕生，和試圖掙脫這種無力感有關。作者選取了這場前端“工業革命”中最具代表性的寵兒——Reac...more
",https://www.books.com.tw/products/0010839129?loc=P_0003_007
8,ThingLink：VR網頁內容輕鬆做,"楊小瑩,王妙媛",2019-09-10,"
Thinglink 是簡單入門使用的編輯平台, 可以在電腦桌機,、平板、手機上使用，讓任何人都可以任意編輯屬於自己的一頁式說明，或者是 360 度VR內容。本書讓任何人，不限於在教室內，都可以學習使用並操作，希...more
",https://www.books.com.tw/products/0010835323?loc=P_0003_008
9,前端開發的涅槃：React全面昇華你的FrontEnd境界(熱銷版),陳屹,2019-07-25,"
這套由Facebook貢獻的前端Javascript函數庫，讓前端開發成為單一標準，使用Virtual DOM的先進觀念，不但讓開發變得更直覺，也讓DOM的更新在記憶體內完成，速度更是快上數倍到數十倍。本書全面講述React技...more
",https://www.books.com.tw/products/0010829525?loc=P_0003_009
10,頂級優效Web應用框架開發必備：Node.js超階技能,尤嘉,2019-06-25,"
Node.js-強力優勢   ◆ 含有一系列內置模組，開發出的程式可作為獨立伺服器執行。   ◆ 採用Google V8 JavaScript引擎讓開發效能極度提升。   ◆ 前端與後端開發都使用相同的JavaScript，不需學多種語言就......more
",https://www.books.com.tw/products/0010826225?loc=P_0003_010
11,Adobe Animate CC製作HTML5動畫與互動效果,蔡國強,2019-03-01,"
隨著網路上Flash動畫掀起的熱潮，各種絢麗的廣告、精彩的Flash MTV、動畫影片及互動小遊戲等層出不窮、花樣百出；Flash動畫專題網站更是人丁興旺，成為Flash創作展示才能的廣闊空間。面對如此精彩的Flash...more
",https://www.books.com.tw/products/0010817674?loc=P_0003_011
