,書名,作者,出版日期,內容介紹,網址
1,丙級電腦硬體裝修含資訊類題庫工作項目解析與技能檢定共用項學術科奪照寶典(Win 10 + Fedora30) 最新版(第十三版) 附學科MOSME行動學習一點通,寶鑑工作坊,2020-10-16,"
1.依據勞動部最新公告學術科試題編寫。   2.試題與解析作一明顯區別，強化學習效果。   3.詳細剖析術科檢定試題之題意，統整各指定安裝項目的流程。   4.術科第一、二站均以詳細圖說，Step By Step學習無...more
",https://www.books.com.tw/products/0010874022?loc=P_0003_001
2,丙級電腦軟體應用含資訊類題庫工作項目解析與技能檢定共用項學術科通關寶典(Windows 7 / 10 + Word 2010 /2013 / 2016 / 2019版)附線上多媒體影音教學 - 最新版(第六版) - 附學科MOSME行動學習一點通,佳彥資訊,2020-10-12,"
1. 分類學習效能佳：依其屬性分成三大類進行編排，提供考生類化學習，達到熟能生巧、快速解題的能力。   2. 本書作業系統採用Windows 7(內文)及Windows 10(書附PDF)雙軟體，來進行檔案管理的解題，讀者可...more
",https://www.books.com.tw/products/0010874021?loc=P_0003_002
3,電力電子乙級技能檢定學術科試題解析|2020版,"王惠玲,許文昌",2020-10-07,"
依據勞動部勞動力發展署技能檢定中心最新公告學術科試題編撰，檢定內容為應用電路之焊接、裝配與調整，磁性元件製作組裝，以及電路特性量測。    術科篇：   11600-105201 返馳式轉換器   11600-105202 功...more
",https://www.books.com.tw/products/0010872059?loc=P_0003_003
4,電腦硬體裝修丙級檢定學術科解題教本|110年啟用試題|Windows 10 + Fedora Core 20 + CentOS,"林文恭研究室,胡秋明",2020-10-05,"
◆本書依據勞動部勞動力發展署技能檢定中心最新公告，電腦硬體裝修丙級術科試題撰寫。   術科篇：110年啟用試題   1.針對電腦硬體裝修丙級技能檢定的術科試題，做詳盡的操作步驟解說，並說明術科檢定評分重...more
",https://www.books.com.tw/products/0010871594?loc=P_0003_004
5,丙級電腦軟體應用學術科奪照寶典(Windows 10+Word 2016) 最新版(第五版) 附學科MOSME行動學習一點通,JYiC認證研究團隊,2020-09-08,"
1.「MOSME丙級電腦軟體應用術科學評系統」是學習與考取丙級電腦軟體應用術科的最佳利器!主題式學習、影音教學、自我評分檢查、即評即修正，讓學習者能快速學會「目錄製作」、「合併列印」與「文書處理」  ...more
",https://www.books.com.tw/products/0010870542?loc=P_0003_005
6,丙級電腦硬體裝修學科含資訊類與技能檢定共用項(職業安全衛生、工作倫理與職業道德、環境保護、節能減碳)題庫工作項目解析 最新版(第十三版) 附MOSME行動學習一點通,北科大檢定研究室,2020-09-02,"
.依據勞動部最新公布學科試題編寫。   .解析詳實，巨細靡遺，重點清晰。   .試題細分工作項目與自我診斷，提升學習效果。   .試題與解析作-明顯區別，強化學習效果。   .附贈MOSME行動學習一點通，可重複...more
",https://www.books.com.tw/products/0010870012?loc=P_0003_006
7,丙級電腦硬體裝修學術科通關寶典(含資訊類及技能檢定共同學科)使用Windows 10 + Ubuntu 18附術科線上多媒體教學 最新版(第十六版) 附MOSME行動學習一點通,北科大檢定研究室,2020-09-02,"
1.依據勞動部最新公告學術科試題編寫。   2.學科試題細分工作項目與自我診斷，提升學習效果。   3.術科解題說明圖形化：「以相關知識」、「題目規定」及「作法策略」導引該操作項目的目標及作法，並以實際...more
",https://www.books.com.tw/products/0010870013?loc=P_0003_007
8,電腦軟體應用丙級技能檢定：術科解題實作(109年試題完整版)(第二版)(109.07.01起報檢者適用),"劉齊光,博碩文化,姚瞻海,陳鞠伎",2020-09-01,"
以勞動部勞動力發展署技能檢定中心最新公佈試題為標準-109.07.01起報檢者適用   本書主要為術科解題實作，從「解題通則」介紹開始，接著以題組1~15分別依照勞動部勞動力發展署技能檢定中心所公佈之電腦軟...more
",https://www.books.com.tw/products/0010869697?loc=P_0003_008
9,電腦軟體應用丙級技能檢定：學科+共同科目試題解析(109年完整版) (第二版) 109.07.01起報檢者適用,"劉齊光,博碩文化,姚瞻海,陳鞠伎",2020-09-01,"
本書主要內容依據勞動部勞動力發展署技能檢定中心最新公佈之電腦軟體應用丙級學科+共同科目試題進行解析，每題均逐一分類且完整解說，方便應檢人記憶與學習。特色如下：    ◆收錄公佈之學科單選題目共767...more
",https://www.books.com.tw/products/0010869703?loc=P_0003_009
10,丙級電腦軟體應用學科含資訊類與技能檢定共同項(職業安全衛生、工作倫理與職業道德、環境保護、節能減碳)題庫工作項目解析 最新版(第十四版) 附贈MOSME行動學習一點通,佳彥資訊,2020-08-22,"
1.依勞動部最新公告學科試題編寫。   2.解析詳實，鉅細靡遺，重點清晰。   3.學科試題細分工作項目與自我評量，提升學習效果。   4.試題與解析作一明顯區別，強化學習效果。   5.附贈「MOSME 行動學習一點...more
",https://www.books.com.tw/products/0010868552?loc=P_0003_010
