,書名,作者,出版日期,內容介紹,網址
1,Access 2019資料庫系統概論與實務 適用2019/2016,王仲麒,2020-08-14,"
以Access為實作工具，從資料庫系統的觀念開始談起，將資料庫這門普科導入您的資訊科技學習領域中。    在探討對資料庫管理系統的認識與應用上，說不如做，因此，全書著重資料庫範例的實際操作演練，以實務...more
",https://www.books.com.tw/products/0010866827?loc=P_0003_001
2,會計與應收付票據管理 程式設計寶典,孫惠民,2020-07-01,"
「實用範例為導向，功能逐一詳解， 讓您彈指間即可輕鬆運用!」   ★使用Access規劃總帳會計與應收付票據管理系統的設計與教學用書。   ★附接近20MB的Access資料庫、表單物件、查詢物件、報表物件…等實作完...more
",https://www.books.com.tw/products/0010865420?loc=P_0003_002
3,Access資料庫管理高手,林佳生,2020-07-01,"
範例式教學與步步導引，清楚明瞭Access使用精髓。   Access是個簡易但卻功能強大的資料庫應用軟體，本書即由淺入深告訴您如何開發出一進銷存管理系統，此系統是針對國內精品服飾業所設計，但仍適合其他行...more
",https://www.books.com.tw/products/0010865412?loc=P_0003_003
4,Access 資料庫管理 武功祕笈,林國榮,2020-05-01,"
資料庫管理創意不受限，   現在就全面領略Access的極緻表現!   列舉豐富的範例進行解說，充分掌握Access的特性與應用技巧，徹底提升理解力與應用力!   Access是微軟推出的關聯式資料庫管理系統(RDBMS,即Re...more
",https://www.books.com.tw/products/0010859688?loc=P_0003_004
5,Access 2019嚴選教材!資料庫建立.管理.應用,楊世瑩,2020-03-27,"
適用Access 2019/2016/2013   列舉豐富的範例進行解說，並在需要特別注意的地方加註提醒，讓您充分掌握Access的特性與應用技巧，徹底提升您的理解力與應用力!   .作者以超過30年的實際教學經驗，列舉豐富...more
",https://www.books.com.tw/products/0010853314?loc=P_0003_005
6,Access 客戶資料 設計寶典,"蘇文德,陳穎涵",2019-07-01,"
「範例導向式的Access應用，實力評量輔助思考再活躍。」   本書以實例為導向，輔以基本觀念與原理說明，讓你在輕鬆完成作品時，也學會了Access的各種設計技巧與應用。   本書共分為「基礎篇」與「實務篇」...more
",https://www.books.com.tw/products/0010829626?loc=P_0003_006
7,Access 2013與Excel 2013商業智慧分析系統,孫惠民,2019-05-01,"
在現今資訊發達，企業間激烈的紅海競爭中，企業營運與決策階層最需要的資訊是什麼?最能協助營運管理階層做出最有利的決策判斷的資訊工具是什麼?當然，隨著企業規模以及企業營運重點不同而有不同的答案!但...more
",https://www.books.com.tw/products/0010823092?loc=P_0003_007
8,ACCESS 客戶資料庫 快速上手,林佳生,2019-05-01,"
面臨大數據時代，管理巨量資料刻不容緩，您，準備好了嗎?   本書嚴選Microsoft Access的特性和實例，細心統整資料庫管理的知識架構且搭配詳細的操作步驟和補充說明，課後並附有不同類型的習題，讓您輕鬆學...more
",https://www.books.com.tw/products/0010823096?loc=P_0003_008
9,Access 資料庫導向設計寶典,林國榮,2019-03-01,"
Access是微軟推出的最新版本關聯式資料庫管理系統(RDBMS,即Relational Database Management System)，是Office系列應用軟體之一。其提供了資料表、查詢、表單、報表、巨集、模組等物件用來建立資料......more
",https://www.books.com.tw/products/0010817659?loc=P_0003_009
10,資料庫系統管理與實作：Access+Excel商務應用(2016/2019)暢銷回饋版,李馨,2018-12-21,"
雖然資料庫理論不是馬上就能夠立刻瞭解的。但透過Access的操作介面，認識資料表、表單、報表和查詢這些資料庫物件，游刃有餘之後，再進一步學習巨集和模組。本書非常適合對資料庫有興趣，又想要對資料庫的...more
",https://www.books.com.tw/products/0010808614?loc=P_0003_010
