,書名,作者,出版日期,內容介紹,網址
1,MySQL 雲端資料庫 設計寶典,孫惠民,2020-09-01,"
「範例式引導講述，學習最有效率」    ※ 教導讀者使用MySQL無介面無開發工具直接建立應用系統資料庫(MySQL Database)用書。   ※ 教導讀者：MySQL視覺化資料庫管理工具：MySQL WorkBench的管理設定與操作.....more
",https://www.books.com.tw/products/0010871770?loc=P_0003_001
2,PHP & MySQL 程式設計寶典,藍易,2019-10-01,"
「範例式引導講述，學習最有效率」   「一學就受用的程式設計書」   PHP 與 MySQL 自己學習時常抓不到重點，上培訓班花費太高，為何不買一本書在網上學習?省時、省錢、效果顯著，比得上培訓班。   MySQL ...more
",https://www.books.com.tw/products/0010838261?loc=P_0003_002
3,PHP、MySQL與JavaScript學習手冊(第五版),Robin Nixon,2018-12-13,"
“本書介紹好幾種重要的web開發語言，是一本很棒的入門書籍，節奏明快、容易閱讀、資訊豐富，讓你很快就能建立動態的網站，包括一個基本的社群網路網站。”   —Albert Wiersch   CSE HTML ValidatorZ開發者 ...more
",https://www.books.com.tw/products/0010807755?loc=P_0003_003
4,MySQL新手入門超級手冊-第二版(適用MySQL 8.x與MariaDB 10.x),張益裕,2018-07-11,"
★適用最新MySQL 8.x與MariaDB 10.x   ★全書採用清楚易懂的圖文學習模式，讓學習更加事半功倍   • 作者累積數年的教育訓練實務經驗，使用最直覺與容易學習的圖文樣式，以最接近課堂實際授課的方式撰寫本書...more
",https://www.books.com.tw/products/0010792087?loc=P_0003_004
5,MySQL 5.X/6.X 雲端資料庫SQL設計技術寶典(附綠色範例檔),孫惠民,2018-07-01,"
※ 市面上第一本教導讀者使用MySQL無介面無開發工具直接建立應用系統資料庫(MySQL Database)用書。 ※ 市面上第一本教導讀者：MySQL 5.X/6.X最新視覺化資料庫管理工具：MySQL WorkBench的管理設定與操作......more
",https://www.books.com.tw/products/0010794023?loc=P_0003_005
6,精通 PHP&MySQL 網頁開發(第五版),"Laura Thomson,Luke Welling",2017-04-28,"
涵蓋PHP 7   這本詳盡指南將教你使用PHP與MySQL建構資料庫驅動的web應用程式   PHP與MySQL是熱門的開放原始碼技術，非常適合用來快速開發資料庫驅動的web應用程式。PHP是強大的腳本語言，它的設計是為了讓...more
",https://www.books.com.tw/products/0010750677?loc=P_0003_006
7,挑戰PHP7/MySQL程式設計與超強專題特訓班(第四版)(適用PHP5~7，MariaDB),"文淵閣工作室,鄧文淵,黃信溢",2016-11-03,"
打造最佳環境、深入應用核心、強化資安防護 舊版熱銷破1.5萬本，PHP/MySQL經典好書，值得您一探究竟!   ★一本被老師奉為經典，讓讀者好評推薦，   適合初學到進階的學習，且可以把PHP練至接案的書籍!★   ...more
",https://www.books.com.tw/products/0010733550?loc=P_0003_007
8,全方位學習 PHP & MySQL(附綠色範例檔+線上影片回函索取),藍易,2016-08-01,"
本書特色   PHP是一個開源的網頁程式語言，特別是在網路程式開發方面。使用PHP不需要任何費用，使用者經常可以從網站上下載完整的程式原始碼，允許使用者修改、編譯、擴充來使用。PHP大多在伺服器端執行，...more
",https://www.books.com.tw/products/0010726171?loc=P_0003_008
9,圖解資料庫系統理論：使用MySQL實作,李春雄,2016-06-27,"
1.MySQL資料庫完全免費、成本低、性能高及可靠性佳，適用中小企業及學生使用。   2.提供完整的關聯式資料庫的理論說實作，適用資訊相關科系學生來學習。   3.透過手機App連接遠端的MySQL資料庫來存取資料...more
",https://www.books.com.tw/products/0010720461?loc=P_0003_009
10,新觀念 PHP7+MySQL+AJAX 網頁設計範例教本 第五版,陳會安,2016-04-18,"
用豐富、實務的範例, 累積伺服網頁應用的開發經驗   PHP 是目前最通用的伺服端網頁技術，在歷經開發人員十年的努力，終於推出最新版本 PHP7。   本書定位上是一本入門 PHP7 網頁程式設計的學習教材，使用 ...more
",https://www.books.com.tw/products/0010712911?loc=P_0003_010
11,MySQL 5.X/6.X 雲端資料庫SQL設計技術寶典(附綠色範例檔),孫惠民,2016-04-01,"
本書特色    ※市面上第一本教導讀者使用MySQL無介面無開發工具直接建立應用系統資料庫(MySQL Database)用書。   ※市面上第一本教導讀者：MySQL 5.X/6.X最新視覺化資料庫管理工具：MySQL WorkBench......more
",https://www.books.com.tw/products/0010713794?loc=P_0003_011
12,Dreamweaver與PHP+MySQL+jQuery Mobile互動網站程式設計(適用DW CC與CS6),"林梓涵,謝雨辰",2015-12-16,"
想自己設計一個資料庫網站，但是網頁設計沒經驗，資料庫不太熟，沒用過資料庫也買不起大型資料庫，也沒寫過任何程式語言，該從哪裡開始?   ‧本書以最熱門的Dreamweaver為網頁設計工具，只要用滑鼠就能輕鬆...more
",https://www.books.com.tw/products/0010699536?loc=P_0003_012
13,MySQL完全攻略：管理與維護,"唐漢明,王洪權,翟振興,關寶軍,黃瀟",2014-08-11,"
徹底攻略MySQL資料庫管理系統   本書是「MySQL完全攻略：資料庫開發與效能調校」的延伸書籍，著重在DBA人員所需要的工具、知識與架構能力。延續著前書的風格，本書不但透過實際案例由淺入深地完整說明重要...more
",https://www.books.com.tw/products/0010646170?loc=P_0003_013
