,書名,作者,出版日期,內容介紹,網址
1,馬上就會Office 2019商務實作與應用,數位新知,2020-10-26,"
各章會先介紹該章主題所對應的軟體功能，章節結束前則以完整範例整合各項功能，例如:人事公告、餐飲價目表製作、人事資料表、讀書研究專案報告、製作彩色名片、商品估價單、個人通訊錄、學生成績單、銷售...more
",https://www.books.com.tw/products/0010874646?loc=P_0003_001
2,Office 2019學習手冊(附範例光碟),"全華研究室,王麗琴",2020-09-23,"
本書涵蓋Office 2019四大軟體Word、Excel、PowerPoint及Access，從基礎、進階操作到各項功能的使用介紹都做了詳細的說明。只要一本就能學會文書排版、計算及函數的應用、製作精美簡報及建置資料庫等技巧。...more
",https://www.books.com.tw/products/0010872910?loc=P_0003_002
3,套裝軟體應用Using Microsoft Office 2016含BAP Fundamentals Master商務專業應用能力國際認證 最新版 附贈BAP學評系統含教學影片(download),JYiC認證研究團隊,2020-09-10,"
1. 本書分為「Office 2016 實用技能篇」與「BAP 國際認證測驗試題與參考答案篇」，不僅能紮實學會Office 2016，讓您能學以致用，亦能輕鬆考取BAP 國際認證，成為BAP Fundamentals Master，有效提昇......more
",https://www.books.com.tw/products/0010870545?loc=P_0003_003
4,專題實作 書面報告呈現技巧(Office 2016：文書、統計、簡報) 線上多媒體影音教學 最新版 附MOSME行動學習一點通,呂聰賢,2020-09-07,"
1.提供38個影音教學，每個範例皆可清楚的呈現完整作法。   2.所有課程範例皆有提供素材檔、範例檔、成品檔可供參考。   3.操作步驟詳 細清楚，井然有序，讀者易學易用。   4.教學範例以實務經驗為導向，讓...more
",https://www.books.com.tw/products/0010870549?loc=P_0003_004
5,Office 2019範例教本(含Word、Excel、PowerPoint、Access)(附範例光碟),"全華研究室,郭欣怡",2020-06-18,"
本書涵蓋Office 2019四大軟體Word、Excel、PowerPoint及Access，精選了16個商務範例，舉凡文書處理、數據統計、簡報設計、資料庫管理，所有職場上必備的軟體技能皆詳細說明，讓你一次學會四大軟體。   本...more
",https://www.books.com.tw/products/0010863339?loc=P_0003_005
6,Office2016商務應用：8堂一點就通的基礎活用課,吳燦銘,2020-06-11,"
專業文件表單+靈活數字分析+完美簡報呈現   一本讓您輕鬆成為Office達人的商務實戰祕笈!    本書深入淺出的說明Office辦公室軟體在不同主題下所使用的方法與技巧，輔以大量商務範例來實作說明，簡化學習的...more
",https://www.books.com.tw/products/0010860337?loc=P_0003_006
7,101招學會LibreOffice：Writer文書 x Calc試算表 x Impress簡報實戰技巧,"孫賜萍,蔡凱如",2020-06-01,"
秒解您在工作上遇到的煩惱，省時省力又省心   「要如何將一堆文件批次轉檔成ODF?」、「要如何在文件中建立雙行文字?」、「可以在文件中同時使用橫式跟直式的版面嗎?」、「資料跨頁時，如何讓每一頁都有標...more
",https://www.books.com.tw/products/0010859648?loc=P_0003_007
8,Office 武功祕笈,松橋工作室,2020-04-01,"
增強職場軟實力，文書技能更升級!   超清晰圖文步驟解說，搭配重點提示，快速變身全方位職場達人!    本書以範例為導向，教學方式採循序漸進，讓初學者熟悉Office各種常用功能的使用時機，只要學會Windows...more
",https://www.books.com.tw/products/0010856526?loc=P_0003_008
9,Office 辦公室軟體 快速上手,林佳生,2019-10-01,"
「範例引導教學，功能逐一詳解!」   「零挫折!免基礎!學習成就最有感」   Office是Microsoft的辦公室應用軟體，本書介紹Word、Excel、PowerPoint、Access等4個大眾所普遍使用的軟體，除了以實例做詳實的解...more
",https://www.books.com.tw/products/0010838274?loc=P_0003_009
10,Office 2019高效實用範例必修16課(附418分鐘影音教學/範例檔),文淵閣工作室,2019-10-01,"
附書DVD*1   ★Office 2019重磅更新 X Office 365雲端整合行動力★   Word、Excel、PowerPoint、Access，生活與商務應用一本通，   快速完成各式主題文件、試算表、簡報與資料庫，現學現用好......more
",https://www.books.com.tw/products/0010835226?loc=P_0003_010
